ACTION QUERY 10000 10 New Hydroelectric Projects
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'35583'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'302004'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'504815'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'504815'
ACTION MARK 10000 47 CONSIDERED_RELEVANT b'504815'
ACTION SNIPPET 10000 50 SNIPPET_RELEVANT b'295147'
ACTION DOC 10000 70 EXAMINING_DOCUMENT b'295147'
ACTION MARK 10000 73 CONSIDERED_RELEVANT b'295147'
ACTION SNIPPET 10000 76 SNIPPET_RELEVANT b'1375'
ACTION DOC 10000 96 EXAMINING_DOCUMENT b'1375'
ACTION MARK 10000 99 CONSIDERED_RELEVANT b'1375'
ACTION SNIPPET 10000 102 SEEN_PREVIOUSLY b'1375'
ACTION SNIPPET 10000 105 SNIPPET_RELEVANT b'5062'
ACTION DOC 10000 125 EXAMINING_DOCUMENT b'5062'
ACTION SNIPPET 10000 128 SEEN_PREVIOUSLY b'5062'
ACTION SNIPPET 10000 131 SNIPPET_RELEVANT b'272661'
ACTION DOC 10000 151 EXAMINING_DOCUMENT b'272661'
ACTION MARK 10000 154 CONSIDERED_RELEVANT b'272661'
ACTION SNIPPET 10000 157 SNIPPET_RELEVANT b'497476'
ACTION DOC 10000 177 EXAMINING_DOCUMENT b'497476'
ACTION SNIPPET 10000 180 SNIPPET_RELEVANT b'29374'
ACTION DOC 10000 200 EXAMINING_DOCUMENT b'29374'
ACTION MARK 10000 203 CONSIDERED_RELEVANT b'29374'
ACTION SNIPPET 10000 206 SNIPPET_RELEVANT b'323321'
ACTION DOC 10000 226 EXAMINING_DOCUMENT b'323321'
ACTION SNIPPET 10000 229 SNIPPET_RELEVANT b'169821'
ACTION DOC 10000 249 EXAMINING_DOCUMENT b'169821'
ACTION SNIPPET 10000 252 SNIPPET_RELEVANT b'520656'
ACTION DOC 10000 272 EXAMINING_DOCUMENT b'520656'
ACTION MARK 10000 275 CONSIDERED_RELEVANT b'520656'
ACTION SNIPPET 10000 278 SNIPPET_NOT_RELEVANT b'13335'
ACTION SNIPPET 10000 281 SNIPPET_NOT_RELEVANT b'501173'
ACTION SNIPPET 10000 284 SNIPPET_RELEVANT b'1438673'
ACTION DOC 10000 304 EXAMINING_DOCUMENT b'1438673'
ACTION MARK 10000 307 CONSIDERED_RELEVANT b'1438673'
ACTION SNIPPET 10000 310 SNIPPET_RELEVANT b'377408'
ACTION DOC 10000 330 EXAMINING_DOCUMENT b'377408'
ACTION MARK 10000 333 CONSIDERED_RELEVANT b'377408'
ACTION SNIPPET 10000 336 SNIPPET_RELEVANT b'21667'
ACTION DOC 10000 356 EXAMINING_DOCUMENT b'21667'
ACTION MARK 10000 359 CONSIDERED_RELEVANT b'21667'
ACTION SNIPPET 10000 362 SNIPPET_NOT_RELEVANT b'1674939'
ACTION SNIPPET 10000 365 SNIPPET_RELEVANT b'477730'
ACTION DOC 10000 385 EXAMINING_DOCUMENT b'477730'
ACTION MARK 10000 388 CONSIDERED_RELEVANT b'477730'
ACTION SNIPPET 10000 391 SNIPPET_NOT_RELEVANT b'1620659'
ACTION SNIPPET 10000 394 SNIPPET_NOT_RELEVANT b'309412'
ACTION SNIPPET 10000 397 SNIPPET_RELEVANT b'1719143'
ACTION DOC 10000 417 EXAMINING_DOCUMENT b'1719143'
ACTION MARK 10000 420 CONSIDERED_RELEVANT b'1719143'
ACTION SNIPPET 10000 423 SNIPPET_RELEVANT b'469928'
ACTION DOC 10000 443 EXAMINING_DOCUMENT b'469928'
ACTION MARK 10000 446 CONSIDERED_RELEVANT b'469928'
