ACTION QUERY 10000 10 radio waves and brain cancer
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'587372'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'587372'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'587372'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'1219794'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'1219794'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'1219794'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'587719'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'587719'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'587719'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1217960'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1217960'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'1217960'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'1148284'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'1148284'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'1148284'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'339712'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'339712'
ACTION SNIPPET 10000 171 SNIPPET_NOT_RELEVANT b'189790'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'722019'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'722019'
ACTION SNIPPET 10000 197 SNIPPET_RELEVANT b'462247'
ACTION DOC 10000 217 EXAMINING_DOCUMENT b'462247'
ACTION QUERY 10000 227 radio waves and brain cancer harmful
ACTION SERP 10000 232 EXAMINE_SERP
ACTION SNIPPET 10000 235 SEEN_PREVIOUSLY b'587372'
ACTION SNIPPET 10000 238 SEEN_PREVIOUSLY b'587719'
ACTION SNIPPET 10000 241 SEEN_PREVIOUSLY b'1148284'
ACTION SNIPPET 10000 244 SEEN_PREVIOUSLY b'1219794'
ACTION SNIPPET 10000 247 SNIPPET_RELEVANT b'1367567'
ACTION DOC 10000 267 EXAMINING_DOCUMENT b'1367567'
ACTION MARK 10000 270 CONSIDERED_RELEVANT b'1367567'
ACTION SNIPPET 10000 273 SNIPPET_RELEVANT b'586679'
ACTION DOC 10000 293 EXAMINING_DOCUMENT b'586679'
ACTION MARK 10000 296 CONSIDERED_RELEVANT b'586679'
ACTION SNIPPET 10000 299 SEEN_PREVIOUSLY b'1217960'
ACTION SNIPPET 10000 302 SNIPPET_RELEVANT b'1285003'
ACTION DOC 10000 322 EXAMINING_DOCUMENT b'1285003'
ACTION MARK 10000 325 CONSIDERED_RELEVANT b'1285003'
ACTION SNIPPET 10000 328 SNIPPET_NOT_RELEVANT b'191081'
ACTION SNIPPET 10000 331 SNIPPET_RELEVANT b'1613083'
ACTION DOC 10000 351 EXAMINING_DOCUMENT b'1613083'
ACTION MARK 10000 354 CONSIDERED_RELEVANT b'1613083'
ACTION SNIPPET 10000 357 SNIPPET_NOT_RELEVANT b'1175805'
ACTION SNIPPET 10000 360 SNIPPET_RELEVANT b'241828'
ACTION DOC 10000 380 EXAMINING_DOCUMENT b'241828'
ACTION SNIPPET 10000 383 SEEN_PREVIOUSLY b'339712'
ACTION SNIPPET 10000 386 SNIPPET_NOT_RELEVANT b'1844443'
ACTION SNIPPET 10000 389 SNIPPET_NOT_RELEVANT b'189790'
ACTION SNIPPET 10000 392 SEEN_PREVIOUSLY b'722019'
ACTION SNIPPET 10000 395 SEEN_PREVIOUSLY b'462247'
ACTION SNIPPET 10000 398 SNIPPET_RELEVANT b'1146438'
ACTION DOC 10000 418 EXAMINING_DOCUMENT b'1146438'
ACTION MARK 10000 421 CONSIDERED_RELEVANT b'1146438'
ACTION SNIPPET 10000 424 SNIPPET_NOT_RELEVANT b'542666'
ACTION SNIPPET 10000 427 SNIPPET_NOT_RELEVANT b'773036'
ACTION SNIPPET 10000 430 SNIPPET_NOT_RELEVANT b'535481'
ACTION SNIPPET 10000 433 SNIPPET_RELEVANT b'399746'
ACTION DOC 10000 453 EXAMINING_DOCUMENT b'399746'
ACTION SNIPPET 10000 456 SNIPPET_NOT_RELEVANT b'1129593'
ACTION SNIPPET 10000 459 SNIPPET_RELEVANT b'1430688'
ACTION DOC 10000 479 EXAMINING_DOCUMENT b'1430688'
ACTION QUERY 10000 489 radio waves and brain cancer headache
ACTION SERP 10000 494 EXAMINE_SERP
ACTION SNIPPET 10000 497 SEEN_PREVIOUSLY b'587372'
ACTION SNIPPET 10000 500 SEEN_PREVIOUSLY b'1146438'
ACTION SNIPPET 10000 503 SNIPPET_RELEVANT b'773036'
ACTION DOC 10000 523 EXAMINING_DOCUMENT b'773036'
ACTION SNIPPET 10000 526 SEEN_PREVIOUSLY b'1219794'
ACTION SNIPPET 10000 529 SEEN_PREVIOUSLY b'587719'
ACTION SNIPPET 10000 532 SEEN_PREVIOUSLY b'1217960'
ACTION SNIPPET 10000 535 SEEN_PREVIOUSLY b'1148284'
ACTION SNIPPET 10000 538 SNIPPET_RELEVANT b'186892'
ACTION DOC 10000 558 EXAMINING_DOCUMENT b'186892'
ACTION QUERY 10000 568 radio waves and brain cancer ruths
ACTION SERP 10000 573 EXAMINE_SERP
ACTION SNIPPET 10000 576 SEEN_PREVIOUSLY b'587372'
ACTION SNIPPET 10000 579 SNIPPET_NOT_RELEVANT b'641647'
ACTION SNIPPET 10000 582 SEEN_PREVIOUSLY b'1219794'
ACTION SNIPPET 10000 585 SNIPPET_RELEVANT b'1837794'
ACTION DOC 10000 605 EXAMINING_DOCUMENT b'1837794'
ACTION SNIPPET 10000 608 SEEN_PREVIOUSLY b'587719'
ACTION SNIPPET 10000 611 SEEN_PREVIOUSLY b'1217960'
ACTION SNIPPET 10000 614 SEEN_PREVIOUSLY b'1148284'
ACTION SNIPPET 10000 617 SNIPPET_NOT_RELEVANT b'982485'
ACTION SNIPPET 10000 620 SEEN_PREVIOUSLY b'1146438'
ACTION QUERY 10000 630 radio waves and brain cancer awoke
ACTION SERP 10000 635 EXAMINE_SERP
ACTION SNIPPET 10000 638 SEEN_PREVIOUSLY b'587372'
ACTION SNIPPET 10000 641 SEEN_PREVIOUSLY b'1219794'
ACTION SNIPPET 10000 644 SEEN_PREVIOUSLY b'587719'
ACTION SNIPPET 10000 647 SNIPPET_RELEVANT b'1027759'
ACTION DOC 10000 667 EXAMINING_DOCUMENT b'1027759'
ACTION SNIPPET 10000 670 SEEN_PREVIOUSLY b'1217960'
