ACTION QUERY 10000 10 Radio Waves and Brain Cancer
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'587372'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'587372'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'587372'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'1219794'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'1219794'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'1219794'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'587719'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'587719'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'587719'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1217960'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1217960'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'1217960'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'1148284'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'1148284'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'1148284'
ACTION SNIPPET 10000 148 SNIPPET_NOT_RELEVANT b'339712'
ACTION SNIPPET 10000 151 SNIPPET_NOT_RELEVANT b'189790'
ACTION SNIPPET 10000 154 SNIPPET_NOT_RELEVANT b'722019'
ACTION SNIPPET 10000 157 SNIPPET_NOT_RELEVANT b'462247'
ACTION SNIPPET 10000 160 SNIPPET_NOT_RELEVANT b'399746'
ACTION QUERY 10000 170 Brain cancer
ACTION SERP 10000 175 EXAMINE_SERP
ACTION SNIPPET 10000 178 SNIPPET_NOT_RELEVANT b'1136199'
ACTION SNIPPET 10000 181 SNIPPET_RELEVANT b'1832415'
ACTION DOC 10000 201 EXAMINING_DOCUMENT b'1832415'
ACTION SNIPPET 10000 204 SNIPPET_RELEVANT b'372893'
ACTION DOC 10000 224 EXAMINING_DOCUMENT b'372893'
ACTION MARK 10000 227 CONSIDERED_RELEVANT b'372893'
ACTION SNIPPET 10000 230 SNIPPET_RELEVANT b'1257780'
ACTION DOC 10000 250 EXAMINING_DOCUMENT b'1257780'
ACTION MARK 10000 253 CONSIDERED_RELEVANT b'1257780'
ACTION SNIPPET 10000 256 SNIPPET_RELEVANT b'1256837'
ACTION DOC 10000 276 EXAMINING_DOCUMENT b'1256837'
ACTION MARK 10000 279 CONSIDERED_RELEVANT b'1256837'
ACTION SNIPPET 10000 282 SNIPPET_RELEVANT b'1146438'
ACTION DOC 10000 302 EXAMINING_DOCUMENT b'1146438'
ACTION MARK 10000 305 CONSIDERED_RELEVANT b'1146438'
ACTION SNIPPET 10000 308 SNIPPET_NOT_RELEVANT b'462247'
ACTION SNIPPET 10000 311 SNIPPET_NOT_RELEVANT b'1128654'
ACTION SNIPPET 10000 314 SNIPPET_NOT_RELEVANT b'773036'
ACTION SNIPPET 10000 317 SNIPPET_RELEVANT b'407754'
ACTION DOC 10000 337 EXAMINING_DOCUMENT b'407754'
ACTION MARK 10000 340 CONSIDERED_RELEVANT b'407754'
ACTION QUERY 10000 350 Radio waves
ACTION SERP 10000 355 EXAMINE_SERP
ACTION SNIPPET 10000 358 SNIPPET_NOT_RELEVANT b'173068'
ACTION SNIPPET 10000 361 SNIPPET_NOT_RELEVANT b'1112209'
ACTION SNIPPET 10000 364 SNIPPET_NOT_RELEVANT b'1361227'
ACTION SNIPPET 10000 367 SNIPPET_NOT_RELEVANT b'91147'
ACTION SNIPPET 10000 370 SNIPPET_RELEVANT b'31979'
ACTION DOC 10000 390 EXAMINING_DOCUMENT b'31979'
ACTION SNIPPET 10000 393 SNIPPET_NOT_RELEVANT b'1451411'
ACTION SNIPPET 10000 396 SNIPPET_NOT_RELEVANT b'153900'
ACTION SNIPPET 10000 399 SNIPPET_NOT_RELEVANT b'1636782'
ACTION SNIPPET 10000 402 SNIPPET_NOT_RELEVANT b'474874'
ACTION SNIPPET 10000 405 SNIPPET_NOT_RELEVANT b'1608446'
ACTION QUERY 10000 415 Brain tumor
ACTION SERP 10000 420 EXAMINE_SERP
ACTION SNIPPET 10000 423 SNIPPET_NOT_RELEVANT b'773036'
ACTION SNIPPET 10000 426 SEEN_PREVIOUSLY b'1146438'
ACTION SNIPPET 10000 429 SNIPPET_NOT_RELEVANT b'1136199'
ACTION SNIPPET 10000 432 SNIPPET_NOT_RELEVANT b'498757'
ACTION SNIPPET 10000 435 SEEN_PREVIOUSLY b'372893'
ACTION SNIPPET 10000 438 SNIPPET_NOT_RELEVANT b'1814482'
ACTION SNIPPET 10000 441 SNIPPET_NOT_RELEVANT b'340410'
ACTION SNIPPET 10000 444 SNIPPET_NOT_RELEVANT b'690793'
ACTION SNIPPET 10000 447 SNIPPET_NOT_RELEVANT b'204292'
ACTION SNIPPET 10000 450 SNIPPET_NOT_RELEVANT b'1074733'
ACTION QUERY 10000 460 Cell phone radiation
ACTION SERP 10000 465 EXAMINE_SERP
ACTION SNIPPET 10000 468 SEEN_PREVIOUSLY b'1217960'
ACTION SNIPPET 10000 471 SNIPPET_NOT_RELEVANT b'1216049'
ACTION SNIPPET 10000 474 SNIPPET_RELEVANT b'1270299'
ACTION DOC 10000 494 EXAMINING_DOCUMENT b'1270299'
ACTION MARK 10000 497 CONSIDERED_RELEVANT b'1270299'
ACTION SNIPPET 10000 500 SEEN_PREVIOUSLY b'1256837'
ACTION SNIPPET 10000 503 SNIPPET_NOT_RELEVANT b'1230359'
ACTION SNIPPET 10000 506 SEEN_PREVIOUSLY b'587372'
ACTION SNIPPET 10000 509 SNIPPET_RELEVANT b'1199000'
ACTION DOC 10000 529 EXAMINING_DOCUMENT b'1199000'
ACTION MARK 10000 532 CONSIDERED_RELEVANT b'1199000'
ACTION SNIPPET 10000 535 SNIPPET_RELEVANT b'1174325'
ACTION DOC 10000 555 EXAMINING_DOCUMENT b'1174325'
ACTION MARK 10000 558 CONSIDERED_RELEVANT b'1174325'
ACTION SNIPPET 10000 561 SEEN_PREVIOUSLY b'1219794'
ACTION SNIPPET 10000 564 SNIPPET_RELEVANT b'1167188'
ACTION DOC 10000 584 EXAMINING_DOCUMENT b'1167188'
ACTION MARK 10000 587 CONSIDERED_RELEVANT b'1167188'
ACTION QUERY 10000 597 Electromagnetic radiation
ACTION SERP 10000 602 EXAMINE_SERP
ACTION SNIPPET 10000 605 SNIPPET_RELEVANT b'355867'
ACTION DOC 10000 625 EXAMINING_DOCUMENT b'355867'
ACTION MARK 10000 628 CONSIDERED_RELEVANT b'355867'
