ACTION QUERY 10000 10 Women in Parliaments
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'278069'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'278069'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'278069'
ACTION SNIPPET 10000 44 SNIPPET_NOT_RELEVANT b'1612526'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'1419003'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'1419003'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1669821'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1669821'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1669821'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1708799'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1708799'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'1708799'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'885618'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'885618'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'885618'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'784875'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'784875'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'784875'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'714723'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'714723'
ACTION MARK 10000 197 CONSIDERED_RELEVANT b'714723'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'1120966'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'1120966'
ACTION MARK 10000 223 CONSIDERED_RELEVANT b'1120966'
ACTION SNIPPET 10000 226 SNIPPET_RELEVANT b'343331'
ACTION DOC 10000 246 EXAMINING_DOCUMENT b'343331'
ACTION SNIPPET 10000 249 SNIPPET_RELEVANT b'573572'
ACTION DOC 10000 269 EXAMINING_DOCUMENT b'573572'
ACTION MARK 10000 272 CONSIDERED_RELEVANT b'573572'
ACTION SNIPPET 10000 275 SNIPPET_RELEVANT b'1162537'
ACTION DOC 10000 295 EXAMINING_DOCUMENT b'1162537'
ACTION MARK 10000 298 CONSIDERED_RELEVANT b'1162537'
ACTION SNIPPET 10000 301 SNIPPET_NOT_RELEVANT b'1221423'
ACTION SNIPPET 10000 304 SNIPPET_RELEVANT b'1294266'
ACTION DOC 10000 324 EXAMINING_DOCUMENT b'1294266'
ACTION MARK 10000 327 CONSIDERED_RELEVANT b'1294266'
ACTION SNIPPET 10000 330 SNIPPET_NOT_RELEVANT b'722210'
ACTION SNIPPET 10000 333 SNIPPET_RELEVANT b'302716'
ACTION DOC 10000 353 EXAMINING_DOCUMENT b'302716'
ACTION MARK 10000 356 CONSIDERED_RELEVANT b'302716'
ACTION SNIPPET 10000 359 SNIPPET_RELEVANT b'431397'
ACTION DOC 10000 379 EXAMINING_DOCUMENT b'431397'
ACTION MARK 10000 382 CONSIDERED_RELEVANT b'431397'
ACTION SNIPPET 10000 385 SNIPPET_NOT_RELEVANT b'1434566'
ACTION SNIPPET 10000 388 SNIPPET_RELEVANT b'1771996'
ACTION DOC 10000 408 EXAMINING_DOCUMENT b'1771996'
ACTION MARK 10000 411 CONSIDERED_RELEVANT b'1771996'
ACTION SNIPPET 10000 414 SNIPPET_RELEVANT b'1673317'
ACTION DOC 10000 434 EXAMINING_DOCUMENT b'1673317'
ACTION MARK 10000 437 CONSIDERED_RELEVANT b'1673317'
ACTION QUERY 10000 447 Women Parliaments
ACTION SERP 10000 452 EXAMINE_SERP
ACTION SNIPPET 10000 455 SEEN_PREVIOUSLY b'278069'
ACTION SNIPPET 10000 458 SNIPPET_NOT_RELEVANT b'1612526'
ACTION SNIPPET 10000 461 SEEN_PREVIOUSLY b'1419003'
ACTION SNIPPET 10000 464 SEEN_PREVIOUSLY b'1669821'
ACTION SNIPPET 10000 467 SEEN_PREVIOUSLY b'1708799'
ACTION SNIPPET 10000 470 SEEN_PREVIOUSLY b'885618'
ACTION SNIPPET 10000 473 SEEN_PREVIOUSLY b'784875'
ACTION SNIPPET 10000 476 SEEN_PREVIOUSLY b'714723'
ACTION SNIPPET 10000 479 SEEN_PREVIOUSLY b'1120966'
ACTION SNIPPET 10000 482 SEEN_PREVIOUSLY b'343331'
ACTION SNIPPET 10000 485 SEEN_PREVIOUSLY b'573572'
ACTION SNIPPET 10000 488 SEEN_PREVIOUSLY b'1162537'
ACTION SNIPPET 10000 491 SNIPPET_NOT_RELEVANT b'1221423'
ACTION SNIPPET 10000 494 SEEN_PREVIOUSLY b'1294266'
ACTION SNIPPET 10000 497 SNIPPET_RELEVANT b'722210'
ACTION DOC 10000 517 EXAMINING_DOCUMENT b'722210'
ACTION SNIPPET 10000 520 SEEN_PREVIOUSLY b'302716'
ACTION SNIPPET 10000 523 SEEN_PREVIOUSLY b'431397'
ACTION SNIPPET 10000 526 SNIPPET_RELEVANT b'1434566'
ACTION DOC 10000 546 EXAMINING_DOCUMENT b'1434566'
ACTION MARK 10000 549 CONSIDERED_RELEVANT b'1434566'
ACTION SNIPPET 10000 552 SEEN_PREVIOUSLY b'1771996'
ACTION SNIPPET 10000 555 SEEN_PREVIOUSLY b'1673317'
ACTION QUERY 10000 565 Female MPs
ACTION SERP 10000 570 EXAMINE_SERP
ACTION SNIPPET 10000 573 SNIPPET_RELEVANT b'141814'
ACTION DOC 10000 593 EXAMINING_DOCUMENT b'141814'
ACTION SNIPPET 10000 596 SNIPPET_RELEVANT b'117655'
ACTION DOC 10000 616 EXAMINING_DOCUMENT b'117655'
ACTION SNIPPET 10000 619 SNIPPET_RELEVANT b'231464'
ACTION DOC 10000 639 EXAMINING_DOCUMENT b'231464'
ACTION SNIPPET 10000 642 SNIPPET_NOT_RELEVANT b'535388'
ACTION SNIPPET 10000 645 SNIPPET_RELEVANT b'353474'
ACTION DOC 10000 665 EXAMINING_DOCUMENT b'353474'
ACTION SNIPPET 10000 668 SNIPPET_NOT_RELEVANT b'71383'
ACTION SNIPPET 10000 671 SNIPPET_RELEVANT b'1620798'
ACTION DOC 10000 691 EXAMINING_DOCUMENT b'1620798'
ACTION SNIPPET 10000 694 SNIPPET_NOT_RELEVANT b'1641542'
ACTION SNIPPET 10000 697 SNIPPET_NOT_RELEVANT b'378924'
ACTION SNIPPET 10000 700 SNIPPET_NOT_RELEVANT b'388742'
ACTION SNIPPET 10000 703 SNIPPET_RELEVANT b'363078'
ACTION DOC 10000 723 EXAMINING_DOCUMENT b'363078'
ACTION SNIPPET 10000 726 SNIPPET_RELEVANT b'1059599'
ACTION DOC 10000 746 EXAMINING_DOCUMENT b'1059599'
ACTION SNIPPET 10000 749 SNIPPET_NOT_RELEVANT b'968623'
ACTION SNIPPET 10000 752 SNIPPET_NOT_RELEVANT b'352332'
ACTION SNIPPET 10000 755 SNIPPET_NOT_RELEVANT b'308643'
ACTION SNIPPET 10000 758 SNIPPET_RELEVANT b'1375448'
ACTION DOC 10000 778 EXAMINING_DOCUMENT b'1375448'
ACTION SNIPPET 10000 781 SNIPPET_NOT_RELEVANT b'500489'
ACTION SNIPPET 10000 784 SNIPPET_NOT_RELEVANT b'12452'
ACTION SNIPPET 10000 787 SNIPPET_NOT_RELEVANT b'77604'
ACTION SNIPPET 10000 790 SNIPPET_RELEVANT b'1674484'
ACTION DOC 10000 810 EXAMINING_DOCUMENT b'1674484'
ACTION QUERY 10000 820 Women in Politics
ACTION SERP 10000 825 EXAMINE_SERP
ACTION SNIPPET 10000 828 SNIPPET_RELEVANT b'342019'
ACTION DOC 10000 848 EXAMINING_DOCUMENT b'342019'
ACTION SNIPPET 10000 851 SNIPPET_NOT_RELEVANT b'1436622'
ACTION SNIPPET 10000 854 SNIPPET_RELEVANT b'21715'
ACTION DOC 10000 874 EXAMINING_DOCUMENT b'21715'
ACTION MARK 10000 877 CONSIDERED_RELEVANT b'21715'
