ACTION QUERY 10000 10 Overseas Tobacco Sales
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'925900'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'925900'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'925900'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'170810'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'170810'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'170810'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1812174'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1812174'
ACTION SNIPPET 10000 93 SNIPPET_RELEVANT b'1011152'
ACTION DOC 10000 113 EXAMINING_DOCUMENT b'1011152'
ACTION MARK 10000 116 CONSIDERED_RELEVANT b'1011152'
ACTION SNIPPET 10000 119 SNIPPET_RELEVANT b'1091527'
ACTION DOC 10000 139 EXAMINING_DOCUMENT b'1091527'
ACTION MARK 10000 142 CONSIDERED_RELEVANT b'1091527'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'956512'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'956512'
ACTION MARK 10000 168 CONSIDERED_RELEVANT b'956512'
ACTION SNIPPET 10000 171 SNIPPET_RELEVANT b'814188'
ACTION DOC 10000 191 EXAMINING_DOCUMENT b'814188'
ACTION MARK 10000 194 CONSIDERED_RELEVANT b'814188'
ACTION SNIPPET 10000 197 SNIPPET_RELEVANT b'948180'
ACTION DOC 10000 217 EXAMINING_DOCUMENT b'948180'
ACTION SNIPPET 10000 220 SNIPPET_RELEVANT b'241188'
ACTION DOC 10000 240 EXAMINING_DOCUMENT b'241188'
ACTION MARK 10000 243 CONSIDERED_RELEVANT b'241188'
ACTION SNIPPET 10000 246 SNIPPET_RELEVANT b'1012059'
ACTION DOC 10000 266 EXAMINING_DOCUMENT b'1012059'
ACTION SNIPPET 10000 269 SNIPPET_RELEVANT b'1080807'
ACTION DOC 10000 289 EXAMINING_DOCUMENT b'1080807'
ACTION MARK 10000 292 CONSIDERED_RELEVANT b'1080807'
ACTION SNIPPET 10000 295 SNIPPET_RELEVANT b'242238'
ACTION DOC 10000 315 EXAMINING_DOCUMENT b'242238'
ACTION MARK 10000 318 CONSIDERED_RELEVANT b'242238'
ACTION SNIPPET 10000 321 SNIPPET_RELEVANT b'776073'
ACTION DOC 10000 341 EXAMINING_DOCUMENT b'776073'
ACTION MARK 10000 344 CONSIDERED_RELEVANT b'776073'
ACTION SNIPPET 10000 347 SNIPPET_NOT_RELEVANT b'938510'
ACTION SNIPPET 10000 350 SNIPPET_RELEVANT b'1081033'
ACTION DOC 10000 370 EXAMINING_DOCUMENT b'1081033'
ACTION MARK 10000 373 CONSIDERED_RELEVANT b'1081033'
ACTION SNIPPET 10000 376 SNIPPET_RELEVANT b'360393'
ACTION DOC 10000 396 EXAMINING_DOCUMENT b'360393'
ACTION SNIPPET 10000 399 SNIPPET_RELEVANT b'1018466'
ACTION DOC 10000 419 EXAMINING_DOCUMENT b'1018466'
ACTION MARK 10000 422 CONSIDERED_RELEVANT b'1018466'
ACTION SNIPPET 10000 425 SNIPPET_NOT_RELEVANT b'995863'
ACTION SNIPPET 10000 428 SNIPPET_RELEVANT b'505554'
ACTION DOC 10000 448 EXAMINING_DOCUMENT b'505554'
ACTION MARK 10000 451 CONSIDERED_RELEVANT b'505554'
ACTION SNIPPET 10000 454 SNIPPET_NOT_RELEVANT b'885830'
ACTION SNIPPET 10000 457 SNIPPET_NOT_RELEVANT b'1274360'
ACTION SNIPPET 10000 460 SNIPPET_RELEVANT b'364097'
ACTION DOC 10000 480 EXAMINING_DOCUMENT b'364097'
ACTION MARK 10000 483 CONSIDERED_RELEVANT b'364097'
ACTION SNIPPET 10000 486 SNIPPET_RELEVANT b'1586953'
ACTION DOC 10000 506 EXAMINING_DOCUMENT b'1586953'
ACTION SNIPPET 10000 509 SNIPPET_RELEVANT b'733006'
ACTION DOC 10000 529 EXAMINING_DOCUMENT b'733006'
ACTION MARK 10000 532 CONSIDERED_RELEVANT b'733006'
ACTION SNIPPET 10000 535 SNIPPET_RELEVANT b'945668'
ACTION DOC 10000 555 EXAMINING_DOCUMENT b'945668'
ACTION MARK 10000 558 CONSIDERED_RELEVANT b'945668'
ACTION SNIPPET 10000 561 SNIPPET_RELEVANT b'190194'
ACTION DOC 10000 581 EXAMINING_DOCUMENT b'190194'
ACTION MARK 10000 584 CONSIDERED_RELEVANT b'190194'
ACTION SNIPPET 10000 587 SNIPPET_RELEVANT b'242437'
ACTION DOC 10000 607 EXAMINING_DOCUMENT b'242437'
ACTION MARK 10000 610 CONSIDERED_RELEVANT b'242437'
ACTION SNIPPET 10000 613 SNIPPET_NOT_RELEVANT b'731298'
ACTION SNIPPET 10000 616 SNIPPET_RELEVANT b'419217'
ACTION DOC 10000 636 EXAMINING_DOCUMENT b'419217'
ACTION MARK 10000 639 CONSIDERED_RELEVANT b'419217'
ACTION SNIPPET 10000 642 SNIPPET_NOT_RELEVANT b'419218'
ACTION SNIPPET 10000 645 SNIPPET_RELEVANT b'419133'
ACTION DOC 10000 665 EXAMINING_DOCUMENT b'419133'
