ACTION QUERY 10000 10 Health and Computer Terminals
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'341907'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'341907'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'341907'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'303535'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'303535'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'303535'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'151175'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'151175'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'151175'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'159117'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'159117'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'159117'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'438810'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'438810'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'438810'
ACTION SNIPPET 10000 148 SNIPPET_NOT_RELEVANT b'160983'
ACTION SNIPPET 10000 151 SNIPPET_RELEVANT b'160696'
ACTION DOC 10000 171 EXAMINING_DOCUMENT b'160696'
ACTION MARK 10000 174 CONSIDERED_RELEVANT b'160696'
ACTION SNIPPET 10000 177 SNIPPET_RELEVANT b'213470'
ACTION DOC 10000 197 EXAMINING_DOCUMENT b'213470'
ACTION MARK 10000 200 CONSIDERED_RELEVANT b'213470'
ACTION SNIPPET 10000 203 SNIPPET_NOT_RELEVANT b'958096'
ACTION SNIPPET 10000 206 SNIPPET_RELEVANT b'51666'
ACTION DOC 10000 226 EXAMINING_DOCUMENT b'51666'
ACTION MARK 10000 229 CONSIDERED_RELEVANT b'51666'
ACTION SNIPPET 10000 232 SNIPPET_RELEVANT b'59288'
ACTION DOC 10000 252 EXAMINING_DOCUMENT b'59288'
ACTION MARK 10000 255 CONSIDERED_RELEVANT b'59288'
ACTION SNIPPET 10000 258 SNIPPET_NOT_RELEVANT b'373367'
ACTION SNIPPET 10000 261 SNIPPET_NOT_RELEVANT b'383188'
ACTION SNIPPET 10000 264 SNIPPET_RELEVANT b'267050'
ACTION DOC 10000 284 EXAMINING_DOCUMENT b'267050'
ACTION MARK 10000 287 CONSIDERED_RELEVANT b'267050'
ACTION SNIPPET 10000 290 SNIPPET_RELEVANT b'407663'
ACTION DOC 10000 310 EXAMINING_DOCUMENT b'407663'
ACTION MARK 10000 313 CONSIDERED_RELEVANT b'407663'
ACTION SNIPPET 10000 316 SNIPPET_RELEVANT b'108221'
ACTION DOC 10000 336 EXAMINING_DOCUMENT b'108221'
ACTION MARK 10000 339 CONSIDERED_RELEVANT b'108221'
ACTION SNIPPET 10000 342 SNIPPET_NOT_RELEVANT b'1212853'
ACTION SNIPPET 10000 345 SNIPPET_RELEVANT b'312296'
ACTION DOC 10000 365 EXAMINING_DOCUMENT b'312296'
ACTION MARK 10000 368 CONSIDERED_RELEVANT b'312296'
ACTION SNIPPET 10000 371 SNIPPET_RELEVANT b'411417'
ACTION DOC 10000 391 EXAMINING_DOCUMENT b'411417'
ACTION MARK 10000 394 CONSIDERED_RELEVANT b'411417'
