ACTION QUERY 10000 10 transportation tunnel disasters
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1337126'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1337126'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1337126'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'521650'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'521650'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'521650'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'521934'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'521934'
ACTION SNIPPET 10000 93 SNIPPET_RELEVANT b'1338635'
ACTION DOC 10000 113 EXAMINING_DOCUMENT b'1338635'
ACTION MARK 10000 116 CONSIDERED_RELEVANT b'1338635'
ACTION SNIPPET 10000 119 SNIPPET_NOT_RELEVANT b'1341934'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'1527680'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'1527680'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'1527680'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'1095422'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'1095422'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'1095422'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'1337370'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'1337370'
ACTION MARK 10000 197 CONSIDERED_RELEVANT b'1337370'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'506698'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'506698'
ACTION SNIPPET 10000 223 SNIPPET_RELEVANT b'312917'
ACTION DOC 10000 243 EXAMINING_DOCUMENT b'312917'
ACTION SNIPPET 10000 246 SNIPPET_RELEVANT b'1247024'
ACTION DOC 10000 266 EXAMINING_DOCUMENT b'1247024'
ACTION MARK 10000 269 CONSIDERED_RELEVANT b'1247024'
ACTION SNIPPET 10000 272 SNIPPET_RELEVANT b'617525'
ACTION DOC 10000 292 EXAMINING_DOCUMENT b'617525'
ACTION SNIPPET 10000 295 SNIPPET_NOT_RELEVANT b'1337223'
ACTION SNIPPET 10000 298 SNIPPET_NOT_RELEVANT b'1385598'
ACTION SNIPPET 10000 301 SNIPPET_RELEVANT b'1326510'
ACTION DOC 10000 321 EXAMINING_DOCUMENT b'1326510'
ACTION MARK 10000 324 CONSIDERED_RELEVANT b'1326510'
ACTION SNIPPET 10000 327 SNIPPET_RELEVANT b'449557'
ACTION DOC 10000 347 EXAMINING_DOCUMENT b'449557'
ACTION SNIPPET 10000 350 SNIPPET_RELEVANT b'1246797'
ACTION DOC 10000 370 EXAMINING_DOCUMENT b'1246797'
ACTION MARK 10000 373 CONSIDERED_RELEVANT b'1246797'
ACTION SNIPPET 10000 376 SNIPPET_NOT_RELEVANT b'893681'
ACTION SNIPPET 10000 379 SNIPPET_NOT_RELEVANT b'1757480'
ACTION SNIPPET 10000 382 SNIPPET_RELEVANT b'405330'
ACTION DOC 10000 402 EXAMINING_DOCUMENT b'405330'
ACTION MARK 10000 405 CONSIDERED_RELEVANT b'405330'
ACTION SNIPPET 10000 408 SNIPPET_RELEVANT b'898055'
ACTION DOC 10000 428 EXAMINING_DOCUMENT b'898055'
ACTION MARK 10000 431 CONSIDERED_RELEVANT b'898055'
ACTION SNIPPET 10000 434 SNIPPET_NOT_RELEVANT b'11049'
ACTION SNIPPET 10000 437 SNIPPET_RELEVANT b'1404672'
ACTION DOC 10000 457 EXAMINING_DOCUMENT b'1404672'
ACTION SNIPPET 10000 460 SNIPPET_RELEVANT b'369520'
ACTION DOC 10000 480 EXAMINING_DOCUMENT b'369520'
ACTION MARK 10000 483 CONSIDERED_RELEVANT b'369520'
ACTION SNIPPET 10000 486 SNIPPET_RELEVANT b'1504269'
ACTION DOC 10000 506 EXAMINING_DOCUMENT b'1504269'
ACTION SNIPPET 10000 509 SNIPPET_RELEVANT b'1298499'
ACTION DOC 10000 529 EXAMINING_DOCUMENT b'1298499'
ACTION SNIPPET 10000 532 SNIPPET_RELEVANT b'1430724'
ACTION DOC 10000 552 EXAMINING_DOCUMENT b'1430724'
ACTION QUERY 10000 562 Train tunnel collapses
ACTION SERP 10000 567 EXAMINE_SERP
ACTION SNIPPET 10000 570 SNIPPET_NOT_RELEVANT b'1326070'
ACTION SNIPPET 10000 573 SNIPPET_RELEVANT b'1324676'
ACTION DOC 10000 593 EXAMINING_DOCUMENT b'1324676'
ACTION SNIPPET 10000 596 SNIPPET_NOT_RELEVANT b'685613'
ACTION SNIPPET 10000 599 SEEN_PREVIOUSLY b'405330'
ACTION SNIPPET 10000 602 SNIPPET_RELEVANT b'1296316'
ACTION DOC 10000 622 EXAMINING_DOCUMENT b'1296316'
ACTION QUERY 10000 632 Motor vehicle tunnel collapses
ACTION SERP 10000 637 EXAMINE_SERP
ACTION SNIPPET 10000 640 SEEN_PREVIOUSLY b'1095422'
ACTION SNIPPET 10000 643 SNIPPET_NOT_RELEVANT b'1445528'
ACTION SNIPPET 10000 646 SNIPPET_NOT_RELEVANT b'1292621'
ACTION SNIPPET 10000 649 SNIPPET_NOT_RELEVANT b'572794'
ACTION SNIPPET 10000 652 SNIPPET_RELEVANT b'10091'
ACTION DOC 10000 672 EXAMINING_DOCUMENT b'10091'
ACTION SNIPPET 10000 675 SNIPPET_RELEVANT b'1750278'
ACTION DOC 10000 695 EXAMINING_DOCUMENT b'1750278'
ACTION QUERY 10000 705 Subway tunnel disasters
ACTION SERP 10000 710 EXAMINE_SERP
ACTION SNIPPET 10000 713 SNIPPET_NOT_RELEVANT b'1689395'
ACTION SNIPPET 10000 716 SNIPPET_RELEVANT b'469895'
ACTION DOC 10000 736 EXAMINING_DOCUMENT b'469895'
ACTION MARK 10000 739 CONSIDERED_RELEVANT b'469895'
ACTION SNIPPET 10000 742 SEEN_PREVIOUSLY b'1527680'
ACTION SNIPPET 10000 745 SNIPPET_NOT_RELEVANT b'1413352'
ACTION SNIPPET 10000 748 SNIPPET_RELEVANT b'1337223'
ACTION DOC 10000 768 EXAMINING_DOCUMENT b'1337223'
ACTION SNIPPET 10000 771 SNIPPET_NOT_RELEVANT b'1341934'
ACTION SNIPPET 10000 774 SNIPPET_NOT_RELEVANT b'1369065'
ACTION SNIPPET 10000 777 SEEN_PREVIOUSLY b'1326510'
ACTION SNIPPET 10000 780 SNIPPET_RELEVANT b'1577364'
ACTION DOC 10000 800 EXAMINING_DOCUMENT b'1577364'
ACTION MARK 10000 803 CONSIDERED_RELEVANT b'1577364'
ACTION SNIPPET 10000 806 SNIPPET_RELEVANT b'481181'
ACTION DOC 10000 826 EXAMINING_DOCUMENT b'481181'
ACTION MARK 10000 829 CONSIDERED_RELEVANT b'481181'
ACTION SNIPPET 10000 832 SNIPPET_RELEVANT b'295755'
ACTION DOC 10000 852 EXAMINING_DOCUMENT b'295755'
ACTION SNIPPET 10000 855 SNIPPET_NOT_RELEVANT b'848139'
ACTION SNIPPET 10000 858 SEEN_PREVIOUSLY b'521650'
ACTION SNIPPET 10000 861 SNIPPET_RELEVANT b'413644'
ACTION DOC 10000 881 EXAMINING_DOCUMENT b'413644'
ACTION MARK 10000 884 CONSIDERED_RELEVANT b'413644'
ACTION SNIPPET 10000 887 SNIPPET_NOT_RELEVANT b'1682189'
ACTION SNIPPET 10000 890 SNIPPET_RELEVANT b'1353655'
ACTION DOC 10000 910 EXAMINING_DOCUMENT b'1353655'
ACTION SNIPPET 10000 913 SNIPPET_NOT_RELEVANT b'1385598'
ACTION SNIPPET 10000 916 SNIPPET_NOT_RELEVANT b'1693966'
ACTION SNIPPET 10000 919 SNIPPET_NOT_RELEVANT b'1097333'
ACTION SNIPPET 10000 922 SNIPPET_RELEVANT b'1440043'
ACTION DOC 10000 942 EXAMINING_DOCUMENT b'1440043'
ACTION QUERY 10000 952 Train derailments in tunnels
ACTION SERP 10000 957 EXAMINE_SERP
ACTION SNIPPET 10000 960 SNIPPET_RELEVANT b'469735'
ACTION DOC 10000 980 EXAMINING_DOCUMENT b'469735'
ACTION MARK 10000 983 CONSIDERED_RELEVANT b'469735'
ACTION SNIPPET 10000 986 SNIPPET_RELEVANT b'1311827'
ACTION DOC 10000 1006 EXAMINING_DOCUMENT b'1311827'
ACTION MARK 10000 1009 CONSIDERED_RELEVANT b'1311827'
ACTION SNIPPET 10000 1012 SNIPPET_NOT_RELEVANT b'1526069'
ACTION SNIPPET 10000 1015 SNIPPET_RELEVANT b'706509'
ACTION DOC 10000 1035 EXAMINING_DOCUMENT b'706509'
ACTION MARK 10000 1038 CONSIDERED_RELEVANT b'706509'
ACTION SNIPPET 10000 1041 SNIPPET_NOT_RELEVANT b'941564'
ACTION SNIPPET 10000 1044 SNIPPET_RELEVANT b'1311489'
ACTION DOC 10000 1064 EXAMINING_DOCUMENT b'1311489'
ACTION MARK 10000 1067 CONSIDERED_RELEVANT b'1311489'
ACTION SNIPPET 10000 1070 SNIPPET_RELEVANT b'1641795'
ACTION DOC 10000 1090 EXAMINING_DOCUMENT b'1641795'
ACTION MARK 10000 1093 CONSIDERED_RELEVANT b'1641795'
ACTION SNIPPET 10000 1096 SNIPPET_RELEVANT b'207936'
ACTION DOC 10000 1116 EXAMINING_DOCUMENT b'207936'
ACTION MARK 10000 1119 CONSIDERED_RELEVANT b'207936'
ACTION SNIPPET 10000 1122 SNIPPET_RELEVANT b'1631559'
ACTION DOC 10000 1142 EXAMINING_DOCUMENT b'1631559'
ACTION MARK 10000 1145 CONSIDERED_RELEVANT b'1631559'
ACTION SNIPPET 10000 1148 SEEN_PREVIOUSLY b'469895'
ACTION SNIPPET 10000 1151 SNIPPET_NOT_RELEVANT b'878521'
ACTION SNIPPET 10000 1154 SNIPPET_RELEVANT b'1209382'
ACTION DOC 10000 1174 EXAMINING_DOCUMENT b'1209382'
ACTION SNIPPET 10000 1177 SNIPPET_RELEVANT b'1209359'
ACTION DOC 10000 1197 EXAMINING_DOCUMENT b'1209359'
ACTION MARK 10000 1200 CONSIDERED_RELEVANT b'1209359'
ACTION SNIPPET 10000 1203 SNIPPET_NOT_RELEVANT b'871359'
ACTION SNIPPET 10000 1206 SNIPPET_RELEVANT b'1739723'
ACTION DOC 10000 1226 EXAMINING_DOCUMENT b'1739723'
ACTION MARK 10000 1229 CONSIDERED_RELEVANT b'1739723'
ACTION SNIPPET 10000 1232 SNIPPET_RELEVANT b'1191619'
ACTION DOC 10000 1252 EXAMINING_DOCUMENT b'1191619'
ACTION MARK 10000 1255 CONSIDERED_RELEVANT b'1191619'
ACTION SNIPPET 10000 1258 SNIPPET_NOT_RELEVANT b'181527'
ACTION SNIPPET 10000 1261 SNIPPET_RELEVANT b'470964'
ACTION DOC 10000 1281 EXAMINING_DOCUMENT b'470964'
ACTION MARK 10000 1284 CONSIDERED_RELEVANT b'470964'
ACTION SNIPPET 10000 1287 SNIPPET_RELEVANT b'408234'
ACTION DOC 10000 1307 EXAMINING_DOCUMENT b'408234'
ACTION MARK 10000 1310 CONSIDERED_RELEVANT b'408234'
ACTION SNIPPET 10000 1313 SNIPPET_NOT_RELEVANT b'1443835'
ACTION SNIPPET 10000 1316 SNIPPET_RELEVANT b'1191796'
ACTION DOC 10000 1336 EXAMINING_DOCUMENT b'1191796'
ACTION SNIPPET 10000 1339 SNIPPET_RELEVANT b'1223273'
ACTION DOC 10000 1359 EXAMINING_DOCUMENT b'1223273'
ACTION SNIPPET 10000 1362 SNIPPET_RELEVANT b'1209786'
ACTION DOC 10000 1382 EXAMINING_DOCUMENT b'1209786'
ACTION QUERY 10000 1392 Fires in transportation tunnels
ACTION SERP 10000 1397 EXAMINE_SERP
ACTION SNIPPET 10000 1400 SEEN_PREVIOUSLY b'1095422'
ACTION SNIPPET 10000 1403 SNIPPET_RELEVANT b'1254201'
ACTION DOC 10000 1423 EXAMINING_DOCUMENT b'1254201'
ACTION SNIPPET 10000 1426 SNIPPET_RELEVANT b'1319404'
ACTION DOC 10000 1446 EXAMINING_DOCUMENT b'1319404'
ACTION QUERY 10000 1456 Floods in transportation tunnels
ACTION SERP 10000 1461 EXAMINE_SERP
ACTION SNIPPET 10000 1464 SNIPPET_NOT_RELEVANT b'1813825'
ACTION SNIPPET 10000 1467 SNIPPET_RELEVANT b'561940'
ACTION DOC 10000 1487 EXAMINING_DOCUMENT b'561940'
ACTION SNIPPET 10000 1490 SNIPPET_NOT_RELEVANT b'61245'
