ACTION QUERY 10000 10 piracy
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'944052'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'1539234'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'1050607'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'1050607'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'1634739'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'1634739'
ACTION QUERY 10000 77 piracy taking
ACTION SERP 10000 82 EXAMINE_SERP
ACTION SNIPPET 10000 85 SNIPPET_NOT_RELEVANT b'1546828'
ACTION SNIPPET 10000 88 SNIPPET_RELEVANT b'1704054'
ACTION DOC 10000 108 EXAMINING_DOCUMENT b'1704054'
ACTION SNIPPET 10000 111 SNIPPET_NOT_RELEVANT b'1005398'
ACTION SNIPPET 10000 114 SNIPPET_RELEVANT b'447159'
ACTION DOC 10000 134 EXAMINING_DOCUMENT b'447159'
ACTION QUERY 10000 144 piracy instances
ACTION SERP 10000 149 EXAMINE_SERP
ACTION SNIPPET 10000 152 SNIPPET_RELEVANT b'1355646'
ACTION DOC 10000 172 EXAMINING_DOCUMENT b'1355646'
ACTION SNIPPET 10000 175 SNIPPET_RELEVANT b'1456641'
ACTION DOC 10000 195 EXAMINING_DOCUMENT b'1456641'
ACTION QUERY 10000 205 piracy fishing
ACTION SERP 10000 210 EXAMINE_SERP
ACTION SNIPPET 10000 213 SNIPPET_RELEVANT b'1354591'
ACTION DOC 10000 233 EXAMINING_DOCUMENT b'1354591'
ACTION SNIPPET 10000 236 SNIPPET_RELEVANT b'1512074'
ACTION DOC 10000 256 EXAMINING_DOCUMENT b'1512074'
ACTION MARK 10000 259 CONSIDERED_RELEVANT b'1512074'
ACTION SNIPPET 10000 262 SNIPPET_NOT_RELEVANT b'1446895'
ACTION SNIPPET 10000 265 SNIPPET_RELEVANT b'141199'
ACTION DOC 10000 285 EXAMINING_DOCUMENT b'141199'
ACTION MARK 10000 288 CONSIDERED_RELEVANT b'141199'
ACTION SNIPPET 10000 291 SNIPPET_NOT_RELEVANT b'1572306'
ACTION SNIPPET 10000 294 SNIPPET_RELEVANT b'748251'
ACTION DOC 10000 314 EXAMINING_DOCUMENT b'748251'
ACTION MARK 10000 317 CONSIDERED_RELEVANT b'748251'
ACTION SNIPPET 10000 320 SNIPPET_NOT_RELEVANT b'752383'
ACTION SNIPPET 10000 323 SNIPPET_NOT_RELEVANT b'1773531'
ACTION SNIPPET 10000 326 SNIPPET_NOT_RELEVANT b'1040112'
ACTION SNIPPET 10000 329 SNIPPET_NOT_RELEVANT b'944052'
ACTION SNIPPET 10000 332 SNIPPET_NOT_RELEVANT b'1433761'
ACTION SNIPPET 10000 335 SNIPPET_NOT_RELEVANT b'487912'
ACTION SNIPPET 10000 338 SNIPPET_RELEVANT b'1324421'
ACTION DOC 10000 358 EXAMINING_DOCUMENT b'1324421'
ACTION MARK 10000 361 CONSIDERED_RELEVANT b'1324421'
ACTION SNIPPET 10000 364 SNIPPET_NOT_RELEVANT b'1539234'
ACTION SNIPPET 10000 367 SNIPPET_RELEVANT b'1651936'
ACTION DOC 10000 387 EXAMINING_DOCUMENT b'1651936'
ACTION MARK 10000 390 CONSIDERED_RELEVANT b'1651936'
ACTION SNIPPET 10000 393 SEEN_PREVIOUSLY b'1050607'
ACTION SNIPPET 10000 396 SEEN_PREVIOUSLY b'1634739'
ACTION SNIPPET 10000 399 SNIPPET_RELEVANT b'68102'
ACTION DOC 10000 419 EXAMINING_DOCUMENT b'68102'
ACTION SNIPPET 10000 422 SNIPPET_RELEVANT b'1027308'
ACTION DOC 10000 442 EXAMINING_DOCUMENT b'1027308'
ACTION QUERY 10000 452 piracy ships
ACTION SERP 10000 457 EXAMINE_SERP
ACTION SNIPPET 10000 460 SNIPPET_RELEVANT b'1722166'
