ACTION QUERY 10000 10 piracy
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'944052'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'1539234'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'1050607'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'1050607'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'1634739'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'1634739'
ACTION SNIPPET 10000 70 SNIPPET_NOT_RELEVANT b'68102'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'1027308'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'1027308'
ACTION SNIPPET 10000 96 SNIPPET_NOT_RELEVANT b'1524044'
ACTION SNIPPET 10000 99 SNIPPET_RELEVANT b'1549581'
ACTION DOC 10000 119 EXAMINING_DOCUMENT b'1549581'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'119258'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'119258'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'1523782'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'1523782'
ACTION QUERY 10000 175 piracy happy
ACTION SERP 10000 180 EXAMINE_SERP
ACTION SNIPPET 10000 183 SNIPPET_RELEVANT b'1844516'
ACTION DOC 10000 203 EXAMINING_DOCUMENT b'1844516'
ACTION SNIPPET 10000 206 SNIPPET_RELEVANT b'442113'
ACTION DOC 10000 226 EXAMINING_DOCUMENT b'442113'
ACTION SNIPPET 10000 229 SNIPPET_NOT_RELEVANT b'844895'
ACTION SNIPPET 10000 232 SNIPPET_NOT_RELEVANT b'1697916'
ACTION SNIPPET 10000 235 SNIPPET_NOT_RELEVANT b'944052'
ACTION SNIPPET 10000 238 SNIPPET_RELEVANT b'1539234'
ACTION DOC 10000 258 EXAMINING_DOCUMENT b'1539234'
ACTION SNIPPET 10000 261 SEEN_PREVIOUSLY b'1050607'
ACTION SNIPPET 10000 264 SEEN_PREVIOUSLY b'1634739'
ACTION SNIPPET 10000 267 SNIPPET_NOT_RELEVANT b'68102'
ACTION SNIPPET 10000 270 SNIPPET_NOT_RELEVANT b'1648802'
ACTION QUERY 10000 280 piracy issue
ACTION SERP 10000 285 EXAMINE_SERP
ACTION SNIPPET 10000 288 SEEN_PREVIOUSLY b'1050607'
ACTION SNIPPET 10000 291 SNIPPET_NOT_RELEVANT b'964822'
ACTION SNIPPET 10000 294 SNIPPET_NOT_RELEVANT b'849797'
ACTION SNIPPET 10000 297 SNIPPET_NOT_RELEVANT b'1524044'
ACTION SNIPPET 10000 300 SNIPPET_NOT_RELEVANT b'1456641'
ACTION SNIPPET 10000 303 SNIPPET_RELEVANT b'854121'
ACTION DOC 10000 323 EXAMINING_DOCUMENT b'854121'
ACTION SNIPPET 10000 326 SNIPPET_NOT_RELEVANT b'744005'
ACTION SNIPPET 10000 329 SEEN_PREVIOUSLY b'1523782'
ACTION SNIPPET 10000 332 SNIPPET_RELEVANT b'1597860'
ACTION DOC 10000 352 EXAMINING_DOCUMENT b'1597860'
ACTION SNIPPET 10000 355 SNIPPET_RELEVANT b'1445348'
ACTION DOC 10000 375 EXAMINING_DOCUMENT b'1445348'
ACTION QUERY 10000 385 piracy seek
ACTION SERP 10000 390 EXAMINE_SERP
ACTION SNIPPET 10000 393 SNIPPET_RELEVANT b'1456641'
ACTION DOC 10000 413 EXAMINING_DOCUMENT b'1456641'
ACTION SNIPPET 10000 416 SNIPPET_NOT_RELEVANT b'1524044'
ACTION SNIPPET 10000 419 SNIPPET_RELEVANT b'1799443'
ACTION DOC 10000 439 EXAMINING_DOCUMENT b'1799443'
ACTION SNIPPET 10000 442 SNIPPET_NOT_RELEVANT b'530934'
ACTION SNIPPET 10000 445 SNIPPET_RELEVANT b'168340'
ACTION DOC 10000 465 EXAMINING_DOCUMENT b'168340'
