ACTION QUERY 10000 10 Native American casino
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1229201'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1229201'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1229201'
ACTION SNIPPET 10000 44 SNIPPET_NOT_RELEVANT b'955215'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'751799'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'751799'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1088208'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1088208'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1088208'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1390982'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1390982'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'1390982'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'449033'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'449033'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'449033'
ACTION SNIPPET 10000 148 SNIPPET_NOT_RELEVANT b'1452425'
ACTION SNIPPET 10000 151 SNIPPET_RELEVANT b'1298283'
ACTION DOC 10000 171 EXAMINING_DOCUMENT b'1298283'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'606494'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'606494'
ACTION MARK 10000 197 CONSIDERED_RELEVANT b'606494'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'1528507'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'1528507'
ACTION MARK 10000 223 CONSIDERED_RELEVANT b'1528507'
ACTION SNIPPET 10000 226 SNIPPET_RELEVANT b'1338012'
ACTION DOC 10000 246 EXAMINING_DOCUMENT b'1338012'
ACTION MARK 10000 249 CONSIDERED_RELEVANT b'1338012'
ACTION SNIPPET 10000 252 SNIPPET_RELEVANT b'1035951'
ACTION DOC 10000 272 EXAMINING_DOCUMENT b'1035951'
ACTION SNIPPET 10000 275 SNIPPET_RELEVANT b'1734352'
ACTION DOC 10000 295 EXAMINING_DOCUMENT b'1734352'
ACTION MARK 10000 298 CONSIDERED_RELEVANT b'1734352'
ACTION SNIPPET 10000 301 SNIPPET_RELEVANT b'1528087'
ACTION DOC 10000 321 EXAMINING_DOCUMENT b'1528087'
ACTION MARK 10000 324 CONSIDERED_RELEVANT b'1528087'
ACTION SNIPPET 10000 327 SNIPPET_NOT_RELEVANT b'542030'
ACTION SNIPPET 10000 330 SNIPPET_RELEVANT b'1663305'
ACTION DOC 10000 350 EXAMINING_DOCUMENT b'1663305'
ACTION MARK 10000 353 CONSIDERED_RELEVANT b'1663305'
ACTION SNIPPET 10000 356 SNIPPET_RELEVANT b'1443500'
ACTION DOC 10000 376 EXAMINING_DOCUMENT b'1443500'
ACTION MARK 10000 379 CONSIDERED_RELEVANT b'1443500'
ACTION SNIPPET 10000 382 SNIPPET_NOT_RELEVANT b'967876'
ACTION SNIPPET 10000 385 SNIPPET_RELEVANT b'1455759'
ACTION DOC 10000 405 EXAMINING_DOCUMENT b'1455759'
ACTION MARK 10000 408 CONSIDERED_RELEVANT b'1455759'
ACTION SNIPPET 10000 411 SNIPPET_RELEVANT b'683243'
ACTION DOC 10000 431 EXAMINING_DOCUMENT b'683243'
ACTION MARK 10000 434 CONSIDERED_RELEVANT b'683243'
ACTION QUERY 10000 444 Native American gaming
ACTION SERP 10000 449 EXAMINE_SERP
ACTION SNIPPET 10000 452 SNIPPET_NOT_RELEVANT b'1286816'
ACTION SNIPPET 10000 455 SNIPPET_NOT_RELEVANT b'1304444'
ACTION SNIPPET 10000 458 SNIPPET_RELEVANT b'368650'
ACTION DOC 10000 478 EXAMINING_DOCUMENT b'368650'
ACTION SNIPPET 10000 481 SEEN_PREVIOUSLY b'1229201'
ACTION SNIPPET 10000 484 SNIPPET_RELEVANT b'826423'
ACTION DOC 10000 504 EXAMINING_DOCUMENT b'826423'
ACTION MARK 10000 507 CONSIDERED_RELEVANT b'826423'
ACTION SNIPPET 10000 510 SNIPPET_RELEVANT b'69233'
ACTION DOC 10000 530 EXAMINING_DOCUMENT b'69233'
ACTION SNIPPET 10000 533 SNIPPET_RELEVANT b'360708'
ACTION DOC 10000 553 EXAMINING_DOCUMENT b'360708'
ACTION SNIPPET 10000 556 SNIPPET_RELEVANT b'289342'
ACTION DOC 10000 576 EXAMINING_DOCUMENT b'289342'
ACTION SNIPPET 10000 579 SNIPPET_NOT_RELEVANT b'1767634'
ACTION SNIPPET 10000 582 SNIPPET_RELEVANT b'17426'
ACTION DOC 10000 602 EXAMINING_DOCUMENT b'17426'
ACTION SNIPPET 10000 605 SNIPPET_NOT_RELEVANT b'306202'
ACTION SNIPPET 10000 608 SNIPPET_RELEVANT b'1669187'
ACTION DOC 10000 628 EXAMINING_DOCUMENT b'1669187'
ACTION SNIPPET 10000 631 SNIPPET_NOT_RELEVANT b'1719977'
ACTION SNIPPET 10000 634 SEEN_PREVIOUSLY b'1528507'
ACTION SNIPPET 10000 637 SNIPPET_NOT_RELEVANT b'473203'
ACTION SNIPPET 10000 640 SNIPPET_NOT_RELEVANT b'1102126'
ACTION SNIPPET 10000 643 SNIPPET_RELEVANT b'652850'
ACTION DOC 10000 663 EXAMINING_DOCUMENT b'652850'
ACTION SNIPPET 10000 666 SNIPPET_RELEVANT b'1793106'
ACTION DOC 10000 686 EXAMINING_DOCUMENT b'1793106'
ACTION SNIPPET 10000 689 SNIPPET_NOT_RELEVANT b'955215'
ACTION SNIPPET 10000 692 SNIPPET_NOT_RELEVANT b'1357556'
ACTION QUERY 10000 702 Indian casino
ACTION SERP 10000 707 EXAMINE_SERP
ACTION SNIPPET 10000 710 SNIPPET_NOT_RELEVANT b'1680593'
ACTION SNIPPET 10000 713 SNIPPET_RELEVANT b'1207069'
ACTION DOC 10000 733 EXAMINING_DOCUMENT b'1207069'
ACTION MARK 10000 736 CONSIDERED_RELEVANT b'1207069'
ACTION SNIPPET 10000 739 SNIPPET_NOT_RELEVANT b'905381'
ACTION SNIPPET 10000 742 SNIPPET_RELEVANT b'818435'
ACTION DOC 10000 762 EXAMINING_DOCUMENT b'818435'
ACTION MARK 10000 765 CONSIDERED_RELEVANT b'818435'
ACTION SNIPPET 10000 768 SNIPPET_NOT_RELEVANT b'448619'
ACTION SNIPPET 10000 771 SNIPPET_RELEVANT b'1047842'
ACTION DOC 10000 791 EXAMINING_DOCUMENT b'1047842'
ACTION MARK 10000 794 CONSIDERED_RELEVANT b'1047842'
ACTION SNIPPET 10000 797 SNIPPET_RELEVANT b'1037464'
ACTION DOC 10000 817 EXAMINING_DOCUMENT b'1037464'
ACTION MARK 10000 820 CONSIDERED_RELEVANT b'1037464'
ACTION SNIPPET 10000 823 SNIPPET_NOT_RELEVANT b'587058'
ACTION SNIPPET 10000 826 SNIPPET_RELEVANT b'1259423'
ACTION DOC 10000 846 EXAMINING_DOCUMENT b'1259423'
ACTION MARK 10000 849 CONSIDERED_RELEVANT b'1259423'
ACTION SNIPPET 10000 852 SNIPPET_RELEVANT b'1590186'
ACTION DOC 10000 872 EXAMINING_DOCUMENT b'1590186'
ACTION MARK 10000 875 CONSIDERED_RELEVANT b'1590186'
ACTION SNIPPET 10000 878 SNIPPET_RELEVANT b'687474'
ACTION DOC 10000 898 EXAMINING_DOCUMENT b'687474'
ACTION MARK 10000 901 CONSIDERED_RELEVANT b'687474'
ACTION SNIPPET 10000 904 SEEN_PREVIOUSLY b'606494'
ACTION SNIPPET 10000 907 SNIPPET_NOT_RELEVANT b'586774'
ACTION SNIPPET 10000 910 SNIPPET_NOT_RELEVANT b'784839'
ACTION SNIPPET 10000 913 SNIPPET_RELEVANT b'1417133'
ACTION DOC 10000 933 EXAMINING_DOCUMENT b'1417133'
ACTION MARK 10000 936 CONSIDERED_RELEVANT b'1417133'
ACTION SNIPPET 10000 939 SEEN_PREVIOUSLY b'1298283'
ACTION SNIPPET 10000 942 SNIPPET_RELEVANT b'1195386'
ACTION DOC 10000 962 EXAMINING_DOCUMENT b'1195386'
ACTION MARK 10000 965 CONSIDERED_RELEVANT b'1195386'
ACTION SNIPPET 10000 968 SNIPPET_RELEVANT b'602835'
ACTION DOC 10000 988 EXAMINING_DOCUMENT b'602835'
ACTION MARK 10000 991 CONSIDERED_RELEVANT b'602835'
ACTION SNIPPET 10000 994 SNIPPET_RELEVANT b'1570140'
ACTION DOC 10000 1014 EXAMINING_DOCUMENT b'1570140'
ACTION MARK 10000 1017 CONSIDERED_RELEVANT b'1570140'
ACTION SNIPPET 10000 1020 SNIPPET_RELEVANT b'667323'
ACTION DOC 10000 1040 EXAMINING_DOCUMENT b'667323'
ACTION MARK 10000 1043 CONSIDERED_RELEVANT b'667323'
ACTION QUERY 10000 1053 Tribal gaming
ACTION SERP 10000 1058 EXAMINE_SERP
ACTION SNIPPET 10000 1061 SNIPPET_RELEVANT b'856657'
ACTION DOC 10000 1081 EXAMINING_DOCUMENT b'856657'
ACTION MARK 10000 1084 CONSIDERED_RELEVANT b'856657'
ACTION SNIPPET 10000 1087 SNIPPET_NOT_RELEVANT b'658086'
ACTION SNIPPET 10000 1090 SNIPPET_RELEVANT b'1480432'
ACTION DOC 10000 1110 EXAMINING_DOCUMENT b'1480432'
ACTION SNIPPET 10000 1113 SNIPPET_RELEVANT b'1672210'
ACTION DOC 10000 1133 EXAMINING_DOCUMENT b'1672210'
ACTION SNIPPET 10000 1136 SNIPPET_NOT_RELEVANT b'617630'
ACTION SNIPPET 10000 1139 SNIPPET_RELEVANT b'1275255'
ACTION DOC 10000 1159 EXAMINING_DOCUMENT b'1275255'
ACTION MARK 10000 1162 CONSIDERED_RELEVANT b'1275255'
ACTION SNIPPET 10000 1165 SNIPPET_NOT_RELEVANT b'751635'
ACTION SNIPPET 10000 1168 SNIPPET_RELEVANT b'274126'
ACTION DOC 10000 1188 EXAMINING_DOCUMENT b'274126'
ACTION MARK 10000 1191 CONSIDERED_RELEVANT b'274126'
ACTION SNIPPET 10000 1194 SNIPPET_RELEVANT b'778782'
ACTION DOC 10000 1214 EXAMINING_DOCUMENT b'778782'
ACTION MARK 10000 1217 CONSIDERED_RELEVANT b'778782'
ACTION SNIPPET 10000 1220 SNIPPET_NOT_RELEVANT b'1134211'
ACTION SNIPPET 10000 1223 SEEN_PREVIOUSLY b'1734352'
ACTION SNIPPET 10000 1226 SNIPPET_NOT_RELEVANT b'452496'
ACTION SNIPPET 10000 1229 SNIPPET_RELEVANT b'1321808'
ACTION DOC 10000 1249 EXAMINING_DOCUMENT b'1321808'
ACTION MARK 10000 1252 CONSIDERED_RELEVANT b'1321808'
ACTION SNIPPET 10000 1255 SNIPPET_NOT_RELEVANT b'1852955'
