ACTION QUERY 10000 10 "recycle  automobile tires"
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'676244'
ACTION SNIPPET 10000 21 SNIPPET_RELEVANT b'1397341'
ACTION DOC 10000 41 EXAMINING_DOCUMENT b'1397341'
ACTION MARK 10000 44 CONSIDERED_RELEVANT b'1397341'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'487452'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'487452'
ACTION MARK 10000 70 CONSIDERED_RELEVANT b'487452'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'679902'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'679902'
ACTION SNIPPET 10000 96 SNIPPET_NOT_RELEVANT b'469810'
ACTION SNIPPET 10000 99 SNIPPET_NOT_RELEVANT b'868264'
ACTION SNIPPET 10000 102 SNIPPET_NOT_RELEVANT b'533990'
ACTION SNIPPET 10000 105 SNIPPET_RELEVANT b'715466'
ACTION DOC 10000 125 EXAMINING_DOCUMENT b'715466'
ACTION MARK 10000 128 CONSIDERED_RELEVANT b'715466'
ACTION SNIPPET 10000 131 SNIPPET_NOT_RELEVANT b'235002'
ACTION SNIPPET 10000 134 SNIPPET_NOT_RELEVANT b'1434175'
ACTION QUERY 10000 144 Tire recycling
ACTION SERP 10000 149 EXAMINE_SERP
ACTION SNIPPET 10000 152 SEEN_PREVIOUSLY b'715466'
ACTION SNIPPET 10000 155 SNIPPET_RELEVANT b'353133'
ACTION DOC 10000 175 EXAMINING_DOCUMENT b'353133'
ACTION MARK 10000 178 CONSIDERED_RELEVANT b'353133'
ACTION SNIPPET 10000 181 SNIPPET_RELEVANT b'1492464'
ACTION DOC 10000 201 EXAMINING_DOCUMENT b'1492464'
ACTION MARK 10000 204 CONSIDERED_RELEVANT b'1492464'
ACTION SNIPPET 10000 207 SNIPPET_NOT_RELEVANT b'310505'
ACTION SNIPPET 10000 210 SNIPPET_NOT_RELEVANT b'881584'
ACTION SNIPPET 10000 213 SNIPPET_RELEVANT b'351776'
ACTION DOC 10000 233 EXAMINING_DOCUMENT b'351776'
ACTION MARK 10000 236 CONSIDERED_RELEVANT b'351776'
ACTION SNIPPET 10000 239 SNIPPET_RELEVANT b'1195518'
