ACTION QUERY 10000 10 "art  stolen  forged"
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1234832'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1234832'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1234832'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'858730'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'858730'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'858730'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1606614'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1606614'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1606614'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'875458'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'875458'
ACTION SNIPPET 10000 119 SNIPPET_RELEVANT b'1470574'
ACTION DOC 10000 139 EXAMINING_DOCUMENT b'1470574'
ACTION MARK 10000 142 CONSIDERED_RELEVANT b'1470574'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'825133'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'825133'
ACTION SNIPPET 10000 168 SNIPPET_NOT_RELEVANT b'951825'
ACTION SNIPPET 10000 171 SNIPPET_RELEVANT b'154819'
ACTION DOC 10000 191 EXAMINING_DOCUMENT b'154819'
ACTION SNIPPET 10000 194 SNIPPET_RELEVANT b'1799658'
ACTION DOC 10000 214 EXAMINING_DOCUMENT b'1799658'
ACTION MARK 10000 217 CONSIDERED_RELEVANT b'1799658'
ACTION SNIPPET 10000 220 SNIPPET_RELEVANT b'1729989'
ACTION DOC 10000 240 EXAMINING_DOCUMENT b'1729989'
ACTION SNIPPET 10000 243 SNIPPET_RELEVANT b'1786486'
ACTION DOC 10000 263 EXAMINING_DOCUMENT b'1786486'
ACTION SNIPPET 10000 266 SNIPPET_RELEVANT b'1794609'
ACTION DOC 10000 286 EXAMINING_DOCUMENT b'1794609'
ACTION MARK 10000 289 CONSIDERED_RELEVANT b'1794609'
ACTION SNIPPET 10000 292 SNIPPET_NOT_RELEVANT b'1333216'
ACTION SNIPPET 10000 295 SNIPPET_RELEVANT b'1237592'
ACTION DOC 10000 315 EXAMINING_DOCUMENT b'1237592'
ACTION MARK 10000 318 CONSIDERED_RELEVANT b'1237592'
ACTION SNIPPET 10000 321 SNIPPET_NOT_RELEVANT b'1444189'
ACTION SNIPPET 10000 324 SNIPPET_RELEVANT b'945594'
ACTION DOC 10000 344 EXAMINING_DOCUMENT b'945594'
ACTION SNIPPET 10000 347 SNIPPET_RELEVANT b'1486881'
ACTION DOC 10000 367 EXAMINING_DOCUMENT b'1486881'
ACTION MARK 10000 370 CONSIDERED_RELEVANT b'1486881'
ACTION SNIPPET 10000 373 SNIPPET_NOT_RELEVANT b'155008'
ACTION SNIPPET 10000 376 SNIPPET_NOT_RELEVANT b'258400'
ACTION SNIPPET 10000 379 SNIPPET_RELEVANT b'300331'
ACTION DOC 10000 399 EXAMINING_DOCUMENT b'300331'
ACTION MARK 10000 402 CONSIDERED_RELEVANT b'300331'
ACTION QUERY 10000 412 Art theft
ACTION SERP 10000 417 EXAMINE_SERP
ACTION SNIPPET 10000 420 SNIPPET_RELEVANT b'336413'
ACTION DOC 10000 440 EXAMINING_DOCUMENT b'336413'
ACTION MARK 10000 443 CONSIDERED_RELEVANT b'336413'
ACTION SNIPPET 10000 446 SNIPPET_NOT_RELEVANT b'865357'
ACTION SNIPPET 10000 449 SNIPPET_RELEVANT b'118667'
ACTION DOC 10000 469 EXAMINING_DOCUMENT b'118667'
ACTION SNIPPET 10000 472 SNIPPET_RELEVANT b'230420'
ACTION DOC 10000 492 EXAMINING_DOCUMENT b'230420'
ACTION MARK 10000 495 CONSIDERED_RELEVANT b'230420'
ACTION SNIPPET 10000 498 SNIPPET_RELEVANT b'336185'
ACTION DOC 10000 518 EXAMINING_DOCUMENT b'336185'
ACTION MARK 10000 521 CONSIDERED_RELEVANT b'336185'
ACTION SNIPPET 10000 524 SNIPPET_RELEVANT b'336960'
ACTION DOC 10000 544 EXAMINING_DOCUMENT b'336960'
ACTION MARK 10000 547 CONSIDERED_RELEVANT b'336960'
ACTION SNIPPET 10000 550 SNIPPET_RELEVANT b'118123'
ACTION DOC 10000 570 EXAMINING_DOCUMENT b'118123'
ACTION SNIPPET 10000 573 SNIPPET_NOT_RELEVANT b'1812335'
ACTION SNIPPET 10000 576 SNIPPET_RELEVANT b'1209272'
ACTION DOC 10000 596 EXAMINING_DOCUMENT b'1209272'
ACTION MARK 10000 599 CONSIDERED_RELEVANT b'1209272'
ACTION SNIPPET 10000 602 SNIPPET_NOT_RELEVANT b'1073100'
ACTION SNIPPET 10000 605 SNIPPET_RELEVANT b'1686029'
ACTION DOC 10000 625 EXAMINING_DOCUMENT b'1686029'
ACTION SNIPPET 10000 628 SNIPPET_NOT_RELEVANT b'689544'
ACTION SNIPPET 10000 631 SNIPPET_NOT_RELEVANT b'117649'
ACTION SNIPPET 10000 634 SNIPPET_NOT_RELEVANT b'1782090'
