ACTION QUERY 10000 10 "Greek  philosophy  stoicism"
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1448550'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1448550'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1448550'
ACTION SNIPPET 10000 44 SNIPPET_NOT_RELEVANT b'1349947'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'1810620'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'1810620'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1705690'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1705690'
ACTION SNIPPET 10000 93 SNIPPET_NOT_RELEVANT b'56083'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'122409'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'122409'
ACTION SNIPPET 10000 119 SNIPPET_NOT_RELEVANT b'133620'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'766534'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'766534'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'416199'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'416199'
ACTION MARK 10000 168 CONSIDERED_RELEVANT b'416199'
ACTION SNIPPET 10000 171 SNIPPET_RELEVANT b'1204296'
ACTION DOC 10000 191 EXAMINING_DOCUMENT b'1204296'
ACTION QUERY 10000 201 What is stoicism?
ACTION SERP 10000 206 EXAMINE_SERP
ACTION SNIPPET 10000 209 SEEN_PREVIOUSLY b'1448550'
ACTION SNIPPET 10000 212 SNIPPET_RELEVANT b'1027420'
ACTION DOC 10000 232 EXAMINING_DOCUMENT b'1027420'
ACTION SNIPPET 10000 235 SNIPPET_RELEVANT b'1447352'
ACTION DOC 10000 255 EXAMINING_DOCUMENT b'1447352'
ACTION SNIPPET 10000 258 SNIPPET_NOT_RELEVANT b'1232268'
ACTION SNIPPET 10000 261 SNIPPET_NOT_RELEVANT b'1121453'
ACTION SNIPPET 10000 264 SNIPPET_NOT_RELEVANT b'1685870'
ACTION SNIPPET 10000 267 SNIPPET_RELEVANT b'1325628'
ACTION DOC 10000 287 EXAMINING_DOCUMENT b'1325628'
ACTION SNIPPET 10000 290 SEEN_PREVIOUSLY b'1810620'
ACTION SNIPPET 10000 293 SNIPPET_NOT_RELEVANT b'1001923'
ACTION SNIPPET 10000 296 SNIPPET_NOT_RELEVANT b'242871'
