ACTION QUERY 10000 10 "inventions  scientific discoveries"
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'1215933'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'27298'
ACTION SNIPPET 10000 24 SNIPPET_NOT_RELEVANT b'1045917'
ACTION SNIPPET 10000 27 SNIPPET_NOT_RELEVANT b'133421'
ACTION SNIPPET 10000 30 SNIPPET_NOT_RELEVANT b'1239295'
ACTION SNIPPET 10000 33 SNIPPET_RELEVANT b'759052'
ACTION DOC 10000 53 EXAMINING_DOCUMENT b'759052'
ACTION MARK 10000 56 CONSIDERED_RELEVANT b'759052'
ACTION SNIPPET 10000 59 SNIPPET_NOT_RELEVANT b'604317'
ACTION SNIPPET 10000 62 SNIPPET_NOT_RELEVANT b'436119'
ACTION SNIPPET 10000 65 SNIPPET_NOT_RELEVANT b'1446004'
ACTION SNIPPET 10000 68 SNIPPET_NOT_RELEVANT b'1319590'
ACTION SNIPPET 10000 71 SNIPPET_NOT_RELEVANT b'68363'
ACTION SNIPPET 10000 74 SNIPPET_NOT_RELEVANT b'1413590'
ACTION SNIPPET 10000 77 SNIPPET_NOT_RELEVANT b'746674'
ACTION SNIPPET 10000 80 SNIPPET_NOT_RELEVANT b'1289620'
ACTION SNIPPET 10000 83 SNIPPET_NOT_RELEVANT b'156611'
ACTION SNIPPET 10000 86 SNIPPET_NOT_RELEVANT b'1469531'
ACTION SNIPPET 10000 89 SNIPPET_NOT_RELEVANT b'622877'
ACTION SNIPPET 10000 92 SNIPPET_NOT_RELEVANT b'804359'
ACTION SNIPPET 10000 95 SNIPPET_NOT_RELEVANT b'805091'
ACTION SNIPPET 10000 98 SNIPPET_NOT_RELEVANT b'770557'
ACTION SNIPPET 10000 101 SNIPPET_NOT_RELEVANT b'321290'
ACTION SNIPPET 10000 104 SNIPPET_NOT_RELEVANT b'140437'
ACTION SNIPPET 10000 107 SNIPPET_NOT_RELEVANT b'1160483'
ACTION SNIPPET 10000 110 SNIPPET_NOT_RELEVANT b'230830'
ACTION SNIPPET 10000 113 SNIPPET_NOT_RELEVANT b'885762'
ACTION SNIPPET 10000 116 SNIPPET_NOT_RELEVANT b'554617'
ACTION SNIPPET 10000 119 SNIPPET_RELEVANT b'627257'
ACTION DOC 10000 139 EXAMINING_DOCUMENT b'627257'
ACTION MARK 10000 142 CONSIDERED_RELEVANT b'627257'
ACTION SNIPPET 10000 145 SNIPPET_NOT_RELEVANT b'499994'
ACTION SNIPPET 10000 148 SNIPPET_NOT_RELEVANT b'1779144'
ACTION SNIPPET 10000 151 SNIPPET_NOT_RELEVANT b'367381'
ACTION SNIPPET 10000 154 SNIPPET_NOT_RELEVANT b'974136'
ACTION SNIPPET 10000 157 SNIPPET_NOT_RELEVANT b'925639'
ACTION SNIPPET 10000 160 SNIPPET_NOT_RELEVANT b'1725039'
ACTION SNIPPET 10000 163 SNIPPET_NOT_RELEVANT b'291598'
ACTION SNIPPET 10000 166 SNIPPET_NOT_RELEVANT b'1187627'
ACTION SNIPPET 10000 169 SNIPPET_NOT_RELEVANT b'1285535'
ACTION SNIPPET 10000 172 SNIPPET_NOT_RELEVANT b'238680'
ACTION SNIPPET 10000 175 SNIPPET_NOT_RELEVANT b'1178127'
ACTION SNIPPET 10000 178 SNIPPET_NOT_RELEVANT b'77728'
ACTION SNIPPET 10000 181 SNIPPET_NOT_RELEVANT b'712616'
ACTION SNIPPET 10000 184 SNIPPET_NOT_RELEVANT b'1542848'
ACTION SNIPPET 10000 187 SNIPPET_NOT_RELEVANT b'118888'
ACTION SNIPPET 10000 190 SNIPPET_NOT_RELEVANT b'1576409'
ACTION SNIPPET 10000 193 SNIPPET_NOT_RELEVANT b'1423641'
ACTION SNIPPET 10000 196 SNIPPET_NOT_RELEVANT b'119434'
ACTION SNIPPET 10000 199 SNIPPET_NOT_RELEVANT b'1410353'
ACTION SNIPPET 10000 202 SNIPPET_NOT_RELEVANT b'1276458'
ACTION SNIPPET 10000 205 SNIPPET_NOT_RELEVANT b'398288'
ACTION SNIPPET 10000 208 SNIPPET_RELEVANT b'1237914'
ACTION DOC 10000 228 EXAMINING_DOCUMENT b'1237914'
ACTION MARK 10000 231 CONSIDERED_RELEVANT b'1237914'
ACTION SNIPPET 10000 234 SNIPPET_RELEVANT b'641085'
ACTION DOC 10000 254 EXAMINING_DOCUMENT b'641085'
ACTION MARK 10000 257 CONSIDERED_RELEVANT b'641085'
INFO SERP_END_REACHED 
ACTION QUERY 10000 267 Recent inventions in the medical field
ACTION SERP 10000 272 EXAMINE_SERP
ACTION SNIPPET 10000 275 SNIPPET_NOT_RELEVANT b'398288'
ACTION SNIPPET 10000 278 SNIPPET_NOT_RELEVANT b'1719353'
ACTION SNIPPET 10000 281 SNIPPET_NOT_RELEVANT b'366318'
ACTION SNIPPET 10000 284 SNIPPET_RELEVANT b'446206'
ACTION DOC 10000 304 EXAMINING_DOCUMENT b'446206'
ACTION MARK 10000 307 CONSIDERED_RELEVANT b'446206'
ACTION SNIPPET 10000 310 SNIPPET_NOT_RELEVANT b'1473115'
ACTION SNIPPET 10000 313 SNIPPET_NOT_RELEVANT b'1149242'
ACTION SNIPPET 10000 316 SNIPPET_NOT_RELEVANT b'226292'
ACTION SNIPPET 10000 319 SNIPPET_NOT_RELEVANT b'479291'
ACTION SNIPPET 10000 322 SNIPPET_NOT_RELEVANT b'1364988'
ACTION SNIPPET 10000 325 SNIPPET_NOT_RELEVANT b'350357'
ACTION SNIPPET 10000 328 SNIPPET_NOT_RELEVANT b'554515'
ACTION SNIPPET 10000 331 SNIPPET_RELEVANT b'541826'
ACTION DOC 10000 351 EXAMINING_DOCUMENT b'541826'
ACTION MARK 10000 354 CONSIDERED_RELEVANT b'541826'
ACTION SNIPPET 10000 357 SNIPPET_NOT_RELEVANT b'550277'
ACTION SNIPPET 10000 360 SNIPPET_NOT_RELEVANT b'580451'
ACTION SNIPPET 10000 363 SNIPPET_NOT_RELEVANT b'1110954'
ACTION SNIPPET 10000 366 SNIPPET_NOT_RELEVANT b'515195'
ACTION SNIPPET 10000 369 SNIPPET_NOT_RELEVANT b'642723'
ACTION SNIPPET 10000 372 SNIPPET_NOT_RELEVANT b'276726'
ACTION SNIPPET 10000 375 SNIPPET_NOT_RELEVANT b'1509552'
ACTION SNIPPET 10000 378 SNIPPET_NOT_RELEVANT b'1279236'
ACTION SNIPPET 10000 381 SNIPPET_NOT_RELEVANT b'882735'
ACTION SNIPPET 10000 384 SNIPPET_NOT_RELEVANT b'337484'
ACTION SNIPPET 10000 387 SNIPPET_NOT_RELEVANT b'638629'
ACTION SNIPPET 10000 390 SNIPPET_NOT_RELEVANT b'1702347'
ACTION SNIPPET 10000 393 SNIPPET_NOT_RELEVANT b'879310'
ACTION SNIPPET 10000 396 SNIPPET_NOT_RELEVANT b'221454'
ACTION SNIPPET 10000 399 SNIPPET_NOT_RELEVANT b'714510'
ACTION SNIPPET 10000 402 SNIPPET_NOT_RELEVANT b'994552'
ACTION SNIPPET 10000 405 SNIPPET_NOT_RELEVANT b'1169350'
ACTION SNIPPET 10000 408 SNIPPET_NOT_RELEVANT b'737689'
ACTION SNIPPET 10000 411 SNIPPET_NOT_RELEVANT b'243681'
ACTION SNIPPET 10000 414 SNIPPET_NOT_RELEVANT b'220404'
ACTION SNIPPET 10000 417 SNIPPET_NOT_RELEVANT b'772332'
ACTION SNIPPET 10000 420 SNIPPET_NOT_RELEVANT b'507947'
ACTION SNIPPET 10000 423 SNIPPET_NOT_RELEVANT b'419130'
ACTION SNIPPET 10000 426 SNIPPET_NOT_RELEVANT b'1178198'
ACTION SNIPPET 10000 429 SNIPPET_NOT_RELEVANT b'373658'
ACTION SNIPPET 10000 432 SNIPPET_NOT_RELEVANT b'201501'
ACTION SNIPPET 10000 435 SNIPPET_NOT_RELEVANT b'1637777'
ACTION SNIPPET 10000 438 SNIPPET_NOT_RELEVANT b'83781'
ACTION SNIPPET 10000 441 SNIPPET_NOT_RELEVANT b'136578'
ACTION SNIPPET 10000 444 SNIPPET_NOT_RELEVANT b'1854999'
ACTION SNIPPET 10000 447 SNIPPET_NOT_RELEVANT b'1272058'
ACTION SNIPPET 10000 450 SNIPPET_NOT_RELEVANT b'1108898'
ACTION SNIPPET 10000 453 SNIPPET_RELEVANT b'754262'
ACTION DOC 10000 473 EXAMINING_DOCUMENT b'754262'
ACTION MARK 10000 476 CONSIDERED_RELEVANT b'754262'
ACTION SNIPPET 10000 479 SNIPPET_NOT_RELEVANT b'1094213'
ACTION SNIPPET 10000 482 SNIPPET_NOT_RELEVANT b'1615102'
ACTION SNIPPET 10000 485 SNIPPET_NOT_RELEVANT b'1774042'
ACTION SNIPPET 10000 488 SNIPPET_NOT_RELEVANT b'1825902'
ACTION SNIPPET 10000 491 SNIPPET_NOT_RELEVANT b'1623842'
INFO SERP_END_REACHED 
ACTION QUERY 10000 501 Latest scientific discoveries in genetics
ACTION SERP 10000 506 EXAMINE_SERP
