ACTION QUERY 10000 10 "U.S.  investment  Africa"
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'793940'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'793940'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'793940'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'678215'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'678215'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'678215'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'159599'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'159599'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'159599'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'77703'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'77703'
ACTION SNIPPET 10000 119 SNIPPET_RELEVANT b'716704'
ACTION DOC 10000 139 EXAMINING_DOCUMENT b'716704'
ACTION MARK 10000 142 CONSIDERED_RELEVANT b'716704'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'621721'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'621721'
ACTION MARK 10000 168 CONSIDERED_RELEVANT b'621721'
ACTION SNIPPET 10000 171 SNIPPET_NOT_RELEVANT b'85242'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'1532697'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'1532697'
ACTION MARK 10000 197 CONSIDERED_RELEVANT b'1532697'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'716128'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'716128'
ACTION MARK 10000 223 CONSIDERED_RELEVANT b'716128'
ACTION SNIPPET 10000 226 SNIPPET_RELEVANT b'128684'
ACTION DOC 10000 246 EXAMINING_DOCUMENT b'128684'
ACTION SNIPPET 10000 249 SNIPPET_RELEVANT b'636543'
ACTION DOC 10000 269 EXAMINING_DOCUMENT b'636543'
ACTION MARK 10000 272 CONSIDERED_RELEVANT b'636543'
ACTION SNIPPET 10000 275 SNIPPET_RELEVANT b'115746'
ACTION DOC 10000 295 EXAMINING_DOCUMENT b'115746'
ACTION MARK 10000 298 CONSIDERED_RELEVANT b'115746'
ACTION SNIPPET 10000 301 SNIPPET_NOT_RELEVANT b'301161'
ACTION SNIPPET 10000 304 SNIPPET_NOT_RELEVANT b'47557'
ACTION SNIPPET 10000 307 SNIPPET_NOT_RELEVANT b'326830'
ACTION SNIPPET 10000 310 SNIPPET_RELEVANT b'170086'
ACTION DOC 10000 330 EXAMINING_DOCUMENT b'170086'
ACTION SNIPPET 10000 333 SNIPPET_NOT_RELEVANT b'909406'
ACTION SNIPPET 10000 336 SNIPPET_NOT_RELEVANT b'211310'
ACTION SNIPPET 10000 339 SNIPPET_RELEVANT b'1006949'
ACTION DOC 10000 359 EXAMINING_DOCUMENT b'1006949'
ACTION MARK 10000 362 CONSIDERED_RELEVANT b'1006949'
ACTION SNIPPET 10000 365 SNIPPET_RELEVANT b'937917'
ACTION DOC 10000 385 EXAMINING_DOCUMENT b'937917'
ACTION MARK 10000 388 CONSIDERED_RELEVANT b'937917'
ACTION SNIPPET 10000 391 SNIPPET_NOT_RELEVANT b'334606'
ACTION SNIPPET 10000 394 SNIPPET_RELEVANT b'462481'
ACTION DOC 10000 414 EXAMINING_DOCUMENT b'462481'
ACTION MARK 10000 417 CONSIDERED_RELEVANT b'462481'
ACTION SNIPPET 10000 420 SNIPPET_RELEVANT b'22087'
ACTION DOC 10000 440 EXAMINING_DOCUMENT b'22087'
ACTION SNIPPET 10000 443 SNIPPET_RELEVANT b'643596'
ACTION DOC 10000 463 EXAMINING_DOCUMENT b'643596'
ACTION MARK 10000 466 CONSIDERED_RELEVANT b'643596'
ACTION SNIPPET 10000 469 SNIPPET_RELEVANT b'149601'
ACTION DOC 10000 489 EXAMINING_DOCUMENT b'149601'
ACTION MARK 10000 492 CONSIDERED_RELEVANT b'149601'
ACTION SNIPPET 10000 495 SNIPPET_RELEVANT b'1306631'
ACTION DOC 10000 515 EXAMINING_DOCUMENT b'1306631'
ACTION MARK 10000 518 CONSIDERED_RELEVANT b'1306631'
ACTION SNIPPET 10000 521 SNIPPET_RELEVANT b'619819'
ACTION DOC 10000 541 EXAMINING_DOCUMENT b'619819'
ACTION MARK 10000 544 CONSIDERED_RELEVANT b'619819'
ACTION SNIPPET 10000 547 SNIPPET_NOT_RELEVANT b'396326'
ACTION SNIPPET 10000 550 SNIPPET_RELEVANT b'354088'
ACTION DOC 10000 570 EXAMINING_DOCUMENT b'354088'
ACTION SNIPPET 10000 573 SNIPPET_NOT_RELEVANT b'179922'
ACTION SNIPPET 10000 576 SNIPPET_RELEVANT b'226826'
ACTION DOC 10000 596 EXAMINING_DOCUMENT b'226826'
ACTION SNIPPET 10000 599 SNIPPET_NOT_RELEVANT b'722958'
ACTION SNIPPET 10000 602 SNIPPET_NOT_RELEVANT b'1128638'
ACTION SNIPPET 10000 605 SNIPPET_NOT_RELEVANT b'637425'
ACTION SNIPPET 10000 608 SNIPPET_RELEVANT b'496300'
ACTION DOC 10000 628 EXAMINING_DOCUMENT b'496300'
ACTION SNIPPET 10000 631 SNIPPET_RELEVANT b'223334'
ACTION DOC 10000 651 EXAMINING_DOCUMENT b'223334'
ACTION MARK 10000 654 CONSIDERED_RELEVANT b'223334'
ACTION SNIPPET 10000 657 SNIPPET_RELEVANT b'652497'
ACTION DOC 10000 677 EXAMINING_DOCUMENT b'652497'
ACTION MARK 10000 680 CONSIDERED_RELEVANT b'652497'
ACTION SNIPPET 10000 683 SNIPPET_NOT_RELEVANT b'1246291'
ACTION SNIPPET 10000 686 SNIPPET_NOT_RELEVANT b'49399'
ACTION SNIPPET 10000 689 SNIPPET_RELEVANT b'26277'
ACTION DOC 10000 709 EXAMINING_DOCUMENT b'26277'
ACTION SNIPPET 10000 712 SNIPPET_NOT_RELEVANT b'75119'
ACTION SNIPPET 10000 715 SNIPPET_NOT_RELEVANT b'47252'
ACTION SNIPPET 10000 718 SNIPPET_RELEVANT b'1333177'
ACTION DOC 10000 738 EXAMINING_DOCUMENT b'1333177'
ACTION MARK 10000 741 CONSIDERED_RELEVANT b'1333177'
ACTION SNIPPET 10000 744 SNIPPET_RELEVANT b'141893'
ACTION DOC 10000 764 EXAMINING_DOCUMENT b'141893'
ACTION SNIPPET 10000 767 SNIPPET_RELEVANT b'745673'
ACTION DOC 10000 787 EXAMINING_DOCUMENT b'745673'
ACTION MARK 10000 790 CONSIDERED_RELEVANT b'745673'
ACTION SNIPPET 10000 793 SNIPPET_NOT_RELEVANT b'5056'
ACTION SNIPPET 10000 796 SNIPPET_RELEVANT b'5056'
ACTION DOC 10000 816 EXAMINING_DOCUMENT b'5056'
ACTION SNIPPET 10000 819 SNIPPET_RELEVANT b'692050'
ACTION DOC 10000 839 EXAMINING_DOCUMENT b'692050'
ACTION MARK 10000 842 CONSIDERED_RELEVANT b'692050'
ACTION SNIPPET 10000 845 SNIPPET_RELEVANT b'151707'
ACTION DOC 10000 865 EXAMINING_DOCUMENT b'151707'
ACTION MARK 10000 868 CONSIDERED_RELEVANT b'151707'
ACTION SNIPPET 10000 871 SNIPPET_NOT_RELEVANT b'715631'
INFO SERP_END_REACHED 
ACTION QUERY 10000 881 U.S. foreign direct investment in Africa
ACTION SERP 10000 886 EXAMINE_SERP
ACTION SNIPPET 10000 889 SEEN_PREVIOUSLY b'223334'
ACTION SNIPPET 10000 892 SEEN_PREVIOUSLY b'1532697'
ACTION SNIPPET 10000 895 SEEN_PREVIOUSLY b'716704'
ACTION SNIPPET 10000 898 SEEN_PREVIOUSLY b'151707'
ACTION SNIPPET 10000 901 SNIPPET_NOT_RELEVANT b'23492'
ACTION SNIPPET 10000 904 SNIPPET_NOT_RELEVANT b'396326'
ACTION SNIPPET 10000 907 SNIPPET_RELEVANT b'326830'
ACTION DOC 10000 927 EXAMINING_DOCUMENT b'326830'
ACTION SNIPPET 10000 930 SNIPPET_RELEVANT b'153137'
ACTION DOC 10000 950 EXAMINING_DOCUMENT b'153137'
ACTION SNIPPET 10000 953 SNIPPET_RELEVANT b'1403653'
ACTION DOC 10000 973 EXAMINING_DOCUMENT b'1403653'
ACTION MARK 10000 976 CONSIDERED_RELEVANT b'1403653'
ACTION SNIPPET 10000 979 SNIPPET_NOT_RELEVANT b'1246291'
ACTION SNIPPET 10000 982 SEEN_PREVIOUSLY b'716128'
ACTION SNIPPET 10000 985 SNIPPET_NOT_RELEVANT b'364744'
ACTION SNIPPET 10000 988 SNIPPET_NOT_RELEVANT b'63984'
ACTION SNIPPET 10000 991 SNIPPET_RELEVANT b'1191914'
ACTION DOC 10000 1011 EXAMINING_DOCUMENT b'1191914'
ACTION SNIPPET 10000 1014 SNIPPET_RELEVANT b'7738'
ACTION DOC 10000 1034 EXAMINING_DOCUMENT b'7738'
ACTION SNIPPET 10000 1037 SEEN_PREVIOUSLY b'7738'
ACTION SNIPPET 10000 1040 SNIPPET_RELEVANT b'184729'
ACTION DOC 10000 1060 EXAMINING_DOCUMENT b'184729'
ACTION MARK 10000 1063 CONSIDERED_RELEVANT b'184729'
ACTION SNIPPET 10000 1066 SNIPPET_RELEVANT b'703848'
ACTION DOC 10000 1086 EXAMINING_DOCUMENT b'703848'
ACTION MARK 10000 1089 CONSIDERED_RELEVANT b'703848'
ACTION SNIPPET 10000 1092 SEEN_PREVIOUSLY b'1333177'
ACTION SNIPPET 10000 1095 SNIPPET_NOT_RELEVANT b'250116'
ACTION SNIPPET 10000 1098 SNIPPET_RELEVANT b'327974'
ACTION DOC 10000 1118 EXAMINING_DOCUMENT b'327974'
ACTION SNIPPET 10000 1121 SNIPPET_NOT_RELEVANT b'1639835'
ACTION SNIPPET 10000 1124 SNIPPET_NOT_RELEVANT b'1221177'
ACTION SNIPPET 10000 1127 SNIPPET_NOT_RELEVANT b'328499'
ACTION SNIPPET 10000 1130 SNIPPET_NOT_RELEVANT b'201839'
ACTION SNIPPET 10000 1133 SEEN_PREVIOUSLY b'170086'
ACTION SNIPPET 10000 1136 SNIPPET_NOT_RELEVANT b'837323'
ACTION SNIPPET 10000 1139 SEEN_PREVIOUSLY b'1006949'
ACTION SNIPPET 10000 1142 SNIPPET_NOT_RELEVANT b'85242'
ACTION SNIPPET 10000 1145 SNIPPET_RELEVANT b'426433'
ACTION DOC 10000 1165 EXAMINING_DOCUMENT b'426433'
ACTION SNIPPET 10000 1168 SNIPPET_NOT_RELEVANT b'61469'
ACTION SNIPPET 10000 1171 SNIPPET_RELEVANT b'554233'
ACTION DOC 10000 1191 EXAMINING_DOCUMENT b'554233'
ACTION SNIPPET 10000 1194 SEEN_PREVIOUSLY b'692050'
ACTION SNIPPET 10000 1197 SNIPPET_RELEVANT b'851427'
ACTION DOC 10000 1217 EXAMINING_DOCUMENT b'851427'
ACTION QUERY 10000 1227 Africa-U.S. investment relations
ACTION SERP 10000 1232 EXAMINE_SERP
ACTION SNIPPET 10000 1235 SNIPPET_RELEVANT b'770716'
ACTION DOC 10000 1255 EXAMINING_DOCUMENT b'770716'
ACTION SNIPPET 10000 1258 SNIPPET_RELEVANT b'59671'
ACTION DOC 10000 1278 EXAMINING_DOCUMENT b'59671'
ACTION SNIPPET 10000 1281 SNIPPET_RELEVANT b'350127'
