ACTION QUERY 10000 10 human stampede
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'1315825'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'1450252'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'818047'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'818047'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'492316'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'492316'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1698991'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1698991'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1698991'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'363729'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'363729'
ACTION SNIPPET 10000 119 SNIPPET_RELEVANT b'100763'
ACTION DOC 10000 139 EXAMINING_DOCUMENT b'100763'
ACTION MARK 10000 142 CONSIDERED_RELEVANT b'100763'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'423877'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'423877'
ACTION SNIPPET 10000 168 SNIPPET_RELEVANT b'1285941'
ACTION DOC 10000 188 EXAMINING_DOCUMENT b'1285941'
ACTION MARK 10000 191 CONSIDERED_RELEVANT b'1285941'
ACTION SNIPPET 10000 194 SNIPPET_RELEVANT b'1515218'
ACTION DOC 10000 214 EXAMINING_DOCUMENT b'1515218'
ACTION MARK 10000 217 CONSIDERED_RELEVANT b'1515218'
ACTION SNIPPET 10000 220 SNIPPET_RELEVANT b'127053'
ACTION DOC 10000 240 EXAMINING_DOCUMENT b'127053'
ACTION MARK 10000 243 CONSIDERED_RELEVANT b'127053'
ACTION SNIPPET 10000 246 SNIPPET_RELEVANT b'1789645'
ACTION DOC 10000 266 EXAMINING_DOCUMENT b'1789645'
ACTION MARK 10000 269 CONSIDERED_RELEVANT b'1789645'
ACTION SNIPPET 10000 272 SNIPPET_RELEVANT b'127391'
ACTION DOC 10000 292 EXAMINING_DOCUMENT b'127391'
ACTION MARK 10000 295 CONSIDERED_RELEVANT b'127391'
ACTION SNIPPET 10000 298 SNIPPET_RELEVANT b'1753507'
ACTION DOC 10000 318 EXAMINING_DOCUMENT b'1753507'
ACTION MARK 10000 321 CONSIDERED_RELEVANT b'1753507'
ACTION SNIPPET 10000 324 SNIPPET_NOT_RELEVANT b'1061863'
ACTION SNIPPET 10000 327 SNIPPET_RELEVANT b'808151'
ACTION DOC 10000 347 EXAMINING_DOCUMENT b'808151'
ACTION MARK 10000 350 CONSIDERED_RELEVANT b'808151'
ACTION SNIPPET 10000 353 SNIPPET_RELEVANT b'365725'
ACTION DOC 10000 373 EXAMINING_DOCUMENT b'365725'
ACTION MARK 10000 376 CONSIDERED_RELEVANT b'365725'
ACTION SNIPPET 10000 379 SNIPPET_NOT_RELEVANT b'79150'
ACTION SNIPPET 10000 382 SNIPPET_NOT_RELEVANT b'1466168'
ACTION SNIPPET 10000 385 SNIPPET_RELEVANT b'365604'
ACTION DOC 10000 405 EXAMINING_DOCUMENT b'365604'
ACTION MARK 10000 408 CONSIDERED_RELEVANT b'365604'
ACTION SNIPPET 10000 411 SNIPPET_NOT_RELEVANT b'1393201'
ACTION SNIPPET 10000 414 SNIPPET_RELEVANT b'1475110'
ACTION DOC 10000 434 EXAMINING_DOCUMENT b'1475110'
ACTION MARK 10000 437 CONSIDERED_RELEVANT b'1475110'
ACTION SNIPPET 10000 440 SNIPPET_RELEVANT b'1698889'
ACTION DOC 10000 460 EXAMINING_DOCUMENT b'1698889'
ACTION MARK 10000 463 CONSIDERED_RELEVANT b'1698889'
ACTION SNIPPET 10000 466 SNIPPET_RELEVANT b'746477'
ACTION DOC 10000 486 EXAMINING_DOCUMENT b'746477'
ACTION MARK 10000 489 CONSIDERED_RELEVANT b'746477'
ACTION SNIPPET 10000 492 SNIPPET_RELEVANT b'1004585'
ACTION DOC 10000 512 EXAMINING_DOCUMENT b'1004585'
ACTION MARK 10000 515 CONSIDERED_RELEVANT b'1004585'
ACTION SNIPPET 10000 518 SNIPPET_RELEVANT b'1511264'
ACTION DOC 10000 538 EXAMINING_DOCUMENT b'1511264'
ACTION SNIPPET 10000 541 SNIPPET_RELEVANT b'1467225'
ACTION DOC 10000 561 EXAMINING_DOCUMENT b'1467225'
ACTION MARK 10000 564 CONSIDERED_RELEVANT b'1467225'
ACTION SNIPPET 10000 567 SNIPPET_NOT_RELEVANT b'1547010'
ACTION SNIPPET 10000 570 SNIPPET_RELEVANT b'147204'
ACTION DOC 10000 590 EXAMINING_DOCUMENT b'147204'
ACTION SNIPPET 10000 593 SNIPPET_NOT_RELEVANT b'497598'
ACTION SNIPPET 10000 596 SNIPPET_RELEVANT b'943322'
ACTION DOC 10000 616 EXAMINING_DOCUMENT b'943322'
ACTION SNIPPET 10000 619 SNIPPET_NOT_RELEVANT b'748718'
ACTION SNIPPET 10000 622 SNIPPET_NOT_RELEVANT b'101759'
ACTION SNIPPET 10000 625 SNIPPET_NOT_RELEVANT b'516501'
ACTION SNIPPET 10000 628 SNIPPET_RELEVANT b'1522020'
ACTION DOC 10000 648 EXAMINING_DOCUMENT b'1522020'
ACTION MARK 10000 651 CONSIDERED_RELEVANT b'1522020'
ACTION SNIPPET 10000 654 SNIPPET_RELEVANT b'1293154'
ACTION DOC 10000 674 EXAMINING_DOCUMENT b'1293154'
ACTION MARK 10000 677 CONSIDERED_RELEVANT b'1293154'
ACTION SNIPPET 10000 680 SNIPPET_NOT_RELEVANT b'1555757'
ACTION SNIPPET 10000 683 SNIPPET_NOT_RELEVANT b'1547011'
ACTION SNIPPET 10000 686 SNIPPET_NOT_RELEVANT b'673048'
ACTION SNIPPET 10000 689 SNIPPET_RELEVANT b'1738401'
ACTION DOC 10000 709 EXAMINING_DOCUMENT b'1738401'
ACTION MARK 10000 712 CONSIDERED_RELEVANT b'1738401'
ACTION SNIPPET 10000 715 SNIPPET_NOT_RELEVANT b'731502'
ACTION SNIPPET 10000 718 SNIPPET_NOT_RELEVANT b'278899'
ACTION SNIPPET 10000 721 SNIPPET_NOT_RELEVANT b'36337'
ACTION SNIPPET 10000 724 SNIPPET_RELEVANT b'121675'
ACTION DOC 10000 744 EXAMINING_DOCUMENT b'121675'
ACTION SNIPPET 10000 747 SNIPPET_RELEVANT b'1426186'
ACTION DOC 10000 767 EXAMINING_DOCUMENT b'1426186'
ACTION SNIPPET 10000 770 SNIPPET_NOT_RELEVANT b'328697'
ACTION SNIPPET 10000 773 SNIPPET_RELEVANT b'1156635'
ACTION DOC 10000 793 EXAMINING_DOCUMENT b'1156635'
ACTION SNIPPET 10000 796 SNIPPET_RELEVANT b'369520'
ACTION DOC 10000 816 EXAMINING_DOCUMENT b'369520'
ACTION MARK 10000 819 CONSIDERED_RELEVANT b'369520'
ACTION SNIPPET 10000 822 SNIPPET_RELEVANT b'1698852'
ACTION DOC 10000 842 EXAMINING_DOCUMENT b'1698852'
ACTION MARK 10000 845 CONSIDERED_RELEVANT b'1698852'
ACTION SNIPPET 10000 848 SNIPPET_NOT_RELEVANT b'1019081'
ACTION SNIPPET 10000 851 SNIPPET_NOT_RELEVANT b'729106'
ACTION SNIPPET 10000 854 SNIPPET_RELEVANT b'174054'
ACTION DOC 10000 874 EXAMINING_DOCUMENT b'174054'
ACTION MARK 10000 877 CONSIDERED_RELEVANT b'174054'
ACTION SNIPPET 10000 880 SNIPPET_RELEVANT b'1627493'
ACTION DOC 10000 900 EXAMINING_DOCUMENT b'1627493'
ACTION SNIPPET 10000 903 SNIPPET_RELEVANT b'375728'
ACTION DOC 10000 923 EXAMINING_DOCUMENT b'375728'
ACTION SNIPPET 10000 926 SNIPPET_NOT_RELEVANT b'485041'
ACTION SNIPPET 10000 929 SNIPPET_RELEVANT b'1465986'
ACTION DOC 10000 949 EXAMINING_DOCUMENT b'1465986'
ACTION MARK 10000 952 CONSIDERED_RELEVANT b'1465986'
ACTION SNIPPET 10000 955 SNIPPET_NOT_RELEVANT b'958331'
ACTION SNIPPET 10000 958 SNIPPET_RELEVANT b'497129'
ACTION DOC 10000 978 EXAMINING_DOCUMENT b'497129'
ACTION MARK 10000 981 CONSIDERED_RELEVANT b'497129'
ACTION SNIPPET 10000 984 SNIPPET_RELEVANT b'1345536'
ACTION DOC 10000 1004 EXAMINING_DOCUMENT b'1345536'
ACTION SNIPPET 10000 1007 SNIPPET_RELEVANT b'122234'
ACTION DOC 10000 1027 EXAMINING_DOCUMENT b'122234'
ACTION SNIPPET 10000 1030 SNIPPET_RELEVANT b'1315862'
ACTION DOC 10000 1050 EXAMINING_DOCUMENT b'1315862'
ACTION MARK 10000 1053 CONSIDERED_RELEVANT b'1315862'
ACTION SNIPPET 10000 1056 SNIPPET_RELEVANT b'808800'
ACTION DOC 10000 1076 EXAMINING_DOCUMENT b'808800'
ACTION SNIPPET 10000 1079 SNIPPET_NOT_RELEVANT b'1737053'
ACTION SNIPPET 10000 1082 SNIPPET_RELEVANT b'1731636'
ACTION DOC 10000 1102 EXAMINING_DOCUMENT b'1731636'
ACTION MARK 10000 1105 CONSIDERED_RELEVANT b'1731636'
ACTION SNIPPET 10000 1108 SNIPPET_NOT_RELEVANT b'499916'
ACTION SNIPPET 10000 1111 SNIPPET_NOT_RELEVANT b'681253'
ACTION SNIPPET 10000 1114 SNIPPET_RELEVANT b'1644967'
ACTION DOC 10000 1134 EXAMINING_DOCUMENT b'1644967'
ACTION MARK 10000 1137 CONSIDERED_RELEVANT b'1644967'
ACTION SNIPPET 10000 1140 SNIPPET_NOT_RELEVANT b'252935'
ACTION SNIPPET 10000 1143 SNIPPET_NOT_RELEVANT b'580202'
ACTION SNIPPET 10000 1146 SNIPPET_NOT_RELEVANT b'459087'
ACTION SNIPPET 10000 1149 SNIPPET_RELEVANT b'709907'
ACTION DOC 10000 1169 EXAMINING_DOCUMENT b'709907'
ACTION SNIPPET 10000 1172 SNIPPET_NOT_RELEVANT b'619444'
ACTION SNIPPET 10000 1175 SNIPPET_RELEVANT b'1009032'
ACTION DOC 10000 1195 EXAMINING_DOCUMENT b'1009032'
ACTION SNIPPET 10000 1198 SNIPPET_RELEVANT b'1699122'
ACTION DOC 10000 1218 EXAMINING_DOCUMENT b'1699122'
ACTION MARK 10000 1221 CONSIDERED_RELEVANT b'1699122'
ACTION SNIPPET 10000 1224 SNIPPET_RELEVANT b'1642125'
ACTION DOC 10000 1244 EXAMINING_DOCUMENT b'1642125'
ACTION SNIPPET 10000 1247 SNIPPET_RELEVANT b'1698784'
ACTION DOC 10000 1267 EXAMINING_DOCUMENT b'1698784'
ACTION MARK 10000 1270 CONSIDERED_RELEVANT b'1698784'
ACTION SNIPPET 10000 1273 SNIPPET_RELEVANT b'88690'
ACTION DOC 10000 1293 EXAMINING_DOCUMENT b'88690'
ACTION SNIPPET 10000 1296 SNIPPET_NOT_RELEVANT b'1148102'
ACTION SNIPPET 10000 1299 SNIPPET_RELEVANT b'1783796'
ACTION DOC 10000 1319 EXAMINING_DOCUMENT b'1783796'
ACTION MARK 10000 1322 CONSIDERED_RELEVANT b'1783796'
ACTION SNIPPET 10000 1325 SNIPPET_RELEVANT b'497389'
ACTION DOC 10000 1345 EXAMINING_DOCUMENT b'497389'
ACTION MARK 10000 1348 CONSIDERED_RELEVANT b'497389'
ACTION SNIPPET 10000 1351 SNIPPET_RELEVANT b'500222'
ACTION DOC 10000 1371 EXAMINING_DOCUMENT b'500222'
ACTION SNIPPET 10000 1374 SNIPPET_RELEVANT b'730671'
ACTION DOC 10000 1394 EXAMINING_DOCUMENT b'730671'
