ACTION QUERY 10000 10 Women in Parliaments
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'278069'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'278069'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'278069'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'1652890'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'1652890'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'1652890'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'784875'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'784875'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'784875'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1612526'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1612526'
ACTION SNIPPET 10000 119 SNIPPET_NOT_RELEVANT b'722210'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'573572'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'573572'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'573572'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'1771996'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'1771996'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'1771996'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'279632'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'279632'
ACTION SNIPPET 10000 197 SNIPPET_RELEVANT b'1519223'
ACTION DOC 10000 217 EXAMINING_DOCUMENT b'1519223'
ACTION MARK 10000 220 CONSIDERED_RELEVANT b'1519223'
ACTION SNIPPET 10000 223 SNIPPET_RELEVANT b'885618'
ACTION DOC 10000 243 EXAMINING_DOCUMENT b'885618'
ACTION MARK 10000 246 CONSIDERED_RELEVANT b'885618'
ACTION SNIPPET 10000 249 SNIPPET_RELEVANT b'714723'
ACTION DOC 10000 269 EXAMINING_DOCUMENT b'714723'
ACTION MARK 10000 272 CONSIDERED_RELEVANT b'714723'
ACTION SNIPPET 10000 275 SNIPPET_RELEVANT b'659276'
ACTION DOC 10000 295 EXAMINING_DOCUMENT b'659276'
ACTION MARK 10000 298 CONSIDERED_RELEVANT b'659276'
ACTION SNIPPET 10000 301 SNIPPET_RELEVANT b'1540084'
ACTION DOC 10000 321 EXAMINING_DOCUMENT b'1540084'
ACTION MARK 10000 324 CONSIDERED_RELEVANT b'1540084'
ACTION SNIPPET 10000 327 SNIPPET_NOT_RELEVANT b'667733'
ACTION SNIPPET 10000 330 SNIPPET_RELEVANT b'1294266'
ACTION DOC 10000 350 EXAMINING_DOCUMENT b'1294266'
ACTION MARK 10000 353 CONSIDERED_RELEVANT b'1294266'
ACTION SNIPPET 10000 356 SNIPPET_RELEVANT b'1419003'
ACTION DOC 10000 376 EXAMINING_DOCUMENT b'1419003'
ACTION SNIPPET 10000 379 SNIPPET_RELEVANT b'931833'
ACTION DOC 10000 399 EXAMINING_DOCUMENT b'931833'
ACTION MARK 10000 402 CONSIDERED_RELEVANT b'931833'
ACTION SNIPPET 10000 405 SNIPPET_NOT_RELEVANT b'1751025'
ACTION SNIPPET 10000 408 SNIPPET_RELEVANT b'1673317'
ACTION DOC 10000 428 EXAMINING_DOCUMENT b'1673317'
ACTION MARK 10000 431 CONSIDERED_RELEVANT b'1673317'
ACTION SNIPPET 10000 434 SNIPPET_RELEVANT b'431397'
ACTION DOC 10000 454 EXAMINING_DOCUMENT b'431397'
ACTION MARK 10000 457 CONSIDERED_RELEVANT b'431397'
ACTION QUERY 10000 467 Women Parliaments
ACTION SERP 10000 472 EXAMINE_SERP
ACTION SNIPPET 10000 475 SEEN_PREVIOUSLY b'1652890'
ACTION SNIPPET 10000 478 SEEN_PREVIOUSLY b'784875'
ACTION SNIPPET 10000 481 SEEN_PREVIOUSLY b'278069'
ACTION SNIPPET 10000 484 SEEN_PREVIOUSLY b'573572'
ACTION SNIPPET 10000 487 SEEN_PREVIOUSLY b'1519223'
ACTION SNIPPET 10000 490 SNIPPET_NOT_RELEVANT b'722210'
ACTION SNIPPET 10000 493 SEEN_PREVIOUSLY b'1612526'
ACTION SNIPPET 10000 496 SEEN_PREVIOUSLY b'1771996'
ACTION SNIPPET 10000 499 SEEN_PREVIOUSLY b'1540084'
ACTION SNIPPET 10000 502 SEEN_PREVIOUSLY b'885618'
ACTION SNIPPET 10000 505 SEEN_PREVIOUSLY b'714723'
ACTION SNIPPET 10000 508 SEEN_PREVIOUSLY b'1419003'
ACTION SNIPPET 10000 511 SEEN_PREVIOUSLY b'1294266'
ACTION SNIPPET 10000 514 SEEN_PREVIOUSLY b'279632'
ACTION SNIPPET 10000 517 SNIPPET_NOT_RELEVANT b'633544'
ACTION SNIPPET 10000 520 SEEN_PREVIOUSLY b'431397'
ACTION SNIPPET 10000 523 SEEN_PREVIOUSLY b'931833'
ACTION SNIPPET 10000 526 SNIPPET_RELEVANT b'667733'
ACTION DOC 10000 546 EXAMINING_DOCUMENT b'667733'
ACTION SNIPPET 10000 549 SNIPPET_NOT_RELEVANT b'1078230'
ACTION SNIPPET 10000 552 SEEN_PREVIOUSLY b'1673317'
ACTION QUERY 10000 562 Female MPs
ACTION SERP 10000 567 EXAMINE_SERP
ACTION SNIPPET 10000 570 SNIPPET_RELEVANT b'1641542'
ACTION DOC 10000 590 EXAMINING_DOCUMENT b'1641542'
ACTION SNIPPET 10000 593 SNIPPET_RELEVANT b'82180'
ACTION DOC 10000 613 EXAMINING_DOCUMENT b'82180'
ACTION SNIPPET 10000 616 SNIPPET_RELEVANT b'845350'
ACTION DOC 10000 636 EXAMINING_DOCUMENT b'845350'
ACTION SNIPPET 10000 639 SNIPPET_NOT_RELEVANT b'449442'
ACTION SNIPPET 10000 642 SNIPPET_RELEVANT b'1283564'
ACTION DOC 10000 662 EXAMINING_DOCUMENT b'1283564'
ACTION SNIPPET 10000 665 SNIPPET_NOT_RELEVANT b'845335'
ACTION SNIPPET 10000 668 SNIPPET_RELEVANT b'71383'
ACTION DOC 10000 688 EXAMINING_DOCUMENT b'71383'
ACTION SNIPPET 10000 691 SNIPPET_NOT_RELEVANT b'1169922'
ACTION SNIPPET 10000 694 SNIPPET_NOT_RELEVANT b'1652307'
ACTION SNIPPET 10000 697 SNIPPET_NOT_RELEVANT b'1571479'
ACTION SNIPPET 10000 700 SNIPPET_RELEVANT b'1674484'
ACTION DOC 10000 720 EXAMINING_DOCUMENT b'1674484'
ACTION SNIPPET 10000 723 SNIPPET_RELEVANT b'1620798'
ACTION DOC 10000 743 EXAMINING_DOCUMENT b'1620798'
ACTION SNIPPET 10000 746 SNIPPET_NOT_RELEVANT b'968623'
ACTION SNIPPET 10000 749 SNIPPET_NOT_RELEVANT b'1785094'
ACTION SNIPPET 10000 752 SNIPPET_NOT_RELEVANT b'1059599'
ACTION SNIPPET 10000 755 SNIPPET_RELEVANT b'1427867'
ACTION DOC 10000 775 EXAMINING_DOCUMENT b'1427867'
ACTION SNIPPET 10000 778 SNIPPET_NOT_RELEVANT b'24997'
ACTION SNIPPET 10000 781 SNIPPET_NOT_RELEVANT b'77604'
ACTION SNIPPET 10000 784 SNIPPET_NOT_RELEVANT b'460540'
ACTION SNIPPET 10000 787 SNIPPET_RELEVANT b'1178094'
ACTION DOC 10000 807 EXAMINING_DOCUMENT b'1178094'
ACTION QUERY 10000 817 Women in Politics
ACTION SERP 10000 822 EXAMINE_SERP
ACTION SNIPPET 10000 825 SNIPPET_RELEVANT b'342019'
ACTION DOC 10000 845 EXAMINING_DOCUMENT b'342019'
ACTION SNIPPET 10000 848 SNIPPET_NOT_RELEVANT b'105469'
ACTION SNIPPET 10000 851 SNIPPET_RELEVANT b'346172'
ACTION DOC 10000 871 EXAMINING_DOCUMENT b'346172'
ACTION SNIPPET 10000 874 SNIPPET_NOT_RELEVANT b'158541'
ACTION SNIPPET 10000 877 SNIPPET_RELEVANT b'21715'
