ACTION QUERY 10000 10 Black Bear Attacks
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1754536'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1754536'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1754536'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'634674'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'634674'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'634674'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1707062'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1707062'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1707062'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1319681'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1319681'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'1319681'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'1417346'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'1417346'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'1417346'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'1673457'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'1673457'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'1673457'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'1319228'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'1319228'
ACTION MARK 10000 197 CONSIDERED_RELEVANT b'1319228'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'1417508'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'1417508'
ACTION MARK 10000 223 CONSIDERED_RELEVANT b'1417508'
ACTION SNIPPET 10000 226 SNIPPET_RELEVANT b'52133'
ACTION DOC 10000 246 EXAMINING_DOCUMENT b'52133'
ACTION SNIPPET 10000 249 SNIPPET_RELEVANT b'1417483'
ACTION DOC 10000 269 EXAMINING_DOCUMENT b'1417483'
ACTION MARK 10000 272 CONSIDERED_RELEVANT b'1417483'
ACTION SNIPPET 10000 275 SNIPPET_RELEVANT b'1368283'
ACTION DOC 10000 295 EXAMINING_DOCUMENT b'1368283'
ACTION SNIPPET 10000 298 SNIPPET_RELEVANT b'869631'
ACTION DOC 10000 318 EXAMINING_DOCUMENT b'869631'
ACTION SNIPPET 10000 321 SNIPPET_NOT_RELEVANT b'1511708'
ACTION SNIPPET 10000 324 SNIPPET_RELEVANT b'1625519'
ACTION DOC 10000 344 EXAMINING_DOCUMENT b'1625519'
ACTION MARK 10000 347 CONSIDERED_RELEVANT b'1625519'
ACTION SNIPPET 10000 350 SNIPPET_NOT_RELEVANT b'955982'
ACTION SNIPPET 10000 353 SNIPPET_RELEVANT b'1440589'
ACTION DOC 10000 373 EXAMINING_DOCUMENT b'1440589'
ACTION MARK 10000 376 CONSIDERED_RELEVANT b'1440589'
ACTION SNIPPET 10000 379 SNIPPET_NOT_RELEVANT b'772939'
ACTION SNIPPET 10000 382 SNIPPET_NOT_RELEVANT b'952801'
ACTION SNIPPET 10000 385 SNIPPET_NOT_RELEVANT b'1496709'
ACTION SNIPPET 10000 388 SNIPPET_NOT_RELEVANT b'1491413'
ACTION SNIPPET 10000 391 SNIPPET_NOT_RELEVANT b'752984'
ACTION SNIPPET 10000 394 SNIPPET_RELEVANT b'1205254'
ACTION DOC 10000 414 EXAMINING_DOCUMENT b'1205254'
ACTION MARK 10000 417 CONSIDERED_RELEVANT b'1205254'
ACTION SNIPPET 10000 420 SNIPPET_RELEVANT b'1520752'
ACTION DOC 10000 440 EXAMINING_DOCUMENT b'1520752'
ACTION MARK 10000 443 CONSIDERED_RELEVANT b'1520752'
ACTION SNIPPET 10000 446 SNIPPET_NOT_RELEVANT b'928789'
ACTION SNIPPET 10000 449 SNIPPET_RELEVANT b'1311233'
ACTION DOC 10000 469 EXAMINING_DOCUMENT b'1311233'
ACTION MARK 10000 472 CONSIDERED_RELEVANT b'1311233'
ACTION SNIPPET 10000 475 SNIPPET_RELEVANT b'1039895'
ACTION DOC 10000 495 EXAMINING_DOCUMENT b'1039895'
ACTION MARK 10000 498 CONSIDERED_RELEVANT b'1039895'
ACTION SNIPPET 10000 501 SNIPPET_RELEVANT b'1204309'
ACTION DOC 10000 521 EXAMINING_DOCUMENT b'1204309'
ACTION MARK 10000 524 CONSIDERED_RELEVANT b'1204309'
ACTION SNIPPET 10000 527 SNIPPET_NOT_RELEVANT b'174026'
ACTION SNIPPET 10000 530 SNIPPET_RELEVANT b'176757'
ACTION DOC 10000 550 EXAMINING_DOCUMENT b'176757'
ACTION SNIPPET 10000 553 SNIPPET_NOT_RELEVANT b'217606'
ACTION SNIPPET 10000 556 SNIPPET_RELEVANT b'1850183'
ACTION DOC 10000 576 EXAMINING_DOCUMENT b'1850183'
ACTION MARK 10000 579 CONSIDERED_RELEVANT b'1850183'
ACTION SNIPPET 10000 582 SNIPPET_NOT_RELEVANT b'794195'
ACTION SNIPPET 10000 585 SNIPPET_RELEVANT b'794213'
ACTION DOC 10000 605 EXAMINING_DOCUMENT b'794213'
ACTION MARK 10000 608 CONSIDERED_RELEVANT b'794213'
ACTION SNIPPET 10000 611 SNIPPET_NOT_RELEVANT b'948068'
ACTION SNIPPET 10000 614 SNIPPET_RELEVANT b'1228536'
ACTION DOC 10000 634 EXAMINING_DOCUMENT b'1228536'
ACTION MARK 10000 637 CONSIDERED_RELEVANT b'1228536'
ACTION SNIPPET 10000 640 SNIPPET_RELEVANT b'1399077'
ACTION DOC 10000 660 EXAMINING_DOCUMENT b'1399077'
ACTION MARK 10000 663 CONSIDERED_RELEVANT b'1399077'
ACTION SNIPPET 10000 666 SNIPPET_NOT_RELEVANT b'780876'
ACTION SNIPPET 10000 669 SNIPPET_NOT_RELEVANT b'37945'
ACTION SNIPPET 10000 672 SNIPPET_NOT_RELEVANT b'1298723'
ACTION SNIPPET 10000 675 SNIPPET_RELEVANT b'497482'
ACTION DOC 10000 695 EXAMINING_DOCUMENT b'497482'
ACTION SNIPPET 10000 698 SNIPPET_NOT_RELEVANT b'1619655'
ACTION SNIPPET 10000 701 SNIPPET_RELEVANT b'1541943'
ACTION DOC 10000 721 EXAMINING_DOCUMENT b'1541943'
ACTION MARK 10000 724 CONSIDERED_RELEVANT b'1541943'
