ACTION QUERY 10000 10 Abuses of E-Mail
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'1116169'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'1497837'
ACTION SNIPPET 10000 24 SNIPPET_NOT_RELEVANT b'1238056'
ACTION SNIPPET 10000 27 SNIPPET_RELEVANT b'1389683'
ACTION DOC 10000 47 EXAMINING_DOCUMENT b'1389683'
ACTION SNIPPET 10000 50 SNIPPET_NOT_RELEVANT b'1403816'
ACTION SNIPPET 10000 53 SNIPPET_NOT_RELEVANT b'900017'
ACTION SNIPPET 10000 56 SNIPPET_NOT_RELEVANT b'1006660'
ACTION SNIPPET 10000 59 SNIPPET_NOT_RELEVANT b'1266712'
ACTION SNIPPET 10000 62 SNIPPET_NOT_RELEVANT b'789622'
ACTION SNIPPET 10000 65 SNIPPET_NOT_RELEVANT b'1080876'
ACTION QUERY 10000 75 Email spam
ACTION SERP 10000 80 EXAMINE_SERP
ACTION SNIPPET 10000 83 SNIPPET_NOT_RELEVANT b'1810731'
ACTION SNIPPET 10000 86 SNIPPET_RELEVANT b'1497837'
ACTION DOC 10000 106 EXAMINING_DOCUMENT b'1497837'
ACTION SNIPPET 10000 109 SNIPPET_NOT_RELEVANT b'1484807'
ACTION SNIPPET 10000 112 SNIPPET_NOT_RELEVANT b'1529440'
ACTION SNIPPET 10000 115 SNIPPET_NOT_RELEVANT b'1486312'
ACTION SNIPPET 10000 118 SNIPPET_RELEVANT b'1804432'
ACTION DOC 10000 138 EXAMINING_DOCUMENT b'1804432'
ACTION SNIPPET 10000 141 SNIPPET_NOT_RELEVANT b'1033162'
ACTION SNIPPET 10000 144 SNIPPET_NOT_RELEVANT b'1423347'
ACTION SNIPPET 10000 147 SNIPPET_NOT_RELEVANT b'1485265'
ACTION SNIPPET 10000 150 SNIPPET_NOT_RELEVANT b'1809859'
ACTION QUERY 10000 160 Email phishing
ACTION SERP 10000 165 EXAMINE_SERP
ACTION SNIPPET 10000 168 SNIPPET_NOT_RELEVANT b'1632634'
ACTION SNIPPET 10000 171 SNIPPET_NOT_RELEVANT b'1568808'
ACTION SNIPPET 10000 174 SNIPPET_NOT_RELEVANT b'1506369'
ACTION SNIPPET 10000 177 SNIPPET_NOT_RELEVANT b'1655141'
ACTION SNIPPET 10000 180 SNIPPET_RELEVANT b'1714509'
ACTION DOC 10000 200 EXAMINING_DOCUMENT b'1714509'
ACTION SNIPPET 10000 203 SNIPPET_NOT_RELEVANT b'1678178'
ACTION SNIPPET 10000 206 SNIPPET_NOT_RELEVANT b'1635044'
ACTION SNIPPET 10000 209 SNIPPET_NOT_RELEVANT b'1811739'
ACTION SNIPPET 10000 212 SNIPPET_NOT_RELEVANT b'1604456'
ACTION SNIPPET 10000 215 SNIPPET_NOT_RELEVANT b'1722363'
ACTION QUERY 10000 225 Email fraud
ACTION SERP 10000 230 EXAMINE_SERP
ACTION SNIPPET 10000 233 SEEN_PREVIOUSLY b'1497837'
ACTION SNIPPET 10000 236 SNIPPET_NOT_RELEVANT b'1138262'
ACTION SNIPPET 10000 239 SNIPPET_NOT_RELEVANT b'900017'
ACTION SNIPPET 10000 242 SNIPPET_NOT_RELEVANT b'1266712'
ACTION SNIPPET 10000 245 SNIPPET_NOT_RELEVANT b'1432187'
ACTION SNIPPET 10000 248 SNIPPET_NOT_RELEVANT b'1638224'
ACTION SNIPPET 10000 251 SNIPPET_NOT_RELEVANT b'1800420'
ACTION SNIPPET 10000 254 SNIPPET_NOT_RELEVANT b'1006660'
ACTION SNIPPET 10000 257 SNIPPET_NOT_RELEVANT b'1304473'
ACTION SNIPPET 10000 260 SNIPPET_NOT_RELEVANT b'789622'
ACTION QUERY 10000 270 Email harassment
ACTION SERP 10000 275 EXAMINE_SERP
ACTION SNIPPET 10000 278 SNIPPET_NOT_RELEVANT b'900017'
ACTION SNIPPET 10000 281 SNIPPET_NOT_RELEVANT b'1634528'
ACTION SNIPPET 10000 284 SNIPPET_NOT_RELEVANT b'1080876'
ACTION SNIPPET 10000 287 SNIPPET_NOT_RELEVANT b'1266712'
