ACTION QUERY 10000 10 Health and Computer Terminals
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'108221'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'108221'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'108221'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'438810'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'438810'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'438810'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'383188'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'383188'
ACTION SNIPPET 10000 93 SNIPPET_RELEVANT b'413210'
ACTION DOC 10000 113 EXAMINING_DOCUMENT b'413210'
ACTION MARK 10000 116 CONSIDERED_RELEVANT b'413210'
ACTION SNIPPET 10000 119 SNIPPET_RELEVANT b'407663'
ACTION DOC 10000 139 EXAMINING_DOCUMENT b'407663'
ACTION MARK 10000 142 CONSIDERED_RELEVANT b'407663'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'341907'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'341907'
ACTION MARK 10000 168 CONSIDERED_RELEVANT b'341907'
ACTION SNIPPET 10000 171 SNIPPET_RELEVANT b'160696'
ACTION DOC 10000 191 EXAMINING_DOCUMENT b'160696'
ACTION MARK 10000 194 CONSIDERED_RELEVANT b'160696'
ACTION SNIPPET 10000 197 SNIPPET_RELEVANT b'303535'
ACTION DOC 10000 217 EXAMINING_DOCUMENT b'303535'
ACTION MARK 10000 220 CONSIDERED_RELEVANT b'303535'
ACTION SNIPPET 10000 223 SNIPPET_RELEVANT b'143984'
ACTION DOC 10000 243 EXAMINING_DOCUMENT b'143984'
ACTION SNIPPET 10000 246 SNIPPET_RELEVANT b'151175'
ACTION DOC 10000 266 EXAMINING_DOCUMENT b'151175'
ACTION MARK 10000 269 CONSIDERED_RELEVANT b'151175'
ACTION SNIPPET 10000 272 SNIPPET_RELEVANT b'159117'
ACTION DOC 10000 292 EXAMINING_DOCUMENT b'159117'
ACTION MARK 10000 295 CONSIDERED_RELEVANT b'159117'
ACTION SNIPPET 10000 298 SNIPPET_RELEVANT b'410975'
ACTION DOC 10000 318 EXAMINING_DOCUMENT b'410975'
ACTION MARK 10000 321 CONSIDERED_RELEVANT b'410975'
ACTION SNIPPET 10000 324 SNIPPET_RELEVANT b'307870'
ACTION DOC 10000 344 EXAMINING_DOCUMENT b'307870'
ACTION MARK 10000 347 CONSIDERED_RELEVANT b'307870'
ACTION SNIPPET 10000 350 SNIPPET_RELEVANT b'43875'
ACTION DOC 10000 370 EXAMINING_DOCUMENT b'43875'
ACTION MARK 10000 373 CONSIDERED_RELEVANT b'43875'
ACTION SNIPPET 10000 376 SNIPPET_RELEVANT b'213470'
ACTION DOC 10000 396 EXAMINING_DOCUMENT b'213470'
ACTION MARK 10000 399 CONSIDERED_RELEVANT b'213470'
ACTION SNIPPET 10000 402 SNIPPET_RELEVANT b'411926'
ACTION DOC 10000 422 EXAMINING_DOCUMENT b'411926'
ACTION MARK 10000 425 CONSIDERED_RELEVANT b'411926'
ACTION SNIPPET 10000 428 SNIPPET_RELEVANT b'411417'
ACTION DOC 10000 448 EXAMINING_DOCUMENT b'411417'
ACTION MARK 10000 451 CONSIDERED_RELEVANT b'411417'
ACTION SNIPPET 10000 454 SNIPPET_NOT_RELEVANT b'1245753'
