ACTION QUERY 10000 10 transportation tunnel disasters
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1337126'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1337126'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1337126'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'1337370'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'1337370'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'1337370'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1095422'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1095422'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1095422'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1247024'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1247024'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'1247024'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'898055'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'898055'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'898055'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'1326510'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'1326510'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'1326510'
ACTION SNIPPET 10000 174 SNIPPET_NOT_RELEVANT b'312917'
ACTION SNIPPET 10000 177 SNIPPET_RELEVANT b'1338635'
ACTION DOC 10000 197 EXAMINING_DOCUMENT b'1338635'
ACTION MARK 10000 200 CONSIDERED_RELEVANT b'1338635'
ACTION SNIPPET 10000 203 SNIPPET_NOT_RELEVANT b'1337223'
ACTION SNIPPET 10000 206 SNIPPET_RELEVANT b'521650'
ACTION DOC 10000 226 EXAMINING_DOCUMENT b'521650'
ACTION MARK 10000 229 CONSIDERED_RELEVANT b'521650'
ACTION QUERY 10000 239 Tunnel collapse
ACTION SERP 10000 244 EXAMINE_SERP
ACTION SNIPPET 10000 247 SNIPPET_RELEVANT b'1445528'
ACTION DOC 10000 267 EXAMINING_DOCUMENT b'1445528'
ACTION MARK 10000 270 CONSIDERED_RELEVANT b'1445528'
ACTION SNIPPET 10000 273 SNIPPET_RELEVANT b'1336824'
ACTION DOC 10000 293 EXAMINING_DOCUMENT b'1336824'
ACTION MARK 10000 296 CONSIDERED_RELEVANT b'1336824'
ACTION SNIPPET 10000 299 SNIPPET_RELEVANT b'1635512'
ACTION DOC 10000 319 EXAMINING_DOCUMENT b'1635512'
ACTION MARK 10000 322 CONSIDERED_RELEVANT b'1635512'
ACTION SNIPPET 10000 325 SNIPPET_NOT_RELEVANT b'654841'
ACTION SNIPPET 10000 328 SNIPPET_NOT_RELEVANT b'1543688'
ACTION SNIPPET 10000 331 SNIPPET_RELEVANT b'1801583'
ACTION DOC 10000 351 EXAMINING_DOCUMENT b'1801583'
ACTION MARK 10000 354 CONSIDERED_RELEVANT b'1801583'
ACTION SNIPPET 10000 357 SNIPPET_NOT_RELEVANT b'1741354'
ACTION SNIPPET 10000 360 SEEN_PREVIOUSLY b'1095422'
ACTION SNIPPET 10000 363 SNIPPET_NOT_RELEVANT b'1594858'
ACTION SNIPPET 10000 366 SNIPPET_RELEVANT b'365725'
ACTION DOC 10000 386 EXAMINING_DOCUMENT b'365725'
ACTION MARK 10000 389 CONSIDERED_RELEVANT b'365725'
ACTION QUERY 10000 399 Subway accidents
ACTION SERP 10000 404 EXAMINE_SERP
ACTION SNIPPET 10000 407 SNIPPET_NOT_RELEVANT b'172388'
ACTION SNIPPET 10000 410 SNIPPET_NOT_RELEVANT b'73712'
ACTION SNIPPET 10000 413 SNIPPET_RELEVANT b'430437'
ACTION DOC 10000 433 EXAMINING_DOCUMENT b'430437'
ACTION MARK 10000 436 CONSIDERED_RELEVANT b'430437'
ACTION SNIPPET 10000 439 SNIPPET_RELEVANT b'75735'
ACTION DOC 10000 459 EXAMINING_DOCUMENT b'75735'
ACTION MARK 10000 462 CONSIDERED_RELEVANT b'75735'
ACTION SNIPPET 10000 465 SNIPPET_NOT_RELEVANT b'1645233'
ACTION SNIPPET 10000 468 SNIPPET_NOT_RELEVANT b'775650'
ACTION SNIPPET 10000 471 SNIPPET_RELEVANT b'743037'
ACTION DOC 10000 491 EXAMINING_DOCUMENT b'743037'
ACTION MARK 10000 494 CONSIDERED_RELEVANT b'743037'
ACTION SNIPPET 10000 497 SNIPPET_NOT_RELEVANT b'962934'
ACTION SNIPPET 10000 500 SNIPPET_RELEVANT b'1844998'
ACTION DOC 10000 520 EXAMINING_DOCUMENT b'1844998'
ACTION MARK 10000 523 CONSIDERED_RELEVANT b'1844998'
ACTION SNIPPET 10000 526 SNIPPET_NOT_RELEVANT b'837897'
ACTION QUERY 10000 536 Train derailment
ACTION SERP 10000 541 EXAMINE_SERP
ACTION SNIPPET 10000 544 SNIPPET_NOT_RELEVANT b'661831'
ACTION SNIPPET 10000 547 SNIPPET_NOT_RELEVANT b'112888'
ACTION SNIPPET 10000 550 SNIPPET_NOT_RELEVANT b'831760'
ACTION SNIPPET 10000 553 SNIPPET_NOT_RELEVANT b'1765670'
ACTION SNIPPET 10000 556 SNIPPET_NOT_RELEVANT b'1239717'
ACTION SNIPPET 10000 559 SNIPPET_NOT_RELEVANT b'168624'
ACTION SNIPPET 10000 562 SNIPPET_NOT_RELEVANT b'9260'
ACTION SNIPPET 10000 565 SNIPPET_NOT_RELEVANT b'1379865'
ACTION SNIPPET 10000 568 SNIPPET_NOT_RELEVANT b'872325'
ACTION SNIPPET 10000 571 SNIPPET_NOT_RELEVANT b'704234'
ACTION QUERY 10000 581 Underground explosions
ACTION SERP 10000 586 EXAMINE_SERP
ACTION SNIPPET 10000 589 SNIPPET_NOT_RELEVANT b'93466'
ACTION SNIPPET 10000 592 SNIPPET_NOT_RELEVANT b'173120'
ACTION SNIPPET 10000 595 SNIPPET_NOT_RELEVANT b'1278113'
ACTION SNIPPET 10000 598 SNIPPET_RELEVANT b'1686130'
ACTION DOC 10000 618 EXAMINING_DOCUMENT b'1686130'
ACTION MARK 10000 621 CONSIDERED_RELEVANT b'1686130'
ACTION SNIPPET 10000 624 SNIPPET_NOT_RELEVANT b'172750'
ACTION SNIPPET 10000 627 SNIPPET_NOT_RELEVANT b'28955'
ACTION SNIPPET 10000 630 SNIPPET_NOT_RELEVANT b'59761'
ACTION SNIPPET 10000 633 SNIPPET_NOT_RELEVANT b'296961'
ACTION SNIPPET 10000 636 SNIPPET_NOT_RELEVANT b'1262169'
ACTION SNIPPET 10000 639 SNIPPET_NOT_RELEVANT b'150498'
ACTION QUERY 10000 649 Blocked tunnels
ACTION SERP 10000 654 EXAMINE_SERP
ACTION SNIPPET 10000 657 SNIPPET_NOT_RELEVANT b'758145'
ACTION SNIPPET 10000 660 SNIPPET_NOT_RELEVANT b'1361851'
ACTION SNIPPET 10000 663 SNIPPET_NOT_RELEVANT b'924913'
ACTION SNIPPET 10000 666 SNIPPET_NOT_RELEVANT b'1351480'
ACTION SNIPPET 10000 669 SNIPPET_NOT_RELEVANT b'927008'
ACTION SNIPPET 10000 672 SNIPPET_NOT_RELEVANT b'1378021'
ACTION SNIPPET 10000 675 SEEN_PREVIOUSLY b'1445528'
ACTION SNIPPET 10000 678 SNIPPET_RELEVANT b'1310626'
ACTION DOC 10000 698 EXAMINING_DOCUMENT b'1310626'
ACTION MARK 10000 701 CONSIDERED_RELEVANT b'1310626'
ACTION SNIPPET 10000 704 SNIPPET_NOT_RELEVANT b'925522'
ACTION SNIPPET 10000 707 SNIPPET_RELEVANT b'1777386'
ACTION DOC 10000 727 EXAMINING_DOCUMENT b'1777386'
ACTION MARK 10000 730 CONSIDERED_RELEVANT b'1777386'
ACTION QUERY 10000 740 Flooded subway stations
ACTION SERP 10000 745 EXAMINE_SERP
ACTION SNIPPET 10000 748 SNIPPET_NOT_RELEVANT b'1662412'
ACTION SNIPPET 10000 751 SNIPPET_RELEVANT b'306196'
ACTION DOC 10000 771 EXAMINING_DOCUMENT b'306196'
ACTION MARK 10000 774 CONSIDERED_RELEVANT b'306196'
ACTION SNIPPET 10000 777 SNIPPET_RELEVANT b'306433'
ACTION DOC 10000 797 EXAMINING_DOCUMENT b'306433'
ACTION MARK 10000 800 CONSIDERED_RELEVANT b'306433'
ACTION SNIPPET 10000 803 SNIPPET_NOT_RELEVANT b'774079'
ACTION SNIPPET 10000 806 SNIPPET_NOT_RELEVANT b'1766268'
ACTION SNIPPET 10000 809 SNIPPET_NOT_RELEVANT b'1018713'
ACTION SNIPPET 10000 812 SNIPPET_NOT_RELEVANT b'848673'
ACTION SNIPPET 10000 815 SNIPPET_NOT_RELEVANT b'1727573'
ACTION SNIPPET 10000 818 SNIPPET_NOT_RELEVANT b'575954'
ACTION SNIPPET 10000 821 SNIPPET_NOT_RELEVANT b'275612'
ACTION QUERY 10000 831 Fire in the underwater tunnel
ACTION SERP 10000 836 EXAMINE_SERP
ACTION SNIPPET 10000 839 SNIPPET_RELEVANT b'428823'
ACTION DOC 10000 859 EXAMINING_DOCUMENT b'428823'
ACTION MARK 10000 862 CONSIDERED_RELEVANT b'428823'
ACTION SNIPPET 10000 865 SNIPPET_RELEVANT b'428257'
ACTION DOC 10000 885 EXAMINING_DOCUMENT b'428257'
ACTION MARK 10000 888 CONSIDERED_RELEVANT b'428257'
ACTION SNIPPET 10000 891 SNIPPET_RELEVANT b'1311489'
ACTION DOC 10000 911 EXAMINING_DOCUMENT b'1311489'
ACTION MARK 10000 914 CONSIDERED_RELEVANT b'1311489'
ACTION SNIPPET 10000 917 SEEN_PREVIOUSLY b'1095422'
ACTION SNIPPET 10000 920 SNIPPET_NOT_RELEVANT b'141637'
ACTION SNIPPET 10000 923 SNIPPET_NOT_RELEVANT b'822529'
ACTION SNIPPET 10000 926 SNIPPET_RELEVANT b'1592273'
ACTION DOC 10000 946 EXAMINING_DOCUMENT b'1592273'
ACTION MARK 10000 949 CONSIDERED_RELEVANT b'1592273'
ACTION SNIPPET 10000 952 SNIPPET_RELEVANT b'744415'
ACTION DOC 10000 972 EXAMINING_DOCUMENT b'744415'
ACTION MARK 10000 975 CONSIDERED_RELEVANT b'744415'
ACTION SNIPPET 10000 978 SEEN_PREVIOUSLY b'1337370'
ACTION SNIPPET 10000 981 SNIPPET_NOT_RELEVANT b'849987'
ACTION QUERY 10000 991 Freeway tunnel collapse
ACTION SERP 10000 996 EXAMINE_SERP
ACTION SNIPPET 10000 999 SNIPPET_NOT_RELEVANT b'293172'
ACTION SNIPPET 10000 1002 SNIPPET_NOT_RELEVANT b'113221'
ACTION SNIPPET 10000 1005 SEEN_PREVIOUSLY b'1445528'
ACTION SNIPPET 10000 1008 SNIPPET_NOT_RELEVANT b'298628'
ACTION SNIPPET 10000 1011 SNIPPET_NOT_RELEVANT b'299618'
ACTION SNIPPET 10000 1014 SNIPPET_NOT_RELEVANT b'297987'
ACTION SNIPPET 10000 1017 SNIPPET_NOT_RELEVANT b'664130'
ACTION SNIPPET 10000 1020 SNIPPET_NOT_RELEVANT b'294419'
ACTION SNIPPET 10000 1023 SNIPPET_NOT_RELEVANT b'292428'
ACTION SNIPPET 10000 1026 SNIPPET_NOT_RELEVANT b'1849263'
ACTION QUERY 10000 1036 Crashed train in the tunnel
ACTION SERP 10000 1041 EXAMINE_SERP
ACTION SNIPPET 10000 1044 SNIPPET_NOT_RELEVANT b'941564'
ACTION SNIPPET 10000 1047 SNIPPET_RELEVANT b'92441'
ACTION DOC 10000 1067 EXAMINING_DOCUMENT b'92441'
ACTION MARK 10000 1070 CONSIDERED_RELEVANT b'92441'
ACTION SNIPPET 10000 1073 SNIPPET_RELEVANT b'470046'
ACTION DOC 10000 1093 EXAMINING_DOCUMENT b'470046'
ACTION MARK 10000 1096 CONSIDERED_RELEVANT b'470046'
ACTION SNIPPET 10000 1099 SNIPPET_RELEVANT b'408234'
ACTION DOC 10000 1119 EXAMINING_DOCUMENT b'408234'
ACTION MARK 10000 1122 CONSIDERED_RELEVANT b'408234'
ACTION SNIPPET 10000 1125 SNIPPET_RELEVANT b'332904'
ACTION DOC 10000 1145 EXAMINING_DOCUMENT b'332904'
ACTION MARK 10000 1148 CONSIDERED_RELEVANT b'332904'
ACTION SNIPPET 10000 1151 SNIPPET_RELEVANT b'1246797'
ACTION DOC 10000 1171 EXAMINING_DOCUMENT b'1246797'
ACTION MARK 10000 1174 CONSIDERED_RELEVANT b'1246797'
