ACTION QUERY 10000 10 transportation tunnel disasters
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1337126'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1337126'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1337126'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'1337370'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'1337370'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'1337370'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1095422'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1095422'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1095422'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1247024'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1247024'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'1247024'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'898055'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'898055'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'898055'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'1326510'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'1326510'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'1326510'
ACTION SNIPPET 10000 174 SNIPPET_NOT_RELEVANT b'312917'
ACTION SNIPPET 10000 177 SNIPPET_RELEVANT b'1338635'
ACTION DOC 10000 197 EXAMINING_DOCUMENT b'1338635'
ACTION MARK 10000 200 CONSIDERED_RELEVANT b'1338635'
ACTION SNIPPET 10000 203 SNIPPET_NOT_RELEVANT b'1337223'
ACTION SNIPPET 10000 206 SNIPPET_RELEVANT b'521650'
ACTION DOC 10000 226 EXAMINING_DOCUMENT b'521650'
ACTION MARK 10000 229 CONSIDERED_RELEVANT b'521650'
ACTION QUERY 10000 239 Tunnel collapse
ACTION SERP 10000 244 EXAMINE_SERP
ACTION SNIPPET 10000 247 SNIPPET_RELEVANT b'1445528'
ACTION DOC 10000 267 EXAMINING_DOCUMENT b'1445528'
ACTION MARK 10000 270 CONSIDERED_RELEVANT b'1445528'
ACTION SNIPPET 10000 273 SNIPPET_RELEVANT b'1336824'
ACTION DOC 10000 293 EXAMINING_DOCUMENT b'1336824'
ACTION MARK 10000 296 CONSIDERED_RELEVANT b'1336824'
ACTION SNIPPET 10000 299 SNIPPET_RELEVANT b'1635512'
ACTION DOC 10000 319 EXAMINING_DOCUMENT b'1635512'
ACTION MARK 10000 322 CONSIDERED_RELEVANT b'1635512'
ACTION SNIPPET 10000 325 SNIPPET_NOT_RELEVANT b'654841'
ACTION SNIPPET 10000 328 SNIPPET_NOT_RELEVANT b'1543688'
ACTION SNIPPET 10000 331 SNIPPET_RELEVANT b'1801583'
ACTION DOC 10000 351 EXAMINING_DOCUMENT b'1801583'
ACTION MARK 10000 354 CONSIDERED_RELEVANT b'1801583'
ACTION SNIPPET 10000 357 SNIPPET_NOT_RELEVANT b'1741354'
ACTION SNIPPET 10000 360 SEEN_PREVIOUSLY b'1095422'
ACTION SNIPPET 10000 363 SNIPPET_NOT_RELEVANT b'1594858'
ACTION SNIPPET 10000 366 SNIPPET_RELEVANT b'365725'
ACTION DOC 10000 386 EXAMINING_DOCUMENT b'365725'
ACTION MARK 10000 389 CONSIDERED_RELEVANT b'365725'
ACTION QUERY 10000 399 Subway accidents
ACTION SERP 10000 404 EXAMINE_SERP
ACTION SNIPPET 10000 407 SNIPPET_NOT_RELEVANT b'172388'
ACTION SNIPPET 10000 410 SNIPPET_NOT_RELEVANT b'73712'
ACTION SNIPPET 10000 413 SNIPPET_RELEVANT b'430437'
ACTION DOC 10000 433 EXAMINING_DOCUMENT b'430437'
ACTION MARK 10000 436 CONSIDERED_RELEVANT b'430437'
ACTION SNIPPET 10000 439 SNIPPET_RELEVANT b'75735'
ACTION DOC 10000 459 EXAMINING_DOCUMENT b'75735'
ACTION MARK 10000 462 CONSIDERED_RELEVANT b'75735'
ACTION SNIPPET 10000 465 SNIPPET_NOT_RELEVANT b'1645233'
ACTION SNIPPET 10000 468 SNIPPET_RELEVANT b'775650'
ACTION DOC 10000 488 EXAMINING_DOCUMENT b'775650'
ACTION SNIPPET 10000 491 SNIPPET_RELEVANT b'743037'
ACTION DOC 10000 511 EXAMINING_DOCUMENT b'743037'
ACTION MARK 10000 514 CONSIDERED_RELEVANT b'743037'
ACTION SNIPPET 10000 517 SNIPPET_NOT_RELEVANT b'962934'
ACTION SNIPPET 10000 520 SNIPPET_RELEVANT b'1844998'
ACTION DOC 10000 540 EXAMINING_DOCUMENT b'1844998'
ACTION MARK 10000 543 CONSIDERED_RELEVANT b'1844998'
ACTION SNIPPET 10000 546 SNIPPET_NOT_RELEVANT b'837897'
ACTION QUERY 10000 556 Train derailment
ACTION SERP 10000 561 EXAMINE_SERP
ACTION SNIPPET 10000 564 SNIPPET_NOT_RELEVANT b'661831'
ACTION SNIPPET 10000 567 SNIPPET_NOT_RELEVANT b'112888'
ACTION SNIPPET 10000 570 SNIPPET_NOT_RELEVANT b'831760'
ACTION SNIPPET 10000 573 SNIPPET_NOT_RELEVANT b'1765670'
ACTION SNIPPET 10000 576 SNIPPET_NOT_RELEVANT b'1239717'
ACTION SNIPPET 10000 579 SNIPPET_NOT_RELEVANT b'168624'
ACTION SNIPPET 10000 582 SNIPPET_NOT_RELEVANT b'9260'
ACTION SNIPPET 10000 585 SNIPPET_NOT_RELEVANT b'1379865'
ACTION SNIPPET 10000 588 SNIPPET_NOT_RELEVANT b'872325'
ACTION SNIPPET 10000 591 SNIPPET_NOT_RELEVANT b'704234'
ACTION QUERY 10000 601 Underground explosions
ACTION SERP 10000 606 EXAMINE_SERP
ACTION SNIPPET 10000 609 SNIPPET_NOT_RELEVANT b'93466'
ACTION SNIPPET 10000 612 SNIPPET_NOT_RELEVANT b'173120'
ACTION SNIPPET 10000 615 SNIPPET_NOT_RELEVANT b'1278113'
ACTION SNIPPET 10000 618 SNIPPET_RELEVANT b'1686130'
ACTION DOC 10000 638 EXAMINING_DOCUMENT b'1686130'
ACTION MARK 10000 641 CONSIDERED_RELEVANT b'1686130'
ACTION SNIPPET 10000 644 SNIPPET_RELEVANT b'172750'
ACTION DOC 10000 664 EXAMINING_DOCUMENT b'172750'
ACTION SNIPPET 10000 667 SNIPPET_NOT_RELEVANT b'28955'
ACTION SNIPPET 10000 670 SNIPPET_NOT_RELEVANT b'59761'
ACTION SNIPPET 10000 673 SNIPPET_NOT_RELEVANT b'296961'
ACTION SNIPPET 10000 676 SNIPPET_NOT_RELEVANT b'1262169'
ACTION SNIPPET 10000 679 SNIPPET_RELEVANT b'150498'
ACTION DOC 10000 699 EXAMINING_DOCUMENT b'150498'
ACTION QUERY 10000 709 Blocked tunnels
ACTION SERP 10000 714 EXAMINE_SERP
ACTION SNIPPET 10000 717 SNIPPET_NOT_RELEVANT b'758145'
ACTION SNIPPET 10000 720 SNIPPET_NOT_RELEVANT b'1361851'
ACTION SNIPPET 10000 723 SNIPPET_NOT_RELEVANT b'924913'
ACTION SNIPPET 10000 726 SNIPPET_NOT_RELEVANT b'1351480'
ACTION SNIPPET 10000 729 SNIPPET_NOT_RELEVANT b'927008'
ACTION SNIPPET 10000 732 SNIPPET_NOT_RELEVANT b'1378021'
ACTION SNIPPET 10000 735 SEEN_PREVIOUSLY b'1445528'
ACTION SNIPPET 10000 738 SNIPPET_RELEVANT b'1310626'
ACTION DOC 10000 758 EXAMINING_DOCUMENT b'1310626'
ACTION MARK 10000 761 CONSIDERED_RELEVANT b'1310626'
ACTION SNIPPET 10000 764 SNIPPET_NOT_RELEVANT b'925522'
ACTION SNIPPET 10000 767 SNIPPET_RELEVANT b'1777386'
ACTION DOC 10000 787 EXAMINING_DOCUMENT b'1777386'
ACTION MARK 10000 790 CONSIDERED_RELEVANT b'1777386'
ACTION QUERY 10000 800 Flooded subway stations
ACTION SERP 10000 805 EXAMINE_SERP
ACTION SNIPPET 10000 808 SNIPPET_NOT_RELEVANT b'1662412'
ACTION SNIPPET 10000 811 SNIPPET_RELEVANT b'306196'
ACTION DOC 10000 831 EXAMINING_DOCUMENT b'306196'
ACTION MARK 10000 834 CONSIDERED_RELEVANT b'306196'
ACTION SNIPPET 10000 837 SNIPPET_RELEVANT b'306433'
ACTION DOC 10000 857 EXAMINING_DOCUMENT b'306433'
ACTION MARK 10000 860 CONSIDERED_RELEVANT b'306433'
ACTION SNIPPET 10000 863 SNIPPET_NOT_RELEVANT b'774079'
ACTION SNIPPET 10000 866 SNIPPET_NOT_RELEVANT b'1766268'
ACTION SNIPPET 10000 869 SNIPPET_RELEVANT b'1018713'
ACTION DOC 10000 889 EXAMINING_DOCUMENT b'1018713'
ACTION SNIPPET 10000 892 SNIPPET_NOT_RELEVANT b'848673'
ACTION SNIPPET 10000 895 SNIPPET_NOT_RELEVANT b'1727573'
ACTION SNIPPET 10000 898 SNIPPET_NOT_RELEVANT b'575954'
ACTION SNIPPET 10000 901 SNIPPET_NOT_RELEVANT b'275612'
ACTION QUERY 10000 911 Fire in the underwater tunnel
ACTION SERP 10000 916 EXAMINE_SERP
ACTION SNIPPET 10000 919 SNIPPET_RELEVANT b'428823'
ACTION DOC 10000 939 EXAMINING_DOCUMENT b'428823'
ACTION MARK 10000 942 CONSIDERED_RELEVANT b'428823'
ACTION SNIPPET 10000 945 SNIPPET_RELEVANT b'428257'
ACTION DOC 10000 965 EXAMINING_DOCUMENT b'428257'
ACTION MARK 10000 968 CONSIDERED_RELEVANT b'428257'
ACTION SNIPPET 10000 971 SNIPPET_RELEVANT b'1311489'
ACTION DOC 10000 991 EXAMINING_DOCUMENT b'1311489'
ACTION MARK 10000 994 CONSIDERED_RELEVANT b'1311489'
ACTION SNIPPET 10000 997 SEEN_PREVIOUSLY b'1095422'
ACTION SNIPPET 10000 1000 SNIPPET_NOT_RELEVANT b'141637'
ACTION SNIPPET 10000 1003 SNIPPET_RELEVANT b'822529'
ACTION DOC 10000 1023 EXAMINING_DOCUMENT b'822529'
ACTION SNIPPET 10000 1026 SNIPPET_RELEVANT b'1592273'
ACTION DOC 10000 1046 EXAMINING_DOCUMENT b'1592273'
ACTION MARK 10000 1049 CONSIDERED_RELEVANT b'1592273'
ACTION SNIPPET 10000 1052 SNIPPET_RELEVANT b'744415'
ACTION DOC 10000 1072 EXAMINING_DOCUMENT b'744415'
ACTION MARK 10000 1075 CONSIDERED_RELEVANT b'744415'
ACTION SNIPPET 10000 1078 SEEN_PREVIOUSLY b'1337370'
ACTION SNIPPET 10000 1081 SNIPPET_NOT_RELEVANT b'849987'
ACTION QUERY 10000 1091 Freeway tunnel collapse
ACTION SERP 10000 1096 EXAMINE_SERP
ACTION SNIPPET 10000 1099 SNIPPET_NOT_RELEVANT b'293172'
ACTION SNIPPET 10000 1102 SNIPPET_NOT_RELEVANT b'113221'
ACTION SNIPPET 10000 1105 SEEN_PREVIOUSLY b'1445528'
ACTION SNIPPET 10000 1108 SNIPPET_RELEVANT b'298628'
ACTION DOC 10000 1128 EXAMINING_DOCUMENT b'298628'
ACTION SNIPPET 10000 1131 SNIPPET_NOT_RELEVANT b'299618'
ACTION SNIPPET 10000 1134 SNIPPET_RELEVANT b'297987'
ACTION DOC 10000 1154 EXAMINING_DOCUMENT b'297987'
ACTION SNIPPET 10000 1157 SNIPPET_NOT_RELEVANT b'664130'
ACTION SNIPPET 10000 1160 SNIPPET_NOT_RELEVANT b'294419'
ACTION SNIPPET 10000 1163 SNIPPET_NOT_RELEVANT b'292428'
ACTION SNIPPET 10000 1166 SNIPPET_NOT_RELEVANT b'1849263'
ACTION QUERY 10000 1176 Crashed train in the tunnel
ACTION SERP 10000 1181 EXAMINE_SERP
ACTION SNIPPET 10000 1184 SNIPPET_NOT_RELEVANT b'941564'
ACTION SNIPPET 10000 1187 SNIPPET_RELEVANT b'92441'
ACTION DOC 10000 1207 EXAMINING_DOCUMENT b'92441'
ACTION MARK 10000 1210 CONSIDERED_RELEVANT b'92441'
ACTION SNIPPET 10000 1213 SNIPPET_RELEVANT b'470046'
ACTION DOC 10000 1233 EXAMINING_DOCUMENT b'470046'
ACTION MARK 10000 1236 CONSIDERED_RELEVANT b'470046'
ACTION SNIPPET 10000 1239 SNIPPET_RELEVANT b'408234'
ACTION DOC 10000 1259 EXAMINING_DOCUMENT b'408234'
ACTION MARK 10000 1262 CONSIDERED_RELEVANT b'408234'
