ACTION QUERY 10000 10 Native American casino
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'955215'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'498450'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'659520'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'659520'
ACTION MARK 10000 47 CONSIDERED_RELEVANT b'659520'
ACTION SNIPPET 10000 50 SNIPPET_RELEVANT b'751799'
ACTION DOC 10000 70 EXAMINING_DOCUMENT b'751799'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'1088208'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'1088208'
ACTION MARK 10000 96 CONSIDERED_RELEVANT b'1088208'
ACTION SNIPPET 10000 99 SNIPPET_RELEVANT b'1182706'
ACTION DOC 10000 119 EXAMINING_DOCUMENT b'1182706'
ACTION MARK 10000 122 CONSIDERED_RELEVANT b'1182706'
ACTION SNIPPET 10000 125 SNIPPET_RELEVANT b'687474'
ACTION DOC 10000 145 EXAMINING_DOCUMENT b'687474'
ACTION MARK 10000 148 CONSIDERED_RELEVANT b'687474'
ACTION SNIPPET 10000 151 SNIPPET_RELEVANT b'1663305'
ACTION DOC 10000 171 EXAMINING_DOCUMENT b'1663305'
ACTION MARK 10000 174 CONSIDERED_RELEVANT b'1663305'
ACTION SNIPPET 10000 177 SNIPPET_RELEVANT b'453286'
ACTION DOC 10000 197 EXAMINING_DOCUMENT b'453286'
ACTION MARK 10000 200 CONSIDERED_RELEVANT b'453286'
ACTION SNIPPET 10000 203 SNIPPET_RELEVANT b'1390982'
ACTION DOC 10000 223 EXAMINING_DOCUMENT b'1390982'
ACTION MARK 10000 226 CONSIDERED_RELEVANT b'1390982'
ACTION QUERY 10000 236 Native American gaming
ACTION SERP 10000 241 EXAMINE_SERP
ACTION SNIPPET 10000 244 SEEN_PREVIOUSLY b'751799'
ACTION SNIPPET 10000 247 SNIPPET_RELEVANT b'449033'
ACTION DOC 10000 267 EXAMINING_DOCUMENT b'449033'
ACTION MARK 10000 270 CONSIDERED_RELEVANT b'449033'
ACTION SNIPPET 10000 273 SEEN_PREVIOUSLY b'1390982'
ACTION SNIPPET 10000 276 SNIPPET_RELEVANT b'1229201'
ACTION DOC 10000 296 EXAMINING_DOCUMENT b'1229201'
ACTION MARK 10000 299 CONSIDERED_RELEVANT b'1229201'
ACTION SNIPPET 10000 302 SNIPPET_RELEVANT b'1734352'
ACTION DOC 10000 322 EXAMINING_DOCUMENT b'1734352'
ACTION MARK 10000 325 CONSIDERED_RELEVANT b'1734352'
ACTION SNIPPET 10000 328 SNIPPET_RELEVANT b'826423'
ACTION DOC 10000 348 EXAMINING_DOCUMENT b'826423'
ACTION MARK 10000 351 CONSIDERED_RELEVANT b'826423'
ACTION SNIPPET 10000 354 SNIPPET_NOT_RELEVANT b'955215'
ACTION SNIPPET 10000 357 SNIPPET_RELEVANT b'1102646'
ACTION DOC 10000 377 EXAMINING_DOCUMENT b'1102646'
ACTION SNIPPET 10000 380 SNIPPET_NOT_RELEVANT b'546605'
ACTION SNIPPET 10000 383 SNIPPET_NOT_RELEVANT b'1621567'
ACTION QUERY 10000 393 Indian casino
ACTION SERP 10000 398 EXAMINE_SERP
ACTION SNIPPET 10000 401 SNIPPET_RELEVANT b'1680593'
ACTION DOC 10000 421 EXAMINING_DOCUMENT b'1680593'
ACTION MARK 10000 424 CONSIDERED_RELEVANT b'1680593'
ACTION SNIPPET 10000 427 SNIPPET_RELEVANT b'762607'
ACTION DOC 10000 447 EXAMINING_DOCUMENT b'762607'
ACTION MARK 10000 450 CONSIDERED_RELEVANT b'762607'
ACTION SNIPPET 10000 453 SNIPPET_NOT_RELEVANT b'661685'
ACTION SNIPPET 10000 456 SNIPPET_RELEVANT b'1053779'
ACTION DOC 10000 476 EXAMINING_DOCUMENT b'1053779'
ACTION MARK 10000 479 CONSIDERED_RELEVANT b'1053779'
ACTION SNIPPET 10000 482 SNIPPET_RELEVANT b'1389157'
ACTION DOC 10000 502 EXAMINING_DOCUMENT b'1389157'
ACTION MARK 10000 505 CONSIDERED_RELEVANT b'1389157'
ACTION SNIPPET 10000 508 SNIPPET_RELEVANT b'784839'
ACTION DOC 10000 528 EXAMINING_DOCUMENT b'784839'
ACTION MARK 10000 531 CONSIDERED_RELEVANT b'784839'
ACTION SNIPPET 10000 534 SNIPPET_RELEVANT b'905381'
