ACTION QUERY 10000 10 mainstreaming
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'702081'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'837019'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'1083301'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'1083301'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'1642774'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'1642774'
ACTION SNIPPET 10000 70 SNIPPET_NOT_RELEVANT b'973283'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'892030'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'892030'
ACTION MARK 10000 96 CONSIDERED_RELEVANT b'892030'
ACTION SNIPPET 10000 99 SNIPPET_NOT_RELEVANT b'712327'
ACTION SNIPPET 10000 102 SNIPPET_RELEVANT b'1740481'
ACTION DOC 10000 122 EXAMINING_DOCUMENT b'1740481'
ACTION SNIPPET 10000 125 SNIPPET_RELEVANT b'6649'
ACTION DOC 10000 145 EXAMINING_DOCUMENT b'6649'
ACTION SNIPPET 10000 148 SEEN_PREVIOUSLY b'6649'
ACTION SNIPPET 10000 151 SNIPPET_RELEVANT b'710306'
ACTION DOC 10000 171 EXAMINING_DOCUMENT b'710306'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'712940'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'712940'
ACTION SNIPPET 10000 197 SNIPPET_RELEVANT b'547286'
ACTION DOC 10000 217 EXAMINING_DOCUMENT b'547286'
ACTION QUERY 10000 227 Mainstreaming education
ACTION SERP 10000 232 EXAMINE_SERP
ACTION SNIPPET 10000 235 SEEN_PREVIOUSLY b'1083301'
ACTION SNIPPET 10000 238 SNIPPET_NOT_RELEVANT b'702081'
ACTION SNIPPET 10000 241 SNIPPET_RELEVANT b'959127'
ACTION DOC 10000 261 EXAMINING_DOCUMENT b'959127'
ACTION MARK 10000 264 CONSIDERED_RELEVANT b'959127'
ACTION SNIPPET 10000 267 SNIPPET_RELEVANT b'1079893'
ACTION DOC 10000 287 EXAMINING_DOCUMENT b'1079893'
ACTION MARK 10000 290 CONSIDERED_RELEVANT b'1079893'
ACTION SNIPPET 10000 293 SEEN_PREVIOUSLY b'892030'
ACTION SNIPPET 10000 296 SNIPPET_RELEVANT b'283963'
ACTION DOC 10000 316 EXAMINING_DOCUMENT b'283963'
ACTION MARK 10000 319 CONSIDERED_RELEVANT b'283963'
ACTION SNIPPET 10000 322 SNIPPET_NOT_RELEVANT b'964286'
ACTION SNIPPET 10000 325 SNIPPET_NOT_RELEVANT b'1128203'
ACTION SNIPPET 10000 328 SNIPPET_NOT_RELEVANT b'489302'
ACTION SNIPPET 10000 331 SNIPPET_NOT_RELEVANT b'858752'
ACTION SNIPPET 10000 334 SNIPPET_RELEVANT b'478881'
ACTION DOC 10000 354 EXAMINING_DOCUMENT b'478881'
ACTION MARK 10000 357 CONSIDERED_RELEVANT b'478881'
ACTION SNIPPET 10000 360 SNIPPET_NOT_RELEVANT b'1254871'
ACTION SNIPPET 10000 363 SNIPPET_RELEVANT b'1557431'
ACTION DOC 10000 383 EXAMINING_DOCUMENT b'1557431'
ACTION SNIPPET 10000 386 SNIPPET_RELEVANT b'1464360'
ACTION DOC 10000 406 EXAMINING_DOCUMENT b'1464360'
ACTION MARK 10000 409 CONSIDERED_RELEVANT b'1464360'
ACTION SNIPPET 10000 412 SNIPPET_RELEVANT b'1291260'
ACTION DOC 10000 432 EXAMINING_DOCUMENT b'1291260'
ACTION SNIPPET 10000 435 SNIPPET_RELEVANT b'999722'
ACTION DOC 10000 455 EXAMINING_DOCUMENT b'999722'
ACTION SNIPPET 10000 458 SNIPPET_RELEVANT b'1229966'
ACTION DOC 10000 478 EXAMINING_DOCUMENT b'1229966'
ACTION SNIPPET 10000 481 SNIPPET_RELEVANT b'1114790'
ACTION DOC 10000 501 EXAMINING_DOCUMENT b'1114790'
ACTION MARK 10000 504 CONSIDERED_RELEVANT b'1114790'
ACTION SNIPPET 10000 507 SNIPPET_RELEVANT b'256674'
ACTION DOC 10000 527 EXAMINING_DOCUMENT b'256674'
ACTION SNIPPET 10000 530 SNIPPET_NOT_RELEVANT b'1291259'
ACTION SNIPPET 10000 533 SNIPPET_RELEVANT b'610900'
ACTION DOC 10000 553 EXAMINING_DOCUMENT b'610900'
ACTION SNIPPET 10000 556 SNIPPET_NOT_RELEVANT b'789978'
ACTION SNIPPET 10000 559 SNIPPET_NOT_RELEVANT b'1257197'
ACTION SNIPPET 10000 562 SNIPPET_NOT_RELEVANT b'1289668'
ACTION SNIPPET 10000 565 SNIPPET_RELEVANT b'1388557'
ACTION DOC 10000 585 EXAMINING_DOCUMENT b'1388557'
ACTION SNIPPET 10000 588 SNIPPET_RELEVANT b'1484783'
ACTION DOC 10000 608 EXAMINING_DOCUMENT b'1484783'
ACTION MARK 10000 611 CONSIDERED_RELEVANT b'1484783'
ACTION SNIPPET 10000 614 SNIPPET_NOT_RELEVANT b'888560'
ACTION SNIPPET 10000 617 SNIPPET_NOT_RELEVANT b'1618815'
ACTION SNIPPET 10000 620 SNIPPET_NOT_RELEVANT b'283840'
ACTION SNIPPET 10000 623 SNIPPET_RELEVANT b'891247'
ACTION DOC 10000 643 EXAMINING_DOCUMENT b'891247'
