ACTION QUERY 10000 10 Amazon rain forest
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1500392'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1500392'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1500392'
ACTION SNIPPET 10000 44 SNIPPET_NOT_RELEVANT b'1772332'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'1224353'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'1224353'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'203677'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'203677'
ACTION SNIPPET 10000 93 SNIPPET_RELEVANT b'990884'
ACTION DOC 10000 113 EXAMINING_DOCUMENT b'990884'
ACTION MARK 10000 116 CONSIDERED_RELEVANT b'990884'
ACTION SNIPPET 10000 119 SNIPPET_RELEVANT b'44416'
ACTION DOC 10000 139 EXAMINING_DOCUMENT b'44416'
ACTION MARK 10000 142 CONSIDERED_RELEVANT b'44416'
ACTION SNIPPET 10000 145 SNIPPET_NOT_RELEVANT b'945272'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'946607'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'946607'
ACTION SNIPPET 10000 171 SNIPPET_RELEVANT b'408248'
ACTION DOC 10000 191 EXAMINING_DOCUMENT b'408248'
ACTION SNIPPET 10000 194 SNIPPET_RELEVANT b'1652468'
ACTION DOC 10000 214 EXAMINING_DOCUMENT b'1652468'
ACTION SNIPPET 10000 217 SNIPPET_RELEVANT b'1818922'
ACTION DOC 10000 237 EXAMINING_DOCUMENT b'1818922'
ACTION MARK 10000 240 CONSIDERED_RELEVANT b'1818922'
ACTION SNIPPET 10000 243 SNIPPET_RELEVANT b'241865'
ACTION DOC 10000 263 EXAMINING_DOCUMENT b'241865'
ACTION MARK 10000 266 CONSIDERED_RELEVANT b'241865'
ACTION SNIPPET 10000 269 SNIPPET_RELEVANT b'158643'
ACTION DOC 10000 289 EXAMINING_DOCUMENT b'158643'
ACTION MARK 10000 292 CONSIDERED_RELEVANT b'158643'
ACTION SNIPPET 10000 295 SNIPPET_NOT_RELEVANT b'300990'
ACTION SNIPPET 10000 298 SNIPPET_NOT_RELEVANT b'1046256'
ACTION SNIPPET 10000 301 SNIPPET_RELEVANT b'72032'
ACTION DOC 10000 321 EXAMINING_DOCUMENT b'72032'
ACTION SNIPPET 10000 324 SNIPPET_NOT_RELEVANT b'1773894'
ACTION SNIPPET 10000 327 SNIPPET_NOT_RELEVANT b'456880'
ACTION SNIPPET 10000 330 SNIPPET_RELEVANT b'283773'
ACTION DOC 10000 350 EXAMINING_DOCUMENT b'283773'
ACTION MARK 10000 353 CONSIDERED_RELEVANT b'283773'
ACTION SNIPPET 10000 356 SNIPPET_NOT_RELEVANT b'230057'
ACTION SNIPPET 10000 359 SNIPPET_NOT_RELEVANT b'969998'
ACTION SNIPPET 10000 362 SNIPPET_RELEVANT b'187470'
ACTION DOC 10000 382 EXAMINING_DOCUMENT b'187470'
ACTION MARK 10000 385 CONSIDERED_RELEVANT b'187470'
ACTION SNIPPET 10000 388 SNIPPET_RELEVANT b'807470'
ACTION DOC 10000 408 EXAMINING_DOCUMENT b'807470'
ACTION SNIPPET 10000 411 SNIPPET_NOT_RELEVANT b'862010'
ACTION SNIPPET 10000 414 SNIPPET_RELEVANT b'226800'
ACTION DOC 10000 434 EXAMINING_DOCUMENT b'226800'
ACTION MARK 10000 437 CONSIDERED_RELEVANT b'226800'
ACTION SNIPPET 10000 440 SNIPPET_RELEVANT b'197909'
ACTION DOC 10000 460 EXAMINING_DOCUMENT b'197909'
ACTION SNIPPET 10000 463 SNIPPET_RELEVANT b'797137'
ACTION DOC 10000 483 EXAMINING_DOCUMENT b'797137'
ACTION SNIPPET 10000 486 SNIPPET_NOT_RELEVANT b'796899'
ACTION SNIPPET 10000 489 SNIPPET_RELEVANT b'1523116'
ACTION DOC 10000 509 EXAMINING_DOCUMENT b'1523116'
ACTION SNIPPET 10000 512 SNIPPET_NOT_RELEVANT b'390057'
ACTION SNIPPET 10000 515 SNIPPET_RELEVANT b'1575974'
ACTION DOC 10000 535 EXAMINING_DOCUMENT b'1575974'
ACTION MARK 10000 538 CONSIDERED_RELEVANT b'1575974'
ACTION SNIPPET 10000 541 SNIPPET_NOT_RELEVANT b'216415'
ACTION SNIPPET 10000 544 SNIPPET_RELEVANT b'1073784'
ACTION DOC 10000 564 EXAMINING_DOCUMENT b'1073784'
ACTION MARK 10000 567 CONSIDERED_RELEVANT b'1073784'
ACTION SNIPPET 10000 570 SNIPPET_NOT_RELEVANT b'237481'
ACTION SNIPPET 10000 573 SNIPPET_RELEVANT b'599041'
ACTION DOC 10000 593 EXAMINING_DOCUMENT b'599041'
ACTION SNIPPET 10000 596 SNIPPET_RELEVANT b'977022'
ACTION DOC 10000 616 EXAMINING_DOCUMENT b'977022'
ACTION MARK 10000 619 CONSIDERED_RELEVANT b'977022'
ACTION SNIPPET 10000 622 SNIPPET_RELEVANT b'220834'
ACTION DOC 10000 642 EXAMINING_DOCUMENT b'220834'
ACTION MARK 10000 645 CONSIDERED_RELEVANT b'220834'
ACTION SNIPPET 10000 648 SNIPPET_NOT_RELEVANT b'220124'
ACTION SNIPPET 10000 651 SNIPPET_NOT_RELEVANT b'485304'
ACTION SNIPPET 10000 654 SNIPPET_RELEVANT b'78119'
ACTION DOC 10000 674 EXAMINING_DOCUMENT b'78119'
ACTION SNIPPET 10000 677 SNIPPET_NOT_RELEVANT b'224344'
ACTION SNIPPET 10000 680 SNIPPET_NOT_RELEVANT b'965231'
ACTION SNIPPET 10000 683 SNIPPET_NOT_RELEVANT b'438433'
ACTION SNIPPET 10000 686 SNIPPET_RELEVANT b'1676640'
ACTION DOC 10000 706 EXAMINING_DOCUMENT b'1676640'
ACTION MARK 10000 709 CONSIDERED_RELEVANT b'1676640'
ACTION SNIPPET 10000 712 SNIPPET_RELEVANT b'209093'
ACTION DOC 10000 732 EXAMINING_DOCUMENT b'209093'
ACTION MARK 10000 735 CONSIDERED_RELEVANT b'209093'
ACTION SNIPPET 10000 738 SNIPPET_NOT_RELEVANT b'432815'
ACTION SNIPPET 10000 741 SNIPPET_RELEVANT b'876768'
ACTION DOC 10000 761 EXAMINING_DOCUMENT b'876768'
ACTION SNIPPET 10000 764 SNIPPET_RELEVANT b'170131'
ACTION DOC 10000 784 EXAMINING_DOCUMENT b'170131'
ACTION MARK 10000 787 CONSIDERED_RELEVANT b'170131'
ACTION SNIPPET 10000 790 SNIPPET_RELEVANT b'210198'
ACTION DOC 10000 810 EXAMINING_DOCUMENT b'210198'
ACTION MARK 10000 813 CONSIDERED_RELEVANT b'210198'
ACTION SNIPPET 10000 816 SNIPPET_NOT_RELEVANT b'1079796'
ACTION SNIPPET 10000 819 SNIPPET_NOT_RELEVANT b'282863'
ACTION SNIPPET 10000 822 SNIPPET_NOT_RELEVANT b'224343'
ACTION SNIPPET 10000 825 SNIPPET_RELEVANT b'1523526'
ACTION DOC 10000 845 EXAMINING_DOCUMENT b'1523526'
ACTION SNIPPET 10000 848 SNIPPET_RELEVANT b'206304'
ACTION DOC 10000 868 EXAMINING_DOCUMENT b'206304'
ACTION SNIPPET 10000 871 SNIPPET_NOT_RELEVANT b'274831'
ACTION SNIPPET 10000 874 SNIPPET_NOT_RELEVANT b'348913'
ACTION SNIPPET 10000 877 SNIPPET_NOT_RELEVANT b'1471407'
ACTION SNIPPET 10000 880 SNIPPET_RELEVANT b'426266'
ACTION DOC 10000 900 EXAMINING_DOCUMENT b'426266'
ACTION MARK 10000 903 CONSIDERED_RELEVANT b'426266'
ACTION SNIPPET 10000 906 SNIPPET_RELEVANT b'230833'
ACTION DOC 10000 926 EXAMINING_DOCUMENT b'230833'
ACTION SNIPPET 10000 929 SNIPPET_RELEVANT b'384925'
ACTION DOC 10000 949 EXAMINING_DOCUMENT b'384925'
ACTION SNIPPET 10000 952 SNIPPET_NOT_RELEVANT b'1650675'
ACTION SNIPPET 10000 955 SNIPPET_RELEVANT b'228333'
ACTION DOC 10000 975 EXAMINING_DOCUMENT b'228333'
ACTION MARK 10000 978 CONSIDERED_RELEVANT b'228333'
ACTION SNIPPET 10000 981 SNIPPET_NOT_RELEVANT b'535988'
ACTION SNIPPET 10000 984 SNIPPET_RELEVANT b'323354'
ACTION DOC 10000 1004 EXAMINING_DOCUMENT b'323354'
ACTION MARK 10000 1007 CONSIDERED_RELEVANT b'323354'
ACTION SNIPPET 10000 1010 SNIPPET_NOT_RELEVANT b'264854'
ACTION SNIPPET 10000 1013 SNIPPET_NOT_RELEVANT b'1607276'
ACTION SNIPPET 10000 1016 SNIPPET_RELEVANT b'78500'
ACTION DOC 10000 1036 EXAMINING_DOCUMENT b'78500'
ACTION MARK 10000 1039 CONSIDERED_RELEVANT b'78500'
ACTION SNIPPET 10000 1042 SNIPPET_RELEVANT b'1073903'
ACTION DOC 10000 1062 EXAMINING_DOCUMENT b'1073903'
ACTION MARK 10000 1065 CONSIDERED_RELEVANT b'1073903'
ACTION SNIPPET 10000 1068 SNIPPET_NOT_RELEVANT b'1499350'
ACTION SNIPPET 10000 1071 SNIPPET_NOT_RELEVANT b'376180'
ACTION SNIPPET 10000 1074 SNIPPET_RELEVANT b'1207948'
ACTION DOC 10000 1094 EXAMINING_DOCUMENT b'1207948'
ACTION SNIPPET 10000 1097 SNIPPET_NOT_RELEVANT b'858709'
ACTION SNIPPET 10000 1100 SNIPPET_RELEVANT b'334035'
ACTION DOC 10000 1120 EXAMINING_DOCUMENT b'334035'
ACTION SNIPPET 10000 1123 SNIPPET_RELEVANT b'224951'
ACTION DOC 10000 1143 EXAMINING_DOCUMENT b'224951'
ACTION MARK 10000 1146 CONSIDERED_RELEVANT b'224951'
ACTION SNIPPET 10000 1149 SNIPPET_RELEVANT b'1701879'
ACTION DOC 10000 1169 EXAMINING_DOCUMENT b'1701879'
ACTION MARK 10000 1172 CONSIDERED_RELEVANT b'1701879'
ACTION SNIPPET 10000 1175 SNIPPET_RELEVANT b'330332'
ACTION DOC 10000 1195 EXAMINING_DOCUMENT b'330332'
ACTION MARK 10000 1198 CONSIDERED_RELEVANT b'330332'
ACTION SNIPPET 10000 1201 SNIPPET_RELEVANT b'1162715'
ACTION DOC 10000 1221 EXAMINING_DOCUMENT b'1162715'
ACTION SNIPPET 10000 1224 SNIPPET_NOT_RELEVANT b'281186'
ACTION SNIPPET 10000 1227 SNIPPET_RELEVANT b'623009'
ACTION DOC 10000 1247 EXAMINING_DOCUMENT b'623009'
ACTION SNIPPET 10000 1250 SNIPPET_NOT_RELEVANT b'667636'
ACTION SNIPPET 10000 1253 SNIPPET_RELEVANT b'209944'
ACTION DOC 10000 1273 EXAMINING_DOCUMENT b'209944'
ACTION MARK 10000 1276 CONSIDERED_RELEVANT b'209944'
ACTION SNIPPET 10000 1279 SNIPPET_NOT_RELEVANT b'530836'
ACTION SNIPPET 10000 1282 SNIPPET_NOT_RELEVANT b'377943'
ACTION SNIPPET 10000 1285 SNIPPET_RELEVANT b'966661'
ACTION DOC 10000 1305 EXAMINING_DOCUMENT b'966661'
ACTION SNIPPET 10000 1308 SNIPPET_NOT_RELEVANT b'284654'
ACTION SNIPPET 10000 1311 SNIPPET_RELEVANT b'216460'
ACTION DOC 10000 1331 EXAMINING_DOCUMENT b'216460'
ACTION SNIPPET 10000 1334 SNIPPET_RELEVANT b'45704'
ACTION DOC 10000 1354 EXAMINING_DOCUMENT b'45704'
ACTION SNIPPET 10000 1357 SNIPPET_NOT_RELEVANT b'484781'
ACTION SNIPPET 10000 1360 SNIPPET_RELEVANT b'291741'
ACTION DOC 10000 1380 EXAMINING_DOCUMENT b'291741'
ACTION SNIPPET 10000 1383 SNIPPET_RELEVANT b'1194442'
ACTION DOC 10000 1403 EXAMINING_DOCUMENT b'1194442'
ACTION QUERY 10000 1413 Amazon rainforest wildlife
ACTION SERP 10000 1418 EXAMINE_SERP
ACTION SNIPPET 10000 1421 SEEN_PREVIOUSLY b'72032'
ACTION SNIPPET 10000 1424 SNIPPET_NOT_RELEVANT b'1079796'
ACTION SNIPPET 10000 1427 SNIPPET_NOT_RELEVANT b'1471407'
ACTION SNIPPET 10000 1430 SEEN_PREVIOUSLY b'599041'
ACTION SNIPPET 10000 1433 SNIPPET_NOT_RELEVANT b'797000'
ACTION SNIPPET 10000 1436 SNIPPET_NOT_RELEVANT b'797260'
ACTION SNIPPET 10000 1439 SEEN_PREVIOUSLY b'1224353'
ACTION SNIPPET 10000 1442 SEEN_PREVIOUSLY b'1500392'
ACTION SNIPPET 10000 1445 SNIPPET_RELEVANT b'1013462'
ACTION DOC 10000 1465 EXAMINING_DOCUMENT b'1013462'
ACTION MARK 10000 1468 CONSIDERED_RELEVANT b'1013462'
ACTION SNIPPET 10000 1471 SNIPPET_NOT_RELEVANT b'132539'
ACTION SNIPPET 10000 1474 SNIPPET_RELEVANT b'1009119'
ACTION DOC 10000 1494 EXAMINING_DOCUMENT b'1009119'
ACTION SNIPPET 10000 1497 SNIPPET_RELEVANT b'457048'
ACTION DOC 10000 1517 EXAMINING_DOCUMENT b'457048'
ACTION SNIPPET 10000 1520 SNIPPET_RELEVANT b'1169157'
ACTION DOC 10000 1540 EXAMINING_DOCUMENT b'1169157'
ACTION SNIPPET 10000 1543 SNIPPET_RELEVANT b'175257'
ACTION DOC 10000 1563 EXAMINING_DOCUMENT b'175257'
ACTION MARK 10000 1566 CONSIDERED_RELEVANT b'175257'
ACTION SNIPPET 10000 1569 SNIPPET_NOT_RELEVANT b'969998'
ACTION SNIPPET 10000 1572 SNIPPET_NOT_RELEVANT b'183543'
ACTION SNIPPET 10000 1575 SEEN_PREVIOUSLY b'158643'
ACTION SNIPPET 10000 1578 SNIPPET_NOT_RELEVANT b'1533721'
ACTION SNIPPET 10000 1581 SNIPPET_RELEVANT b'1523132'
ACTION DOC 10000 1601 EXAMINING_DOCUMENT b'1523132'
