ACTION QUERY 10000 10 "Cuba  sugar  exports"
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'670087'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'670087'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'670087'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'669888'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'669888'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'669888'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'811677'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'811677'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'811677'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'223328'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'223328'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'223328'
ACTION SNIPPET 10000 122 SNIPPET_NOT_RELEVANT b'209726'
ACTION SNIPPET 10000 125 SNIPPET_RELEVANT b'930810'
ACTION DOC 10000 145 EXAMINING_DOCUMENT b'930810'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'235921'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'235921'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'235921'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'214550'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'214550'
ACTION MARK 10000 197 CONSIDERED_RELEVANT b'214550'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'157298'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'157298'
ACTION SNIPPET 10000 223 SNIPPET_RELEVANT b'672910'
ACTION DOC 10000 243 EXAMINING_DOCUMENT b'672910'
ACTION SNIPPET 10000 246 SNIPPET_RELEVANT b'162309'
ACTION DOC 10000 266 EXAMINING_DOCUMENT b'162309'
ACTION QUERY 10000 276 Cuba sugar production
ACTION SERP 10000 281 EXAMINE_SERP
ACTION SNIPPET 10000 284 SEEN_PREVIOUSLY b'930810'
ACTION SNIPPET 10000 287 SEEN_PREVIOUSLY b'223328'
ACTION SNIPPET 10000 290 SEEN_PREVIOUSLY b'811677'
ACTION SNIPPET 10000 293 SEEN_PREVIOUSLY b'670087'
ACTION SNIPPET 10000 296 SEEN_PREVIOUSLY b'669888'
ACTION SNIPPET 10000 299 SNIPPET_RELEVANT b'1430341'
ACTION DOC 10000 319 EXAMINING_DOCUMENT b'1430341'
ACTION MARK 10000 322 CONSIDERED_RELEVANT b'1430341'
ACTION SNIPPET 10000 325 SEEN_PREVIOUSLY b'672910'
ACTION SNIPPET 10000 328 SEEN_PREVIOUSLY b'162309'
ACTION SNIPPET 10000 331 SNIPPET_NOT_RELEVANT b'209726'
ACTION SNIPPET 10000 334 SNIPPET_NOT_RELEVANT b'542262'
ACTION SNIPPET 10000 337 SEEN_PREVIOUSLY b'235921'
ACTION SNIPPET 10000 340 SEEN_PREVIOUSLY b'157298'
ACTION SNIPPET 10000 343 SNIPPET_RELEVANT b'202721'
ACTION DOC 10000 363 EXAMINING_DOCUMENT b'202721'
ACTION MARK 10000 366 CONSIDERED_RELEVANT b'202721'
ACTION SNIPPET 10000 369 SNIPPET_RELEVANT b'476208'
ACTION DOC 10000 389 EXAMINING_DOCUMENT b'476208'
ACTION SNIPPET 10000 392 SNIPPET_NOT_RELEVANT b'117236'
ACTION SNIPPET 10000 395 SNIPPET_NOT_RELEVANT b'1343080'
ACTION SNIPPET 10000 398 SNIPPET_NOT_RELEVANT b'405283'
ACTION SNIPPET 10000 401 SNIPPET_NOT_RELEVANT b'811634'
ACTION SNIPPET 10000 404 SNIPPET_NOT_RELEVANT b'111807'
ACTION SNIPPET 10000 407 SNIPPET_NOT_RELEVANT b'867886'
ACTION SNIPPET 10000 410 SEEN_PREVIOUSLY b'214550'
ACTION SNIPPET 10000 413 SNIPPET_RELEVANT b'800584'
ACTION DOC 10000 433 EXAMINING_DOCUMENT b'800584'
ACTION QUERY 10000 443 Cuba sugar industry
ACTION SERP 10000 448 EXAMINE_SERP
ACTION SNIPPET 10000 451 SEEN_PREVIOUSLY b'670087'
ACTION SNIPPET 10000 454 SEEN_PREVIOUSLY b'669888'
ACTION SNIPPET 10000 457 SEEN_PREVIOUSLY b'1430341'
ACTION SNIPPET 10000 460 SEEN_PREVIOUSLY b'672910'
ACTION SNIPPET 10000 463 SEEN_PREVIOUSLY b'930810'
ACTION SNIPPET 10000 466 SEEN_PREVIOUSLY b'223328'
ACTION SNIPPET 10000 469 SEEN_PREVIOUSLY b'811677'
ACTION SNIPPET 10000 472 SNIPPET_NOT_RELEVANT b'1538997'
ACTION SNIPPET 10000 475 SNIPPET_RELEVANT b'209726'
ACTION DOC 10000 495 EXAMINING_DOCUMENT b'209726'
ACTION QUERY 10000 505 Cuba sugar exports
ACTION SERP 10000 510 EXAMINE_SERP
ACTION SNIPPET 10000 513 SEEN_PREVIOUSLY b'670087'
ACTION SNIPPET 10000 516 SEEN_PREVIOUSLY b'669888'
ACTION SNIPPET 10000 519 SEEN_PREVIOUSLY b'811677'
ACTION SNIPPET 10000 522 SEEN_PREVIOUSLY b'223328'
ACTION SNIPPET 10000 525 SEEN_PREVIOUSLY b'209726'
ACTION SNIPPET 10000 528 SEEN_PREVIOUSLY b'930810'
ACTION SNIPPET 10000 531 SEEN_PREVIOUSLY b'235921'
ACTION SNIPPET 10000 534 SEEN_PREVIOUSLY b'214550'
ACTION SNIPPET 10000 537 SEEN_PREVIOUSLY b'157298'
ACTION SNIPPET 10000 540 SEEN_PREVIOUSLY b'672910'
ACTION SNIPPET 10000 543 SEEN_PREVIOUSLY b'162309'
ACTION SNIPPET 10000 546 SNIPPET_RELEVANT b'1343080'
ACTION DOC 10000 566 EXAMINING_DOCUMENT b'1343080'
ACTION QUERY 10000 576 Cuba sugar trade
