ACTION QUERY 10000 10 "art  stolen  forged"
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1470574'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1470574'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1470574'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'1234832'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'1234832'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'1234832'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1237592'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1237592'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1237592'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'858730'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'858730'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'858730'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'300331'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'300331'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'300331'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'449364'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'449364'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'449364'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'1173487'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'1173487'
ACTION MARK 10000 197 CONSIDERED_RELEVANT b'1173487'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'484486'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'484486'
ACTION MARK 10000 223 CONSIDERED_RELEVANT b'484486'
ACTION SNIPPET 10000 226 SNIPPET_RELEVANT b'336960'
ACTION DOC 10000 246 EXAMINING_DOCUMENT b'336960'
ACTION MARK 10000 249 CONSIDERED_RELEVANT b'336960'
ACTION SNIPPET 10000 252 SNIPPET_RELEVANT b'1392968'
ACTION DOC 10000 272 EXAMINING_DOCUMENT b'1392968'
ACTION MARK 10000 275 CONSIDERED_RELEVANT b'1392968'
ACTION QUERY 10000 285 Stolen paintings
ACTION SERP 10000 290 EXAMINE_SERP
ACTION SNIPPET 10000 293 SNIPPET_RELEVANT b'359836'
ACTION DOC 10000 313 EXAMINING_DOCUMENT b'359836'
ACTION MARK 10000 316 CONSIDERED_RELEVANT b'359836'
ACTION SNIPPET 10000 319 SNIPPET_RELEVANT b'1631328'
ACTION DOC 10000 339 EXAMINING_DOCUMENT b'1631328'
ACTION MARK 10000 342 CONSIDERED_RELEVANT b'1631328'
ACTION SNIPPET 10000 345 SNIPPET_RELEVANT b'878985'
ACTION DOC 10000 365 EXAMINING_DOCUMENT b'878985'
ACTION MARK 10000 368 CONSIDERED_RELEVANT b'878985'
ACTION SNIPPET 10000 371 SNIPPET_RELEVANT b'150360'
ACTION DOC 10000 391 EXAMINING_DOCUMENT b'150360'
ACTION MARK 10000 394 CONSIDERED_RELEVANT b'150360'
ACTION SNIPPET 10000 397 SNIPPET_RELEVANT b'158906'
ACTION DOC 10000 417 EXAMINING_DOCUMENT b'158906'
ACTION MARK 10000 420 CONSIDERED_RELEVANT b'158906'
ACTION SNIPPET 10000 423 SNIPPET_NOT_RELEVANT b'1249845'
ACTION SNIPPET 10000 426 SNIPPET_RELEVANT b'134527'
ACTION DOC 10000 446 EXAMINING_DOCUMENT b'134527'
ACTION MARK 10000 449 CONSIDERED_RELEVANT b'134527'
ACTION SNIPPET 10000 452 SEEN_PREVIOUSLY b'336960'
ACTION SNIPPET 10000 455 SNIPPET_RELEVANT b'364527'
ACTION DOC 10000 475 EXAMINING_DOCUMENT b'364527'
ACTION MARK 10000 478 CONSIDERED_RELEVANT b'364527'
