ACTION QUERY 10000 10 "art  stolen  forged"
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1470574'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1470574'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1470574'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'1234832'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'1234832'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'1234832'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1237592'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1237592'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1237592'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'858730'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'858730'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'858730'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'300331'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'300331'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'300331'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'449364'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'449364'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'449364'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'988244'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'988244'
ACTION MARK 10000 197 CONSIDERED_RELEVANT b'988244'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'1173487'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'1173487'
ACTION MARK 10000 223 CONSIDERED_RELEVANT b'1173487'
ACTION SNIPPET 10000 226 SNIPPET_RELEVANT b'104050'
ACTION DOC 10000 246 EXAMINING_DOCUMENT b'104050'
ACTION MARK 10000 249 CONSIDERED_RELEVANT b'104050'
ACTION SNIPPET 10000 252 SNIPPET_RELEVANT b'484486'
ACTION DOC 10000 272 EXAMINING_DOCUMENT b'484486'
ACTION MARK 10000 275 CONSIDERED_RELEVANT b'484486'
ACTION SNIPPET 10000 278 SNIPPET_RELEVANT b'336960'
ACTION DOC 10000 298 EXAMINING_DOCUMENT b'336960'
ACTION MARK 10000 301 CONSIDERED_RELEVANT b'336960'
ACTION SNIPPET 10000 304 SNIPPET_RELEVANT b'1829618'
ACTION DOC 10000 324 EXAMINING_DOCUMENT b'1829618'
ACTION MARK 10000 327 CONSIDERED_RELEVANT b'1829618'
ACTION SNIPPET 10000 330 SNIPPET_RELEVANT b'1392968'
ACTION DOC 10000 350 EXAMINING_DOCUMENT b'1392968'
ACTION MARK 10000 353 CONSIDERED_RELEVANT b'1392968'
ACTION SNIPPET 10000 356 SNIPPET_NOT_RELEVANT b'118667'
ACTION SNIPPET 10000 359 SNIPPET_RELEVANT b'442875'
ACTION DOC 10000 379 EXAMINING_DOCUMENT b'442875'
ACTION MARK 10000 382 CONSIDERED_RELEVANT b'442875'
ACTION SNIPPET 10000 385 SNIPPET_RELEVANT b'298549'
ACTION DOC 10000 405 EXAMINING_DOCUMENT b'298549'
ACTION SNIPPET 10000 408 SNIPPET_RELEVANT b'235021'
ACTION DOC 10000 428 EXAMINING_DOCUMENT b'235021'
ACTION MARK 10000 431 CONSIDERED_RELEVANT b'235021'
ACTION SNIPPET 10000 434 SNIPPET_NOT_RELEVANT b'47206'
ACTION SNIPPET 10000 437 SNIPPET_RELEVANT b'881252'
ACTION DOC 10000 457 EXAMINING_DOCUMENT b'881252'
ACTION MARK 10000 460 CONSIDERED_RELEVANT b'881252'
ACTION SNIPPET 10000 463 SNIPPET_NOT_RELEVANT b'977447'
ACTION QUERY 10000 473 Art theft
ACTION SERP 10000 478 EXAMINE_SERP
