ACTION QUERY 10000 10 "law enforcement  dogs"
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'625971'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'625971'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'625971'
ACTION SNIPPET 10000 44 SNIPPET_NOT_RELEVANT b'768273'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'766842'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'766842'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1279133'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1279133'
ACTION SNIPPET 10000 93 SNIPPET_NOT_RELEVANT b'1126803'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1736507'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1736507'
ACTION SNIPPET 10000 119 SNIPPET_NOT_RELEVANT b'1089743'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'846505'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'846505'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'848079'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'848079'
ACTION QUERY 10000 175 Police k9
ACTION SERP 10000 180 EXAMINE_SERP
ACTION SNIPPET 10000 183 SNIPPET_RELEVANT b'160310'
ACTION DOC 10000 203 EXAMINING_DOCUMENT b'160310'
ACTION SNIPPET 10000 206 SNIPPET_RELEVANT b'1372273'
ACTION DOC 10000 226 EXAMINING_DOCUMENT b'1372273'
ACTION SNIPPET 10000 229 SNIPPET_RELEVANT b'383826'
ACTION DOC 10000 249 EXAMINING_DOCUMENT b'383826'
ACTION SNIPPET 10000 252 SNIPPET_NOT_RELEVANT b'1447473'
ACTION SNIPPET 10000 255 SNIPPET_NOT_RELEVANT b'1703020'
ACTION SNIPPET 10000 258 SNIPPET_NOT_RELEVANT b'1763504'
ACTION SNIPPET 10000 261 SNIPPET_RELEVANT b'280657'
ACTION DOC 10000 281 EXAMINING_DOCUMENT b'280657'
ACTION SNIPPET 10000 284 SNIPPET_NOT_RELEVANT b'1843280'
ACTION SNIPPET 10000 287 SNIPPET_NOT_RELEVANT b'342754'
ACTION QUERY 10000 297 Working dog law enforcement
ACTION SERP 10000 302 EXAMINE_SERP
ACTION SNIPPET 10000 305 SNIPPET_RELEVANT b'1079609'
ACTION DOC 10000 325 EXAMINING_DOCUMENT b'1079609'
ACTION MARK 10000 328 CONSIDERED_RELEVANT b'1079609'
ACTION SNIPPET 10000 331 SEEN_PREVIOUSLY b'625971'
ACTION SNIPPET 10000 334 SNIPPET_NOT_RELEVANT b'521624'
ACTION SNIPPET 10000 337 SNIPPET_RELEVANT b'146052'
ACTION DOC 10000 357 EXAMINING_DOCUMENT b'146052'
ACTION MARK 10000 360 CONSIDERED_RELEVANT b'146052'
ACTION SNIPPET 10000 363 SEEN_PREVIOUSLY b'1736507'
ACTION SNIPPET 10000 366 SNIPPET_NOT_RELEVANT b'271985'
ACTION SNIPPET 10000 369 SNIPPET_RELEVANT b'1126803'
ACTION DOC 10000 389 EXAMINING_DOCUMENT b'1126803'
ACTION SNIPPET 10000 392 SNIPPET_NOT_RELEVANT b'768273'
ACTION SNIPPET 10000 395 SNIPPET_RELEVANT b'63909'
ACTION DOC 10000 415 EXAMINING_DOCUMENT b'63909'
ACTION SNIPPET 10000 418 SNIPPET_RELEVANT b'1089743'
ACTION DOC 10000 438 EXAMINING_DOCUMENT b'1089743'
ACTION SNIPPET 10000 441 SEEN_PREVIOUSLY b'1279133'
ACTION SNIPPET 10000 444 SEEN_PREVIOUSLY b'848079'
ACTION SNIPPET 10000 447 SNIPPET_RELEVANT b'923876'
ACTION DOC 10000 467 EXAMINING_DOCUMENT b'923876'
ACTION SNIPPET 10000 470 SEEN_PREVIOUSLY b'766842'
ACTION QUERY 10000 480 Tactical dog training
ACTION SERP 10000 485 EXAMINE_SERP
ACTION SNIPPET 10000 488 SNIPPET_RELEVANT b'1488583'
ACTION DOC 10000 508 EXAMINING_DOCUMENT b'1488583'
ACTION MARK 10000 511 CONSIDERED_RELEVANT b'1488583'
ACTION SNIPPET 10000 514 SNIPPET_RELEVANT b'1798342'
ACTION DOC 10000 534 EXAMINING_DOCUMENT b'1798342'
ACTION MARK 10000 537 CONSIDERED_RELEVANT b'1798342'
ACTION SNIPPET 10000 540 SNIPPET_NOT_RELEVANT b'1451194'
ACTION SNIPPET 10000 543 SNIPPET_RELEVANT b'1526654'
ACTION DOC 10000 563 EXAMINING_DOCUMENT b'1526654'
ACTION SNIPPET 10000 566 SNIPPET_NOT_RELEVANT b'1297200'
ACTION SNIPPET 10000 569 SNIPPET_NOT_RELEVANT b'1740473'
ACTION SNIPPET 10000 572 SNIPPET_NOT_RELEVANT b'1723964'
ACTION SNIPPET 10000 575 SNIPPET_RELEVANT b'1776821'
ACTION DOC 10000 595 EXAMINING_DOCUMENT b'1776821'
ACTION SNIPPET 10000 598 SNIPPET_RELEVANT b'1131189'
ACTION DOC 10000 618 EXAMINING_DOCUMENT b'1131189'
ACTION MARK 10000 621 CONSIDERED_RELEVANT b'1131189'
ACTION SNIPPET 10000 624 SNIPPET_NOT_RELEVANT b'429818'
ACTION SNIPPET 10000 627 SNIPPET_NOT_RELEVANT b'442971'
ACTION SNIPPET 10000 630 SNIPPET_NOT_RELEVANT b'620123'
ACTION SNIPPET 10000 633 SNIPPET_RELEVANT b'836428'
ACTION DOC 10000 653 EXAMINING_DOCUMENT b'836428'
ACTION SNIPPET 10000 656 SNIPPET_NOT_RELEVANT b'338081'
ACTION SNIPPET 10000 659 SEEN_PREVIOUSLY b'1372273'
ACTION SNIPPET 10000 662 SNIPPET_NOT_RELEVANT b'134578'
ACTION SNIPPET 10000 665 SNIPPET_NOT_RELEVANT b'442954'
ACTION SNIPPET 10000 668 SNIPPET_RELEVANT b'848076'
ACTION DOC 10000 688 EXAMINING_DOCUMENT b'848076'
ACTION SNIPPET 10000 691 SNIPPET_RELEVANT b'1360800'
ACTION DOC 10000 711 EXAMINING_DOCUMENT b'1360800'
ACTION SNIPPET 10000 714 SNIPPET_NOT_RELEVANT b'1024371'
ACTION SNIPPET 10000 717 SNIPPET_RELEVANT b'829465'
ACTION DOC 10000 737 EXAMINING_DOCUMENT b'829465'
ACTION QUERY 10000 747 Canine unit
ACTION SERP 10000 752 EXAMINE_SERP
ACTION SNIPPET 10000 755 SEEN_PREVIOUSLY b'625971'
ACTION SNIPPET 10000 758 SNIPPET_RELEVANT b'1705867'
ACTION DOC 10000 778 EXAMINING_DOCUMENT b'1705867'
ACTION MARK 10000 781 CONSIDERED_RELEVANT b'1705867'
ACTION SNIPPET 10000 784 SNIPPET_RELEVANT b'657103'
ACTION DOC 10000 804 EXAMINING_DOCUMENT b'657103'
ACTION SNIPPET 10000 807 SNIPPET_NOT_RELEVANT b'1704077'
ACTION SNIPPET 10000 810 SNIPPET_NOT_RELEVANT b'1216885'
ACTION SNIPPET 10000 813 SNIPPET_RELEVANT b'119822'
ACTION DOC 10000 833 EXAMINING_DOCUMENT b'119822'
ACTION MARK 10000 836 CONSIDERED_RELEVANT b'119822'
ACTION SNIPPET 10000 839 SNIPPET_RELEVANT b'32127'
ACTION DOC 10000 859 EXAMINING_DOCUMENT b'32127'
ACTION MARK 10000 862 CONSIDERED_RELEVANT b'32127'
ACTION SNIPPET 10000 865 SNIPPET_RELEVANT b'1603415'
ACTION DOC 10000 885 EXAMINING_DOCUMENT b'1603415'
ACTION MARK 10000 888 CONSIDERED_RELEVANT b'1603415'
ACTION SNIPPET 10000 891 SNIPPET_NOT_RELEVANT b'1666123'
ACTION SNIPPET 10000 894 SNIPPET_NOT_RELEVANT b'1705264'
ACTION SNIPPET 10000 897 SNIPPET_NOT_RELEVANT b'1308196'
ACTION SNIPPET 10000 900 SNIPPET_NOT_RELEVANT b'1804459'
ACTION SNIPPET 10000 903 SNIPPET_RELEVANT b'240598'
ACTION DOC 10000 923 EXAMINING_DOCUMENT b'240598'
ACTION SNIPPET 10000 926 SNIPPET_RELEVANT b'692117'
ACTION DOC 10000 946 EXAMINING_DOCUMENT b'692117'
ACTION SNIPPET 10000 949 SNIPPET_NOT_RELEVANT b'163083'
ACTION SNIPPET 10000 952 SNIPPET_RELEVANT b'175522'
ACTION DOC 10000 972 EXAMINING_DOCUMENT b'175522'
ACTION SNIPPET 10000 975 SNIPPET_NOT_RELEVANT b'429818'
ACTION SNIPPET 10000 978 SNIPPET_RELEVANT b'1707864'
ACTION DOC 10000 998 EXAMINING_DOCUMENT b'1707864'
ACTION QUERY 10000 1008 Drug sniffing dogs
ACTION SERP 10000 1013 EXAMINE_SERP
ACTION SNIPPET 10000 1016 SNIPPET_RELEVANT b'467040'
ACTION DOC 10000 1036 EXAMINING_DOCUMENT b'467040'
ACTION MARK 10000 1039 CONSIDERED_RELEVANT b'467040'
ACTION SNIPPET 10000 1042 SNIPPET_NOT_RELEVANT b'1005790'
ACTION SNIPPET 10000 1045 SNIPPET_RELEVANT b'1572140'
ACTION DOC 10000 1065 EXAMINING_DOCUMENT b'1572140'
ACTION MARK 10000 1068 CONSIDERED_RELEVANT b'1572140'
ACTION SNIPPET 10000 1071 SNIPPET_RELEVANT b'1662517'
ACTION DOC 10000 1091 EXAMINING_DOCUMENT b'1662517'
ACTION MARK 10000 1094 CONSIDERED_RELEVANT b'1662517'
ACTION SNIPPET 10000 1097 SNIPPET_NOT_RELEVANT b'736571'
ACTION SNIPPET 10000 1100 SNIPPET_RELEVANT b'1411161'
ACTION DOC 10000 1120 EXAMINING_DOCUMENT b'1411161'
ACTION MARK 10000 1123 CONSIDERED_RELEVANT b'1411161'
ACTION SNIPPET 10000 1126 SNIPPET_RELEVANT b'1644743'
ACTION DOC 10000 1146 EXAMINING_DOCUMENT b'1644743'
ACTION MARK 10000 1149 CONSIDERED_RELEVANT b'1644743'
ACTION SNIPPET 10000 1152 SEEN_PREVIOUSLY b'32127'
ACTION SNIPPET 10000 1155 SNIPPET_NOT_RELEVANT b'349505'
ACTION SNIPPET 10000 1158 SNIPPET_RELEVANT b'174865'
ACTION DOC 10000 1178 EXAMINING_DOCUMENT b'174865'
ACTION MARK 10000 1181 CONSIDERED_RELEVANT b'174865'
ACTION SNIPPET 10000 1184 SNIPPET_RELEVANT b'1550053'
ACTION DOC 10000 1204 EXAMINING_DOCUMENT b'1550053'
ACTION MARK 10000 1207 CONSIDERED_RELEVANT b'1550053'
ACTION SNIPPET 10000 1210 SNIPPET_RELEVANT b'113718'
ACTION DOC 10000 1230 EXAMINING_DOCUMENT b'113718'
ACTION MARK 10000 1233 CONSIDERED_RELEVANT b'113718'
ACTION SNIPPET 10000 1236 SNIPPET_RELEVANT b'858097'
ACTION DOC 10000 1256 EXAMINING_DOCUMENT b'858097'
ACTION SNIPPET 10000 1259 SNIPPET_RELEVANT b'1567951'
ACTION DOC 10000 1279 EXAMINING_DOCUMENT b'1567951'
ACTION MARK 10000 1282 CONSIDERED_RELEVANT b'1567951'
ACTION SNIPPET 10000 1285 SNIPPET_NOT_RELEVANT b'758446'
ACTION SNIPPET 10000 1288 SNIPPET_RELEVANT b'479294'
ACTION DOC 10000 1308 EXAMINING_DOCUMENT b'479294'
ACTION SNIPPET 10000 1311 SNIPPET_RELEVANT b'1548778'
ACTION DOC 10000 1331 EXAMINING_DOCUMENT b'1548778'
ACTION MARK 10000 1334 CONSIDERED_RELEVANT b'1548778'
ACTION SNIPPET 10000 1337 SNIPPET_RELEVANT b'858617'
ACTION DOC 10000 1357 EXAMINING_DOCUMENT b'858617'
ACTION MARK 10000 1360 CONSIDERED_RELEVANT b'858617'
ACTION SNIPPET 10000 1363 SNIPPET_RELEVANT b'1451194'
ACTION DOC 10000 1383 EXAMINING_DOCUMENT b'1451194'
ACTION MARK 10000 1386 CONSIDERED_RELEVANT b'1451194'
ACTION SNIPPET 10000 1389 SNIPPET_NOT_RELEVANT b'803029'
ACTION SNIPPET 10000 1392 SNIPPET_RELEVANT b'1560563'
ACTION DOC 10000 1412 EXAMINING_DOCUMENT b'1560563'
ACTION MARK 10000 1415 CONSIDERED_RELEVANT b'1560563'
ACTION SNIPPET 10000 1418 SNIPPET_NOT_RELEVANT b'1212572'
ACTION SNIPPET 10000 1421 SNIPPET_RELEVANT b'747989'
ACTION DOC 10000 1441 EXAMINING_DOCUMENT b'747989'
ACTION MARK 10000 1444 CONSIDERED_RELEVANT b'747989'
ACTION SNIPPET 10000 1447 SNIPPET_RELEVANT b'26542'
ACTION DOC 10000 1467 EXAMINING_DOCUMENT b'26542'
ACTION MARK 10000 1470 CONSIDERED_RELEVANT b'26542'
ACTION SNIPPET 10000 1473 SNIPPET_NOT_RELEVANT b'1033445'
ACTION SNIPPET 10000 1476 SNIPPET_RELEVANT b'999905'
ACTION DOC 10000 1496 EXAMINING_DOCUMENT b'999905'
ACTION MARK 10000 1499 CONSIDERED_RELEVANT b'999905'
ACTION SNIPPET 10000 1502 SNIPPET_RELEVANT b'191311'
ACTION DOC 10000 1522 EXAMINING_DOCUMENT b'191311'
ACTION MARK 10000 1525 CONSIDERED_RELEVANT b'191311'
ACTION SNIPPET 10000 1528 SNIPPET_NOT_RELEVANT b'1837454'
ACTION SNIPPET 10000 1531 SNIPPET_RELEVANT b'1544522'
ACTION DOC 10000 1551 EXAMINING_DOCUMENT b'1544522'
ACTION MARK 10000 1554 CONSIDERED_RELEVANT b'1544522'
ACTION SNIPPET 10000 1557 SNIPPET_RELEVANT b'274647'
ACTION DOC 10000 1577 EXAMINING_DOCUMENT b'274647'
ACTION MARK 10000 1580 CONSIDERED_RELEVANT b'274647'
ACTION SNIPPET 10000 1583 SEEN_PREVIOUSLY b'1798342'
ACTION SNIPPET 10000 1586 SNIPPET_NOT_RELEVANT b'1042528'
ACTION SNIPPET 10000 1589 SNIPPET_RELEVANT b'1354247'
ACTION DOC 10000 1609 EXAMINING_DOCUMENT b'1354247'
ACTION MARK 10000 1612 CONSIDERED_RELEVANT b'1354247'
ACTION SNIPPET 10000 1615 SNIPPET_RELEVANT b'1252263'
ACTION DOC 10000 1635 EXAMINING_DOCUMENT b'1252263'
ACTION MARK 10000 1638 CONSIDERED_RELEVANT b'1252263'
ACTION SNIPPET 10000 1641 SNIPPET_RELEVANT b'1285836'
ACTION DOC 10000 1661 EXAMINING_DOCUMENT b'1285836'
ACTION MARK 10000 1664 CONSIDERED_RELEVANT b'1285836'
ACTION SNIPPET 10000 1667 SNIPPET_RELEVANT b'21560'
ACTION DOC 10000 1687 EXAMINING_DOCUMENT b'21560'
ACTION SNIPPET 10000 1690 SNIPPET_RELEVANT b'869462'
ACTION DOC 10000 1710 EXAMINING_DOCUMENT b'869462'
ACTION MARK 10000 1713 CONSIDERED_RELEVANT b'869462'
ACTION SNIPPET 10000 1716 SNIPPET_RELEVANT b'69805'
ACTION DOC 10000 1736 EXAMINING_DOCUMENT b'69805'
ACTION MARK 10000 1739 CONSIDERED_RELEVANT b'69805'
ACTION SNIPPET 10000 1742 SNIPPET_RELEVANT b'1061272'
ACTION DOC 10000 1762 EXAMINING_DOCUMENT b'1061272'
ACTION MARK 10000 1765 CONSIDERED_RELEVANT b'1061272'
ACTION SNIPPET 10000 1768 SNIPPET_NOT_RELEVANT b'1733388'
ACTION SNIPPET 10000 1771 SNIPPET_NOT_RELEVANT b'1470967'
ACTION SNIPPET 10000 1774 SNIPPET_RELEVANT b'1658016'
ACTION DOC 10000 1794 EXAMINING_DOCUMENT b'1658016'
ACTION MARK 10000 1797 CONSIDERED_RELEVANT b'1658016'
ACTION SNIPPET 10000 1800 SNIPPET_RELEVANT b'878974'
ACTION DOC 10000 1820 EXAMINING_DOCUMENT b'878974'
ACTION MARK 10000 1823 CONSIDERED_RELEVANT b'878974'
ACTION SNIPPET 10000 1826 SNIPPET_NOT_RELEVANT b'1733503'
ACTION SNIPPET 10000 1829 SNIPPET_RELEVANT b'1003471'
ACTION DOC 10000 1849 EXAMINING_DOCUMENT b'1003471'
ACTION MARK 10000 1852 CONSIDERED_RELEVANT b'1003471'
ACTION SNIPPET 10000 1855 SNIPPET_RELEVANT b'853568'
ACTION DOC 10000 1875 EXAMINING_DOCUMENT b'853568'
ACTION MARK 10000 1878 CONSIDERED_RELEVANT b'853568'
ACTION SNIPPET 10000 1881 SNIPPET_NOT_RELEVANT b'1391977'
ACTION SNIPPET 10000 1884 SNIPPET_RELEVANT b'1290992'
ACTION DOC 10000 1904 EXAMINING_DOCUMENT b'1290992'
ACTION MARK 10000 1907 CONSIDERED_RELEVANT b'1290992'
ACTION SNIPPET 10000 1910 SNIPPET_NOT_RELEVANT b'460038'
ACTION SNIPPET 10000 1913 SEEN_PREVIOUSLY b'1776821'
INFO SERP_END_REACHED 
ACTION QUERY 10000 1923 German shepherd police
ACTION SERP 10000 1928 EXAMINE_SERP
ACTION SNIPPET 10000 1931 SNIPPET_NOT_RELEVANT b'125476'
ACTION SNIPPET 10000 1934 SEEN_PREVIOUSLY b'625971'
ACTION SNIPPET 10000 1937 SEEN_PREVIOUSLY b'119822'
ACTION SNIPPET 10000 1940 SNIPPET_RELEVANT b'1024371'
ACTION DOC 10000 1960 EXAMINING_DOCUMENT b'1024371'
ACTION MARK 10000 1963 CONSIDERED_RELEVANT b'1024371'
ACTION SNIPPET 10000 1966 SNIPPET_NOT_RELEVANT b'968138'
ACTION SNIPPET 10000 1969 SNIPPET_RELEVANT b'375258'
ACTION DOC 10000 1989 EXAMINING_DOCUMENT b'375258'
ACTION SNIPPET 10000 1992 SNIPPET_NOT_RELEVANT b'235292'
ACTION SNIPPET 10000 1995 SNIPPET_RELEVANT b'1451341'
ACTION DOC 10000 2015 EXAMINING_DOCUMENT b'1451341'
ACTION MARK 10000 2018 CONSIDERED_RELEVANT b'1451341'
ACTION SNIPPET 10000 2021 SNIPPET_NOT_RELEVANT b'349505'
ACTION SNIPPET 10000 2024 SNIPPET_RELEVANT b'974806'
ACTION DOC 10000 2044 EXAMINING_DOCUMENT b'974806'
ACTION MARK 10000 2047 CONSIDERED_RELEVANT b'974806'
ACTION SNIPPET 10000 2050 SNIPPET_NOT_RELEVANT b'1390303'
ACTION SNIPPET 10000 2053 SNIPPET_NOT_RELEVANT b'1034646'
ACTION SNIPPET 10000 2056 SNIPPET_RELEVANT b'375752'
ACTION DOC 10000 2076 EXAMINING_DOCUMENT b'375752'
ACTION SNIPPET 10000 2079 SEEN_PREVIOUSLY b'1550053'
ACTION SNIPPET 10000 2082 SNIPPET_NOT_RELEVANT b'438994'
ACTION SNIPPET 10000 2085 SNIPPET_RELEVANT b'1354691'
ACTION DOC 10000 2105 EXAMINING_DOCUMENT b'1354691'
ACTION SNIPPET 10000 2108 SNIPPET_RELEVANT b'480830'
ACTION DOC 10000 2128 EXAMINING_DOCUMENT b'480830'
ACTION SNIPPET 10000 2131 SNIPPET_NOT_RELEVANT b'1704192'
ACTION SNIPPET 10000 2134 SNIPPET_NOT_RELEVANT b'47437'
ACTION SNIPPET 10000 2137 SNIPPET_RELEVANT b'438737'
ACTION DOC 10000 2157 EXAMINING_DOCUMENT b'438737'
ACTION QUERY 10000 2167 Patrol dogs law enforcement
ACTION SERP 10000 2172 EXAMINE_SERP
ACTION SNIPPET 10000 2175 SNIPPET_NOT_RELEVANT b'1089704'
ACTION SNIPPET 10000 2178 SNIPPET_RELEVANT b'549564'
ACTION DOC 10000 2198 EXAMINING_DOCUMENT b'549564'
ACTION MARK 10000 2201 CONSIDERED_RELEVANT b'549564'
ACTION SNIPPET 10000 2204 SEEN_PREVIOUSLY b'1024371'
ACTION SNIPPET 10000 2207 SNIPPET_NOT_RELEVANT b'1100413'
ACTION SNIPPET 10000 2210 SEEN_PREVIOUSLY b'1089743'
ACTION SNIPPET 10000 2213 SEEN_PREVIOUSLY b'846505'
ACTION SNIPPET 10000 2216 SEEN_PREVIOUSLY b'63909'
ACTION SNIPPET 10000 2219 SEEN_PREVIOUSLY b'858617'
ACTION SNIPPET 10000 2222 SEEN_PREVIOUSLY b'146052'
