ACTION QUERY 10000 10 amazon rain forest
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'faff4536-35a6-11e3-80c6-7e6dd8d22d8f'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'72e72b41097d53b627fd375dd2d3309b'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'ddb15c314a704c717a1718c060cb223d'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'ddb15c314a704c717a1718c060cb223d'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'00d8d4fb51170bf791af249aeed2a342'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'00d8d4fb51170bf791af249aeed2a342'
ACTION SNIPPET 10000 70 SNIPPET_NOT_RELEVANT b'c04684338e0abe7c5a8656cc4eacd7ac'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'54cba90c7bada2c12742790893cc3773'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'54cba90c7bada2c12742790893cc3773'
ACTION SNIPPET 10000 96 SNIPPET_NOT_RELEVANT b'987eb42b8e471b9eca19c078d06c75a5'
ACTION SNIPPET 10000 99 SNIPPET_RELEVANT b'e56499593780737d06926d435496c7d5'
ACTION DOC 10000 119 EXAMINING_DOCUMENT b'e56499593780737d06926d435496c7d5'
ACTION QUERY 10000 129 amazon rain forest included
ACTION SERP 10000 134 EXAMINE_SERP
ACTION SNIPPET 10000 137 SNIPPET_RELEVANT b'faff4536-35a6-11e3-80c6-7e6dd8d22d8f'
ACTION DOC 10000 157 EXAMINING_DOCUMENT b'faff4536-35a6-11e3-80c6-7e6dd8d22d8f'
ACTION SNIPPET 10000 160 SNIPPET_RELEVANT b'72e72b41097d53b627fd375dd2d3309b'
ACTION DOC 10000 180 EXAMINING_DOCUMENT b'72e72b41097d53b627fd375dd2d3309b'
ACTION MARK 10000 183 CONSIDERED_RELEVANT b'72e72b41097d53b627fd375dd2d3309b'
ACTION SNIPPET 10000 186 SEEN_PREVIOUSLY b'ddb15c314a704c717a1718c060cb223d'
ACTION SNIPPET 10000 189 SNIPPET_RELEVANT b'2d47c4b0-ee08-11e1-b624-99dee49d8d67'
ACTION DOC 10000 209 EXAMINING_DOCUMENT b'2d47c4b0-ee08-11e1-b624-99dee49d8d67'
ACTION SNIPPET 10000 212 SEEN_PREVIOUSLY b'00d8d4fb51170bf791af249aeed2a342'
ACTION SNIPPET 10000 215 SNIPPET_RELEVANT b'c04684338e0abe7c5a8656cc4eacd7ac'
ACTION DOC 10000 235 EXAMINING_DOCUMENT b'c04684338e0abe7c5a8656cc4eacd7ac'
ACTION SNIPPET 10000 238 SEEN_PREVIOUSLY b'54cba90c7bada2c12742790893cc3773'
ACTION SNIPPET 10000 241 SNIPPET_NOT_RELEVANT b'987eb42b8e471b9eca19c078d06c75a5'
ACTION SNIPPET 10000 244 SEEN_PREVIOUSLY b'e56499593780737d06926d435496c7d5'
ACTION SNIPPET 10000 247 SNIPPET_NOT_RELEVANT b'bd037b1a-bc75-11e4-bdfa-b8e8f594e6ee'
ACTION SNIPPET 10000 250 SNIPPET_NOT_RELEVANT b'fb073360d1c7c491beeb7adf485bfbfb'
ACTION SNIPPET 10000 253 SNIPPET_RELEVANT b'ba392600-86f6-11e4-abcf-5a3d7b3b20b8'
ACTION DOC 10000 273 EXAMINING_DOCUMENT b'ba392600-86f6-11e4-abcf-5a3d7b3b20b8'
ACTION SNIPPET 10000 276 SNIPPET_NOT_RELEVANT b'34f8a649c3a24ed3d73ceeccca030931'
ACTION SNIPPET 10000 279 SNIPPET_NOT_RELEVANT b'1177fbf662f55c6eae26d20032d65a46'
ACTION SNIPPET 10000 282 SNIPPET_NOT_RELEVANT b'78c232e6aad1ca32ddf17f751660ff0b'
ACTION SNIPPET 10000 285 SNIPPET_NOT_RELEVANT b'31e235a662add79840b1b887cf20c05d'
ACTION QUERY 10000 295 amazon rain forest degrees
ACTION SERP 10000 300 EXAMINE_SERP
ACTION SNIPPET 10000 303 SEEN_PREVIOUSLY b'faff4536-35a6-11e3-80c6-7e6dd8d22d8f'
ACTION SNIPPET 10000 306 SEEN_PREVIOUSLY b'ddb15c314a704c717a1718c060cb223d'
ACTION SNIPPET 10000 309 SEEN_PREVIOUSLY b'00d8d4fb51170bf791af249aeed2a342'
ACTION SNIPPET 10000 312 SEEN_PREVIOUSLY b'c04684338e0abe7c5a8656cc4eacd7ac'
ACTION SNIPPET 10000 315 SEEN_PREVIOUSLY b'54cba90c7bada2c12742790893cc3773'
ACTION SNIPPET 10000 318 SNIPPET_NOT_RELEVANT b'987eb42b8e471b9eca19c078d06c75a5'
ACTION SNIPPET 10000 321 SEEN_PREVIOUSLY b'e56499593780737d06926d435496c7d5'
ACTION SNIPPET 10000 324 SNIPPET_NOT_RELEVANT b'bd037b1a-bc75-11e4-bdfa-b8e8f594e6ee'
ACTION SNIPPET 10000 327 SEEN_PREVIOUSLY b'2d47c4b0-ee08-11e1-b624-99dee49d8d67'
ACTION SNIPPET 10000 330 SEEN_PREVIOUSLY b'ba392600-86f6-11e4-abcf-5a3d7b3b20b8'
ACTION SNIPPET 10000 333 SNIPPET_RELEVANT b'34f8a649c3a24ed3d73ceeccca030931'
ACTION DOC 10000 353 EXAMINING_DOCUMENT b'34f8a649c3a24ed3d73ceeccca030931'
ACTION SNIPPET 10000 356 SNIPPET_NOT_RELEVANT b'7f10df7e662587d2d11196517e4d61fd'
ACTION SNIPPET 10000 359 SNIPPET_RELEVANT b'dca5fd0d79ae9b56cdf2f39b092a8861'
ACTION DOC 10000 379 EXAMINING_DOCUMENT b'dca5fd0d79ae9b56cdf2f39b092a8861'
ACTION SNIPPET 10000 382 SNIPPET_RELEVANT b'101e016db8e4adf9b1fc8f66760554e1'
ACTION DOC 10000 402 EXAMINING_DOCUMENT b'101e016db8e4adf9b1fc8f66760554e1'
ACTION QUERY 10000 412 amazon rain forest indications
ACTION SERP 10000 417 EXAMINE_SERP
ACTION SNIPPET 10000 420 SEEN_PREVIOUSLY b'faff4536-35a6-11e3-80c6-7e6dd8d22d8f'
ACTION SNIPPET 10000 423 SEEN_PREVIOUSLY b'ddb15c314a704c717a1718c060cb223d'
ACTION SNIPPET 10000 426 SEEN_PREVIOUSLY b'00d8d4fb51170bf791af249aeed2a342'
ACTION SNIPPET 10000 429 SEEN_PREVIOUSLY b'c04684338e0abe7c5a8656cc4eacd7ac'
ACTION SNIPPET 10000 432 SEEN_PREVIOUSLY b'54cba90c7bada2c12742790893cc3773'
ACTION SNIPPET 10000 435 SNIPPET_RELEVANT b'987eb42b8e471b9eca19c078d06c75a5'
ACTION DOC 10000 455 EXAMINING_DOCUMENT b'987eb42b8e471b9eca19c078d06c75a5'
ACTION SNIPPET 10000 458 SEEN_PREVIOUSLY b'e56499593780737d06926d435496c7d5'
ACTION SNIPPET 10000 461 SNIPPET_NOT_RELEVANT b'bd037b1a-bc75-11e4-bdfa-b8e8f594e6ee'
ACTION SNIPPET 10000 464 SEEN_PREVIOUSLY b'2d47c4b0-ee08-11e1-b624-99dee49d8d67'
ACTION SNIPPET 10000 467 SEEN_PREVIOUSLY b'ba392600-86f6-11e4-abcf-5a3d7b3b20b8'
