ACTION QUERY 10000 10 law enforcement dogs
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'5b14e1ac12258322fd8a3990ff811651'
ACTION SNIPPET 10000 21 SNIPPET_RELEVANT b'ed263256-8a37-11e6-bff0-d53f592f176e'
ACTION DOC 10000 41 EXAMINING_DOCUMENT b'ed263256-8a37-11e6-bff0-d53f592f176e'
ACTION MARK 10000 44 CONSIDERED_RELEVANT b'ed263256-8a37-11e6-bff0-d53f592f176e'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'e9943fbe-d613-11e3-8f7d-7786660fff7c'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'e9943fbe-d613-11e3-8f7d-7786660fff7c'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1d7acbe4-959d-11e2-b6f0-a5150a247b6a'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1d7acbe4-959d-11e2-b6f0-a5150a247b6a'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1d7acbe4-959d-11e2-b6f0-a5150a247b6a'
ACTION SNIPPET 10000 96 SNIPPET_NOT_RELEVANT b'9ac63c22-98a0-11e2-814b-063623d80a60'
ACTION SNIPPET 10000 99 SNIPPET_RELEVANT b'cca075ec5ff4f899979ff1121014c979'
ACTION DOC 10000 119 EXAMINING_DOCUMENT b'cca075ec5ff4f899979ff1121014c979'
ACTION SNIPPET 10000 122 SNIPPET_NOT_RELEVANT b'0e60708502c9bf45133472680e59de21'
ACTION SNIPPET 10000 125 SNIPPET_RELEVANT b'25266d02-5c77-11e3-bc56-c6ca94801fac'
ACTION DOC 10000 145 EXAMINING_DOCUMENT b'25266d02-5c77-11e3-bc56-c6ca94801fac'
ACTION QUERY 10000 155 law enforcement dogs items
ACTION SERP 10000 160 EXAMINE_SERP
ACTION SNIPPET 10000 163 SNIPPET_RELEVANT b'59ad3ef6208079088e492887d180c3de'
ACTION DOC 10000 183 EXAMINING_DOCUMENT b'59ad3ef6208079088e492887d180c3de'
ACTION SNIPPET 10000 186 SNIPPET_RELEVANT b'11133824-60a2-11e4-91f7-5d89b5e8c251'
ACTION DOC 10000 206 EXAMINING_DOCUMENT b'11133824-60a2-11e4-91f7-5d89b5e8c251'
ACTION QUERY 10000 216 law enforcement dogs handlers
ACTION SERP 10000 221 EXAMINE_SERP
ACTION SNIPPET 10000 224 SNIPPET_RELEVANT b'5b181110-2125-11e2-8448-81b1ce7d6978'
ACTION DOC 10000 244 EXAMINING_DOCUMENT b'5b181110-2125-11e2-8448-81b1ce7d6978'
ACTION MARK 10000 247 CONSIDERED_RELEVANT b'5b181110-2125-11e2-8448-81b1ce7d6978'
ACTION SNIPPET 10000 250 SNIPPET_RELEVANT b'4ac2e312-dcf0-11e2-9218-bc2ac7cd44e2'
ACTION DOC 10000 270 EXAMINING_DOCUMENT b'4ac2e312-dcf0-11e2-9218-bc2ac7cd44e2'
ACTION MARK 10000 273 CONSIDERED_RELEVANT b'4ac2e312-dcf0-11e2-9218-bc2ac7cd44e2'
ACTION SNIPPET 10000 276 SNIPPET_RELEVANT b'd9b0ef72a2367d64a087959c65ebb09b'
ACTION DOC 10000 296 EXAMINING_DOCUMENT b'd9b0ef72a2367d64a087959c65ebb09b'
ACTION MARK 10000 299 CONSIDERED_RELEVANT b'd9b0ef72a2367d64a087959c65ebb09b'
ACTION SNIPPET 10000 302 SNIPPET_RELEVANT b'33d65728abd80c6f6fe0369e2e0c24e8'
ACTION DOC 10000 322 EXAMINING_DOCUMENT b'33d65728abd80c6f6fe0369e2e0c24e8'
ACTION MARK 10000 325 CONSIDERED_RELEVANT b'33d65728abd80c6f6fe0369e2e0c24e8'
ACTION SNIPPET 10000 328 SEEN_PREVIOUSLY b'1d7acbe4-959d-11e2-b6f0-a5150a247b6a'
ACTION SNIPPET 10000 331 SNIPPET_NOT_RELEVANT b'7bed6ca785ddbc3a41189e966cdc87c5'
ACTION SNIPPET 10000 334 SNIPPET_RELEVANT b'1c91d3d5944ceaa728abe3039db09638'
ACTION DOC 10000 354 EXAMINING_DOCUMENT b'1c91d3d5944ceaa728abe3039db09638'
ACTION SNIPPET 10000 357 SNIPPET_NOT_RELEVANT b'7ed6d4c6-df0c-11e5-846c-10191d1fc4ec'
ACTION SNIPPET 10000 360 SNIPPET_NOT_RELEVANT b'81ece3f4-5ac3-11e4-b812-38518ae74c67'
ACTION SNIPPET 10000 363 SNIPPET_RELEVANT b'564bcf4c-c4c1-11e2-9fe2-6ee52d0eb7c1'
ACTION DOC 10000 383 EXAMINING_DOCUMENT b'564bcf4c-c4c1-11e2-9fe2-6ee52d0eb7c1'
ACTION MARK 10000 386 CONSIDERED_RELEVANT b'564bcf4c-c4c1-11e2-9fe2-6ee52d0eb7c1'
ACTION SNIPPET 10000 389 SNIPPET_NOT_RELEVANT b'46a0c996-5e96-11e5-9757-e49273f05f65'
ACTION SNIPPET 10000 392 SNIPPET_RELEVANT b'13afe080-50ae-11e5-933e-7d06c647a395'
ACTION DOC 10000 412 EXAMINING_DOCUMENT b'13afe080-50ae-11e5-933e-7d06c647a395'
ACTION MARK 10000 415 CONSIDERED_RELEVANT b'13afe080-50ae-11e5-933e-7d06c647a395'
ACTION SNIPPET 10000 418 SNIPPET_RELEVANT b'0c306522-fb7c-11e5-80e4-c381214de1a3'
ACTION DOC 10000 438 EXAMINING_DOCUMENT b'0c306522-fb7c-11e5-80e4-c381214de1a3'
ACTION MARK 10000 441 CONSIDERED_RELEVANT b'0c306522-fb7c-11e5-80e4-c381214de1a3'
ACTION SNIPPET 10000 444 SNIPPET_RELEVANT b'deabc84a-2001-11e5-bf41-c23f5d3face1'
ACTION DOC 10000 464 EXAMINING_DOCUMENT b'deabc84a-2001-11e5-bf41-c23f5d3face1'
ACTION MARK 10000 467 CONSIDERED_RELEVANT b'deabc84a-2001-11e5-bf41-c23f5d3face1'
ACTION SNIPPET 10000 470 SNIPPET_RELEVANT b'2f0a1910491066646209d42a0f8cb03c'
ACTION DOC 10000 490 EXAMINING_DOCUMENT b'2f0a1910491066646209d42a0f8cb03c'
ACTION MARK 10000 493 CONSIDERED_RELEVANT b'2f0a1910491066646209d42a0f8cb03c'
ACTION SNIPPET 10000 496 SNIPPET_RELEVANT b'30d9c95c2189d9a244aec125e72f5b30'
ACTION DOC 10000 516 EXAMINING_DOCUMENT b'30d9c95c2189d9a244aec125e72f5b30'
ACTION SNIPPET 10000 519 SNIPPET_RELEVANT b'd71a81b4-c313-11e6-9a51-cd56ea1c2bb7'
ACTION DOC 10000 539 EXAMINING_DOCUMENT b'd71a81b4-c313-11e6-9a51-cd56ea1c2bb7'
ACTION MARK 10000 542 CONSIDERED_RELEVANT b'd71a81b4-c313-11e6-9a51-cd56ea1c2bb7'
ACTION SNIPPET 10000 545 SNIPPET_RELEVANT b'17ded6a64965900fb16e7e0cb9f8f3a8'
ACTION DOC 10000 565 EXAMINING_DOCUMENT b'17ded6a64965900fb16e7e0cb9f8f3a8'
ACTION SNIPPET 10000 568 SNIPPET_RELEVANT b'9476cada-5ec9-11e4-91f7-5d89b5e8c251'
ACTION DOC 10000 588 EXAMINING_DOCUMENT b'9476cada-5ec9-11e4-91f7-5d89b5e8c251'
ACTION MARK 10000 591 CONSIDERED_RELEVANT b'9476cada-5ec9-11e4-91f7-5d89b5e8c251'
ACTION SNIPPET 10000 594 SNIPPET_RELEVANT b'65b25f34-f810-11e5-9804-537defcc3cf6'
ACTION DOC 10000 614 EXAMINING_DOCUMENT b'65b25f34-f810-11e5-9804-537defcc3cf6'
ACTION MARK 10000 617 CONSIDERED_RELEVANT b'65b25f34-f810-11e5-9804-537defcc3cf6'
ACTION SNIPPET 10000 620 SNIPPET_NOT_RELEVANT b'e19f8b83446c8fe6a568ec438964a2d8'
ACTION SNIPPET 10000 623 SNIPPET_RELEVANT b'f4d4364e-688e-11e1-9210-0b8d0e6543cc'
ACTION DOC 10000 643 EXAMINING_DOCUMENT b'f4d4364e-688e-11e1-9210-0b8d0e6543cc'
ACTION SNIPPET 10000 646 SNIPPET_NOT_RELEVANT b'549126d9e4f5b8cfa1593e0f0ced34ea'
ACTION SNIPPET 10000 649 SNIPPET_RELEVANT b'26e11d98-b983-11e5-829c-26ffb874a18d'
ACTION DOC 10000 669 EXAMINING_DOCUMENT b'26e11d98-b983-11e5-829c-26ffb874a18d'
ACTION MARK 10000 672 CONSIDERED_RELEVANT b'26e11d98-b983-11e5-829c-26ffb874a18d'
ACTION SNIPPET 10000 675 SNIPPET_NOT_RELEVANT b'c8d0f8f0-8f44-11e3-84e1-27626c5ef5fb'
ACTION SNIPPET 10000 678 SNIPPET_RELEVANT b'f45dad92-22b2-11e2-ac85-e669876c6a24'
ACTION DOC 10000 698 EXAMINING_DOCUMENT b'f45dad92-22b2-11e2-ac85-e669876c6a24'
ACTION MARK 10000 701 CONSIDERED_RELEVANT b'f45dad92-22b2-11e2-ac85-e669876c6a24'
ACTION SNIPPET 10000 704 SNIPPET_RELEVANT b'bee26964-f1fc-11e6-b9c9-e83fce42fb61'
ACTION DOC 10000 724 EXAMINING_DOCUMENT b'bee26964-f1fc-11e6-b9c9-e83fce42fb61'
ACTION SNIPPET 10000 727 SNIPPET_NOT_RELEVANT b'9cabd844-4ab7-11e7-a186-60c031eab644'
ACTION SNIPPET 10000 730 SNIPPET_RELEVANT b'1d9f7414-7aac-11e2-82e8-61a46c2cde3d'
ACTION DOC 10000 750 EXAMINING_DOCUMENT b'1d9f7414-7aac-11e2-82e8-61a46c2cde3d'
ACTION MARK 10000 753 CONSIDERED_RELEVANT b'1d9f7414-7aac-11e2-82e8-61a46c2cde3d'
ACTION SNIPPET 10000 756 SNIPPET_NOT_RELEVANT b'f7e7affc-2371-11e2-8448-81b1ce7d6978'
ACTION SNIPPET 10000 759 SNIPPET_RELEVANT b'827f47e4cd11e910267b1c0fc9aae74d'
ACTION DOC 10000 779 EXAMINING_DOCUMENT b'827f47e4cd11e910267b1c0fc9aae74d'
ACTION SNIPPET 10000 782 SNIPPET_NOT_RELEVANT b'9e02fac4-a06b-11e2-be47-b44febada3a8'
ACTION SNIPPET 10000 785 SNIPPET_RELEVANT b'b56567b27bdf3c244c78f0640268dbeb'
ACTION DOC 10000 805 EXAMINING_DOCUMENT b'b56567b27bdf3c244c78f0640268dbeb'
ACTION MARK 10000 808 CONSIDERED_RELEVANT b'b56567b27bdf3c244c78f0640268dbeb'
ACTION SNIPPET 10000 811 SNIPPET_RELEVANT b'76594a86-4d54-11e4-8c24-487e92bc997b'
ACTION DOC 10000 831 EXAMINING_DOCUMENT b'76594a86-4d54-11e4-8c24-487e92bc997b'
ACTION MARK 10000 834 CONSIDERED_RELEVANT b'76594a86-4d54-11e4-8c24-487e92bc997b'
ACTION SNIPPET 10000 837 SNIPPET_RELEVANT b'eb9e26a8eb6a78f8c815ffeda604cd4b'
ACTION DOC 10000 857 EXAMINING_DOCUMENT b'eb9e26a8eb6a78f8c815ffeda604cd4b'
ACTION SNIPPET 10000 860 SNIPPET_RELEVANT b'4af3d93b56088fe85c91911b8665b2bf'
ACTION DOC 10000 880 EXAMINING_DOCUMENT b'4af3d93b56088fe85c91911b8665b2bf'
ACTION MARK 10000 883 CONSIDERED_RELEVANT b'4af3d93b56088fe85c91911b8665b2bf'
ACTION SNIPPET 10000 886 SNIPPET_NOT_RELEVANT b'257651391019646a180dbe0a2a93ff27'
ACTION SNIPPET 10000 889 SNIPPET_RELEVANT b'5f107a4e0f63f7daa9fe7032ee46fe8d'
ACTION DOC 10000 909 EXAMINING_DOCUMENT b'5f107a4e0f63f7daa9fe7032ee46fe8d'
ACTION MARK 10000 912 CONSIDERED_RELEVANT b'5f107a4e0f63f7daa9fe7032ee46fe8d'
ACTION SNIPPET 10000 915 SNIPPET_NOT_RELEVANT b'77f5a9d874a5a435231b393980c758d7'
ACTION SNIPPET 10000 918 SNIPPET_RELEVANT b'b5f8b5979d85b26a0d82c77eb910802e'
ACTION DOC 10000 938 EXAMINING_DOCUMENT b'b5f8b5979d85b26a0d82c77eb910802e'
ACTION SNIPPET 10000 941 SNIPPET_NOT_RELEVANT b'c7acc446967cedc97d34798480dbb0c2'
ACTION SNIPPET 10000 944 SNIPPET_NOT_RELEVANT b'540ba04cf7ca39572ff282490ff1007d'
ACTION SNIPPET 10000 947 SNIPPET_RELEVANT b'02d23d9a-4830-11e3-b6f8-3782ff6cb769'
ACTION DOC 10000 967 EXAMINING_DOCUMENT b'02d23d9a-4830-11e3-b6f8-3782ff6cb769'
ACTION MARK 10000 970 CONSIDERED_RELEVANT b'02d23d9a-4830-11e3-b6f8-3782ff6cb769'
ACTION SNIPPET 10000 973 SNIPPET_RELEVANT b'a483630129e1f66d8ffc7ca0a70be5ec'
ACTION DOC 10000 993 EXAMINING_DOCUMENT b'a483630129e1f66d8ffc7ca0a70be5ec'
ACTION SNIPPET 10000 996 SNIPPET_RELEVANT b'172aa228205f92668e90092b2e09d8a3'
ACTION DOC 10000 1016 EXAMINING_DOCUMENT b'172aa228205f92668e90092b2e09d8a3'
ACTION SNIPPET 10000 1019 SNIPPET_RELEVANT b'74f1f13d8bc3bd5894d2f55ab15d36d6'
ACTION DOC 10000 1039 EXAMINING_DOCUMENT b'74f1f13d8bc3bd5894d2f55ab15d36d6'
ACTION MARK 10000 1042 CONSIDERED_RELEVANT b'74f1f13d8bc3bd5894d2f55ab15d36d6'
ACTION SNIPPET 10000 1045 SNIPPET_NOT_RELEVANT b'd8bd6cd59c7f2941fc6f79661d99982c'
ACTION SNIPPET 10000 1048 SNIPPET_NOT_RELEVANT b'e74d7d34-b491-11e5-9388-466021d971de'
ACTION SNIPPET 10000 1051 SNIPPET_NOT_RELEVANT b'2866fa20-6176-11e6-84c1-6d27287896b5'
ACTION SNIPPET 10000 1054 SNIPPET_RELEVANT b'e1bd11d990d4bf82b6cae92bf288a3e6'
ACTION DOC 10000 1074 EXAMINING_DOCUMENT b'e1bd11d990d4bf82b6cae92bf288a3e6'
ACTION SNIPPET 10000 1077 SNIPPET_RELEVANT b'1782f904-1fb9-11e3-8459-657e0c72fec8'
ACTION DOC 10000 1097 EXAMINING_DOCUMENT b'1782f904-1fb9-11e3-8459-657e0c72fec8'
ACTION MARK 10000 1100 CONSIDERED_RELEVANT b'1782f904-1fb9-11e3-8459-657e0c72fec8'
ACTION SNIPPET 10000 1103 SNIPPET_NOT_RELEVANT b'16e9aa96-4d82-11e3-be6b-d3d28122e6d4'
ACTION SNIPPET 10000 1106 SNIPPET_RELEVANT b'3856f6c8-9210-11e5-a2d6-f57908580b1f'
ACTION DOC 10000 1126 EXAMINING_DOCUMENT b'3856f6c8-9210-11e5-a2d6-f57908580b1f'
ACTION MARK 10000 1129 CONSIDERED_RELEVANT b'3856f6c8-9210-11e5-a2d6-f57908580b1f'
ACTION SNIPPET 10000 1132 SNIPPET_NOT_RELEVANT b'cf1f2a2482f4d66628c4a60724795077'
ACTION SNIPPET 10000 1135 SNIPPET_RELEVANT b'23df4f6a-40e0-11e4-b03f-de718edeb92f'
ACTION DOC 10000 1155 EXAMINING_DOCUMENT b'23df4f6a-40e0-11e4-b03f-de718edeb92f'
ACTION SNIPPET 10000 1158 SNIPPET_NOT_RELEVANT b'497d7fc6239ae34bf50803356b24385b'
ACTION SNIPPET 10000 1161 SNIPPET_NOT_RELEVANT b'960235e8814374a3612481a624ee724b'
ACTION SNIPPET 10000 1164 SNIPPET_NOT_RELEVANT b'1074a0d7cd0557d13ecaa75e9768cd12'
ACTION SNIPPET 10000 1167 SNIPPET_NOT_RELEVANT b'0a2abd08-ff6f-11e5-9203-7b8670959b88'
ACTION SNIPPET 10000 1170 SNIPPET_NOT_RELEVANT b'960585754862c40277b9563bf54ec599'
ACTION SNIPPET 10000 1173 SNIPPET_RELEVANT b'de77d27f06d7f0c528a6bb56c0ad25fd'
ACTION DOC 10000 1193 EXAMINING_DOCUMENT b'de77d27f06d7f0c528a6bb56c0ad25fd'
ACTION MARK 10000 1196 CONSIDERED_RELEVANT b'de77d27f06d7f0c528a6bb56c0ad25fd'
ACTION SNIPPET 10000 1199 SNIPPET_RELEVANT b'443d7e2e-ec1a-11e2-aa9f-c03a72e2d342'
ACTION DOC 10000 1219 EXAMINING_DOCUMENT b'443d7e2e-ec1a-11e2-aa9f-c03a72e2d342'
ACTION SNIPPET 10000 1222 SNIPPET_NOT_RELEVANT b'e2dc2116-eb3d-11e3-b98c-72cef4a00499'
ACTION SNIPPET 10000 1225 SNIPPET_RELEVANT b'918ced09ac82081240ab45605cc8b344'
ACTION DOC 10000 1245 EXAMINING_DOCUMENT b'918ced09ac82081240ab45605cc8b344'
ACTION SNIPPET 10000 1248 SNIPPET_RELEVANT b'5d5d97e6b7cc00172011a4261e24ef1b'
ACTION DOC 10000 1268 EXAMINING_DOCUMENT b'5d5d97e6b7cc00172011a4261e24ef1b'
ACTION QUERY 10000 1278 law enforcement dogs training
ACTION SERP 10000 1283 EXAMINE_SERP
ACTION SNIPPET 10000 1286 SEEN_PREVIOUSLY b'1d7acbe4-959d-11e2-b6f0-a5150a247b6a'
ACTION SNIPPET 10000 1289 SEEN_PREVIOUSLY b'65b25f34-f810-11e5-9804-537defcc3cf6'
