ACTION QUERY 10000 10 greek philosophy stoicism
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'7845899e-76fd-11e5-b9c1-f03c48c96ac2'
ACTION SNIPPET 10000 21 SNIPPET_RELEVANT b'ae9b5860-fdf3-11e6-8ebe-6e0dbe4f2bca'
ACTION DOC 10000 41 EXAMINING_DOCUMENT b'ae9b5860-fdf3-11e6-8ebe-6e0dbe4f2bca'
ACTION MARK 10000 44 CONSIDERED_RELEVANT b'ae9b5860-fdf3-11e6-8ebe-6e0dbe4f2bca'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'59c14b04bd0cd97f77d709f21f3df2f4'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'59c14b04bd0cd97f77d709f21f3df2f4'
ACTION MARK 10000 70 CONSIDERED_RELEVANT b'59c14b04bd0cd97f77d709f21f3df2f4'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'8c37f634-0771-11e7-a15f-a58d4a988474'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'8c37f634-0771-11e7-a15f-a58d4a988474'
ACTION MARK 10000 96 CONSIDERED_RELEVANT b'8c37f634-0771-11e7-a15f-a58d4a988474'
ACTION SNIPPET 10000 99 SNIPPET_NOT_RELEVANT b'5948065e-b8fc-11e3-96ae-f2c36d2b1245'
ACTION SNIPPET 10000 102 SNIPPET_NOT_RELEVANT b'e037c86ef4e22279e95afcca64beee52'
ACTION SNIPPET 10000 105 SNIPPET_NOT_RELEVANT b'aa7fae2a-46f0-11e7-98cd-af64b4fe2dfc'
ACTION SNIPPET 10000 108 SNIPPET_RELEVANT b'a2291426-27e2-11e4-86ca-6f03cbd15c1a'
ACTION DOC 10000 128 EXAMINING_DOCUMENT b'a2291426-27e2-11e4-86ca-6f03cbd15c1a'
ACTION MARK 10000 131 CONSIDERED_RELEVANT b'a2291426-27e2-11e4-86ca-6f03cbd15c1a'
ACTION SNIPPET 10000 134 SNIPPET_NOT_RELEVANT b'5465ce39f0c971162b5818228efec2c4'
ACTION SNIPPET 10000 137 SNIPPET_NOT_RELEVANT b'bf31c4d4-b5f3-11e3-8cb6-284052554d74'
ACTION SNIPPET 10000 140 SNIPPET_NOT_RELEVANT b'bdb06004-faf8-11e2-a369-d1954abcb7e3'
ACTION SNIPPET 10000 143 SNIPPET_NOT_RELEVANT b'7acbecf15aaed4e16588bdfaacc239a9'
ACTION SNIPPET 10000 146 SNIPPET_NOT_RELEVANT b'fdb583fe-9074-11e1-b132-eab19f4e8b2e'
ACTION SNIPPET 10000 149 SNIPPET_NOT_RELEVANT b'f996bc711cddd11bd93d77867d1e8e2d'
ACTION SNIPPET 10000 152 SNIPPET_NOT_RELEVANT b'09f97affadf7f1ce9c67dd3f5b7bc523'
ACTION SNIPPET 10000 155 SNIPPET_NOT_RELEVANT b'6566f066-43b1-11e1-a8f8-11a9b9bc2717'
ACTION SNIPPET 10000 158 SNIPPET_NOT_RELEVANT b'f2a5dbee-b4b9-11e1-92df-14cd260b161d'
ACTION SNIPPET 10000 161 SNIPPET_NOT_RELEVANT b'1467a97e-2645-11e5-b621-b55e495e9b78'
ACTION SNIPPET 10000 164 SNIPPET_NOT_RELEVANT b'f7c804c8-1245-11e2-be82-c3411b7680a9'
ACTION SNIPPET 10000 167 SNIPPET_NOT_RELEVANT b'b1d941f7cb2366eb3722f0ca5131ef89'
ACTION SNIPPET 10000 170 SNIPPET_NOT_RELEVANT b'30e9c752-8cf0-11e3-95dd-36ff657a4dae'
ACTION SNIPPET 10000 173 SNIPPET_RELEVANT b'3e123114-f39d-11e1-adc6-87dfa8eff430'
ACTION DOC 10000 193 EXAMINING_DOCUMENT b'3e123114-f39d-11e1-adc6-87dfa8eff430'
ACTION MARK 10000 196 CONSIDERED_RELEVANT b'3e123114-f39d-11e1-adc6-87dfa8eff430'
ACTION SNIPPET 10000 199 SNIPPET_NOT_RELEVANT b'3be75924-8f4e-11e4-ba53-a477d66580ed'
ACTION SNIPPET 10000 202 SNIPPET_RELEVANT b'248accbc4b7764d608c07543f260d4e1'
ACTION DOC 10000 222 EXAMINING_DOCUMENT b'248accbc4b7764d608c07543f260d4e1'
ACTION MARK 10000 225 CONSIDERED_RELEVANT b'248accbc4b7764d608c07543f260d4e1'
ACTION SNIPPET 10000 228 SNIPPET_NOT_RELEVANT b'8bf7349ac6d542cd2bc137d80d890dfe'
ACTION SNIPPET 10000 231 SNIPPET_NOT_RELEVANT b'9cd5a8e6-9a8c-11e4-a7ee-526210d665b4'
ACTION SNIPPET 10000 234 SNIPPET_NOT_RELEVANT b'8aea6dc2-3d86-43a3-b9d0-84a4cdd8e0ad'
ACTION SNIPPET 10000 237 SNIPPET_NOT_RELEVANT b'1b415d0c-cd42-11e2-8845-d970ccb04497'
ACTION SNIPPET 10000 240 SNIPPET_NOT_RELEVANT b'b7ff79de-24ec-11e2-9313-3c7f59038d93'
ACTION SNIPPET 10000 243 SNIPPET_NOT_RELEVANT b'67472772fd7aa831268db7c9c4ee2876'
ACTION SNIPPET 10000 246 SNIPPET_NOT_RELEVANT b'067b4046f8b038f4039bfc6d77e2ed93'
ACTION SNIPPET 10000 249 SNIPPET_NOT_RELEVANT b'edf2b55e-3509-11e4-8f02-03c644b2d7d0'
ACTION SNIPPET 10000 252 SNIPPET_NOT_RELEVANT b'5c20451f466dca69add14d50d0584bff'
ACTION SNIPPET 10000 255 SNIPPET_NOT_RELEVANT b'292ea8e820e5c16a70efb61572ee9016'
ACTION SNIPPET 10000 258 SNIPPET_NOT_RELEVANT b'8319b240-9b58-11e4-96cc-e858eba91ced'
ACTION SNIPPET 10000 261 SNIPPET_NOT_RELEVANT b'a1f6cce2-a2cc-11e2-9c03-6952ff305f35'
ACTION SNIPPET 10000 264 SNIPPET_NOT_RELEVANT b'3ce893ebf97db57ca0b1ef2ab8cbe660'
ACTION SNIPPET 10000 267 SNIPPET_RELEVANT b'e0aa88c8-afea-11e6-840f-e3ebab6bcdd3'
ACTION DOC 10000 287 EXAMINING_DOCUMENT b'e0aa88c8-afea-11e6-840f-e3ebab6bcdd3'
ACTION MARK 10000 290 CONSIDERED_RELEVANT b'e0aa88c8-afea-11e6-840f-e3ebab6bcdd3'
ACTION SNIPPET 10000 293 SNIPPET_NOT_RELEVANT b'dfb352de-2b8f-11e3-97a3-ff2758228523'
ACTION SNIPPET 10000 296 SNIPPET_NOT_RELEVANT b'ae59f8d5119a40b23f97edcfd44a5616'
ACTION SNIPPET 10000 299 SNIPPET_NOT_RELEVANT b'8e0f17e2b5e4c8e5539ccb88cee5fc31'
ACTION SNIPPET 10000 302 SNIPPET_NOT_RELEVANT b'0316fffffcab9c94b1b9b3e8b3b089cc'
ACTION SNIPPET 10000 305 SNIPPET_RELEVANT b'0d9b45b389e2c32db66f1a143810545b'
ACTION DOC 10000 325 EXAMINING_DOCUMENT b'0d9b45b389e2c32db66f1a143810545b'
ACTION MARK 10000 328 CONSIDERED_RELEVANT b'0d9b45b389e2c32db66f1a143810545b'
ACTION SNIPPET 10000 331 SNIPPET_NOT_RELEVANT b'9e77148fca312d73670f6878b6bbda5b'
ACTION SNIPPET 10000 334 SNIPPET_NOT_RELEVANT b'67deb6bd961c661d96984c76533af338'
ACTION SNIPPET 10000 337 SNIPPET_NOT_RELEVANT b'e7b091382e67f08ef639469718fe50fa'
ACTION SNIPPET 10000 340 SNIPPET_NOT_RELEVANT b'e5872e18-cd7a-11e4-8730-4f473416e759'
ACTION SNIPPET 10000 343 SNIPPET_NOT_RELEVANT b'5755c1f0-c180-11e4-ad5c-3b8ce89f1b89'
ACTION SNIPPET 10000 346 SNIPPET_NOT_RELEVANT b'e03885ac-72ac-11e4-ad12-3734c461eab6'
ACTION SNIPPET 10000 349 SNIPPET_NOT_RELEVANT b'c0435d46-a9a5-11e4-a162-121d06ca77f1'
INFO SERP_END_REACHED 
ACTION QUERY 10000 359 greek philosophy stoicism stoic
ACTION SERP 10000 364 EXAMINE_SERP
ACTION SNIPPET 10000 367 SNIPPET_RELEVANT b'69a6be90acc8e84e9278cdd693478459'
ACTION DOC 10000 387 EXAMINING_DOCUMENT b'69a6be90acc8e84e9278cdd693478459'
ACTION MARK 10000 390 CONSIDERED_RELEVANT b'69a6be90acc8e84e9278cdd693478459'
ACTION SNIPPET 10000 393 SNIPPET_NOT_RELEVANT b'7845899e-76fd-11e5-b9c1-f03c48c96ac2'
ACTION SNIPPET 10000 396 SNIPPET_NOT_RELEVANT b'5948065e-b8fc-11e3-96ae-f2c36d2b1245'
ACTION SNIPPET 10000 399 SNIPPET_NOT_RELEVANT b'e037c86ef4e22279e95afcca64beee52'
ACTION SNIPPET 10000 402 SNIPPET_NOT_RELEVANT b'aa7fae2a-46f0-11e7-98cd-af64b4fe2dfc'
ACTION SNIPPET 10000 405 SNIPPET_NOT_RELEVANT b'5465ce39f0c971162b5818228efec2c4'
ACTION SNIPPET 10000 408 SNIPPET_NOT_RELEVANT b'bf31c4d4-b5f3-11e3-8cb6-284052554d74'
ACTION SNIPPET 10000 411 SNIPPET_NOT_RELEVANT b'bdb06004-faf8-11e2-a369-d1954abcb7e3'
ACTION SNIPPET 10000 414 SNIPPET_NOT_RELEVANT b'7acbecf15aaed4e16588bdfaacc239a9'
ACTION SNIPPET 10000 417 SNIPPET_NOT_RELEVANT b'fdb583fe-9074-11e1-b132-eab19f4e8b2e'
ACTION SNIPPET 10000 420 SNIPPET_NOT_RELEVANT b'f996bc711cddd11bd93d77867d1e8e2d'
ACTION SNIPPET 10000 423 SNIPPET_RELEVANT b'90ea4760-6358-11e3-91b3-f2bb96304e34'
