ACTION QUERY 10000 10 computers and paralyzed people
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'2bea9433d4e1050c9c85175df466b3e2'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'5e143dc4af0fd020901de45c08226174'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'23ad13f0efa9815a765bcd0403ff23af'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'23ad13f0efa9815a765bcd0403ff23af'
ACTION MARK 10000 47 CONSIDERED_RELEVANT b'23ad13f0efa9815a765bcd0403ff23af'
ACTION SNIPPET 10000 50 SNIPPET_RELEVANT b'c01caf3d8565a560b74a00e996590e9d'
ACTION DOC 10000 70 EXAMINING_DOCUMENT b'c01caf3d8565a560b74a00e996590e9d'
ACTION MARK 10000 73 CONSIDERED_RELEVANT b'c01caf3d8565a560b74a00e996590e9d'
ACTION SNIPPET 10000 76 SNIPPET_NOT_RELEVANT b'71105310-9f98-11e1-b635-cd65c275a1e2'
ACTION SNIPPET 10000 79 SNIPPET_RELEVANT b'c45515e2-ccaf-11e3-a75e-463587891b57'
ACTION DOC 10000 99 EXAMINING_DOCUMENT b'c45515e2-ccaf-11e3-a75e-463587891b57'
ACTION MARK 10000 102 CONSIDERED_RELEVANT b'c45515e2-ccaf-11e3-a75e-463587891b57'
ACTION SNIPPET 10000 105 SNIPPET_NOT_RELEVANT b'ac5e29e7389882ff96e118a9a66d0c26'
ACTION SNIPPET 10000 108 SNIPPET_RELEVANT b'f4c92a47497c69b8cf7ab1b3c7264076'
ACTION DOC 10000 128 EXAMINING_DOCUMENT b'f4c92a47497c69b8cf7ab1b3c7264076'
ACTION MARK 10000 131 CONSIDERED_RELEVANT b'f4c92a47497c69b8cf7ab1b3c7264076'
ACTION SNIPPET 10000 134 SNIPPET_RELEVANT b'7a4de4fd17f87727dbec32f7becd6816'
ACTION DOC 10000 154 EXAMINING_DOCUMENT b'7a4de4fd17f87727dbec32f7becd6816'
ACTION MARK 10000 157 CONSIDERED_RELEVANT b'7a4de4fd17f87727dbec32f7becd6816'
ACTION SNIPPET 10000 160 SNIPPET_RELEVANT b'13c9ac88-f8a1-11e3-a606-946fd632f9f1'
ACTION DOC 10000 180 EXAMINING_DOCUMENT b'13c9ac88-f8a1-11e3-a606-946fd632f9f1'
ACTION MARK 10000 183 CONSIDERED_RELEVANT b'13c9ac88-f8a1-11e3-a606-946fd632f9f1'
ACTION SNIPPET 10000 186 SNIPPET_RELEVANT b'2a6865ec825a56ea34a6ac3a0a05e6ea'
ACTION DOC 10000 206 EXAMINING_DOCUMENT b'2a6865ec825a56ea34a6ac3a0a05e6ea'
ACTION MARK 10000 209 CONSIDERED_RELEVANT b'2a6865ec825a56ea34a6ac3a0a05e6ea'
ACTION SNIPPET 10000 212 SNIPPET_RELEVANT b'9d4e5a94697565b802cda0a1c7d29f6d'
ACTION DOC 10000 232 EXAMINING_DOCUMENT b'9d4e5a94697565b802cda0a1c7d29f6d'
ACTION MARK 10000 235 CONSIDERED_RELEVANT b'9d4e5a94697565b802cda0a1c7d29f6d'
ACTION SNIPPET 10000 238 SNIPPET_NOT_RELEVANT b'bc800e8f765fac4c09f5adbd1154528e'
ACTION SNIPPET 10000 241 SNIPPET_NOT_RELEVANT b'd6c5eaae-4ad2-11e2-9a42-d1ce6d0ed278'
ACTION SNIPPET 10000 244 SNIPPET_NOT_RELEVANT b'a8205e2a-ec6b-11e1-aca7-272630dfd152'
ACTION SNIPPET 10000 247 SNIPPET_RELEVANT b'0669e164-22cf-11e3-966c-9c4293c47ebe'
ACTION DOC 10000 267 EXAMINING_DOCUMENT b'0669e164-22cf-11e3-966c-9c4293c47ebe'
ACTION MARK 10000 270 CONSIDERED_RELEVANT b'0669e164-22cf-11e3-966c-9c4293c47ebe'
ACTION SNIPPET 10000 273 SNIPPET_NOT_RELEVANT b'9c13a2c59e6385fae70846ec7fd96c20'
ACTION SNIPPET 10000 276 SNIPPET_NOT_RELEVANT b'6e13aa26-00d9-11e6-b823-707c79ce3504'
ACTION SNIPPET 10000 279 SNIPPET_NOT_RELEVANT b'46109002-5496-11e4-892e-602188e70e9c'
ACTION SNIPPET 10000 282 SNIPPET_NOT_RELEVANT b'bdfa225e1753973c482930771fcc807c'
ACTION SNIPPET 10000 285 SNIPPET_NOT_RELEVANT b'3cb003d7cf7c3d8e96ca551992add60f'
ACTION SNIPPET 10000 288 SNIPPET_NOT_RELEVANT b'5c551a10-809a-11e4-8882-03cf08410beb'
ACTION SNIPPET 10000 291 SNIPPET_RELEVANT b'1020bbc1ca7695dab729cec9571385ca'
ACTION DOC 10000 311 EXAMINING_DOCUMENT b'1020bbc1ca7695dab729cec9571385ca'
