ACTION QUERY 10000 10 protect earth from asteroids
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'fd98676b565941d75b83d42029f3b6e6'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'3b78d94e70bf677472273d0fd525c036'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'5e8d3671f7dcf4a27b0175f2153a970e'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'5e8d3671f7dcf4a27b0175f2153a970e'
ACTION MARK 10000 47 CONSIDERED_RELEVANT b'5e8d3671f7dcf4a27b0175f2153a970e'
ACTION SNIPPET 10000 50 SNIPPET_RELEVANT b'3e6675f30e85fcdb665cd735fd40d9e7'
ACTION DOC 10000 70 EXAMINING_DOCUMENT b'3e6675f30e85fcdb665cd735fd40d9e7'
ACTION MARK 10000 73 CONSIDERED_RELEVANT b'3e6675f30e85fcdb665cd735fd40d9e7'
ACTION SNIPPET 10000 76 SNIPPET_NOT_RELEVANT b'615d5848-73cb-11e2-aa12-e6cf1d31106b'
ACTION SNIPPET 10000 79 SNIPPET_RELEVANT b'6332253b6302522cbe1310c1d8eb7c18'
ACTION DOC 10000 99 EXAMINING_DOCUMENT b'6332253b6302522cbe1310c1d8eb7c18'
ACTION SNIPPET 10000 102 SNIPPET_NOT_RELEVANT b'3602eecb7eb0aade993666e115e9ab0b'
ACTION SNIPPET 10000 105 SNIPPET_RELEVANT b'fbf7c6f141aa464306312d39a71d10f4'
ACTION DOC 10000 125 EXAMINING_DOCUMENT b'fbf7c6f141aa464306312d39a71d10f4'
ACTION SNIPPET 10000 128 SNIPPET_RELEVANT b'e42f57876b7b84a98ab9e7d456be4299'
ACTION DOC 10000 148 EXAMINING_DOCUMENT b'e42f57876b7b84a98ab9e7d456be4299'
ACTION SNIPPET 10000 151 SNIPPET_RELEVANT b'188ca2584f27ea021ab8599779933e73'
ACTION DOC 10000 171 EXAMINING_DOCUMENT b'188ca2584f27ea021ab8599779933e73'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'067aa1db5f61861eeb07695ddf4f6789'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'067aa1db5f61861eeb07695ddf4f6789'
ACTION QUERY 10000 204 protect earth from asteroids underway
ACTION SERP 10000 209 EXAMINE_SERP
ACTION SNIPPET 10000 212 SNIPPET_RELEVANT b'fd98676b565941d75b83d42029f3b6e6'
ACTION DOC 10000 232 EXAMINING_DOCUMENT b'fd98676b565941d75b83d42029f3b6e6'
ACTION MARK 10000 235 CONSIDERED_RELEVANT b'fd98676b565941d75b83d42029f3b6e6'
ACTION SNIPPET 10000 238 SNIPPET_NOT_RELEVANT b'77f3d786-8e1a-11e1-a787-6ecf005d6112'
ACTION SNIPPET 10000 241 SNIPPET_NOT_RELEVANT b'3b78d94e70bf677472273d0fd525c036'
ACTION SNIPPET 10000 244 SNIPPET_NOT_RELEVANT b'c6364c5150ba1de242abc96bdbffc9a7'
ACTION SNIPPET 10000 247 SNIPPET_RELEVANT b'c24a001ed48e2306449d287cf1508c2d'
ACTION DOC 10000 267 EXAMINING_DOCUMENT b'c24a001ed48e2306449d287cf1508c2d'
ACTION MARK 10000 270 CONSIDERED_RELEVANT b'c24a001ed48e2306449d287cf1508c2d'
ACTION SNIPPET 10000 273 SNIPPET_NOT_RELEVANT b'615d5848-73cb-11e2-aa12-e6cf1d31106b'
ACTION SNIPPET 10000 276 SEEN_PREVIOUSLY b'6332253b6302522cbe1310c1d8eb7c18'
ACTION SNIPPET 10000 279 SNIPPET_NOT_RELEVANT b'3602eecb7eb0aade993666e115e9ab0b'
