ACTION QUERY 10000 10 alan gross released by cuba
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'381eb70e6c6918ac4e811367f016877d'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'381eb70e6c6918ac4e811367f016877d'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'381eb70e6c6918ac4e811367f016877d'
ACTION SNIPPET 10000 44 SNIPPET_NOT_RELEVANT b'069e4520-3e33-11e2-ae43-cf491b837f7b'
ACTION SNIPPET 10000 47 SNIPPET_NOT_RELEVANT b'3ef816d89dc6459a2aacd01841426799'
ACTION SNIPPET 10000 50 SNIPPET_NOT_RELEVANT b'e0a2794e-fc34-11e1-a31e-804fccb658f9'
ACTION SNIPPET 10000 53 SNIPPET_NOT_RELEVANT b'ffee0314-3f0e-11e2-ae43-cf491b837f7b'
ACTION SNIPPET 10000 56 SNIPPET_NOT_RELEVANT b'6510294e-5b46-11e3-a49b-90a0e156254b'
ACTION SNIPPET 10000 59 SNIPPET_NOT_RELEVANT b'3deff1ea-8353-11e1-b088-8660630b7284'
ACTION SNIPPET 10000 62 SNIPPET_NOT_RELEVANT b'62aaf894-43d9-11e2-8c8f-fbebf7ccab4e'
ACTION SNIPPET 10000 65 SNIPPET_RELEVANT b'99c2fde82f52b42142d3f512c1b3d2a4'
ACTION DOC 10000 85 EXAMINING_DOCUMENT b'99c2fde82f52b42142d3f512c1b3d2a4'
ACTION MARK 10000 88 CONSIDERED_RELEVANT b'99c2fde82f52b42142d3f512c1b3d2a4'
ACTION SNIPPET 10000 91 SNIPPET_RELEVANT b'b6fd9c92dc01054ce3795fa44e92e42e'
ACTION DOC 10000 111 EXAMINING_DOCUMENT b'b6fd9c92dc01054ce3795fa44e92e42e'
ACTION MARK 10000 114 CONSIDERED_RELEVANT b'b6fd9c92dc01054ce3795fa44e92e42e'
ACTION SNIPPET 10000 117 SNIPPET_NOT_RELEVANT b'9a5676e4-be92-11e3-bcec-b71ee10e9bc3'
ACTION SNIPPET 10000 120 SNIPPET_RELEVANT b'e257c56e-8607-11e4-9534-f79a23c40e6c'
ACTION DOC 10000 140 EXAMINING_DOCUMENT b'e257c56e-8607-11e4-9534-f79a23c40e6c'
ACTION MARK 10000 143 CONSIDERED_RELEVANT b'e257c56e-8607-11e4-9534-f79a23c40e6c'
ACTION SNIPPET 10000 146 SNIPPET_NOT_RELEVANT b'df878826-0c09-11e2-a310-2363842b7057'
ACTION SNIPPET 10000 149 SNIPPET_RELEVANT b'e19422d1710bf997024c9da25242cd8a'
ACTION DOC 10000 169 EXAMINING_DOCUMENT b'e19422d1710bf997024c9da25242cd8a'
ACTION MARK 10000 172 CONSIDERED_RELEVANT b'e19422d1710bf997024c9da25242cd8a'
ACTION SNIPPET 10000 175 SNIPPET_RELEVANT b'7e3d5d68e685850c9d63d52a5d681c3a'
ACTION DOC 10000 195 EXAMINING_DOCUMENT b'7e3d5d68e685850c9d63d52a5d681c3a'
ACTION MARK 10000 198 CONSIDERED_RELEVANT b'7e3d5d68e685850c9d63d52a5d681c3a'
ACTION SNIPPET 10000 201 SNIPPET_NOT_RELEVANT b'25ec12c6-0fb3-11e2-ba6c-07bd866eb71a'
ACTION SNIPPET 10000 204 SNIPPET_NOT_RELEVANT b'3d9cb34c-5688-11e1-8fb4-e176e27720b6'
ACTION SNIPPET 10000 207 SNIPPET_NOT_RELEVANT b'437e415c-a405-11e1-8d1f-323629c66cb9'
ACTION SNIPPET 10000 210 SNIPPET_NOT_RELEVANT b'8e7efbae9a49c9301c683781ebe738cc'
ACTION SNIPPET 10000 213 SNIPPET_NOT_RELEVANT b'e1e7acc6-751a-11e1-8fa6-9fcb4e001234'
ACTION SNIPPET 10000 216 SNIPPET_RELEVANT b'e23de2f4-8b91-11e4-a085-34e9b9f09a58'
ACTION DOC 10000 236 EXAMINING_DOCUMENT b'e23de2f4-8b91-11e4-a085-34e9b9f09a58'
ACTION MARK 10000 239 CONSIDERED_RELEVANT b'e23de2f4-8b91-11e4-a085-34e9b9f09a58'
ACTION SNIPPET 10000 242 SNIPPET_NOT_RELEVANT b'e473b5c4-71ec-11e1-b747-ee64265ae6c6'
ACTION SNIPPET 10000 245 SNIPPET_RELEVANT b'2435768a-a389-11e5-b53d-972e2751f433'
ACTION DOC 10000 265 EXAMINING_DOCUMENT b'2435768a-a389-11e5-b53d-972e2751f433'
ACTION MARK 10000 268 CONSIDERED_RELEVANT b'2435768a-a389-11e5-b53d-972e2751f433'
ACTION SNIPPET 10000 271 SNIPPET_RELEVANT b'2172e213b70dee89130673b2a1989a69'
ACTION DOC 10000 291 EXAMINING_DOCUMENT b'2172e213b70dee89130673b2a1989a69'
ACTION MARK 10000 294 CONSIDERED_RELEVANT b'2172e213b70dee89130673b2a1989a69'
