ACTION QUERY 10000 10 food stamps increase
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'6fdc62d37aaf685b809c501abe13c56c'
ACTION SNIPPET 10000 21 SNIPPET_RELEVANT b'a25d386b0e49f1d49ce86cb719e05be6'
ACTION DOC 10000 41 EXAMINING_DOCUMENT b'a25d386b0e49f1d49ce86cb719e05be6'
ACTION MARK 10000 44 CONSIDERED_RELEVANT b'a25d386b0e49f1d49ce86cb719e05be6'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'aa0cac9796a64191740a07b4f089127a'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'aa0cac9796a64191740a07b4f089127a'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'70a5ff34-41cb-11e3-a624-41d661b0bb78'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'70a5ff34-41cb-11e3-a624-41d661b0bb78'
ACTION SNIPPET 10000 93 SNIPPET_NOT_RELEVANT b'abbdd3a35167a6dbc7491f4be7c6eded'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'c664009eedd385af7d6f234fb16dd3a8'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'c664009eedd385af7d6f234fb16dd3a8'
ACTION SNIPPET 10000 119 SNIPPET_NOT_RELEVANT b'5da022e634d6c6faf7b7d49a6cb7db7c'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'b7d26655980ca50a9a753574b3f89708'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'b7d26655980ca50a9a753574b3f89708'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'29f7bc44-5202-11e7-b064-828ba60fbb98'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'29f7bc44-5202-11e7-b064-828ba60fbb98'
ACTION SNIPPET 10000 168 SNIPPET_RELEVANT b'fd39a3e8-a250-11e3-84d4-e59b1709222c'
ACTION DOC 10000 188 EXAMINING_DOCUMENT b'fd39a3e8-a250-11e3-84d4-e59b1709222c'
ACTION SNIPPET 10000 191 SNIPPET_RELEVANT b'bf9d2620-a7c5-11e3-b61e-8051b8b52d06'
ACTION DOC 10000 211 EXAMINING_DOCUMENT b'bf9d2620-a7c5-11e3-b61e-8051b8b52d06'
ACTION MARK 10000 214 CONSIDERED_RELEVANT b'bf9d2620-a7c5-11e3-b61e-8051b8b52d06'
ACTION SNIPPET 10000 217 SNIPPET_RELEVANT b'35de937888362c3851df06b66fa6b0a8'
ACTION DOC 10000 237 EXAMINING_DOCUMENT b'35de937888362c3851df06b66fa6b0a8'
ACTION SNIPPET 10000 240 SNIPPET_NOT_RELEVANT b'52c42614-e256-11e2-80eb-3145e2994a55'
ACTION SNIPPET 10000 243 SNIPPET_NOT_RELEVANT b'216260efaa9bc4168fa6ad0fc18fc8eb'
ACTION SNIPPET 10000 246 SNIPPET_NOT_RELEVANT b'150e4bfa-a3db-11e3-a5fa-55f0c77bf39c'
ACTION SNIPPET 10000 249 SNIPPET_RELEVANT b'fba7ece89ccca93f705689ae540e2a36'
ACTION DOC 10000 269 EXAMINING_DOCUMENT b'fba7ece89ccca93f705689ae540e2a36'
