ACTION QUERY 10000 10 overseas tobacco sales
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'925900'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'925900'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'925900'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'170810'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'170810'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'170810'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1812174'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1812174'
ACTION SNIPPET 10000 93 SNIPPET_RELEVANT b'1011152'
ACTION DOC 10000 113 EXAMINING_DOCUMENT b'1011152'
ACTION MARK 10000 116 CONSIDERED_RELEVANT b'1011152'
ACTION SNIPPET 10000 119 SNIPPET_RELEVANT b'1091527'
ACTION DOC 10000 139 EXAMINING_DOCUMENT b'1091527'
ACTION MARK 10000 142 CONSIDERED_RELEVANT b'1091527'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'956512'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'956512'
ACTION MARK 10000 168 CONSIDERED_RELEVANT b'956512'
ACTION SNIPPET 10000 171 SNIPPET_RELEVANT b'814188'
ACTION DOC 10000 191 EXAMINING_DOCUMENT b'814188'
ACTION MARK 10000 194 CONSIDERED_RELEVANT b'814188'
ACTION SNIPPET 10000 197 SNIPPET_RELEVANT b'948180'
ACTION DOC 10000 217 EXAMINING_DOCUMENT b'948180'
ACTION SNIPPET 10000 220 SNIPPET_RELEVANT b'241188'
ACTION DOC 10000 240 EXAMINING_DOCUMENT b'241188'
ACTION MARK 10000 243 CONSIDERED_RELEVANT b'241188'
ACTION SNIPPET 10000 246 SNIPPET_RELEVANT b'1012059'
ACTION DOC 10000 266 EXAMINING_DOCUMENT b'1012059'
ACTION QUERY 10000 276 overseas tobacco sales producer
ACTION SERP 10000 281 EXAMINE_SERP
ACTION SNIPPET 10000 284 SEEN_PREVIOUSLY b'1812174'
ACTION SNIPPET 10000 287 SNIPPET_RELEVANT b'1160439'
ACTION DOC 10000 307 EXAMINING_DOCUMENT b'1160439'
ACTION SNIPPET 10000 310 SNIPPET_RELEVANT b'205327'
ACTION DOC 10000 330 EXAMINING_DOCUMENT b'205327'
ACTION MARK 10000 333 CONSIDERED_RELEVANT b'205327'
ACTION SNIPPET 10000 336 SNIPPET_RELEVANT b'988744'
ACTION DOC 10000 356 EXAMINING_DOCUMENT b'988744'
ACTION MARK 10000 359 CONSIDERED_RELEVANT b'988744'
ACTION SNIPPET 10000 362 SNIPPET_RELEVANT b'988651'
ACTION DOC 10000 382 EXAMINING_DOCUMENT b'988651'
ACTION MARK 10000 385 CONSIDERED_RELEVANT b'988651'
ACTION SNIPPET 10000 388 SNIPPET_RELEVANT b'1091321'
ACTION DOC 10000 408 EXAMINING_DOCUMENT b'1091321'
ACTION MARK 10000 411 CONSIDERED_RELEVANT b'1091321'
ACTION SNIPPET 10000 414 SNIPPET_RELEVANT b'841762'
ACTION DOC 10000 434 EXAMINING_DOCUMENT b'841762'
ACTION MARK 10000 437 CONSIDERED_RELEVANT b'841762'
ACTION SNIPPET 10000 440 SNIPPET_NOT_RELEVANT b'1072465'
ACTION SNIPPET 10000 443 SEEN_PREVIOUSLY b'948180'
ACTION SNIPPET 10000 446 SEEN_PREVIOUSLY b'1012059'
ACTION QUERY 10000 456 overseas tobacco sales reynolds
ACTION SERP 10000 461 EXAMINE_SERP
ACTION SNIPPET 10000 464 SNIPPET_NOT_RELEVANT b'995863'
ACTION SNIPPET 10000 467 SEEN_PREVIOUSLY b'948180'
ACTION SNIPPET 10000 470 SNIPPET_RELEVANT b'54760'
ACTION DOC 10000 490 EXAMINING_DOCUMENT b'54760'
ACTION MARK 10000 493 CONSIDERED_RELEVANT b'54760'
ACTION SNIPPET 10000 496 SNIPPET_NOT_RELEVANT b'1071944'
ACTION SNIPPET 10000 499 SNIPPET_NOT_RELEVANT b'263583'
ACTION SNIPPET 10000 502 SNIPPET_NOT_RELEVANT b'1477'
ACTION SNIPPET 10000 505 SNIPPET_RELEVANT b'1477'
ACTION DOC 10000 525 EXAMINING_DOCUMENT b'1477'
ACTION SNIPPET 10000 528 SNIPPET_RELEVANT b'952987'
ACTION DOC 10000 548 EXAMINING_DOCUMENT b'952987'
ACTION MARK 10000 551 CONSIDERED_RELEVANT b'952987'
ACTION SNIPPET 10000 554 SNIPPET_RELEVANT b'436998'
ACTION DOC 10000 574 EXAMINING_DOCUMENT b'436998'
ACTION MARK 10000 577 CONSIDERED_RELEVANT b'436998'
ACTION SNIPPET 10000 580 SNIPPET_RELEVANT b'285021'
ACTION DOC 10000 600 EXAMINING_DOCUMENT b'285021'
ACTION MARK 10000 603 CONSIDERED_RELEVANT b'285021'
ACTION QUERY 10000 613 overseas tobacco sales promoting
ACTION SERP 10000 618 EXAMINE_SERP
ACTION SNIPPET 10000 621 SNIPPET_RELEVANT b'995863'
ACTION DOC 10000 641 EXAMINING_DOCUMENT b'995863'
ACTION MARK 10000 644 CONSIDERED_RELEVANT b'995863'
