ACTION QUERY 10000 10 piracy
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'944052'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'1539234'
ACTION SNIPPET 10000 24 SNIPPET_NOT_RELEVANT b'1050607'
ACTION SNIPPET 10000 27 SNIPPET_NOT_RELEVANT b'1634739'
ACTION SNIPPET 10000 30 SNIPPET_NOT_RELEVANT b'68102'
ACTION SNIPPET 10000 33 SNIPPET_NOT_RELEVANT b'1027308'
ACTION SNIPPET 10000 36 SNIPPET_NOT_RELEVANT b'1524044'
ACTION SNIPPET 10000 39 SNIPPET_NOT_RELEVANT b'1549581'
ACTION SNIPPET 10000 42 SNIPPET_NOT_RELEVANT b'119258'
ACTION SNIPPET 10000 45 SNIPPET_NOT_RELEVANT b'1523782'
ACTION QUERY 10000 55 piracy fashioned
ACTION SERP 10000 60 EXAMINE_SERP
ACTION SNIPPET 10000 63 SNIPPET_NOT_RELEVANT b'1750614'
ACTION SNIPPET 10000 66 SNIPPET_NOT_RELEVANT b'941274'
ACTION SNIPPET 10000 69 SNIPPET_RELEVANT b'1573004'
ACTION DOC 10000 89 EXAMINING_DOCUMENT b'1573004'
ACTION MARK 10000 92 CONSIDERED_RELEVANT b'1573004'
ACTION SNIPPET 10000 95 SNIPPET_NOT_RELEVANT b'1224159'
ACTION SNIPPET 10000 98 SNIPPET_NOT_RELEVANT b'1454790'
ACTION SNIPPET 10000 101 SNIPPET_NOT_RELEVANT b'1697916'
ACTION SNIPPET 10000 104 SNIPPET_NOT_RELEVANT b'1660221'
ACTION SNIPPET 10000 107 SNIPPET_NOT_RELEVANT b'944052'
ACTION SNIPPET 10000 110 SNIPPET_NOT_RELEVANT b'1539234'
ACTION SNIPPET 10000 113 SNIPPET_NOT_RELEVANT b'404494'
ACTION QUERY 10000 123 piracy vessels
ACTION SERP 10000 128 EXAMINE_SERP
ACTION SNIPPET 10000 131 SNIPPET_RELEVANT b'1697161'
ACTION DOC 10000 151 EXAMINING_DOCUMENT b'1697161'
ACTION MARK 10000 154 CONSIDERED_RELEVANT b'1697161'
ACTION SNIPPET 10000 157 SNIPPET_RELEVANT b'1512074'
ACTION DOC 10000 177 EXAMINING_DOCUMENT b'1512074'
ACTION MARK 10000 180 CONSIDERED_RELEVANT b'1512074'
ACTION SNIPPET 10000 183 SNIPPET_RELEVANT b'1773531'
ACTION DOC 10000 203 EXAMINING_DOCUMENT b'1773531'
ACTION MARK 10000 206 CONSIDERED_RELEVANT b'1773531'
ACTION SNIPPET 10000 209 SNIPPET_RELEVANT b'1722166'
ACTION DOC 10000 229 EXAMINING_DOCUMENT b'1722166'
ACTION MARK 10000 232 CONSIDERED_RELEVANT b'1722166'
ACTION SNIPPET 10000 235 SNIPPET_RELEVANT b'1702546'
ACTION DOC 10000 255 EXAMINING_DOCUMENT b'1702546'
ACTION MARK 10000 258 CONSIDERED_RELEVANT b'1702546'
ACTION SNIPPET 10000 261 SNIPPET_RELEVANT b'273784'
ACTION DOC 10000 281 EXAMINING_DOCUMENT b'273784'
ACTION MARK 10000 284 CONSIDERED_RELEVANT b'273784'
ACTION SNIPPET 10000 287 SNIPPET_RELEVANT b'1475759'
ACTION DOC 10000 307 EXAMINING_DOCUMENT b'1475759'
ACTION MARK 10000 310 CONSIDERED_RELEVANT b'1475759'
ACTION SNIPPET 10000 313 SNIPPET_RELEVANT b'1324421'
ACTION DOC 10000 333 EXAMINING_DOCUMENT b'1324421'
ACTION MARK 10000 336 CONSIDERED_RELEVANT b'1324421'
ACTION SNIPPET 10000 339 SNIPPET_NOT_RELEVANT b'1509386'
ACTION SNIPPET 10000 342 SNIPPET_NOT_RELEVANT b'1354591'
ACTION QUERY 10000 352 piracy piracy
ACTION SERP 10000 357 EXAMINE_SERP
ACTION SNIPPET 10000 360 SNIPPET_NOT_RELEVANT b'944052'
