ACTION QUERY 10000 10 piracy
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'944052'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'1539234'
ACTION SNIPPET 10000 24 SNIPPET_NOT_RELEVANT b'1050607'
ACTION SNIPPET 10000 27 SNIPPET_NOT_RELEVANT b'1634739'
ACTION SNIPPET 10000 30 SNIPPET_NOT_RELEVANT b'68102'
ACTION SNIPPET 10000 33 SNIPPET_NOT_RELEVANT b'1027308'
ACTION SNIPPET 10000 36 SNIPPET_NOT_RELEVANT b'1524044'
ACTION SNIPPET 10000 39 SNIPPET_NOT_RELEVANT b'1549581'
ACTION SNIPPET 10000 42 SNIPPET_NOT_RELEVANT b'119258'
ACTION SNIPPET 10000 45 SNIPPET_NOT_RELEVANT b'1523782'
ACTION QUERY 10000 55 piracy economy
ACTION SERP 10000 60 EXAMINE_SERP
ACTION SNIPPET 10000 63 SNIPPET_NOT_RELEVANT b'1737661'
ACTION SNIPPET 10000 66 SNIPPET_NOT_RELEVANT b'1050607'
ACTION SNIPPET 10000 69 SNIPPET_NOT_RELEVANT b'1229634'
ACTION SNIPPET 10000 72 SNIPPET_NOT_RELEVANT b'741918'
ACTION SNIPPET 10000 75 SNIPPET_NOT_RELEVANT b'1456641'
ACTION SNIPPET 10000 78 SNIPPET_NOT_RELEVANT b'1808669'
ACTION SNIPPET 10000 81 SNIPPET_NOT_RELEVANT b'1632625'
ACTION SNIPPET 10000 84 SNIPPET_NOT_RELEVANT b'1205668'
ACTION SNIPPET 10000 87 SNIPPET_NOT_RELEVANT b'1824439'
ACTION SNIPPET 10000 90 SNIPPET_NOT_RELEVANT b'941274'
ACTION QUERY 10000 100 piracy aden
ACTION SERP 10000 105 EXAMINE_SERP
ACTION SNIPPET 10000 108 SNIPPET_RELEVANT b'1324421'
ACTION DOC 10000 128 EXAMINING_DOCUMENT b'1324421'
ACTION MARK 10000 131 CONSIDERED_RELEVANT b'1324421'
ACTION SNIPPET 10000 134 SNIPPET_NOT_RELEVANT b'799579'
ACTION SNIPPET 10000 137 SNIPPET_NOT_RELEVANT b'800010'
ACTION SNIPPET 10000 140 SNIPPET_NOT_RELEVANT b'735994'
ACTION SNIPPET 10000 143 SNIPPET_NOT_RELEVANT b'385769'
ACTION SNIPPET 10000 146 SNIPPET_NOT_RELEVANT b'1300417'
ACTION SNIPPET 10000 149 SNIPPET_NOT_RELEVANT b'1240322'
ACTION SNIPPET 10000 152 SNIPPET_NOT_RELEVANT b'1239347'
ACTION SNIPPET 10000 155 SNIPPET_NOT_RELEVANT b'687699'
ACTION SNIPPET 10000 158 SNIPPET_NOT_RELEVANT b'1241030'
ACTION QUERY 10000 168 piracy global
ACTION SERP 10000 173 EXAMINE_SERP
ACTION SNIPPET 10000 176 SNIPPET_NOT_RELEVANT b'1704054'
ACTION SNIPPET 10000 179 SNIPPET_RELEVANT b'1573004'
ACTION DOC 10000 199 EXAMINING_DOCUMENT b'1573004'
ACTION MARK 10000 202 CONSIDERED_RELEVANT b'1573004'
ACTION SNIPPET 10000 205 SNIPPET_NOT_RELEVANT b'1229637'
ACTION SNIPPET 10000 208 SNIPPET_NOT_RELEVANT b'1737661'
ACTION SNIPPET 10000 211 SNIPPET_NOT_RELEVANT b'1229634'
ACTION SNIPPET 10000 214 SNIPPET_NOT_RELEVANT b'1648802'
ACTION SNIPPET 10000 217 SNIPPET_NOT_RELEVANT b'1699514'
ACTION SNIPPET 10000 220 SNIPPET_NOT_RELEVANT b'1350717'
ACTION SNIPPET 10000 223 SNIPPET_NOT_RELEVANT b'1604517'
ACTION SNIPPET 10000 226 SNIPPET_NOT_RELEVANT b'1808669'
ACTION QUERY 10000 236 piracy oil
ACTION SERP 10000 241 EXAMINE_SERP
ACTION SNIPPET 10000 244 SEEN_PREVIOUSLY b'1573004'
