ACTION QUERY 10000 10 mainstreaming
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'959337'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'973283'
ACTION SNIPPET 10000 24 SNIPPET_NOT_RELEVANT b'183910'
ACTION SNIPPET 10000 27 SNIPPET_NOT_RELEVANT b'1718294'
ACTION SNIPPET 10000 30 SNIPPET_NOT_RELEVANT b'1267884'
ACTION SNIPPET 10000 33 SNIPPET_NOT_RELEVANT b'1129279'
ACTION SNIPPET 10000 36 SNIPPET_NOT_RELEVANT b'610900'
ACTION SNIPPET 10000 39 SNIPPET_NOT_RELEVANT b'1216237'
ACTION SNIPPET 10000 42 SNIPPET_NOT_RELEVANT b'166353'
ACTION SNIPPET 10000 45 SNIPPET_NOT_RELEVANT b'900664'
ACTION QUERY 10000 55 mainstreaming welcoming
ACTION SERP 10000 60 EXAMINE_SERP
ACTION SNIPPET 10000 63 SNIPPET_NOT_RELEVANT b'553424'
ACTION SNIPPET 10000 66 SNIPPET_NOT_RELEVANT b'502754'
ACTION SNIPPET 10000 69 SNIPPET_NOT_RELEVANT b'359604'
ACTION SNIPPET 10000 72 SNIPPET_NOT_RELEVANT b'634223'
ACTION SNIPPET 10000 75 SNIPPET_NOT_RELEVANT b'1315639'
ACTION SNIPPET 10000 78 SNIPPET_NOT_RELEVANT b'541905'
ACTION SNIPPET 10000 81 SNIPPET_NOT_RELEVANT b'870682'
ACTION SNIPPET 10000 84 SNIPPET_NOT_RELEVANT b'121571'
ACTION SNIPPET 10000 87 SNIPPET_NOT_RELEVANT b'1339273'
ACTION SNIPPET 10000 90 SNIPPET_NOT_RELEVANT b'154165'
ACTION QUERY 10000 100 mainstreaming handicaps
ACTION SERP 10000 105 EXAMINE_SERP
ACTION SNIPPET 10000 108 SNIPPET_NOT_RELEVANT b'331728'
ACTION SNIPPET 10000 111 SNIPPET_RELEVANT b'478881'
ACTION DOC 10000 131 EXAMINING_DOCUMENT b'478881'
ACTION MARK 10000 134 CONSIDERED_RELEVANT b'478881'
ACTION SNIPPET 10000 137 SNIPPET_RELEVANT b'283963'
ACTION DOC 10000 157 EXAMINING_DOCUMENT b'283963'
ACTION MARK 10000 160 CONSIDERED_RELEVANT b'283963'
ACTION SNIPPET 10000 163 SNIPPET_NOT_RELEVANT b'256674'
ACTION SNIPPET 10000 166 SNIPPET_RELEVANT b'552301'
ACTION DOC 10000 186 EXAMINING_DOCUMENT b'552301'
ACTION MARK 10000 189 CONSIDERED_RELEVANT b'552301'
ACTION SNIPPET 10000 192 SNIPPET_NOT_RELEVANT b'432045'
ACTION SNIPPET 10000 195 SNIPPET_NOT_RELEVANT b'433430'
ACTION SNIPPET 10000 198 SNIPPET_NOT_RELEVANT b'1083301'
ACTION SNIPPET 10000 201 SNIPPET_NOT_RELEVANT b'131110'
ACTION SNIPPET 10000 204 SNIPPET_NOT_RELEVANT b'1132339'
