ACTION QUERY 10000 10 Amazon rain forest
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'230057'
ACTION SNIPPET 10000 21 SNIPPET_RELEVANT b'1500392'
ACTION DOC 10000 41 EXAMINING_DOCUMENT b'1500392'
ACTION MARK 10000 44 CONSIDERED_RELEVANT b'1500392'
ACTION SNIPPET 10000 47 SNIPPET_NOT_RELEVANT b'1224353'
ACTION SNIPPET 10000 50 SNIPPET_NOT_RELEVANT b'876768'
ACTION SNIPPET 10000 53 SNIPPET_NOT_RELEVANT b'220124'
ACTION SNIPPET 10000 56 SNIPPET_NOT_RELEVANT b'797137'
ACTION SNIPPET 10000 59 SNIPPET_NOT_RELEVANT b'796899'
ACTION SNIPPET 10000 62 SNIPPET_NOT_RELEVANT b'197909'
ACTION SNIPPET 10000 65 SNIPPET_NOT_RELEVANT b'376180'
ACTION SNIPPET 10000 68 SNIPPET_NOT_RELEVANT b'203677'
ACTION SNIPPET 10000 71 SNIPPET_NOT_RELEVANT b'965231'
ACTION SNIPPET 10000 74 SNIPPET_RELEVANT b'226800'
ACTION DOC 10000 94 EXAMINING_DOCUMENT b'226800'
ACTION MARK 10000 97 CONSIDERED_RELEVANT b'226800'
ACTION SNIPPET 10000 100 SNIPPET_NOT_RELEVANT b'334035'
ACTION SNIPPET 10000 103 SNIPPET_NOT_RELEVANT b'969998'
ACTION SNIPPET 10000 106 SNIPPET_NOT_RELEVANT b'1523526'
ACTION SNIPPET 10000 109 SNIPPET_RELEVANT b'977022'
ACTION DOC 10000 129 EXAMINING_DOCUMENT b'977022'
ACTION MARK 10000 132 CONSIDERED_RELEVANT b'977022'
ACTION SNIPPET 10000 135 SNIPPET_NOT_RELEVANT b'599041'
ACTION SNIPPET 10000 138 SNIPPET_RELEVANT b'330332'
ACTION DOC 10000 158 EXAMINING_DOCUMENT b'330332'
ACTION MARK 10000 161 CONSIDERED_RELEVANT b'330332'
ACTION SNIPPET 10000 164 SNIPPET_RELEVANT b'237481'
ACTION DOC 10000 184 EXAMINING_DOCUMENT b'237481'
ACTION MARK 10000 187 CONSIDERED_RELEVANT b'237481'
ACTION SNIPPET 10000 190 SNIPPET_RELEVANT b'323354'
ACTION DOC 10000 210 EXAMINING_DOCUMENT b'323354'
ACTION MARK 10000 213 CONSIDERED_RELEVANT b'323354'
ACTION SNIPPET 10000 216 SNIPPET_RELEVANT b'1676640'
ACTION DOC 10000 236 EXAMINING_DOCUMENT b'1676640'
ACTION MARK 10000 239 CONSIDERED_RELEVANT b'1676640'
ACTION SNIPPET 10000 242 SNIPPET_NOT_RELEVANT b'966661'
ACTION SNIPPET 10000 245 SNIPPET_RELEVANT b'1575974'
ACTION DOC 10000 265 EXAMINING_DOCUMENT b'1575974'
ACTION MARK 10000 268 CONSIDERED_RELEVANT b'1575974'
ACTION SNIPPET 10000 271 SNIPPET_RELEVANT b'224951'
ACTION DOC 10000 291 EXAMINING_DOCUMENT b'224951'
ACTION MARK 10000 294 CONSIDERED_RELEVANT b'224951'
ACTION SNIPPET 10000 297 SNIPPET_RELEVANT b'228333'
ACTION DOC 10000 317 EXAMINING_DOCUMENT b'228333'
ACTION MARK 10000 320 CONSIDERED_RELEVANT b'228333'
ACTION SNIPPET 10000 323 SNIPPET_NOT_RELEVANT b'78119'
ACTION SNIPPET 10000 326 SNIPPET_RELEVANT b'187470'
ACTION DOC 10000 346 EXAMINING_DOCUMENT b'187470'
ACTION MARK 10000 349 CONSIDERED_RELEVANT b'187470'
ACTION SNIPPET 10000 352 SNIPPET_NOT_RELEVANT b'1162715'
ACTION SNIPPET 10000 355 SNIPPET_NOT_RELEVANT b'390057'
ACTION SNIPPET 10000 358 SNIPPET_NOT_RELEVANT b'224344'
ACTION SNIPPET 10000 361 SNIPPET_RELEVANT b'432815'
ACTION DOC 10000 381 EXAMINING_DOCUMENT b'432815'
ACTION MARK 10000 384 CONSIDERED_RELEVANT b'432815'
ACTION SNIPPET 10000 387 SNIPPET_NOT_RELEVANT b'1207948'
ACTION SNIPPET 10000 390 SNIPPET_NOT_RELEVANT b'300990'
ACTION SNIPPET 10000 393 SNIPPET_NOT_RELEVANT b'45704'
ACTION SNIPPET 10000 396 SNIPPET_NOT_RELEVANT b'216460'
ACTION SNIPPET 10000 399 SNIPPET_NOT_RELEVANT b'1607276'
ACTION SNIPPET 10000 402 SNIPPET_NOT_RELEVANT b'623009'
ACTION SNIPPET 10000 405 SNIPPET_NOT_RELEVANT b'862010'
ACTION SNIPPET 10000 408 SNIPPET_NOT_RELEVANT b'946607'
ACTION SNIPPET 10000 411 SNIPPET_NOT_RELEVANT b'384925'
ACTION SNIPPET 10000 414 SNIPPET_NOT_RELEVANT b'1046256'
ACTION SNIPPET 10000 417 SNIPPET_NOT_RELEVANT b'964233'
ACTION SNIPPET 10000 420 SNIPPET_RELEVANT b'220834'
ACTION DOC 10000 440 EXAMINING_DOCUMENT b'220834'
ACTION MARK 10000 443 CONSIDERED_RELEVANT b'220834'
ACTION SNIPPET 10000 446 SNIPPET_NOT_RELEVANT b'438433'
ACTION SNIPPET 10000 449 SNIPPET_NOT_RELEVANT b'1079796'
ACTION SNIPPET 10000 452 SNIPPET_NOT_RELEVANT b'264854'
ACTION SNIPPET 10000 455 SNIPPET_RELEVANT b'1073784'
ACTION DOC 10000 475 EXAMINING_DOCUMENT b'1073784'
ACTION MARK 10000 478 CONSIDERED_RELEVANT b'1073784'
ACTION SNIPPET 10000 481 SNIPPET_NOT_RELEVANT b'348913'
ACTION SNIPPET 10000 484 SNIPPET_NOT_RELEVANT b'966660'
ACTION SNIPPET 10000 487 SNIPPET_RELEVANT b'78500'
ACTION DOC 10000 507 EXAMINING_DOCUMENT b'78500'
ACTION MARK 10000 510 CONSIDERED_RELEVANT b'78500'
INFO SERP_END_REACHED 
ACTION QUERY 10000 520 Amazon rain forest conservation efforts
ACTION SERP 10000 525 EXAMINE_SERP
ACTION SNIPPET 10000 528 SNIPPET_NOT_RELEVANT b'1162715'
ACTION SNIPPET 10000 531 SNIPPET_NOT_RELEVANT b'946607'
ACTION SNIPPET 10000 534 SNIPPET_NOT_RELEVANT b'965231'
ACTION SNIPPET 10000 537 SEEN_PREVIOUSLY b'1676640'
ACTION SNIPPET 10000 540 SNIPPET_NOT_RELEVANT b'1471407'
ACTION SNIPPET 10000 543 SNIPPET_RELEVANT b'1013462'
ACTION DOC 10000 563 EXAMINING_DOCUMENT b'1013462'
ACTION MARK 10000 566 CONSIDERED_RELEVANT b'1013462'
ACTION SNIPPET 10000 569 SNIPPET_NOT_RELEVANT b'203677'
ACTION SNIPPET 10000 572 SNIPPET_RELEVANT b'241865'
ACTION DOC 10000 592 EXAMINING_DOCUMENT b'241865'
ACTION MARK 10000 595 CONSIDERED_RELEVANT b'241865'
ACTION SNIPPET 10000 598 SNIPPET_NOT_RELEVANT b'599041'
ACTION SNIPPET 10000 601 SNIPPET_NOT_RELEVANT b'224344'
ACTION SNIPPET 10000 604 SNIPPET_NOT_RELEVANT b'728364'
ACTION SNIPPET 10000 607 SNIPPET_NOT_RELEVANT b'945272'
