ACTION QUERY 10000 10 "law enforcement  dogs"
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'1126803'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'768273'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'923876'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'923876'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'848079'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'848079'
ACTION SNIPPET 10000 70 SNIPPET_NOT_RELEVANT b'772507'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'766842'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'766842'
ACTION SNIPPET 10000 96 SNIPPET_NOT_RELEVANT b'848932'
ACTION SNIPPET 10000 99 SNIPPET_RELEVANT b'67242'
ACTION DOC 10000 119 EXAMINING_DOCUMENT b'67242'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'63909'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'63909'
ACTION QUERY 10000 152 Police k9
ACTION SERP 10000 157 EXAMINE_SERP
ACTION SNIPPET 10000 160 SNIPPET_RELEVANT b'1372273'
ACTION DOC 10000 180 EXAMINING_DOCUMENT b'1372273'
ACTION SNIPPET 10000 183 SNIPPET_RELEVANT b'715461'
ACTION DOC 10000 203 EXAMINING_DOCUMENT b'715461'
ACTION SNIPPET 10000 206 SNIPPET_RELEVANT b'1680519'
ACTION DOC 10000 226 EXAMINING_DOCUMENT b'1680519'
ACTION SNIPPET 10000 229 SNIPPET_NOT_RELEVANT b'1140737'
ACTION SNIPPET 10000 232 SNIPPET_NOT_RELEVANT b'1208814'
ACTION SNIPPET 10000 235 SNIPPET_NOT_RELEVANT b'1496957'
ACTION SNIPPET 10000 238 SNIPPET_RELEVANT b'1224085'
ACTION DOC 10000 258 EXAMINING_DOCUMENT b'1224085'
ACTION SNIPPET 10000 261 SNIPPET_NOT_RELEVANT b'1228506'
ACTION SNIPPET 10000 264 SNIPPET_NOT_RELEVANT b'1703020'
ACTION QUERY 10000 274 Working dog law enforcement
ACTION SERP 10000 279 EXAMINE_SERP
ACTION SNIPPET 10000 282 SEEN_PREVIOUSLY b'848079'
ACTION SNIPPET 10000 285 SNIPPET_NOT_RELEVANT b'1126803'
