ACTION QUERY 10000 10 Flavr Savr tomato
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'688224'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'688224'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'688224'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'689070'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'689070'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'689070'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'542584'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'542584'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'542584'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'827299'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'827299'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'827299'
ACTION SNIPPET 10000 122 SNIPPET_NOT_RELEVANT b'688180'
ACTION SNIPPET 10000 125 SNIPPET_RELEVANT b'688200'
ACTION DOC 10000 145 EXAMINING_DOCUMENT b'688200'
ACTION MARK 10000 148 CONSIDERED_RELEVANT b'688200'
ACTION SNIPPET 10000 151 SNIPPET_RELEVANT b'679258'
ACTION DOC 10000 171 EXAMINING_DOCUMENT b'679258'
ACTION MARK 10000 174 CONSIDERED_RELEVANT b'679258'
ACTION SNIPPET 10000 177 SNIPPET_RELEVANT b'581098'
ACTION DOC 10000 197 EXAMINING_DOCUMENT b'581098'
ACTION MARK 10000 200 CONSIDERED_RELEVANT b'581098'
ACTION SNIPPET 10000 203 SNIPPET_RELEVANT b'738589'
ACTION DOC 10000 223 EXAMINING_DOCUMENT b'738589'
ACTION SNIPPET 10000 226 SNIPPET_RELEVANT b'582354'
ACTION DOC 10000 246 EXAMINING_DOCUMENT b'582354'
ACTION MARK 10000 249 CONSIDERED_RELEVANT b'582354'
ACTION QUERY 10000 259 Flavor Saver tomato
ACTION SERP 10000 264 EXAMINE_SERP
ACTION SNIPPET 10000 267 SNIPPET_RELEVANT b'739969'
ACTION DOC 10000 287 EXAMINING_DOCUMENT b'739969'
ACTION SNIPPET 10000 290 SNIPPET_RELEVANT b'826046'
ACTION DOC 10000 310 EXAMINING_DOCUMENT b'826046'
ACTION SNIPPET 10000 313 SNIPPET_NOT_RELEVANT b'598493'
ACTION SNIPPET 10000 316 SNIPPET_NOT_RELEVANT b'501755'
ACTION SNIPPET 10000 319 SNIPPET_NOT_RELEVANT b'672139'
ACTION SNIPPET 10000 322 SNIPPET_RELEVANT b'634105'
ACTION DOC 10000 342 EXAMINING_DOCUMENT b'634105'
ACTION SNIPPET 10000 345 SNIPPET_NOT_RELEVANT b'1308372'
ACTION SNIPPET 10000 348 SNIPPET_NOT_RELEVANT b'598479'
ACTION SNIPPET 10000 351 SNIPPET_NOT_RELEVANT b'379542'
ACTION SNIPPET 10000 354 SNIPPET_NOT_RELEVANT b'379540'
ACTION QUERY 10000 364 First genetically modified food
ACTION SERP 10000 369 EXAMINE_SERP
ACTION SNIPPET 10000 372 SNIPPET_NOT_RELEVANT b'1575719'
ACTION SNIPPET 10000 375 SNIPPET_NOT_RELEVANT b'1233861'
ACTION SNIPPET 10000 378 SNIPPET_RELEVANT b'1123316'
ACTION DOC 10000 398 EXAMINING_DOCUMENT b'1123316'
ACTION SNIPPET 10000 401 SNIPPET_NOT_RELEVANT b'1464024'
ACTION SNIPPET 10000 404 SNIPPET_RELEVANT b'1669563'
ACTION DOC 10000 424 EXAMINING_DOCUMENT b'1669563'
ACTION SNIPPET 10000 427 SNIPPET_RELEVANT b'1501732'
ACTION DOC 10000 447 EXAMINING_DOCUMENT b'1501732'
ACTION SNIPPET 10000 450 SNIPPET_RELEVANT b'1434033'
ACTION DOC 10000 470 EXAMINING_DOCUMENT b'1434033'
ACTION SNIPPET 10000 473 SNIPPET_NOT_RELEVANT b'1420859'
ACTION SNIPPET 10000 476 SNIPPET_RELEVANT b'1570419'
ACTION DOC 10000 496 EXAMINING_DOCUMENT b'1570419'
ACTION SNIPPET 10000 499 SNIPPET_NOT_RELEVANT b'1421572'
ACTION QUERY 10000 509 Calgene
ACTION SERP 10000 514 EXAMINE_SERP
ACTION SNIPPET 10000 517 SNIPPET_RELEVANT b'771942'
ACTION DOC 10000 537 EXAMINING_DOCUMENT b'771942'
ACTION MARK 10000 540 CONSIDERED_RELEVANT b'771942'
ACTION SNIPPET 10000 543 SEEN_PREVIOUSLY b'827299'
ACTION SNIPPET 10000 546 SEEN_PREVIOUSLY b'581098'
ACTION SNIPPET 10000 549 SEEN_PREVIOUSLY b'688200'
ACTION SNIPPET 10000 552 SNIPPET_NOT_RELEVANT b'30704'
ACTION SNIPPET 10000 555 SNIPPET_NOT_RELEVANT b'235362'
ACTION SNIPPET 10000 558 SEEN_PREVIOUSLY b'582354'
ACTION SNIPPET 10000 561 SNIPPET_NOT_RELEVANT b'460967'
ACTION SNIPPET 10000 564 SNIPPET_RELEVANT b'574157'
ACTION DOC 10000 584 EXAMINING_DOCUMENT b'574157'
ACTION MARK 10000 587 CONSIDERED_RELEVANT b'574157'
ACTION SNIPPET 10000 590 SNIPPET_RELEVANT b'119620'
ACTION DOC 10000 610 EXAMINING_DOCUMENT b'119620'
ACTION QUERY 10000 620 Genetic engineering
ACTION SERP 10000 625 EXAMINE_SERP
ACTION SNIPPET 10000 628 SNIPPET_NOT_RELEVANT b'1599905'
ACTION SNIPPET 10000 631 SNIPPET_RELEVANT b'931379'
ACTION DOC 10000 651 EXAMINING_DOCUMENT b'931379'
ACTION MARK 10000 654 CONSIDERED_RELEVANT b'931379'
ACTION SNIPPET 10000 657 SNIPPET_NOT_RELEVANT b'45089'
ACTION SNIPPET 10000 660 SNIPPET_RELEVANT b'612753'
ACTION DOC 10000 680 EXAMINING_DOCUMENT b'612753'
ACTION SNIPPET 10000 683 SNIPPET_NOT_RELEVANT b'1293810'
ACTION SNIPPET 10000 686 SNIPPET_NOT_RELEVANT b'1174415'
ACTION SNIPPET 10000 689 SNIPPET_NOT_RELEVANT b'1462700'
ACTION SNIPPET 10000 692 SNIPPET_RELEVANT b'1561403'
ACTION DOC 10000 712 EXAMINING_DOCUMENT b'1561403'
ACTION SNIPPET 10000 715 SNIPPET_RELEVANT b'1347709'
ACTION DOC 10000 735 EXAMINING_DOCUMENT b'1347709'
ACTION SNIPPET 10000 738 SNIPPET_NOT_RELEVANT b'566086'
ACTION QUERY 10000 748 Tomato modification
ACTION SERP 10000 753 EXAMINE_SERP
ACTION SNIPPET 10000 756 SNIPPET_RELEVANT b'1641042'
ACTION DOC 10000 776 EXAMINING_DOCUMENT b'1641042'
ACTION SNIPPET 10000 779 SNIPPET_NOT_RELEVANT b'200926'
ACTION SNIPPET 10000 782 SNIPPET_RELEVANT b'556596'
ACTION DOC 10000 802 EXAMINING_DOCUMENT b'556596'
ACTION SNIPPET 10000 805 SNIPPET_NOT_RELEVANT b'1113377'
ACTION SNIPPET 10000 808 SNIPPET_NOT_RELEVANT b'536438'
ACTION SNIPPET 10000 811 SNIPPET_NOT_RELEVANT b'284172'
ACTION SNIPPET 10000 814 SNIPPET_RELEVANT b'1815909'
ACTION DOC 10000 834 EXAMINING_DOCUMENT b'1815909'
ACTION SNIPPET 10000 837 SNIPPET_RELEVANT b'609051'
ACTION DOC 10000 857 EXAMINING_DOCUMENT b'609051'
ACTION SNIPPET 10000 860 SNIPPET_NOT_RELEVANT b'1029254'
ACTION SNIPPET 10000 863 SNIPPET_RELEVANT b'531713'
ACTION DOC 10000 883 EXAMINING_DOCUMENT b'531713'
ACTION MARK 10000 886 CONSIDERED_RELEVANT b'531713'
ACTION QUERY 10000 896 Genetic modification of food
ACTION SERP 10000 901 EXAMINE_SERP
ACTION SNIPPET 10000 904 SNIPPET_NOT_RELEVANT b'1136086'
ACTION SNIPPET 10000 907 SEEN_PREVIOUSLY b'1641042'
ACTION SNIPPET 10000 910 SNIPPET_NOT_RELEVANT b'1132722'
ACTION SNIPPET 10000 913 SNIPPET_RELEVANT b'1115373'
ACTION DOC 10000 933 EXAMINING_DOCUMENT b'1115373'
ACTION SNIPPET 10000 936 SEEN_PREVIOUSLY b'1123316'
ACTION SNIPPET 10000 939 SNIPPET_RELEVANT b'1127983'
ACTION DOC 10000 959 EXAMINING_DOCUMENT b'1127983'
ACTION SNIPPET 10000 962 SNIPPET_NOT_RELEVANT b'1113377'
ACTION SNIPPET 10000 965 SNIPPET_RELEVANT b'1526994'
ACTION DOC 10000 985 EXAMINING_DOCUMENT b'1526994'
ACTION SNIPPET 10000 988 SNIPPET_NOT_RELEVANT b'1176204'
ACTION SNIPPET 10000 991 SNIPPET_RELEVANT b'1127813'
ACTION DOC 10000 1011 EXAMINING_DOCUMENT b'1127813'
ACTION QUERY 10000 1021 Gene splicing
ACTION SERP 10000 1026 EXAMINE_SERP
ACTION SNIPPET 10000 1029 SNIPPET_NOT_RELEVANT b'1585864'
ACTION SNIPPET 10000 1032 SEEN_PREVIOUSLY b'1641042'
ACTION SNIPPET 10000 1035 SNIPPET_NOT_RELEVANT b'1255361'
ACTION SNIPPET 10000 1038 SNIPPET_NOT_RELEVANT b'549479'
ACTION SNIPPET 10000 1041 SNIPPET_NOT_RELEVANT b'1128502'
ACTION SNIPPET 10000 1044 SNIPPET_NOT_RELEVANT b'1485501'
ACTION SNIPPET 10000 1047 SNIPPET_NOT_RELEVANT b'919734'
ACTION SNIPPET 10000 1050 SNIPPET_RELEVANT b'536654'
ACTION DOC 10000 1070 EXAMINING_DOCUMENT b'536654'
ACTION MARK 10000 1073 CONSIDERED_RELEVANT b'536654'
ACTION SNIPPET 10000 1076 SNIPPET_NOT_RELEVANT b'1620964'
ACTION SNIPPET 10000 1079 SNIPPET_RELEVANT b'1045916'
ACTION DOC 10000 1099 EXAMINING_DOCUMENT b'1045916'
ACTION QUERY 10000 1109 Tomato preservation
ACTION SERP 10000 1114 EXAMINE_SERP
ACTION SNIPPET 10000 1117 SNIPPET_RELEVANT b'1690279'
ACTION DOC 10000 1137 EXAMINING_DOCUMENT b'1690279'
ACTION SNIPPET 10000 1140 SNIPPET_RELEVANT b'1167164'
ACTION DOC 10000 1160 EXAMINING_DOCUMENT b'1167164'
ACTION SNIPPET 10000 1163 SNIPPET_RELEVANT b'1320195'
ACTION DOC 10000 1183 EXAMINING_DOCUMENT b'1320195'
ACTION SNIPPET 10000 1186 SNIPPET_RELEVANT b'1128190'
ACTION DOC 10000 1206 EXAMINING_DOCUMENT b'1128190'
ACTION SNIPPET 10000 1209 SNIPPET_NOT_RELEVANT b'172790'
ACTION SNIPPET 10000 1212 SNIPPET_RELEVANT b'1003181'
ACTION DOC 10000 1232 EXAMINING_DOCUMENT b'1003181'
ACTION SNIPPET 10000 1235 SNIPPET_NOT_RELEVANT b'1606389'
ACTION SNIPPET 10000 1238 SNIPPET_RELEVANT b'72127'
ACTION DOC 10000 1258 EXAMINING_DOCUMENT b'72127'
ACTION SNIPPET 10000 1261 SNIPPET_NOT_RELEVANT b'384147'
ACTION SNIPPET 10000 1264 SNIPPET_NOT_RELEVANT b'370178'
