ACTION QUERY 10000 10 food stamps increase
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'546738'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'546738'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'546738'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'378037'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'378037'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'378037'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'345231'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'345231'
ACTION SNIPPET 10000 93 SNIPPET_RELEVANT b'1697024'
ACTION DOC 10000 113 EXAMINING_DOCUMENT b'1697024'
ACTION MARK 10000 116 CONSIDERED_RELEVANT b'1697024'
ACTION SNIPPET 10000 119 SNIPPET_RELEVANT b'483926'
ACTION DOC 10000 139 EXAMINING_DOCUMENT b'483926'
ACTION MARK 10000 142 CONSIDERED_RELEVANT b'483926'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'747191'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'747191'
ACTION MARK 10000 168 CONSIDERED_RELEVANT b'747191'
ACTION SNIPPET 10000 171 SNIPPET_RELEVANT b'701906'
ACTION DOC 10000 191 EXAMINING_DOCUMENT b'701906'
ACTION MARK 10000 194 CONSIDERED_RELEVANT b'701906'
ACTION SNIPPET 10000 197 SNIPPET_RELEVANT b'598802'
ACTION DOC 10000 217 EXAMINING_DOCUMENT b'598802'
ACTION MARK 10000 220 CONSIDERED_RELEVANT b'598802'
ACTION SNIPPET 10000 223 SNIPPET_RELEVANT b'1123307'
ACTION DOC 10000 243 EXAMINING_DOCUMENT b'1123307'
ACTION MARK 10000 246 CONSIDERED_RELEVANT b'1123307'
ACTION SNIPPET 10000 249 SNIPPET_RELEVANT b'824907'
ACTION DOC 10000 269 EXAMINING_DOCUMENT b'824907'
ACTION MARK 10000 272 CONSIDERED_RELEVANT b'824907'
ACTION QUERY 10000 282 food stamps increase jumped
ACTION SERP 10000 287 EXAMINE_SERP
ACTION SNIPPET 10000 290 SNIPPET_RELEVANT b'910767'
ACTION DOC 10000 310 EXAMINING_DOCUMENT b'910767'
ACTION MARK 10000 313 CONSIDERED_RELEVANT b'910767'
ACTION SNIPPET 10000 316 SNIPPET_RELEVANT b'811803'
ACTION DOC 10000 336 EXAMINING_DOCUMENT b'811803'
ACTION SNIPPET 10000 339 SEEN_PREVIOUSLY b'345231'
ACTION SNIPPET 10000 342 SNIPPET_RELEVANT b'753086'
ACTION DOC 10000 362 EXAMINING_DOCUMENT b'753086'
ACTION MARK 10000 365 CONSIDERED_RELEVANT b'753086'
ACTION SNIPPET 10000 368 SNIPPET_RELEVANT b'1452777'
ACTION DOC 10000 388 EXAMINING_DOCUMENT b'1452777'
ACTION MARK 10000 391 CONSIDERED_RELEVANT b'1452777'
ACTION SNIPPET 10000 394 SNIPPET_NOT_RELEVANT b'445590'
ACTION SNIPPET 10000 397 SNIPPET_RELEVANT b'579258'
ACTION DOC 10000 417 EXAMINING_DOCUMENT b'579258'
ACTION MARK 10000 420 CONSIDERED_RELEVANT b'579258'
ACTION SNIPPET 10000 423 SNIPPET_RELEVANT b'746345'
ACTION DOC 10000 443 EXAMINING_DOCUMENT b'746345'
ACTION MARK 10000 446 CONSIDERED_RELEVANT b'746345'
ACTION SNIPPET 10000 449 SNIPPET_NOT_RELEVANT b'1342829'
ACTION SNIPPET 10000 452 SNIPPET_RELEVANT b'748788'
ACTION DOC 10000 472 EXAMINING_DOCUMENT b'748788'
ACTION MARK 10000 475 CONSIDERED_RELEVANT b'748788'
ACTION QUERY 10000 485 food stamps increase recovery
ACTION SERP 10000 490 EXAMINE_SERP
ACTION SNIPPET 10000 493 SEEN_PREVIOUSLY b'345231'
ACTION SNIPPET 10000 496 SNIPPET_RELEVANT b'1087831'
ACTION DOC 10000 516 EXAMINING_DOCUMENT b'1087831'
