ACTION QUERY 10000 10 college education advantage
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'77858'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'845002'
ACTION SNIPPET 10000 24 SNIPPET_NOT_RELEVANT b'1642208'
ACTION SNIPPET 10000 27 SNIPPET_NOT_RELEVANT b'1707549'
ACTION SNIPPET 10000 30 SNIPPET_NOT_RELEVANT b'1739514'
ACTION SNIPPET 10000 33 SNIPPET_NOT_RELEVANT b'247974'
ACTION SNIPPET 10000 36 SNIPPET_NOT_RELEVANT b'1065767'
ACTION SNIPPET 10000 39 SNIPPET_NOT_RELEVANT b'1235262'
ACTION SNIPPET 10000 42 SNIPPET_NOT_RELEVANT b'1019664'
ACTION SNIPPET 10000 45 SNIPPET_NOT_RELEVANT b'1170209'
ACTION SNIPPET 10000 48 SNIPPET_NOT_RELEVANT b'1185321'
ACTION SNIPPET 10000 51 SNIPPET_NOT_RELEVANT b'434854'
ACTION SNIPPET 10000 54 SNIPPET_NOT_RELEVANT b'804954'
ACTION SNIPPET 10000 57 SNIPPET_NOT_RELEVANT b'804673'
ACTION SNIPPET 10000 60 SNIPPET_NOT_RELEVANT b'1576073'
ACTION QUERY 10000 70 College vs. vocational training for career success
ACTION SERP 10000 75 EXAMINE_SERP
ACTION SNIPPET 10000 78 SNIPPET_NOT_RELEVANT b'859515'
ACTION SNIPPET 10000 81 SNIPPET_NOT_RELEVANT b'235539'
ACTION SNIPPET 10000 84 SNIPPET_NOT_RELEVANT b'1113257'
ACTION SNIPPET 10000 87 SNIPPET_NOT_RELEVANT b'704529'
ACTION SNIPPET 10000 90 SNIPPET_NOT_RELEVANT b'152577'
ACTION SNIPPET 10000 93 SNIPPET_NOT_RELEVANT b'461686'
ACTION SNIPPET 10000 96 SNIPPET_NOT_RELEVANT b'942034'
ACTION SNIPPET 10000 99 SNIPPET_NOT_RELEVANT b'439562'
ACTION SNIPPET 10000 102 SNIPPET_NOT_RELEVANT b'1706778'
ACTION SNIPPET 10000 105 SNIPPET_NOT_RELEVANT b'542733'
ACTION SNIPPET 10000 108 SNIPPET_NOT_RELEVANT b'56740'
ACTION SNIPPET 10000 111 SNIPPET_NOT_RELEVANT b'704533'
ACTION SNIPPET 10000 114 SNIPPET_NOT_RELEVANT b'792590'
ACTION SNIPPET 10000 117 SNIPPET_NOT_RELEVANT b'791997'
ACTION SNIPPET 10000 120 SNIPPET_NOT_RELEVANT b'290870'
ACTION QUERY 10000 130 Benefits of attending college for employment
ACTION SERP 10000 135 EXAMINE_SERP
ACTION SNIPPET 10000 138 SNIPPET_NOT_RELEVANT b'826784'
ACTION SNIPPET 10000 141 SNIPPET_NOT_RELEVANT b'1751079'
ACTION SNIPPET 10000 144 SNIPPET_NOT_RELEVANT b'253970'
ACTION SNIPPET 10000 147 SNIPPET_NOT_RELEVANT b'1375375'
ACTION SNIPPET 10000 150 SNIPPET_NOT_RELEVANT b'1604765'
ACTION SNIPPET 10000 153 SNIPPET_NOT_RELEVANT b'45749'
ACTION SNIPPET 10000 156 SNIPPET_NOT_RELEVANT b'1310498'
ACTION SNIPPET 10000 159 SNIPPET_NOT_RELEVANT b'588361'
ACTION SNIPPET 10000 162 SNIPPET_NOT_RELEVANT b'1419826'
ACTION SNIPPET 10000 165 SNIPPET_NOT_RELEVANT b'100446'
ACTION SNIPPET 10000 168 SNIPPET_NOT_RELEVANT b'448365'
ACTION SNIPPET 10000 171 SNIPPET_RELEVANT b'1194978'
ACTION DOC 10000 191 EXAMINING_DOCUMENT b'1194978'
ACTION MARK 10000 194 CONSIDERED_RELEVANT b'1194978'
ACTION SNIPPET 10000 197 SNIPPET_NOT_RELEVANT b'473511'
ACTION SNIPPET 10000 200 SNIPPET_NOT_RELEVANT b'851355'
ACTION SNIPPET 10000 203 SNIPPET_NOT_RELEVANT b'339289'
ACTION SNIPPET 10000 206 SNIPPET_NOT_RELEVANT b'807083'
ACTION SNIPPET 10000 209 SNIPPET_NOT_RELEVANT b'476798'
ACTION SNIPPET 10000 212 SNIPPET_NOT_RELEVANT b'1585059'
ACTION SNIPPET 10000 215 SNIPPET_NOT_RELEVANT b'233162'
ACTION SNIPPET 10000 218 SNIPPET_NOT_RELEVANT b'143179'
ACTION SNIPPET 10000 221 SNIPPET_RELEVANT b'1104868'
ACTION DOC 10000 241 EXAMINING_DOCUMENT b'1104868'
ACTION MARK 10000 244 CONSIDERED_RELEVANT b'1104868'
ACTION SNIPPET 10000 247 SNIPPET_NOT_RELEVANT b'943855'
ACTION SNIPPET 10000 250 SNIPPET_NOT_RELEVANT b'655868'
ACTION SNIPPET 10000 253 SNIPPET_NOT_RELEVANT b'1088402'
ACTION SNIPPET 10000 256 SNIPPET_NOT_RELEVANT b'323665'
ACTION SNIPPET 10000 259 SNIPPET_NOT_RELEVANT b'1074546'
ACTION SNIPPET 10000 262 SNIPPET_NOT_RELEVANT b'909387'
ACTION SNIPPET 10000 265 SNIPPET_NOT_RELEVANT b'1618131'
ACTION SNIPPET 10000 268 SNIPPET_RELEVANT b'1706607'
ACTION DOC 10000 288 EXAMINING_DOCUMENT b'1706607'
ACTION MARK 10000 291 CONSIDERED_RELEVANT b'1706607'
ACTION SNIPPET 10000 294 SNIPPET_NOT_RELEVANT b'936612'
ACTION SNIPPET 10000 297 SNIPPET_NOT_RELEVANT b'1146744'
ACTION SNIPPET 10000 300 SNIPPET_NOT_RELEVANT b'170904'
ACTION SNIPPET 10000 303 SNIPPET_NOT_RELEVANT b'1795909'
ACTION SNIPPET 10000 306 SNIPPET_NOT_RELEVANT b'1795830'
ACTION SNIPPET 10000 309 SNIPPET_NOT_RELEVANT b'261841'
ACTION SNIPPET 10000 312 SNIPPET_NOT_RELEVANT b'595955'
ACTION SNIPPET 10000 315 SNIPPET_NOT_RELEVANT b'632864'
ACTION SNIPPET 10000 318 SNIPPET_NOT_RELEVANT b'1029289'
ACTION SNIPPET 10000 321 SNIPPET_NOT_RELEVANT b'925778'
ACTION SNIPPET 10000 324 SNIPPET_NOT_RELEVANT b'50609'
ACTION SNIPPET 10000 327 SNIPPET_NOT_RELEVANT b'1512838'
ACTION SNIPPET 10000 330 SNIPPET_NOT_RELEVANT b'78803'
ACTION SNIPPET 10000 333 SNIPPET_NOT_RELEVANT b'987784'
ACTION SNIPPET 10000 336 SNIPPET_NOT_RELEVANT b'1829249'
ACTION SNIPPET 10000 339 SNIPPET_NOT_RELEVANT b'1360880'
ACTION SNIPPET 10000 342 SNIPPET_NOT_RELEVANT b'687214'
ACTION QUERY 10000 352 Advantages of a college education for job opportunities
ACTION SERP 10000 357 EXAMINE_SERP
ACTION SNIPPET 10000 360 SNIPPET_NOT_RELEVANT b'1028368'
ACTION SNIPPET 10000 363 SNIPPET_NOT_RELEVANT b'1170209'
ACTION SNIPPET 10000 366 SNIPPET_NOT_RELEVANT b'1775428'
ACTION SNIPPET 10000 369 SNIPPET_NOT_RELEVANT b'617898'
ACTION SNIPPET 10000 372 SNIPPET_NOT_RELEVANT b'1391069'
ACTION SNIPPET 10000 375 SNIPPET_NOT_RELEVANT b'855827'
ACTION SNIPPET 10000 378 SNIPPET_NOT_RELEVANT b'247974'
ACTION SNIPPET 10000 381 SNIPPET_NOT_RELEVANT b'657976'
ACTION SNIPPET 10000 384 SNIPPET_NOT_RELEVANT b'927602'
ACTION SNIPPET 10000 387 SNIPPET_NOT_RELEVANT b'510678'
ACTION SNIPPET 10000 390 SNIPPET_NOT_RELEVANT b'1828849'
ACTION SNIPPET 10000 393 SNIPPET_NOT_RELEVANT b'1185321'
ACTION SNIPPET 10000 396 SNIPPET_NOT_RELEVANT b'694424'
ACTION SNIPPET 10000 399 SNIPPET_NOT_RELEVANT b'1577987'
ACTION SNIPPET 10000 402 SNIPPET_NOT_RELEVANT b'1704981'
ACTION QUERY 10000 412 College degree and job prospects
ACTION SERP 10000 417 EXAMINE_SERP
ACTION SNIPPET 10000 420 SNIPPET_RELEVANT b'103357'
ACTION DOC 10000 440 EXAMINING_DOCUMENT b'103357'
ACTION MARK 10000 443 CONSIDERED_RELEVANT b'103357'
ACTION SNIPPET 10000 446 SNIPPET_NOT_RELEVANT b'1589126'
ACTION SNIPPET 10000 449 SNIPPET_NOT_RELEVANT b'856804'
ACTION SNIPPET 10000 452 SNIPPET_NOT_RELEVANT b'1572388'
ACTION SNIPPET 10000 455 SNIPPET_NOT_RELEVANT b'589342'
ACTION SNIPPET 10000 458 SNIPPET_NOT_RELEVANT b'1582424'
ACTION SNIPPET 10000 461 SNIPPET_NOT_RELEVANT b'169930'
ACTION SNIPPET 10000 464 SNIPPET_NOT_RELEVANT b'626182'
ACTION SNIPPET 10000 467 SNIPPET_RELEVANT b'1576754'
ACTION DOC 10000 487 EXAMINING_DOCUMENT b'1576754'
ACTION MARK 10000 490 CONSIDERED_RELEVANT b'1576754'
ACTION SNIPPET 10000 493 SNIPPET_NOT_RELEVANT b'613360'
ACTION SNIPPET 10000 496 SNIPPET_NOT_RELEVANT b'658769'
ACTION SNIPPET 10000 499 SNIPPET_NOT_RELEVANT b'1375375'
ACTION SNIPPET 10000 502 SNIPPET_NOT_RELEVANT b'1205393'
ACTION SNIPPET 10000 505 SNIPPET_RELEVANT b'548257'
ACTION DOC 10000 525 EXAMINING_DOCUMENT b'548257'
ACTION MARK 10000 528 CONSIDERED_RELEVANT b'548257'
ACTION SNIPPET 10000 531 SNIPPET_NOT_RELEVANT b'1675014'
ACTION SNIPPET 10000 534 SNIPPET_NOT_RELEVANT b'10693'
ACTION SNIPPET 10000 537 SNIPPET_NOT_RELEVANT b'1585689'
