ACTION QUERY 10000 10 Women in Parliaments
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'278069'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'278069'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'278069'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'1652890'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'1652890'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'1652890'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'784875'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'784875'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'784875'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1612526'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1612526'
ACTION SNIPPET 10000 119 SNIPPET_NOT_RELEVANT b'722210'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'573572'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'573572'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'573572'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'1771996'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'1771996'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'1771996'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'279632'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'279632'
ACTION SNIPPET 10000 197 SNIPPET_RELEVANT b'1519223'
ACTION DOC 10000 217 EXAMINING_DOCUMENT b'1519223'
ACTION MARK 10000 220 CONSIDERED_RELEVANT b'1519223'
ACTION SNIPPET 10000 223 SNIPPET_RELEVANT b'885618'
ACTION DOC 10000 243 EXAMINING_DOCUMENT b'885618'
ACTION MARK 10000 246 CONSIDERED_RELEVANT b'885618'
ACTION QUERY 10000 256 Women Parliaments
ACTION SERP 10000 261 EXAMINE_SERP
ACTION SNIPPET 10000 264 SEEN_PREVIOUSLY b'1652890'
ACTION SNIPPET 10000 267 SEEN_PREVIOUSLY b'784875'
ACTION SNIPPET 10000 270 SEEN_PREVIOUSLY b'278069'
ACTION SNIPPET 10000 273 SEEN_PREVIOUSLY b'573572'
ACTION SNIPPET 10000 276 SEEN_PREVIOUSLY b'1519223'
ACTION SNIPPET 10000 279 SNIPPET_RELEVANT b'722210'
ACTION DOC 10000 299 EXAMINING_DOCUMENT b'722210'
ACTION SNIPPET 10000 302 SEEN_PREVIOUSLY b'1612526'
ACTION SNIPPET 10000 305 SEEN_PREVIOUSLY b'1771996'
ACTION SNIPPET 10000 308 SNIPPET_RELEVANT b'1540084'
ACTION DOC 10000 328 EXAMINING_DOCUMENT b'1540084'
ACTION MARK 10000 331 CONSIDERED_RELEVANT b'1540084'
ACTION SNIPPET 10000 334 SEEN_PREVIOUSLY b'885618'
ACTION QUERY 10000 344 Female MPs
ACTION SERP 10000 349 EXAMINE_SERP
ACTION SNIPPET 10000 352 SNIPPET_NOT_RELEVANT b'1641542'
ACTION SNIPPET 10000 355 SNIPPET_NOT_RELEVANT b'82180'
ACTION SNIPPET 10000 358 SNIPPET_NOT_RELEVANT b'845350'
ACTION SNIPPET 10000 361 SNIPPET_RELEVANT b'449442'
ACTION DOC 10000 381 EXAMINING_DOCUMENT b'449442'
ACTION SNIPPET 10000 384 SNIPPET_NOT_RELEVANT b'1283564'
ACTION SNIPPET 10000 387 SNIPPET_NOT_RELEVANT b'845335'
ACTION SNIPPET 10000 390 SNIPPET_NOT_RELEVANT b'71383'
ACTION SNIPPET 10000 393 SNIPPET_NOT_RELEVANT b'1169922'
ACTION SNIPPET 10000 396 SNIPPET_NOT_RELEVANT b'1652307'
ACTION SNIPPET 10000 399 SNIPPET_NOT_RELEVANT b'1571479'
ACTION QUERY 10000 409 Women in Politics
ACTION SERP 10000 414 EXAMINE_SERP
ACTION SNIPPET 10000 417 SNIPPET_RELEVANT b'342019'
ACTION DOC 10000 437 EXAMINING_DOCUMENT b'342019'
ACTION SNIPPET 10000 440 SNIPPET_NOT_RELEVANT b'105469'
ACTION SNIPPET 10000 443 SNIPPET_RELEVANT b'346172'
ACTION DOC 10000 463 EXAMINING_DOCUMENT b'346172'
ACTION SNIPPET 10000 466 SNIPPET_RELEVANT b'158541'
ACTION DOC 10000 486 EXAMINING_DOCUMENT b'158541'
ACTION SNIPPET 10000 489 SNIPPET_RELEVANT b'21715'
ACTION DOC 10000 509 EXAMINING_DOCUMENT b'21715'
ACTION MARK 10000 512 CONSIDERED_RELEVANT b'21715'
ACTION SNIPPET 10000 515 SNIPPET_RELEVANT b'877276'
ACTION DOC 10000 535 EXAMINING_DOCUMENT b'877276'
ACTION MARK 10000 538 CONSIDERED_RELEVANT b'877276'
ACTION SNIPPET 10000 541 SNIPPET_RELEVANT b'1324090'
ACTION DOC 10000 561 EXAMINING_DOCUMENT b'1324090'
ACTION MARK 10000 564 CONSIDERED_RELEVANT b'1324090'
ACTION SNIPPET 10000 567 SNIPPET_NOT_RELEVANT b'1715770'
ACTION SNIPPET 10000 570 SNIPPET_RELEVANT b'564729'
ACTION DOC 10000 590 EXAMINING_DOCUMENT b'564729'
ACTION SNIPPET 10000 593 SEEN_PREVIOUSLY b'1771996'
ACTION QUERY 10000 603 Women Leaders
ACTION SERP 10000 608 EXAMINE_SERP
ACTION SNIPPET 10000 611 SNIPPET_NOT_RELEVANT b'1737060'
ACTION SNIPPET 10000 614 SNIPPET_NOT_RELEVANT b'1823415'
ACTION SNIPPET 10000 617 SNIPPET_NOT_RELEVANT b'1733132'
ACTION SNIPPET 10000 620 SNIPPET_RELEVANT b'402310'
ACTION DOC 10000 640 EXAMINING_DOCUMENT b'402310'
ACTION SNIPPET 10000 643 SNIPPET_RELEVANT b'1075009'
ACTION DOC 10000 663 EXAMINING_DOCUMENT b'1075009'
ACTION MARK 10000 666 CONSIDERED_RELEVANT b'1075009'
ACTION SNIPPET 10000 669 SNIPPET_NOT_RELEVANT b'175195'
ACTION SNIPPET 10000 672 SNIPPET_NOT_RELEVANT b'1715770'
ACTION SNIPPET 10000 675 SNIPPET_NOT_RELEVANT b'637995'
ACTION SNIPPET 10000 678 SNIPPET_RELEVANT b'1784413'
ACTION DOC 10000 698 EXAMINING_DOCUMENT b'1784413'
ACTION SNIPPET 10000 701 SNIPPET_NOT_RELEVANT b'702426'
ACTION QUERY 10000 711 Women Political Representation
ACTION SERP 10000 716 EXAMINE_SERP
ACTION SNIPPET 10000 719 SNIPPET_RELEVANT b'43995'
ACTION DOC 10000 739 EXAMINING_DOCUMENT b'43995'
ACTION MARK 10000 742 CONSIDERED_RELEVANT b'43995'
ACTION SNIPPET 10000 745 SEEN_PREVIOUSLY b'1324090'
ACTION SNIPPET 10000 748 SEEN_PREVIOUSLY b'784875'
ACTION SNIPPET 10000 751 SNIPPET_NOT_RELEVANT b'1400414'
ACTION SNIPPET 10000 754 SNIPPET_RELEVANT b'518115'
ACTION DOC 10000 774 EXAMINING_DOCUMENT b'518115'
ACTION MARK 10000 777 CONSIDERED_RELEVANT b'518115'
ACTION SNIPPET 10000 780 SNIPPET_RELEVANT b'1335802'
ACTION DOC 10000 800 EXAMINING_DOCUMENT b'1335802'
ACTION MARK 10000 803 CONSIDERED_RELEVANT b'1335802'
ACTION SNIPPET 10000 806 SNIPPET_NOT_RELEVANT b'533568'
ACTION SNIPPET 10000 809 SNIPPET_RELEVANT b'1561829'
ACTION DOC 10000 829 EXAMINING_DOCUMENT b'1561829'
ACTION MARK 10000 832 CONSIDERED_RELEVANT b'1561829'
ACTION SNIPPET 10000 835 SNIPPET_NOT_RELEVANT b'659276'
ACTION SNIPPET 10000 838 SNIPPET_RELEVANT b'933997'
ACTION DOC 10000 858 EXAMINING_DOCUMENT b'933997'
ACTION QUERY 10000 868 Women in Power
ACTION SERP 10000 873 EXAMINE_SERP
ACTION SNIPPET 10000 876 SNIPPET_NOT_RELEVANT b'918073'
