ACTION QUERY 10000 10 home schooling
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'391931'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'391931'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'391931'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'391930'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'391930'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'391930'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1635819'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1635819'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1635819'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1202009'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1202009'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'1202009'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'1058364'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'1058364'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'1058364'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'403043'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'403043'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'403043'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'790384'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'790384'
ACTION MARK 10000 197 CONSIDERED_RELEVANT b'790384'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'1057737'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'1057737'
ACTION MARK 10000 223 CONSIDERED_RELEVANT b'1057737'
ACTION SNIPPET 10000 226 SNIPPET_RELEVANT b'1210150'
ACTION DOC 10000 246 EXAMINING_DOCUMENT b'1210150'
ACTION MARK 10000 249 CONSIDERED_RELEVANT b'1210150'
ACTION SNIPPET 10000 252 SNIPPET_RELEVANT b'1356232'
ACTION DOC 10000 272 EXAMINING_DOCUMENT b'1356232'
ACTION MARK 10000 275 CONSIDERED_RELEVANT b'1356232'
ACTION QUERY 10000 285 Homeschooling benefits
ACTION SERP 10000 290 EXAMINE_SERP
ACTION SNIPPET 10000 293 SEEN_PREVIOUSLY b'1057737'
ACTION SNIPPET 10000 296 SNIPPET_RELEVANT b'1057716'
ACTION DOC 10000 316 EXAMINING_DOCUMENT b'1057716'
ACTION MARK 10000 319 CONSIDERED_RELEVANT b'1057716'
ACTION SNIPPET 10000 322 SNIPPET_RELEVANT b'1766937'
ACTION DOC 10000 342 EXAMINING_DOCUMENT b'1766937'
ACTION MARK 10000 345 CONSIDERED_RELEVANT b'1766937'
ACTION SNIPPET 10000 348 SEEN_PREVIOUSLY b'403043'
ACTION SNIPPET 10000 351 SNIPPET_RELEVANT b'309639'
ACTION DOC 10000 371 EXAMINING_DOCUMENT b'309639'
ACTION MARK 10000 374 CONSIDERED_RELEVANT b'309639'
