ACTION QUERY 10000 10 "Cuba  sugar  exports"
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'670087'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'670087'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'670087'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'669888'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'669888'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'669888'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'811677'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'811677'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'811677'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'223328'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'223328'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'223328'
ACTION SNIPPET 10000 122 SNIPPET_NOT_RELEVANT b'209726'
ACTION SNIPPET 10000 125 SNIPPET_RELEVANT b'930810'
ACTION DOC 10000 145 EXAMINING_DOCUMENT b'930810'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'235921'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'235921'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'235921'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'214550'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'214550'
ACTION MARK 10000 197 CONSIDERED_RELEVANT b'214550'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'157298'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'157298'
ACTION SNIPPET 10000 223 SNIPPET_RELEVANT b'672910'
ACTION DOC 10000 243 EXAMINING_DOCUMENT b'672910'
ACTION SNIPPET 10000 246 SNIPPET_RELEVANT b'162309'
ACTION DOC 10000 266 EXAMINING_DOCUMENT b'162309'
ACTION SNIPPET 10000 269 SNIPPET_RELEVANT b'1343080'
ACTION DOC 10000 289 EXAMINING_DOCUMENT b'1343080'
ACTION SNIPPET 10000 292 SNIPPET_NOT_RELEVANT b'175866'
ACTION SNIPPET 10000 295 SNIPPET_NOT_RELEVANT b'1538997'
ACTION SNIPPET 10000 298 SNIPPET_RELEVANT b'1430341'
ACTION DOC 10000 318 EXAMINING_DOCUMENT b'1430341'
ACTION MARK 10000 321 CONSIDERED_RELEVANT b'1430341'
ACTION SNIPPET 10000 324 SNIPPET_RELEVANT b'291375'
ACTION DOC 10000 344 EXAMINING_DOCUMENT b'291375'
ACTION SNIPPET 10000 347 SNIPPET_RELEVANT b'128021'
ACTION DOC 10000 367 EXAMINING_DOCUMENT b'128021'
ACTION MARK 10000 370 CONSIDERED_RELEVANT b'128021'
ACTION SNIPPET 10000 373 SNIPPET_NOT_RELEVANT b'111807'
ACTION SNIPPET 10000 376 SNIPPET_RELEVANT b'742306'
ACTION DOC 10000 396 EXAMINING_DOCUMENT b'742306'
ACTION MARK 10000 399 CONSIDERED_RELEVANT b'742306'
ACTION SNIPPET 10000 402 SNIPPET_NOT_RELEVANT b'126175'
ACTION QUERY 10000 412 Cuba sugar production
ACTION SERP 10000 417 EXAMINE_SERP
ACTION SNIPPET 10000 420 SEEN_PREVIOUSLY b'930810'
ACTION SNIPPET 10000 423 SEEN_PREVIOUSLY b'223328'
ACTION SNIPPET 10000 426 SEEN_PREVIOUSLY b'811677'
ACTION SNIPPET 10000 429 SEEN_PREVIOUSLY b'670087'
ACTION SNIPPET 10000 432 SEEN_PREVIOUSLY b'669888'
ACTION SNIPPET 10000 435 SEEN_PREVIOUSLY b'1430341'
ACTION SNIPPET 10000 438 SEEN_PREVIOUSLY b'672910'
ACTION SNIPPET 10000 441 SEEN_PREVIOUSLY b'162309'
ACTION SNIPPET 10000 444 SNIPPET_NOT_RELEVANT b'209726'
ACTION SNIPPET 10000 447 SNIPPET_NOT_RELEVANT b'542262'
ACTION SNIPPET 10000 450 SEEN_PREVIOUSLY b'235921'
ACTION SNIPPET 10000 453 SEEN_PREVIOUSLY b'157298'
ACTION SNIPPET 10000 456 SNIPPET_RELEVANT b'202721'
ACTION DOC 10000 476 EXAMINING_DOCUMENT b'202721'
ACTION MARK 10000 479 CONSIDERED_RELEVANT b'202721'
ACTION SNIPPET 10000 482 SNIPPET_NOT_RELEVANT b'476208'
ACTION SNIPPET 10000 485 SNIPPET_RELEVANT b'117236'
ACTION DOC 10000 505 EXAMINING_DOCUMENT b'117236'
ACTION SNIPPET 10000 508 SEEN_PREVIOUSLY b'1343080'
ACTION SNIPPET 10000 511 SNIPPET_RELEVANT b'405283'
ACTION DOC 10000 531 EXAMINING_DOCUMENT b'405283'
ACTION SNIPPET 10000 534 SNIPPET_RELEVANT b'811634'
ACTION DOC 10000 554 EXAMINING_DOCUMENT b'811634'
ACTION SNIPPET 10000 557 SNIPPET_NOT_RELEVANT b'111807'
ACTION SNIPPET 10000 560 SNIPPET_RELEVANT b'867886'
ACTION DOC 10000 580 EXAMINING_DOCUMENT b'867886'
ACTION QUERY 10000 590 Cuba sugar industry
ACTION SERP 10000 595 EXAMINE_SERP
ACTION SNIPPET 10000 598 SEEN_PREVIOUSLY b'670087'
ACTION SNIPPET 10000 601 SEEN_PREVIOUSLY b'669888'
ACTION SNIPPET 10000 604 SEEN_PREVIOUSLY b'1430341'
ACTION SNIPPET 10000 607 SEEN_PREVIOUSLY b'672910'
ACTION SNIPPET 10000 610 SEEN_PREVIOUSLY b'930810'
ACTION SNIPPET 10000 613 SEEN_PREVIOUSLY b'223328'
ACTION SNIPPET 10000 616 SEEN_PREVIOUSLY b'811677'
ACTION SNIPPET 10000 619 SNIPPET_NOT_RELEVANT b'1538997'
ACTION SNIPPET 10000 622 SNIPPET_RELEVANT b'209726'
ACTION DOC 10000 642 EXAMINING_DOCUMENT b'209726'
