ACTION QUERY 10000 10 "law enforcement  dogs"
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'625971'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'625971'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'625971'
ACTION SNIPPET 10000 44 SNIPPET_NOT_RELEVANT b'768273'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'766842'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'766842'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1279133'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1279133'
ACTION SNIPPET 10000 93 SNIPPET_NOT_RELEVANT b'1126803'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1736507'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1736507'
ACTION SNIPPET 10000 119 SNIPPET_NOT_RELEVANT b'1089743'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'846505'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'846505'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'848079'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'848079'
ACTION SNIPPET 10000 168 SNIPPET_RELEVANT b'146052'
ACTION DOC 10000 188 EXAMINING_DOCUMENT b'146052'
ACTION MARK 10000 191 CONSIDERED_RELEVANT b'146052'
ACTION QUERY 10000 201 Police k9
ACTION SERP 10000 206 EXAMINE_SERP
ACTION SNIPPET 10000 209 SNIPPET_RELEVANT b'160310'
ACTION DOC 10000 229 EXAMINING_DOCUMENT b'160310'
ACTION SNIPPET 10000 232 SNIPPET_RELEVANT b'1372273'
ACTION DOC 10000 252 EXAMINING_DOCUMENT b'1372273'
ACTION SNIPPET 10000 255 SNIPPET_NOT_RELEVANT b'383826'
ACTION SNIPPET 10000 258 SNIPPET_NOT_RELEVANT b'1447473'
ACTION SNIPPET 10000 261 SNIPPET_NOT_RELEVANT b'1703020'
ACTION SNIPPET 10000 264 SNIPPET_RELEVANT b'1763504'
ACTION DOC 10000 284 EXAMINING_DOCUMENT b'1763504'
ACTION SNIPPET 10000 287 SNIPPET_NOT_RELEVANT b'280657'
ACTION SNIPPET 10000 290 SNIPPET_NOT_RELEVANT b'1843280'
ACTION SNIPPET 10000 293 SNIPPET_NOT_RELEVANT b'342754'
ACTION SNIPPET 10000 296 SNIPPET_NOT_RELEVANT b'1091106'
ACTION QUERY 10000 306 Working dog law enforcement
ACTION SERP 10000 311 EXAMINE_SERP
ACTION SNIPPET 10000 314 SNIPPET_RELEVANT b'1079609'
ACTION DOC 10000 334 EXAMINING_DOCUMENT b'1079609'
ACTION MARK 10000 337 CONSIDERED_RELEVANT b'1079609'
ACTION SNIPPET 10000 340 SEEN_PREVIOUSLY b'625971'
ACTION SNIPPET 10000 343 SNIPPET_NOT_RELEVANT b'521624'
ACTION SNIPPET 10000 346 SEEN_PREVIOUSLY b'146052'
ACTION SNIPPET 10000 349 SEEN_PREVIOUSLY b'1736507'
ACTION SNIPPET 10000 352 SNIPPET_RELEVANT b'271985'
ACTION DOC 10000 372 EXAMINING_DOCUMENT b'271985'
ACTION SNIPPET 10000 375 SNIPPET_NOT_RELEVANT b'1126803'
ACTION SNIPPET 10000 378 SNIPPET_RELEVANT b'768273'
ACTION DOC 10000 398 EXAMINING_DOCUMENT b'768273'
ACTION SNIPPET 10000 401 SNIPPET_RELEVANT b'63909'
ACTION DOC 10000 421 EXAMINING_DOCUMENT b'63909'
ACTION SNIPPET 10000 424 SNIPPET_RELEVANT b'1089743'
ACTION DOC 10000 444 EXAMINING_DOCUMENT b'1089743'
ACTION QUERY 10000 454 Tactical dog training
ACTION SERP 10000 459 EXAMINE_SERP
ACTION SNIPPET 10000 462 SNIPPET_RELEVANT b'1488583'
ACTION DOC 10000 482 EXAMINING_DOCUMENT b'1488583'
ACTION MARK 10000 485 CONSIDERED_RELEVANT b'1488583'
ACTION SNIPPET 10000 488 SNIPPET_RELEVANT b'1798342'
ACTION DOC 10000 508 EXAMINING_DOCUMENT b'1798342'
ACTION MARK 10000 511 CONSIDERED_RELEVANT b'1798342'
ACTION SNIPPET 10000 514 SNIPPET_NOT_RELEVANT b'1451194'
ACTION SNIPPET 10000 517 SNIPPET_RELEVANT b'1526654'
ACTION DOC 10000 537 EXAMINING_DOCUMENT b'1526654'
ACTION SNIPPET 10000 540 SNIPPET_NOT_RELEVANT b'1297200'
ACTION SNIPPET 10000 543 SNIPPET_NOT_RELEVANT b'1740473'
ACTION SNIPPET 10000 546 SNIPPET_NOT_RELEVANT b'1723964'
ACTION SNIPPET 10000 549 SNIPPET_RELEVANT b'1776821'
ACTION DOC 10000 569 EXAMINING_DOCUMENT b'1776821'
ACTION SNIPPET 10000 572 SNIPPET_RELEVANT b'1131189'
ACTION DOC 10000 592 EXAMINING_DOCUMENT b'1131189'
ACTION MARK 10000 595 CONSIDERED_RELEVANT b'1131189'
ACTION SNIPPET 10000 598 SNIPPET_NOT_RELEVANT b'429818'
ACTION QUERY 10000 608 Canine unit
ACTION SERP 10000 613 EXAMINE_SERP
ACTION SNIPPET 10000 616 SEEN_PREVIOUSLY b'625971'
ACTION SNIPPET 10000 619 SNIPPET_RELEVANT b'1705867'
ACTION DOC 10000 639 EXAMINING_DOCUMENT b'1705867'
ACTION MARK 10000 642 CONSIDERED_RELEVANT b'1705867'
ACTION SNIPPET 10000 645 SNIPPET_NOT_RELEVANT b'657103'
ACTION SNIPPET 10000 648 SNIPPET_RELEVANT b'1704077'
ACTION DOC 10000 668 EXAMINING_DOCUMENT b'1704077'
ACTION SNIPPET 10000 671 SNIPPET_NOT_RELEVANT b'1216885'
ACTION SNIPPET 10000 674 SNIPPET_RELEVANT b'119822'
ACTION DOC 10000 694 EXAMINING_DOCUMENT b'119822'
ACTION MARK 10000 697 CONSIDERED_RELEVANT b'119822'
ACTION SNIPPET 10000 700 SNIPPET_RELEVANT b'32127'
ACTION DOC 10000 720 EXAMINING_DOCUMENT b'32127'
ACTION MARK 10000 723 CONSIDERED_RELEVANT b'32127'
ACTION SNIPPET 10000 726 SNIPPET_RELEVANT b'1603415'
ACTION DOC 10000 746 EXAMINING_DOCUMENT b'1603415'
ACTION MARK 10000 749 CONSIDERED_RELEVANT b'1603415'
ACTION SNIPPET 10000 752 SNIPPET_RELEVANT b'1666123'
ACTION DOC 10000 772 EXAMINING_DOCUMENT b'1666123'
ACTION SNIPPET 10000 775 SNIPPET_NOT_RELEVANT b'1705264'
ACTION QUERY 10000 785 Drug sniffing dogs
ACTION SERP 10000 790 EXAMINE_SERP
ACTION SNIPPET 10000 793 SNIPPET_RELEVANT b'467040'
ACTION DOC 10000 813 EXAMINING_DOCUMENT b'467040'
ACTION MARK 10000 816 CONSIDERED_RELEVANT b'467040'
ACTION SNIPPET 10000 819 SNIPPET_RELEVANT b'1005790'
ACTION DOC 10000 839 EXAMINING_DOCUMENT b'1005790'
ACTION MARK 10000 842 CONSIDERED_RELEVANT b'1005790'
ACTION SNIPPET 10000 845 SNIPPET_RELEVANT b'1572140'
ACTION DOC 10000 865 EXAMINING_DOCUMENT b'1572140'
ACTION MARK 10000 868 CONSIDERED_RELEVANT b'1572140'
ACTION SNIPPET 10000 871 SNIPPET_NOT_RELEVANT b'1662517'
ACTION SNIPPET 10000 874 SNIPPET_NOT_RELEVANT b'736571'
ACTION SNIPPET 10000 877 SNIPPET_RELEVANT b'1411161'
ACTION DOC 10000 897 EXAMINING_DOCUMENT b'1411161'
ACTION MARK 10000 900 CONSIDERED_RELEVANT b'1411161'
ACTION SNIPPET 10000 903 SNIPPET_RELEVANT b'1644743'
ACTION DOC 10000 923 EXAMINING_DOCUMENT b'1644743'
ACTION MARK 10000 926 CONSIDERED_RELEVANT b'1644743'
ACTION SNIPPET 10000 929 SEEN_PREVIOUSLY b'32127'
ACTION SNIPPET 10000 932 SNIPPET_RELEVANT b'349505'
ACTION DOC 10000 952 EXAMINING_DOCUMENT b'349505'
ACTION MARK 10000 955 CONSIDERED_RELEVANT b'349505'
ACTION SNIPPET 10000 958 SNIPPET_RELEVANT b'174865'
ACTION DOC 10000 978 EXAMINING_DOCUMENT b'174865'
ACTION MARK 10000 981 CONSIDERED_RELEVANT b'174865'
ACTION QUERY 10000 991 German shepherd police
ACTION SERP 10000 996 EXAMINE_SERP
ACTION SNIPPET 10000 999 SNIPPET_NOT_RELEVANT b'125476'
ACTION SNIPPET 10000 1002 SEEN_PREVIOUSLY b'625971'
ACTION SNIPPET 10000 1005 SEEN_PREVIOUSLY b'119822'
ACTION SNIPPET 10000 1008 SNIPPET_RELEVANT b'1024371'
ACTION DOC 10000 1028 EXAMINING_DOCUMENT b'1024371'
ACTION MARK 10000 1031 CONSIDERED_RELEVANT b'1024371'
ACTION SNIPPET 10000 1034 SNIPPET_NOT_RELEVANT b'968138'
ACTION SNIPPET 10000 1037 SNIPPET_RELEVANT b'375258'
ACTION DOC 10000 1057 EXAMINING_DOCUMENT b'375258'
ACTION SNIPPET 10000 1060 SNIPPET_RELEVANT b'235292'
ACTION DOC 10000 1080 EXAMINING_DOCUMENT b'235292'
ACTION SNIPPET 10000 1083 SNIPPET_RELEVANT b'1451341'
ACTION DOC 10000 1103 EXAMINING_DOCUMENT b'1451341'
ACTION MARK 10000 1106 CONSIDERED_RELEVANT b'1451341'
ACTION SNIPPET 10000 1109 SEEN_PREVIOUSLY b'349505'
ACTION SNIPPET 10000 1112 SNIPPET_RELEVANT b'974806'
ACTION DOC 10000 1132 EXAMINING_DOCUMENT b'974806'
ACTION MARK 10000 1135 CONSIDERED_RELEVANT b'974806'
ACTION QUERY 10000 1145 Patrol dogs law enforcement
ACTION SERP 10000 1150 EXAMINE_SERP
ACTION SNIPPET 10000 1153 SNIPPET_NOT_RELEVANT b'1089704'
ACTION SNIPPET 10000 1156 SNIPPET_RELEVANT b'549564'
ACTION DOC 10000 1176 EXAMINING_DOCUMENT b'549564'
ACTION MARK 10000 1179 CONSIDERED_RELEVANT b'549564'
ACTION SNIPPET 10000 1182 SEEN_PREVIOUSLY b'1024371'
ACTION SNIPPET 10000 1185 SNIPPET_NOT_RELEVANT b'1100413'
ACTION SNIPPET 10000 1188 SEEN_PREVIOUSLY b'1089743'
ACTION SNIPPET 10000 1191 SEEN_PREVIOUSLY b'846505'
ACTION SNIPPET 10000 1194 SEEN_PREVIOUSLY b'63909'
ACTION SNIPPET 10000 1197 SNIPPET_NOT_RELEVANT b'858617'
ACTION SNIPPET 10000 1200 SEEN_PREVIOUSLY b'146052'
ACTION SNIPPET 10000 1203 SNIPPET_NOT_RELEVANT b'521624'
ACTION QUERY 10000 1213 K9 handler training
ACTION SERP 10000 1218 EXAMINE_SERP
ACTION SNIPPET 10000 1221 SEEN_PREVIOUSLY b'1798342'
ACTION SNIPPET 10000 1224 SEEN_PREVIOUSLY b'1372273'
ACTION SNIPPET 10000 1227 SNIPPET_NOT_RELEVANT b'1720009'
ACTION SNIPPET 10000 1230 SNIPPET_NOT_RELEVANT b'1719763'
ACTION SNIPPET 10000 1233 SEEN_PREVIOUSLY b'1705867'
ACTION SNIPPET 10000 1236 SNIPPET_NOT_RELEVANT b'1059178'
ACTION SNIPPET 10000 1239 SNIPPET_RELEVANT b'1360800'
ACTION DOC 10000 1259 EXAMINING_DOCUMENT b'1360800'
ACTION SNIPPET 10000 1262 SNIPPET_NOT_RELEVANT b'1706638'
ACTION SNIPPET 10000 1265 SNIPPET_RELEVANT b'1451194'
ACTION DOC 10000 1285 EXAMINING_DOCUMENT b'1451194'
ACTION MARK 10000 1288 CONSIDERED_RELEVANT b'1451194'
ACTION SNIPPET 10000 1291 SEEN_PREVIOUSLY b'1024371'
ACTION QUERY 10000 1301 Bloodhound search and rescue
ACTION SERP 10000 1306 EXAMINE_SERP
ACTION SNIPPET 10000 1309 SNIPPET_RELEVANT b'104595'
ACTION DOC 10000 1329 EXAMINING_DOCUMENT b'104595'
ACTION SNIPPET 10000 1332 SNIPPET_RELEVANT b'1123821'
ACTION DOC 10000 1352 EXAMINING_DOCUMENT b'1123821'
ACTION SNIPPET 10000 1355 SNIPPET_RELEVANT b'1041147'
ACTION DOC 10000 1375 EXAMINING_DOCUMENT b'1041147'
ACTION MARK 10000 1378 CONSIDERED_RELEVANT b'1041147'
ACTION SNIPPET 10000 1381 SNIPPET_RELEVANT b'362129'
ACTION DOC 10000 1401 EXAMINING_DOCUMENT b'362129'
ACTION SNIPPET 10000 1404 SNIPPET_NOT_RELEVANT b'685448'
ACTION SNIPPET 10000 1407 SNIPPET_RELEVANT b'842314'
ACTION DOC 10000 1427 EXAMINING_DOCUMENT b'842314'
ACTION SNIPPET 10000 1430 SNIPPET_NOT_RELEVANT b'480853'
ACTION SNIPPET 10000 1433 SNIPPET_RELEVANT b'1302709'
ACTION DOC 10000 1453 EXAMINING_DOCUMENT b'1302709'
ACTION SNIPPET 10000 1456 SNIPPET_NOT_RELEVANT b'1439983'
ACTION SNIPPET 10000 1459 SNIPPET_NOT_RELEVANT b'328156'
ACTION QUERY 10000 1469 Explosive detection dogs
ACTION SERP 10000 1474 EXAMINE_SERP
ACTION SNIPPET 10000 1477 SEEN_PREVIOUSLY b'1798342'
ACTION SNIPPET 10000 1480 SEEN_PREVIOUSLY b'1451194'
ACTION SNIPPET 10000 1483 SNIPPET_RELEVANT b'949527'
ACTION DOC 10000 1503 EXAMINING_DOCUMENT b'949527'
ACTION MARK 10000 1506 CONSIDERED_RELEVANT b'949527'
ACTION SNIPPET 10000 1509 SEEN_PREVIOUSLY b'1603415'
ACTION SNIPPET 10000 1512 SNIPPET_NOT_RELEVANT b'1469234'
ACTION SNIPPET 10000 1515 SNIPPET_RELEVANT b'1354247'
ACTION DOC 10000 1535 EXAMINING_DOCUMENT b'1354247'
ACTION MARK 10000 1538 CONSIDERED_RELEVANT b'1354247'
ACTION SNIPPET 10000 1541 SEEN_PREVIOUSLY b'1488583'
ACTION SNIPPET 10000 1544 SNIPPET_RELEVANT b'910971'
ACTION DOC 10000 1564 EXAMINING_DOCUMENT b'910971'
ACTION MARK 10000 1567 CONSIDERED_RELEVANT b'910971'
ACTION SNIPPET 10000 1570 SNIPPET_RELEVANT b'878512'
ACTION DOC 10000 1590 EXAMINING_DOCUMENT b'878512'
ACTION MARK 10000 1593 CONSIDERED_RELEVANT b'878512'
ACTION SNIPPET 10000 1596 SNIPPET_RELEVANT b'1125889'
ACTION DOC 10000 1616 EXAMINING_DOCUMENT b'1125889'
ACTION MARK 10000 1619 CONSIDERED_RELEVANT b'1125889'
ACTION QUERY 10000 1629 K9 security
ACTION SERP 10000 1634 EXAMINE_SERP
ACTION SNIPPET 10000 1637 SEEN_PREVIOUSLY b'1372273'
ACTION SNIPPET 10000 1640 SNIPPET_RELEVANT b'1342353'
ACTION DOC 10000 1660 EXAMINING_DOCUMENT b'1342353'
ACTION MARK 10000 1663 CONSIDERED_RELEVANT b'1342353'
ACTION SNIPPET 10000 1666 SNIPPET_NOT_RELEVANT b'715461'
ACTION SNIPPET 10000 1669 SNIPPET_NOT_RELEVANT b'1140737'
ACTION SNIPPET 10000 1672 SNIPPET_NOT_RELEVANT b'1228506'
ACTION SNIPPET 10000 1675 SNIPPET_NOT_RELEVANT b'1208814'
ACTION SNIPPET 10000 1678 SNIPPET_RELEVANT b'1667647'
ACTION DOC 10000 1698 EXAMINING_DOCUMENT b'1667647'
ACTION SNIPPET 10000 1701 SNIPPET_NOT_RELEVANT b'540650'
ACTION SNIPPET 10000 1704 SNIPPET_RELEVANT b'748304'
ACTION DOC 10000 1724 EXAMINING_DOCUMENT b'748304'
ACTION SNIPPET 10000 1727 SNIPPET_RELEVANT b'1768871'
ACTION DOC 10000 1747 EXAMINING_DOCUMENT b'1768871'
ACTION QUERY 10000 1757 Bomb detection dogs
ACTION SERP 10000 1762 EXAMINE_SERP
ACTION SNIPPET 10000 1765 SEEN_PREVIOUSLY b'1798342'
ACTION SNIPPET 10000 1768 SEEN_PREVIOUSLY b'949527'
ACTION SNIPPET 10000 1771 SNIPPET_RELEVANT b'1469234'
ACTION DOC 10000 1791 EXAMINING_DOCUMENT b'1469234'
ACTION SNIPPET 10000 1794 SEEN_PREVIOUSLY b'1354247'
ACTION SNIPPET 10000 1797 SEEN_PREVIOUSLY b'1603415'
ACTION SNIPPET 10000 1800 SEEN_PREVIOUSLY b'1451194'
ACTION SNIPPET 10000 1803 SNIPPET_RELEVANT b'1344310'
ACTION DOC 10000 1823 EXAMINING_DOCUMENT b'1344310'
ACTION MARK 10000 1826 CONSIDERED_RELEVANT b'1344310'
ACTION SNIPPET 10000 1829 SEEN_PREVIOUSLY b'625971'
ACTION SNIPPET 10000 1832 SEEN_PREVIOUSLY b'910971'
ACTION SNIPPET 10000 1835 SNIPPET_RELEVANT b'879847'
ACTION DOC 10000 1855 EXAMINING_DOCUMENT b'879847'
ACTION MARK 10000 1858 CONSIDERED_RELEVANT b'879847'
ACTION QUERY 10000 1868 Police dog breeds
ACTION SERP 10000 1873 EXAMINE_SERP
ACTION SNIPPET 10000 1876 SNIPPET_NOT_RELEVANT b'514654'
ACTION SNIPPET 10000 1879 SNIPPET_NOT_RELEVANT b'195735'
ACTION SNIPPET 10000 1882 SNIPPET_NOT_RELEVANT b'1823577'
ACTION SNIPPET 10000 1885 SNIPPET_RELEVANT b'915'
ACTION DOC 10000 1905 EXAMINING_DOCUMENT b'915'
ACTION SNIPPET 10000 1908 SEEN_PREVIOUSLY b'915'
ACTION SNIPPET 10000 1911 SNIPPET_NOT_RELEVANT b'590544'
ACTION SNIPPET 10000 1914 SNIPPET_RELEVANT b'1778434'
ACTION DOC 10000 1934 EXAMINING_DOCUMENT b'1778434'
ACTION SNIPPET 10000 1937 SNIPPET_RELEVANT b'1557868'
ACTION DOC 10000 1957 EXAMINING_DOCUMENT b'1557868'
ACTION SNIPPET 10000 1960 SNIPPET_NOT_RELEVANT b'1268683'
ACTION SNIPPET 10000 1963 SNIPPET_NOT_RELEVANT b'1583278'
ACTION QUERY 10000 1973 Search and rescue dog breeds
ACTION SERP 10000 1978 EXAMINE_SERP
ACTION SNIPPET 10000 1981 SNIPPET_NOT_RELEVANT b'1536046'
ACTION SNIPPET 10000 1984 SNIPPET_NOT_RELEVANT b'590544'
ACTION SNIPPET 10000 1987 SNIPPET_NOT_RELEVANT b'338941'
ACTION SNIPPET 10000 1990 SNIPPET_NOT_RELEVANT b'875908'
ACTION SNIPPET 10000 1993 SNIPPET_RELEVANT b'1715353'
ACTION DOC 10000 2013 EXAMINING_DOCUMENT b'1715353'
ACTION SNIPPET 10000 2016 SNIPPET_NOT_RELEVANT b'1433559'
ACTION SNIPPET 10000 2019 SNIPPET_RELEVANT b'875900'
ACTION DOC 10000 2039 EXAMINING_DOCUMENT b'875900'
ACTION SNIPPET 10000 2042 SNIPPET_NOT_RELEVANT b'1583278'
ACTION SNIPPET 10000 2045 SNIPPET_RELEVANT b'676501'
ACTION DOC 10000 2065 EXAMINING_DOCUMENT b'676501'
ACTION MARK 10000 2068 CONSIDERED_RELEVANT b'676501'
ACTION SNIPPET 10000 2071 SNIPPET_NOT_RELEVANT b'716739'
ACTION QUERY 10000 2081 Police dog requirements
ACTION SERP 10000 2086 EXAMINE_SERP
ACTION SNIPPET 10000 2089 SEEN_PREVIOUSLY b'1705867'
ACTION SNIPPET 10000 2092 SNIPPET_NOT_RELEVANT b'968138'
ACTION SNIPPET 10000 2095 SEEN_PREVIOUSLY b'1354247'
ACTION SNIPPET 10000 2098 SNIPPET_RELEVANT b'1186759'
ACTION DOC 10000 2118 EXAMINING_DOCUMENT b'1186759'
ACTION MARK 10000 2121 CONSIDERED_RELEVANT b'1186759'
ACTION SNIPPET 10000 2124 SEEN_PREVIOUSLY b'235292'
ACTION SNIPPET 10000 2127 SNIPPET_RELEVANT b'1662517'
ACTION DOC 10000 2147 EXAMINING_DOCUMENT b'1662517'
ACTION MARK 10000 2150 CONSIDERED_RELEVANT b'1662517'
ACTION SNIPPET 10000 2153 SNIPPET_RELEVANT b'1560133'
