ACTION QUERY 10000 10 automobile recalls
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'093e9464-bb47-11e3-9c3c-311301e2167d'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'093e9464-bb47-11e3-9c3c-311301e2167d'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'093e9464-bb47-11e3-9c3c-311301e2167d'
ACTION SNIPPET 10000 44 SNIPPET_NOT_RELEVANT b'1df95e04-f37a-11e4-bcc4-e8141e5eb0c9'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'17d805ec-7b6f-11e6-ac8e-cf8e0dd91dc7'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'17d805ec-7b6f-11e6-ac8e-cf8e0dd91dc7'
ACTION MARK 10000 70 CONSIDERED_RELEVANT b'17d805ec-7b6f-11e6-ac8e-cf8e0dd91dc7'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'4c0fa346afb21b9f7bf7afe1dc17292c'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'4c0fa346afb21b9f7bf7afe1dc17292c'
ACTION MARK 10000 96 CONSIDERED_RELEVANT b'4c0fa346afb21b9f7bf7afe1dc17292c'
ACTION SNIPPET 10000 99 SNIPPET_NOT_RELEVANT b'825e3048-80cf-11e6-8327-f141a7beb626'
ACTION SNIPPET 10000 102 SNIPPET_RELEVANT b'52b0fdb8-c463-11e5-9693-933a4d31bcc8'
ACTION DOC 10000 122 EXAMINING_DOCUMENT b'52b0fdb8-c463-11e5-9693-933a4d31bcc8'
ACTION SNIPPET 10000 125 SNIPPET_RELEVANT b'4167cbfc293495fffb36cb2e764d7ebc'
ACTION DOC 10000 145 EXAMINING_DOCUMENT b'4167cbfc293495fffb36cb2e764d7ebc'
ACTION MARK 10000 148 CONSIDERED_RELEVANT b'4167cbfc293495fffb36cb2e764d7ebc'
ACTION SNIPPET 10000 151 SNIPPET_RELEVANT b'8da5e260ea06521a83251f89afa5b893'
ACTION DOC 10000 171 EXAMINING_DOCUMENT b'8da5e260ea06521a83251f89afa5b893'
ACTION MARK 10000 174 CONSIDERED_RELEVANT b'8da5e260ea06521a83251f89afa5b893'
ACTION SNIPPET 10000 177 SNIPPET_RELEVANT b'a9b8ff24-aba7-11e3-b8ca-197ef3568958'
ACTION DOC 10000 197 EXAMINING_DOCUMENT b'a9b8ff24-aba7-11e3-b8ca-197ef3568958'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'db63cb9e-d359-11e6-945a-76f69a399dd5'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'db63cb9e-d359-11e6-945a-76f69a399dd5'
ACTION MARK 10000 223 CONSIDERED_RELEVANT b'db63cb9e-d359-11e6-945a-76f69a399dd5'
ACTION QUERY 10000 233 Automobile recall
ACTION SERP 10000 238 EXAMINE_SERP
ACTION SNIPPET 10000 241 SEEN_PREVIOUSLY b'093e9464-bb47-11e3-9c3c-311301e2167d'
ACTION SNIPPET 10000 244 SNIPPET_RELEVANT b'1df95e04-f37a-11e4-bcc4-e8141e5eb0c9'
ACTION DOC 10000 264 EXAMINING_DOCUMENT b'1df95e04-f37a-11e4-bcc4-e8141e5eb0c9'
ACTION SNIPPET 10000 267 SEEN_PREVIOUSLY b'17d805ec-7b6f-11e6-ac8e-cf8e0dd91dc7'
ACTION SNIPPET 10000 270 SEEN_PREVIOUSLY b'4c0fa346afb21b9f7bf7afe1dc17292c'
ACTION SNIPPET 10000 273 SNIPPET_RELEVANT b'825e3048-80cf-11e6-8327-f141a7beb626'
ACTION DOC 10000 293 EXAMINING_DOCUMENT b'825e3048-80cf-11e6-8327-f141a7beb626'
ACTION SNIPPET 10000 296 SEEN_PREVIOUSLY b'52b0fdb8-c463-11e5-9693-933a4d31bcc8'
ACTION SNIPPET 10000 299 SEEN_PREVIOUSLY b'4167cbfc293495fffb36cb2e764d7ebc'
ACTION SNIPPET 10000 302 SEEN_PREVIOUSLY b'8da5e260ea06521a83251f89afa5b893'
ACTION SNIPPET 10000 305 SEEN_PREVIOUSLY b'a9b8ff24-aba7-11e3-b8ca-197ef3568958'
ACTION SNIPPET 10000 308 SEEN_PREVIOUSLY b'db63cb9e-d359-11e6-945a-76f69a399dd5'
ACTION QUERY 10000 318 Car recall
ACTION SERP 10000 323 EXAMINE_SERP
ACTION SNIPPET 10000 326 SEEN_PREVIOUSLY b'093e9464-bb47-11e3-9c3c-311301e2167d'
ACTION SNIPPET 10000 329 SNIPPET_RELEVANT b'7dfb417f61e52c1ba2ce6e58f8c3647c'
ACTION DOC 10000 349 EXAMINING_DOCUMENT b'7dfb417f61e52c1ba2ce6e58f8c3647c'
ACTION MARK 10000 352 CONSIDERED_RELEVANT b'7dfb417f61e52c1ba2ce6e58f8c3647c'
ACTION SNIPPET 10000 355 SNIPPET_RELEVANT b'47008c87fd4d5bc0af1965c66305745c'
ACTION DOC 10000 375 EXAMINING_DOCUMENT b'47008c87fd4d5bc0af1965c66305745c'
ACTION MARK 10000 378 CONSIDERED_RELEVANT b'47008c87fd4d5bc0af1965c66305745c'
