ACTION QUERY 10000 10 declining middle class in U.S.
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'cecb68c879ddec192499c8ab671bf37f'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'cecb68c879ddec192499c8ab671bf37f'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'cecb68c879ddec192499c8ab671bf37f'
ACTION SNIPPET 10000 44 SNIPPET_NOT_RELEVANT b'bc67ff696fbcadd5160706407144a2a1'
ACTION SNIPPET 10000 47 SNIPPET_NOT_RELEVANT b'4a5498cc34b5b2b65eb3bce973a118c9'
ACTION SNIPPET 10000 50 SNIPPET_NOT_RELEVANT b'c4b66c2d0b9836e464388e5a79c76236'
ACTION SNIPPET 10000 53 SNIPPET_RELEVANT b'd3855a5a9c4eaacf1d9a32de2b62f9d4'
ACTION DOC 10000 73 EXAMINING_DOCUMENT b'd3855a5a9c4eaacf1d9a32de2b62f9d4'
ACTION MARK 10000 76 CONSIDERED_RELEVANT b'd3855a5a9c4eaacf1d9a32de2b62f9d4'
ACTION SNIPPET 10000 79 SNIPPET_RELEVANT b'd3df9601bf4fb1351eb64f3517255771'
ACTION DOC 10000 99 EXAMINING_DOCUMENT b'd3df9601bf4fb1351eb64f3517255771'
ACTION MARK 10000 102 CONSIDERED_RELEVANT b'd3df9601bf4fb1351eb64f3517255771'
ACTION SNIPPET 10000 105 SNIPPET_RELEVANT b'4e525675ca0d1c2cc2786208e28f39db'
ACTION DOC 10000 125 EXAMINING_DOCUMENT b'4e525675ca0d1c2cc2786208e28f39db'
ACTION MARK 10000 128 CONSIDERED_RELEVANT b'4e525675ca0d1c2cc2786208e28f39db'
ACTION SNIPPET 10000 131 SNIPPET_RELEVANT b'cad56e871cd0bca6cc77e97ffe246258'
ACTION DOC 10000 151 EXAMINING_DOCUMENT b'cad56e871cd0bca6cc77e97ffe246258'
ACTION MARK 10000 154 CONSIDERED_RELEVANT b'cad56e871cd0bca6cc77e97ffe246258'
ACTION SNIPPET 10000 157 SNIPPET_RELEVANT b'17c7f8b12ada24f7d93353ae70dd1ad0'
ACTION DOC 10000 177 EXAMINING_DOCUMENT b'17c7f8b12ada24f7d93353ae70dd1ad0'
ACTION MARK 10000 180 CONSIDERED_RELEVANT b'17c7f8b12ada24f7d93353ae70dd1ad0'
ACTION SNIPPET 10000 183 SNIPPET_RELEVANT b'e9408c52-af2e-11e5-9ab0-884d1cc4b33e'
ACTION DOC 10000 203 EXAMINING_DOCUMENT b'e9408c52-af2e-11e5-9ab0-884d1cc4b33e'
ACTION MARK 10000 206 CONSIDERED_RELEVANT b'e9408c52-af2e-11e5-9ab0-884d1cc4b33e'
ACTION SNIPPET 10000 209 SNIPPET_NOT_RELEVANT b'67c3cb3d2465c3bd48e28ac74db92f76'
ACTION SNIPPET 10000 212 SNIPPET_NOT_RELEVANT b'214dc04a-3a28-11e6-8f7c-d4c723a2becb'
ACTION SNIPPET 10000 215 SNIPPET_RELEVANT b'ae5ad584-cf58-11e1-b630-190a983a2e0d'
ACTION DOC 10000 235 EXAMINING_DOCUMENT b'ae5ad584-cf58-11e1-b630-190a983a2e0d'
ACTION MARK 10000 238 CONSIDERED_RELEVANT b'ae5ad584-cf58-11e1-b630-190a983a2e0d'
ACTION SNIPPET 10000 241 SNIPPET_NOT_RELEVANT b'c2c7df279243dae07f2b340ffdeb9991'
ACTION SNIPPET 10000 244 SNIPPET_RELEVANT b'df94fa2e-48f5-11e1-9a35-ee3df431dcec'
ACTION DOC 10000 264 EXAMINING_DOCUMENT b'df94fa2e-48f5-11e1-9a35-ee3df431dcec'
ACTION MARK 10000 267 CONSIDERED_RELEVANT b'df94fa2e-48f5-11e1-9a35-ee3df431dcec'
ACTION SNIPPET 10000 270 SNIPPET_RELEVANT b'167309ea-afdc-11e5-9ab0-884d1cc4b33e'
ACTION DOC 10000 290 EXAMINING_DOCUMENT b'167309ea-afdc-11e5-9ab0-884d1cc4b33e'
ACTION MARK 10000 293 CONSIDERED_RELEVANT b'167309ea-afdc-11e5-9ab0-884d1cc4b33e'
ACTION SNIPPET 10000 296 SNIPPET_RELEVANT b'b551a62a-3650-11e1-9ee3-fd35588e7629'
ACTION DOC 10000 316 EXAMINING_DOCUMENT b'b551a62a-3650-11e1-9ee3-fd35588e7629'
ACTION MARK 10000 319 CONSIDERED_RELEVANT b'b551a62a-3650-11e1-9ee3-fd35588e7629'
ACTION SNIPPET 10000 322 SNIPPET_RELEVANT b'46a77058-8d1c-11e4-a085-34e9b9f09a58'
ACTION DOC 10000 342 EXAMINING_DOCUMENT b'46a77058-8d1c-11e4-a085-34e9b9f09a58'
ACTION MARK 10000 345 CONSIDERED_RELEVANT b'46a77058-8d1c-11e4-a085-34e9b9f09a58'
ACTION SNIPPET 10000 348 SNIPPET_NOT_RELEVANT b'46ba6e2a421dcc55b9fc535bdbfb56b9'
ACTION SNIPPET 10000 351 SNIPPET_RELEVANT b'14af05c5312953c454ae5691173cebd6'
ACTION DOC 10000 371 EXAMINING_DOCUMENT b'14af05c5312953c454ae5691173cebd6'
ACTION MARK 10000 374 CONSIDERED_RELEVANT b'14af05c5312953c454ae5691173cebd6'
ACTION SNIPPET 10000 377 SNIPPET_RELEVANT b'db0e94f949b171c82f227f5b1cf28694'
ACTION DOC 10000 397 EXAMINING_DOCUMENT b'db0e94f949b171c82f227f5b1cf28694'
ACTION MARK 10000 400 CONSIDERED_RELEVANT b'db0e94f949b171c82f227f5b1cf28694'
ACTION SNIPPET 10000 403 SNIPPET_RELEVANT b'c23e7c6ded052b2e8d9e70a9fd4e3a69'
ACTION DOC 10000 423 EXAMINING_DOCUMENT b'c23e7c6ded052b2e8d9e70a9fd4e3a69'
ACTION MARK 10000 426 CONSIDERED_RELEVANT b'c23e7c6ded052b2e8d9e70a9fd4e3a69'
ACTION SNIPPET 10000 429 SNIPPET_RELEVANT b'58ad2135c6ac41d693916df6d65e3f53'
ACTION DOC 10000 449 EXAMINING_DOCUMENT b'58ad2135c6ac41d693916df6d65e3f53'
ACTION MARK 10000 452 CONSIDERED_RELEVANT b'58ad2135c6ac41d693916df6d65e3f53'
ACTION SNIPPET 10000 455 SNIPPET_NOT_RELEVANT b'e5120605ba7ca1f51412a5f7eadbdd52'
ACTION SNIPPET 10000 458 SNIPPET_RELEVANT b'0f5df1d8-a037-11e5-8728-1af6af208198'
ACTION DOC 10000 478 EXAMINING_DOCUMENT b'0f5df1d8-a037-11e5-8728-1af6af208198'
ACTION MARK 10000 481 CONSIDERED_RELEVANT b'0f5df1d8-a037-11e5-8728-1af6af208198'
ACTION SNIPPET 10000 484 SNIPPET_NOT_RELEVANT b'9355cfb4234012d3e8c53682092dd95a'
ACTION SNIPPET 10000 487 SNIPPET_NOT_RELEVANT b'58d3efa333abb97444146953cc810477'
ACTION SNIPPET 10000 490 SNIPPET_NOT_RELEVANT b'5e306378-68de-11e3-a0b9-249bbb34602c'
ACTION SNIPPET 10000 493 SNIPPET_RELEVANT b'3cdb3fd66505f48b2e1e8c51255c9914'
ACTION DOC 10000 513 EXAMINING_DOCUMENT b'3cdb3fd66505f48b2e1e8c51255c9914'
ACTION MARK 10000 516 CONSIDERED_RELEVANT b'3cdb3fd66505f48b2e1e8c51255c9914'
ACTION SNIPPET 10000 519 SNIPPET_RELEVANT b'34ea240cd32cccc26fb741c39d374df9'
ACTION DOC 10000 539 EXAMINING_DOCUMENT b'34ea240cd32cccc26fb741c39d374df9'
ACTION MARK 10000 542 CONSIDERED_RELEVANT b'34ea240cd32cccc26fb741c39d374df9'
ACTION SNIPPET 10000 545 SNIPPET_RELEVANT b'bd557680-0a6c-11e7-a15f-a58d4a988474'
ACTION DOC 10000 565 EXAMINING_DOCUMENT b'bd557680-0a6c-11e7-a15f-a58d4a988474'
ACTION MARK 10000 568 CONSIDERED_RELEVANT b'bd557680-0a6c-11e7-a15f-a58d4a988474'
ACTION SNIPPET 10000 571 SNIPPET_NOT_RELEVANT b'28df9bc0-af49-11e2-b59e-adb43da03a8a'
ACTION SNIPPET 10000 574 SNIPPET_NOT_RELEVANT b'cc1c4bafb1ae9281105e14c4c0698f6e'
ACTION SNIPPET 10000 577 SNIPPET_RELEVANT b'cfbb64ec-8625-11e4-9534-f79a23c40e6c'
ACTION DOC 10000 597 EXAMINING_DOCUMENT b'cfbb64ec-8625-11e4-9534-f79a23c40e6c'
ACTION MARK 10000 600 CONSIDERED_RELEVANT b'cfbb64ec-8625-11e4-9534-f79a23c40e6c'
ACTION SNIPPET 10000 603 SNIPPET_NOT_RELEVANT b'1db4e1a8d767902669e4017b8b6d2bcb'
ACTION SNIPPET 10000 606 SNIPPET_RELEVANT b'c87e9e46-b4c8-11e1-9e4c-5a6a137d65e1'
ACTION DOC 10000 626 EXAMINING_DOCUMENT b'c87e9e46-b4c8-11e1-9e4c-5a6a137d65e1'
ACTION MARK 10000 629 CONSIDERED_RELEVANT b'c87e9e46-b4c8-11e1-9e4c-5a6a137d65e1'
ACTION SNIPPET 10000 632 SNIPPET_NOT_RELEVANT b'417409bb4c392e65c604334cecdf8ed0'
ACTION SNIPPET 10000 635 SNIPPET_NOT_RELEVANT b'6da5aa84-36ea-11e1-9ee3-fd35588e7629'
ACTION SNIPPET 10000 638 SNIPPET_RELEVANT b'334a7c73902ce1375ecf668db824c477'
ACTION DOC 10000 658 EXAMINING_DOCUMENT b'334a7c73902ce1375ecf668db824c477'
ACTION MARK 10000 661 CONSIDERED_RELEVANT b'334a7c73902ce1375ecf668db824c477'
ACTION SNIPPET 10000 664 SNIPPET_NOT_RELEVANT b'f4657a051730215cb0063d9c61ed8c3e'
ACTION SNIPPET 10000 667 SNIPPET_NOT_RELEVANT b'f1ee7686-a276-11e4-903f-9f2faf7cd9fe'
ACTION SNIPPET 10000 670 SNIPPET_NOT_RELEVANT b'5471df74-e7b2-11e5-b0fd-073d5930a7b7'
ACTION SNIPPET 10000 673 SNIPPET_NOT_RELEVANT b'0e04632c-fc29-11e1-8adc-499661afe377'
ACTION SNIPPET 10000 676 SNIPPET_RELEVANT b'b724f3a6-3e93-11e3-b6a9-da62c264f40e'
ACTION DOC 10000 696 EXAMINING_DOCUMENT b'b724f3a6-3e93-11e3-b6a9-da62c264f40e'
ACTION MARK 10000 699 CONSIDERED_RELEVANT b'b724f3a6-3e93-11e3-b6a9-da62c264f40e'
ACTION SNIPPET 10000 702 SNIPPET_NOT_RELEVANT b'8ad9cbc6-462a-11e2-8061-253bccfc7532'
ACTION SNIPPET 10000 705 SNIPPET_NOT_RELEVANT b'0b37c6ae-d655-11e3-95d3-3bcd77cd4e11'
ACTION SNIPPET 10000 708 SNIPPET_NOT_RELEVANT b'0cf955e0-8437-11e3-9dd4-e7278db80d86'
ACTION SNIPPET 10000 711 SNIPPET_NOT_RELEVANT b'238b524fd95a66060f682e9628246449'
ACTION SNIPPET 10000 714 SNIPPET_NOT_RELEVANT b'5b3ff16dbc803f8636bfac88b08228ca'
ACTION SNIPPET 10000 717 SNIPPET_NOT_RELEVANT b'9d596fe7f09be4ade0cfd59252eca514'
INFO SERP_END_REACHED 
ACTION QUERY 10000 727 Reasons for declining middle class in U.S.
ACTION SERP 10000 732 EXAMINE_SERP
ACTION SNIPPET 10000 735 SNIPPET_NOT_RELEVANT b'bc67ff696fbcadd5160706407144a2a1'
ACTION SNIPPET 10000 738 SNIPPET_NOT_RELEVANT b'4a5498cc34b5b2b65eb3bce973a118c9'
ACTION SNIPPET 10000 741 SEEN_PREVIOUSLY b'3cdb3fd66505f48b2e1e8c51255c9914'
ACTION SNIPPET 10000 744 SEEN_PREVIOUSLY b'c87e9e46-b4c8-11e1-9e4c-5a6a137d65e1'
ACTION SNIPPET 10000 747 SEEN_PREVIOUSLY b'ae5ad584-cf58-11e1-b630-190a983a2e0d'
ACTION SNIPPET 10000 750 SEEN_PREVIOUSLY b'cecb68c879ddec192499c8ab671bf37f'
ACTION SNIPPET 10000 753 SEEN_PREVIOUSLY b'b551a62a-3650-11e1-9ee3-fd35588e7629'
ACTION SNIPPET 10000 756 SEEN_PREVIOUSLY b'34ea240cd32cccc26fb741c39d374df9'
ACTION SNIPPET 10000 759 SNIPPET_NOT_RELEVANT b'8ad9cbc6-462a-11e2-8061-253bccfc7532'
ACTION SNIPPET 10000 762 SNIPPET_NOT_RELEVANT b'1db4e1a8d767902669e4017b8b6d2bcb'
ACTION SNIPPET 10000 765 SNIPPET_NOT_RELEVANT b'c4b66c2d0b9836e464388e5a79c76236'
ACTION SNIPPET 10000 768 SEEN_PREVIOUSLY b'd3855a5a9c4eaacf1d9a32de2b62f9d4'
ACTION SNIPPET 10000 771 SNIPPET_RELEVANT b'6c71d022-7cfc-11e1-8f65-4cbb23028e62'
ACTION DOC 10000 791 EXAMINING_DOCUMENT b'6c71d022-7cfc-11e1-8f65-4cbb23028e62'
ACTION MARK 10000 794 CONSIDERED_RELEVANT b'6c71d022-7cfc-11e1-8f65-4cbb23028e62'
ACTION SNIPPET 10000 797 SEEN_PREVIOUSLY b'd3df9601bf4fb1351eb64f3517255771'
ACTION SNIPPET 10000 800 SEEN_PREVIOUSLY b'4e525675ca0d1c2cc2786208e28f39db'
ACTION SNIPPET 10000 803 SEEN_PREVIOUSLY b'cad56e871cd0bca6cc77e97ffe246258'
ACTION SNIPPET 10000 806 SEEN_PREVIOUSLY b'17c7f8b12ada24f7d93353ae70dd1ad0'
ACTION SNIPPET 10000 809 SEEN_PREVIOUSLY b'e9408c52-af2e-11e5-9ab0-884d1cc4b33e'
ACTION SNIPPET 10000 812 SNIPPET_NOT_RELEVANT b'67c3cb3d2465c3bd48e28ac74db92f76'
ACTION SNIPPET 10000 815 SNIPPET_NOT_RELEVANT b'214dc04a-3a28-11e6-8f7c-d4c723a2becb'
ACTION SNIPPET 10000 818 SNIPPET_NOT_RELEVANT b'7b7da0549ac7cf49e6d051855876f0f9'
ACTION SNIPPET 10000 821 SNIPPET_NOT_RELEVANT b'c2c7df279243dae07f2b340ffdeb9991'
ACTION SNIPPET 10000 824 SNIPPET_NOT_RELEVANT b'b894ba74-826f-11e5-9afb-0c971f713d0c'
ACTION SNIPPET 10000 827 SEEN_PREVIOUSLY b'df94fa2e-48f5-11e1-9a35-ee3df431dcec'
ACTION SNIPPET 10000 830 SNIPPET_NOT_RELEVANT b'56fedff2ba63547090f9ac3b61ec78f8'
ACTION SNIPPET 10000 833 SEEN_PREVIOUSLY b'167309ea-afdc-11e5-9ab0-884d1cc4b33e'
ACTION SNIPPET 10000 836 SNIPPET_RELEVANT b'e12ef2b84c6d793aa6c7f3a1916f00d1'
ACTION DOC 10000 856 EXAMINING_DOCUMENT b'e12ef2b84c6d793aa6c7f3a1916f00d1'
ACTION MARK 10000 859 CONSIDERED_RELEVANT b'e12ef2b84c6d793aa6c7f3a1916f00d1'
ACTION SNIPPET 10000 862 SEEN_PREVIOUSLY b'46a77058-8d1c-11e4-a085-34e9b9f09a58'
ACTION SNIPPET 10000 865 SNIPPET_NOT_RELEVANT b'048e4b3282b7dca5184c2ebcc7748550'
ACTION SNIPPET 10000 868 SNIPPET_NOT_RELEVANT b'46ba6e2a421dcc55b9fc535bdbfb56b9'
ACTION SNIPPET 10000 871 SNIPPET_NOT_RELEVANT b'abcf15ca519d51724f3c628b5c34774c'
ACTION SNIPPET 10000 874 SNIPPET_NOT_RELEVANT b'074cd814212d0f157d93c0ff836dec4b'
ACTION SNIPPET 10000 877 SEEN_PREVIOUSLY b'14af05c5312953c454ae5691173cebd6'
ACTION SNIPPET 10000 880 SEEN_PREVIOUSLY b'db0e94f949b171c82f227f5b1cf28694'
ACTION SNIPPET 10000 883 SEEN_PREVIOUSLY b'c23e7c6ded052b2e8d9e70a9fd4e3a69'
ACTION SNIPPET 10000 886 SEEN_PREVIOUSLY b'58ad2135c6ac41d693916df6d65e3f53'
ACTION SNIPPET 10000 889 SNIPPET_NOT_RELEVANT b'e5120605ba7ca1f51412a5f7eadbdd52'
ACTION SNIPPET 10000 892 SNIPPET_RELEVANT b'bfcc78cb4e922dfce6e225ca1ad0a6b4'
ACTION DOC 10000 912 EXAMINING_DOCUMENT b'bfcc78cb4e922dfce6e225ca1ad0a6b4'
ACTION MARK 10000 915 CONSIDERED_RELEVANT b'bfcc78cb4e922dfce6e225ca1ad0a6b4'
ACTION SNIPPET 10000 918 SNIPPET_RELEVANT b'e7bfb9c0e14475ecc9d1a6fb8a3e88c0'
ACTION DOC 10000 938 EXAMINING_DOCUMENT b'e7bfb9c0e14475ecc9d1a6fb8a3e88c0'
ACTION MARK 10000 941 CONSIDERED_RELEVANT b'e7bfb9c0e14475ecc9d1a6fb8a3e88c0'
ACTION SNIPPET 10000 944 SNIPPET_RELEVANT b'4940da4e6e3a30357bd0a4d5e5303b34'
ACTION DOC 10000 964 EXAMINING_DOCUMENT b'4940da4e6e3a30357bd0a4d5e5303b34'
ACTION MARK 10000 967 CONSIDERED_RELEVANT b'4940da4e6e3a30357bd0a4d5e5303b34'
ACTION SNIPPET 10000 970 SNIPPET_RELEVANT b'47c862ef5bc214235088e44b83b92bb3'
ACTION DOC 10000 990 EXAMINING_DOCUMENT b'47c862ef5bc214235088e44b83b92bb3'
ACTION MARK 10000 993 CONSIDERED_RELEVANT b'47c862ef5bc214235088e44b83b92bb3'
ACTION SNIPPET 10000 996 SNIPPET_RELEVANT b'48fd8fd712087e112b698d5b72540399'
ACTION DOC 10000 1016 EXAMINING_DOCUMENT b'48fd8fd712087e112b698d5b72540399'
ACTION MARK 10000 1019 CONSIDERED_RELEVANT b'48fd8fd712087e112b698d5b72540399'
ACTION SNIPPET 10000 1022 SNIPPET_RELEVANT b'c23c594d438f08a0c8a95d4d1ec8f05b'
ACTION DOC 10000 1042 EXAMINING_DOCUMENT b'c23c594d438f08a0c8a95d4d1ec8f05b'
