ACTION QUERY 10000 10 social media and teen suicide
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'00bad2988aff6a1fc691996241db0c32'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'00bad2988aff6a1fc691996241db0c32'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'00bad2988aff6a1fc691996241db0c32'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'50ec1b07340f8a13e87527fca0be10ec'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'50ec1b07340f8a13e87527fca0be10ec'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'50ec1b07340f8a13e87527fca0be10ec'
ACTION SNIPPET 10000 70 SNIPPET_NOT_RELEVANT b'806c9e02-f27c-11e3-914c-1fbd0614e2d4'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'5e9bf47d5caf3814de5b9c76f0c6d251'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'5e9bf47d5caf3814de5b9c76f0c6d251'
ACTION MARK 10000 96 CONSIDERED_RELEVANT b'5e9bf47d5caf3814de5b9c76f0c6d251'
ACTION SNIPPET 10000 99 SNIPPET_NOT_RELEVANT b'11007169a19aa8d7ca42d2169e6445a4'
ACTION SNIPPET 10000 102 SNIPPET_NOT_RELEVANT b'1011d4d0-c412-11e3-bcec-b71ee10e9bc3'
ACTION SNIPPET 10000 105 SNIPPET_RELEVANT b'b0715daee17a65466f8ae8781cce1e7d'
ACTION DOC 10000 125 EXAMINING_DOCUMENT b'b0715daee17a65466f8ae8781cce1e7d'
ACTION MARK 10000 128 CONSIDERED_RELEVANT b'b0715daee17a65466f8ae8781cce1e7d'
ACTION SNIPPET 10000 131 SNIPPET_NOT_RELEVANT b'6f0ce85e-067f-11e3-9259-e2aafe5a5f84'
ACTION SNIPPET 10000 134 SNIPPET_RELEVANT b'af0082e774c7f292d9cdeefbaa4e159e'
ACTION DOC 10000 154 EXAMINING_DOCUMENT b'af0082e774c7f292d9cdeefbaa4e159e'
ACTION MARK 10000 157 CONSIDERED_RELEVANT b'af0082e774c7f292d9cdeefbaa4e159e'
ACTION SNIPPET 10000 160 SNIPPET_RELEVANT b'1f799cc1-2d0f-4cdb-8933-9ec55250c7f6'
ACTION DOC 10000 180 EXAMINING_DOCUMENT b'1f799cc1-2d0f-4cdb-8933-9ec55250c7f6'
ACTION MARK 10000 183 CONSIDERED_RELEVANT b'1f799cc1-2d0f-4cdb-8933-9ec55250c7f6'
ACTION SNIPPET 10000 186 SNIPPET_RELEVANT b'57634dbab8bad9646965b06138da9316'
ACTION DOC 10000 206 EXAMINING_DOCUMENT b'57634dbab8bad9646965b06138da9316'
ACTION MARK 10000 209 CONSIDERED_RELEVANT b'57634dbab8bad9646965b06138da9316'
ACTION SNIPPET 10000 212 SNIPPET_RELEVANT b'12f344bb0556968b1eae88fb45bccb4a'
ACTION DOC 10000 232 EXAMINING_DOCUMENT b'12f344bb0556968b1eae88fb45bccb4a'
ACTION MARK 10000 235 CONSIDERED_RELEVANT b'12f344bb0556968b1eae88fb45bccb4a'
ACTION SNIPPET 10000 238 SNIPPET_RELEVANT b'59f9fa6d5baacf4ab5101c7e13d10e91'
ACTION DOC 10000 258 EXAMINING_DOCUMENT b'59f9fa6d5baacf4ab5101c7e13d10e91'
ACTION MARK 10000 261 CONSIDERED_RELEVANT b'59f9fa6d5baacf4ab5101c7e13d10e91'
ACTION SNIPPET 10000 264 SNIPPET_NOT_RELEVANT b'04f2bc23ef0ffef619172c671bab2e85'
ACTION SNIPPET 10000 267 SNIPPET_NOT_RELEVANT b'de88f7c4-a356-11e5-9c4e-be37f66848bb'
ACTION SNIPPET 10000 270 SNIPPET_RELEVANT b'55422cbce47203a0fee60913f35e593f'
ACTION DOC 10000 290 EXAMINING_DOCUMENT b'55422cbce47203a0fee60913f35e593f'
ACTION SNIPPET 10000 293 SNIPPET_NOT_RELEVANT b'd695458a5d9d1acac78dc4984703f77c'
ACTION SNIPPET 10000 296 SNIPPET_NOT_RELEVANT b'5364c9e5ed7d1d0453dd999cd696777b'
ACTION SNIPPET 10000 299 SNIPPET_NOT_RELEVANT b'e7c8c4ac-c58d-11e3-bf7a-be01a9b69cf1'
ACTION SNIPPET 10000 302 SNIPPET_NOT_RELEVANT b'fbbaac51e76cc3286f8018d5b8e8efec'
ACTION SNIPPET 10000 305 SNIPPET_RELEVANT b'bd3caa6600273d3661bfc6ebc66cf78c'
ACTION DOC 10000 325 EXAMINING_DOCUMENT b'bd3caa6600273d3661bfc6ebc66cf78c'
ACTION MARK 10000 328 CONSIDERED_RELEVANT b'bd3caa6600273d3661bfc6ebc66cf78c'
ACTION SNIPPET 10000 331 SNIPPET_RELEVANT b'56c1099141c167afa47e7aa0ba6f818f'
ACTION DOC 10000 351 EXAMINING_DOCUMENT b'56c1099141c167afa47e7aa0ba6f818f'
ACTION MARK 10000 354 CONSIDERED_RELEVANT b'56c1099141c167afa47e7aa0ba6f818f'
ACTION SNIPPET 10000 357 SNIPPET_NOT_RELEVANT b'574d049c2995d2bfb919b5493fe3caff'
ACTION SNIPPET 10000 360 SNIPPET_RELEVANT b'ea1abec8-f816-11e5-a3ce-f06b5ba21f33'
ACTION DOC 10000 380 EXAMINING_DOCUMENT b'ea1abec8-f816-11e5-a3ce-f06b5ba21f33'
ACTION MARK 10000 383 CONSIDERED_RELEVANT b'ea1abec8-f816-11e5-a3ce-f06b5ba21f33'
ACTION SNIPPET 10000 386 SNIPPET_RELEVANT b'fb8921f3c046f175a24d1f14555d0cf1'
ACTION DOC 10000 406 EXAMINING_DOCUMENT b'fb8921f3c046f175a24d1f14555d0cf1'
ACTION SNIPPET 10000 409 SNIPPET_NOT_RELEVANT b'fd6fba2bff33e9b33df7f2aca8b7b5a2'
ACTION SNIPPET 10000 412 SNIPPET_RELEVANT b'33a674b0-3038-11e7-9dec-764dc781686f'
ACTION DOC 10000 432 EXAMINING_DOCUMENT b'33a674b0-3038-11e7-9dec-764dc781686f'
ACTION MARK 10000 435 CONSIDERED_RELEVANT b'33a674b0-3038-11e7-9dec-764dc781686f'
ACTION SNIPPET 10000 438 SNIPPET_NOT_RELEVANT b'd1b577a9448792de6d1e34c125899285'
ACTION SNIPPET 10000 441 SNIPPET_NOT_RELEVANT b'9c4ed61a6d23ac289a57217153db6a56'
ACTION SNIPPET 10000 444 SNIPPET_NOT_RELEVANT b'5fa4f44e-04a0-11e5-bc72-f3e16bf50bb6'
ACTION SNIPPET 10000 447 SNIPPET_NOT_RELEVANT b'b9798046-ced9-11e3-937f-d3026234b51c'
ACTION SNIPPET 10000 450 SNIPPET_NOT_RELEVANT b'a7195a7375ab5bfb765a22456c38288d'
ACTION SNIPPET 10000 453 SNIPPET_NOT_RELEVANT b'026eb2f0-4a2b-11e3-ac54-aa84301ced81'
