ACTION QUERY 10000 10 China one-child impact
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'a7c956aee4cb80de159b775ec35268ea'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'6fbe1f28e8c04e4dfc24a5978a296602'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'2ca645ef961599fad1dd64d815275e8f'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'2ca645ef961599fad1dd64d815275e8f'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'ce4eb79610f5c6f54f6e90720dd8a610'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'ce4eb79610f5c6f54f6e90720dd8a610'
ACTION SNIPPET 10000 70 SNIPPET_NOT_RELEVANT b'ce9d63b4c7190473ba7ce68022ce3a0c'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'cb3aa0c6bd8f8dadc26c59ed0d6973de'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'cb3aa0c6bd8f8dadc26c59ed0d6973de'
ACTION SNIPPET 10000 96 SNIPPET_NOT_RELEVANT b'4404a4ee3190ca71952bef38011162e7'
ACTION SNIPPET 10000 99 SNIPPET_RELEVANT b'213c3f38e70685c80a704ab4764b0b45'
ACTION DOC 10000 119 EXAMINING_DOCUMENT b'213c3f38e70685c80a704ab4764b0b45'
ACTION QUERY 10000 129 China one child policy
ACTION SERP 10000 134 EXAMINE_SERP
ACTION SNIPPET 10000 137 SNIPPET_RELEVANT b'ad64af1c-4def-11e3-be6b-d3d28122e6d4'
ACTION DOC 10000 157 EXAMINING_DOCUMENT b'ad64af1c-4def-11e3-be6b-d3d28122e6d4'
ACTION MARK 10000 160 CONSIDERED_RELEVANT b'ad64af1c-4def-11e3-be6b-d3d28122e6d4'
ACTION SNIPPET 10000 163 SNIPPET_RELEVANT b'bddfd20fe9bf8b3c4a0e6eedb566605c'
ACTION DOC 10000 183 EXAMINING_DOCUMENT b'bddfd20fe9bf8b3c4a0e6eedb566605c'
ACTION MARK 10000 186 CONSIDERED_RELEVANT b'bddfd20fe9bf8b3c4a0e6eedb566605c'
ACTION SNIPPET 10000 189 SNIPPET_RELEVANT b'8765690ee4552cb7d1c810f28e919d06'
ACTION DOC 10000 209 EXAMINING_DOCUMENT b'8765690ee4552cb7d1c810f28e919d06'
ACTION MARK 10000 212 CONSIDERED_RELEVANT b'8765690ee4552cb7d1c810f28e919d06'
ACTION SNIPPET 10000 215 SNIPPET_RELEVANT b'8e4c7f1a0273b41b04885d44b4be30d4'
ACTION DOC 10000 235 EXAMINING_DOCUMENT b'8e4c7f1a0273b41b04885d44b4be30d4'
ACTION MARK 10000 238 CONSIDERED_RELEVANT b'8e4c7f1a0273b41b04885d44b4be30d4'
ACTION SNIPPET 10000 241 SNIPPET_RELEVANT b'6c885b64-7f3f-11e5-b575-d8dcfedb4ea1'
ACTION DOC 10000 261 EXAMINING_DOCUMENT b'6c885b64-7f3f-11e5-b575-d8dcfedb4ea1'
ACTION MARK 10000 264 CONSIDERED_RELEVANT b'6c885b64-7f3f-11e5-b575-d8dcfedb4ea1'
ACTION SNIPPET 10000 267 SNIPPET_RELEVANT b'f52d203c-51f4-11e3-9e2c-e1d01116fd98'
ACTION DOC 10000 287 EXAMINING_DOCUMENT b'f52d203c-51f4-11e3-9e2c-e1d01116fd98'
ACTION MARK 10000 290 CONSIDERED_RELEVANT b'f52d203c-51f4-11e3-9e2c-e1d01116fd98'
ACTION SNIPPET 10000 293 SNIPPET_RELEVANT b'207fc0e6-7e2b-11e5-beba-927fd8634498'
ACTION DOC 10000 313 EXAMINING_DOCUMENT b'207fc0e6-7e2b-11e5-beba-927fd8634498'
ACTION MARK 10000 316 CONSIDERED_RELEVANT b'207fc0e6-7e2b-11e5-beba-927fd8634498'
ACTION SNIPPET 10000 319 SNIPPET_RELEVANT b'74535f14e628892c0775a2a4b84d3ecd'
ACTION DOC 10000 339 EXAMINING_DOCUMENT b'74535f14e628892c0775a2a4b84d3ecd'
ACTION MARK 10000 342 CONSIDERED_RELEVANT b'74535f14e628892c0775a2a4b84d3ecd'
ACTION SNIPPET 10000 345 SNIPPET_RELEVANT b'b3c10f3740ee56bfb999aca3fa3d28fb'
ACTION DOC 10000 365 EXAMINING_DOCUMENT b'b3c10f3740ee56bfb999aca3fa3d28fb'
ACTION MARK 10000 368 CONSIDERED_RELEVANT b'b3c10f3740ee56bfb999aca3fa3d28fb'
ACTION SNIPPET 10000 371 SNIPPET_NOT_RELEVANT b'336f1890-8ae7-11e6-8a68-b4ce96c78e04'
ACTION SNIPPET 10000 374 SNIPPET_RELEVANT b'e1336b8f-b0c2-4610-9a3c-ec85a546c9ad'
ACTION DOC 10000 394 EXAMINING_DOCUMENT b'e1336b8f-b0c2-4610-9a3c-ec85a546c9ad'
ACTION MARK 10000 397 CONSIDERED_RELEVANT b'e1336b8f-b0c2-4610-9a3c-ec85a546c9ad'
ACTION SNIPPET 10000 400 SNIPPET_RELEVANT b'f3d6cda7286160d69f4bdba95c1c133c'
ACTION DOC 10000 420 EXAMINING_DOCUMENT b'f3d6cda7286160d69f4bdba95c1c133c'
ACTION MARK 10000 423 CONSIDERED_RELEVANT b'f3d6cda7286160d69f4bdba95c1c133c'
ACTION SNIPPET 10000 426 SNIPPET_RELEVANT b'6bd28e0c-7e7b-11e5-bfb6-65300a5ff562'
ACTION DOC 10000 446 EXAMINING_DOCUMENT b'6bd28e0c-7e7b-11e5-bfb6-65300a5ff562'
ACTION MARK 10000 449 CONSIDERED_RELEVANT b'6bd28e0c-7e7b-11e5-bfb6-65300a5ff562'
ACTION SNIPPET 10000 452 SNIPPET_RELEVANT b'24527f64-a685-11e1-9e73-f4e3879b34a3'
ACTION DOC 10000 472 EXAMINING_DOCUMENT b'24527f64-a685-11e1-9e73-f4e3879b34a3'
ACTION MARK 10000 475 CONSIDERED_RELEVANT b'24527f64-a685-11e1-9e73-f4e3879b34a3'
ACTION SNIPPET 10000 478 SNIPPET_RELEVANT b'ef341dcedfa9c09756a25ac3c50c5eb3'
ACTION DOC 10000 498 EXAMINING_DOCUMENT b'ef341dcedfa9c09756a25ac3c50c5eb3'
ACTION MARK 10000 501 CONSIDERED_RELEVANT b'ef341dcedfa9c09756a25ac3c50c5eb3'
ACTION SNIPPET 10000 504 SNIPPET_RELEVANT b'bdfeff1e-9d7e-11e4-86a3-1b56f64925f6'
ACTION DOC 10000 524 EXAMINING_DOCUMENT b'bdfeff1e-9d7e-11e4-86a3-1b56f64925f6'
ACTION MARK 10000 527 CONSIDERED_RELEVANT b'bdfeff1e-9d7e-11e4-86a3-1b56f64925f6'
ACTION SNIPPET 10000 530 SNIPPET_RELEVANT b'2c9811de-73c5-11e3-8def-a33011492df2'
ACTION DOC 10000 550 EXAMINING_DOCUMENT b'2c9811de-73c5-11e3-8def-a33011492df2'
ACTION MARK 10000 553 CONSIDERED_RELEVANT b'2c9811de-73c5-11e3-8def-a33011492df2'
ACTION SNIPPET 10000 556 SNIPPET_RELEVANT b'a3f3f476-4df7-11e3-be6b-d3d28122e6d4'
ACTION DOC 10000 576 EXAMINING_DOCUMENT b'a3f3f476-4df7-11e3-be6b-d3d28122e6d4'
ACTION MARK 10000 579 CONSIDERED_RELEVANT b'a3f3f476-4df7-11e3-be6b-d3d28122e6d4'
ACTION SNIPPET 10000 582 SNIPPET_RELEVANT b'1484bb89fbf3da2c40f66d510242f570'
ACTION DOC 10000 602 EXAMINING_DOCUMENT b'1484bb89fbf3da2c40f66d510242f570'
ACTION SNIPPET 10000 605 SNIPPET_RELEVANT b'40fac178f66524131d738fb7744056ce'
ACTION DOC 10000 625 EXAMINING_DOCUMENT b'40fac178f66524131d738fb7744056ce'
ACTION MARK 10000 628 CONSIDERED_RELEVANT b'40fac178f66524131d738fb7744056ce'
ACTION SNIPPET 10000 631 SNIPPET_RELEVANT b'd7df2801b7711522920f863fa9e4e828'
ACTION DOC 10000 651 EXAMINING_DOCUMENT b'd7df2801b7711522920f863fa9e4e828'
ACTION MARK 10000 654 CONSIDERED_RELEVANT b'd7df2801b7711522920f863fa9e4e828'
ACTION SNIPPET 10000 657 SNIPPET_NOT_RELEVANT b'379db0238972d693d28ee45942d074fd'
ACTION SNIPPET 10000 660 SNIPPET_RELEVANT b'23525dcc47f84f874260965d28ba3bee'
ACTION DOC 10000 680 EXAMINING_DOCUMENT b'23525dcc47f84f874260965d28ba3bee'
ACTION MARK 10000 683 CONSIDERED_RELEVANT b'23525dcc47f84f874260965d28ba3bee'
ACTION SNIPPET 10000 686 SNIPPET_NOT_RELEVANT b'8d3bc2b22c945e8b8faab0dedb0dc999'
ACTION SNIPPET 10000 689 SNIPPET_RELEVANT b'0738670b1f146e08b1a47c99a74685f8'
ACTION DOC 10000 709 EXAMINING_DOCUMENT b'0738670b1f146e08b1a47c99a74685f8'
ACTION MARK 10000 712 CONSIDERED_RELEVANT b'0738670b1f146e08b1a47c99a74685f8'
ACTION SNIPPET 10000 715 SNIPPET_NOT_RELEVANT b'71dac8eb6e1bddf7160f28dcd13451fb'
ACTION SNIPPET 10000 718 SNIPPET_RELEVANT b'04bfc501f5feb371de590dc66b174ee4'
ACTION DOC 10000 738 EXAMINING_DOCUMENT b'04bfc501f5feb371de590dc66b174ee4'
ACTION MARK 10000 741 CONSIDERED_RELEVANT b'04bfc501f5feb371de590dc66b174ee4'
ACTION SNIPPET 10000 744 SNIPPET_RELEVANT b'689d8ee934ca7852dfc9b8fd27c16fdc'
ACTION DOC 10000 764 EXAMINING_DOCUMENT b'689d8ee934ca7852dfc9b8fd27c16fdc'
ACTION MARK 10000 767 CONSIDERED_RELEVANT b'689d8ee934ca7852dfc9b8fd27c16fdc'
ACTION SNIPPET 10000 770 SNIPPET_RELEVANT b'19873d3b2a9e41854040c91b789d3c1c'
ACTION DOC 10000 790 EXAMINING_DOCUMENT b'19873d3b2a9e41854040c91b789d3c1c'
ACTION MARK 10000 793 CONSIDERED_RELEVANT b'19873d3b2a9e41854040c91b789d3c1c'
ACTION SNIPPET 10000 796 SNIPPET_RELEVANT b'526a1a6e5df8eae9050770ecf5f76ee9'
ACTION DOC 10000 816 EXAMINING_DOCUMENT b'526a1a6e5df8eae9050770ecf5f76ee9'
ACTION MARK 10000 819 CONSIDERED_RELEVANT b'526a1a6e5df8eae9050770ecf5f76ee9'
ACTION SNIPPET 10000 822 SNIPPET_NOT_RELEVANT b'f5a6db22-5215-11e3-9ee6-2580086d8254'
ACTION SNIPPET 10000 825 SNIPPET_RELEVANT b'a007059d9ab4968798fcd58dbf9953db'
ACTION DOC 10000 845 EXAMINING_DOCUMENT b'a007059d9ab4968798fcd58dbf9953db'
ACTION MARK 10000 848 CONSIDERED_RELEVANT b'a007059d9ab4968798fcd58dbf9953db'
ACTION SNIPPET 10000 851 SNIPPET_NOT_RELEVANT b'd736cf2a-3eb3-11e1-9d6b-29434ee99d6a'
ACTION SNIPPET 10000 854 SNIPPET_NOT_RELEVANT b'cc5e8834-cc01-11e4-8a46-b1dc9be5a8ff'
ACTION SNIPPET 10000 857 SNIPPET_RELEVANT b'582c4702-8183-11e5-8bd2-680fff868306'
ACTION DOC 10000 877 EXAMINING_DOCUMENT b'582c4702-8183-11e5-8bd2-680fff868306'
ACTION MARK 10000 880 CONSIDERED_RELEVANT b'582c4702-8183-11e5-8bd2-680fff868306'
ACTION SNIPPET 10000 883 SNIPPET_RELEVANT b'd91fbaea-c02c-11e6-b20d-3075b273feeb'
ACTION DOC 10000 903 EXAMINING_DOCUMENT b'd91fbaea-c02c-11e6-b20d-3075b273feeb'
ACTION SNIPPET 10000 906 SNIPPET_RELEVANT b'512b3e98125e82a9670ae440a0a75563'
ACTION DOC 10000 926 EXAMINING_DOCUMENT b'512b3e98125e82a9670ae440a0a75563'
ACTION MARK 10000 929 CONSIDERED_RELEVANT b'512b3e98125e82a9670ae440a0a75563'
