ACTION QUERY 10000 10 jason rezaian released from iran
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'24a861de-2b0e-11e5-a5ea-cf74396e59ec'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'b06f153dcaa4b0b5f00840c1d4ba6d6d'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'608ecece-1495-4468-89b2-2d327c439983'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'608ecece-1495-4468-89b2-2d327c439983'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'2428154a-5fb4-11e4-91f7-5d89b5e8c251'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'2428154a-5fb4-11e4-91f7-5d89b5e8c251'
ACTION MARK 10000 70 CONSIDERED_RELEVANT b'2428154a-5fb4-11e4-91f7-5d89b5e8c251'
ACTION SNIPPET 10000 73 SNIPPET_NOT_RELEVANT b'097cde8e-70f6-11e5-9cbb-790369643cf9'
ACTION SNIPPET 10000 76 SNIPPET_RELEVANT b'811bb46e-2cd7-11e5-bd33-395c05608059'
ACTION DOC 10000 96 EXAMINING_DOCUMENT b'811bb46e-2cd7-11e5-bd33-395c05608059'
ACTION SNIPPET 10000 99 SNIPPET_NOT_RELEVANT b'1a189c6d-589a-4625-a8b1-1b8713ea4de7'
ACTION SNIPPET 10000 102 SNIPPET_RELEVANT b'f71282da068683dfe19bd325635814d4'
ACTION DOC 10000 122 EXAMINING_DOCUMENT b'f71282da068683dfe19bd325635814d4'
ACTION SNIPPET 10000 125 SNIPPET_RELEVANT b'2cd4f522-42b3-11e5-8ab4-c73967a143d3'
ACTION DOC 10000 145 EXAMINING_DOCUMENT b'2cd4f522-42b3-11e5-8ab4-c73967a143d3'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'14126822-7403-11e5-8d93-0af317ed58c9'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'14126822-7403-11e5-8d93-0af317ed58c9'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'14126822-7403-11e5-8d93-0af317ed58c9'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'bfb5c112-912f-11e5-befa-99ceebcbb272'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'bfb5c112-912f-11e5-befa-99ceebcbb272'
ACTION SNIPPET 10000 197 SNIPPET_RELEVANT b'f808791e521eaa3912e1be156f956e70'
ACTION DOC 10000 217 EXAMINING_DOCUMENT b'f808791e521eaa3912e1be156f956e70'
ACTION SNIPPET 10000 220 SNIPPET_NOT_RELEVANT b'9435a5a8-037b-11e5-a428-c984eb077d4e'
ACTION SNIPPET 10000 223 SNIPPET_NOT_RELEVANT b'3b24cb04-9cbc-11e4-96cc-e858eba91ced'
ACTION SNIPPET 10000 226 SNIPPET_NOT_RELEVANT b'73d3a350-478c-11e5-8ab4-c73967a143d3'
ACTION SNIPPET 10000 229 SNIPPET_RELEVANT b'5c06f20c-4293-11e5-9f53-d1e3ddfd0cda'
ACTION DOC 10000 249 EXAMINING_DOCUMENT b'5c06f20c-4293-11e5-9f53-d1e3ddfd0cda'
ACTION SNIPPET 10000 252 SNIPPET_NOT_RELEVANT b'842df6c6-3df3-11e5-a312-1a6452ac77d2'
ACTION SNIPPET 10000 255 SNIPPET_NOT_RELEVANT b'e27e6cde-e1f9-11e4-81ea-0649268f729e'
ACTION SNIPPET 10000 258 SNIPPET_NOT_RELEVANT b'2d1423f6-7e22-4d7b-b6c9-e8e7a21b7539'
ACTION SNIPPET 10000 261 SNIPPET_NOT_RELEVANT b'f37a4092-65be-11e4-bb14-4cfea1e742d5'
ACTION SNIPPET 10000 264 SNIPPET_NOT_RELEVANT b'e01e966a-c978-11e4-a199-6cb5e63819d2'
ACTION SNIPPET 10000 267 SNIPPET_NOT_RELEVANT b'255ac604-7e1a-11e4-8882-03cf08410beb'
ACTION SNIPPET 10000 270 SNIPPET_RELEVANT b'867eb95c697a109c25eb31e9f8d72557'
ACTION DOC 10000 290 EXAMINING_DOCUMENT b'867eb95c697a109c25eb31e9f8d72557'
ACTION QUERY 10000 300 jason rezaian released from iran rezaian
ACTION SERP 10000 305 EXAMINE_SERP
ACTION SNIPPET 10000 308 SNIPPET_NOT_RELEVANT b'24a861de-2b0e-11e5-a5ea-cf74396e59ec'
ACTION SNIPPET 10000 311 SNIPPET_RELEVANT b'b06f153dcaa4b0b5f00840c1d4ba6d6d'
ACTION DOC 10000 331 EXAMINING_DOCUMENT b'b06f153dcaa4b0b5f00840c1d4ba6d6d'
ACTION MARK 10000 334 CONSIDERED_RELEVANT b'b06f153dcaa4b0b5f00840c1d4ba6d6d'
ACTION SNIPPET 10000 337 SNIPPET_RELEVANT b'097cde8e-70f6-11e5-9cbb-790369643cf9'
ACTION DOC 10000 357 EXAMINING_DOCUMENT b'097cde8e-70f6-11e5-9cbb-790369643cf9'
ACTION MARK 10000 360 CONSIDERED_RELEVANT b'097cde8e-70f6-11e5-9cbb-790369643cf9'
ACTION SNIPPET 10000 363 SEEN_PREVIOUSLY b'2cd4f522-42b3-11e5-8ab4-c73967a143d3'
ACTION SNIPPET 10000 366 SEEN_PREVIOUSLY b'811bb46e-2cd7-11e5-bd33-395c05608059'
ACTION SNIPPET 10000 369 SNIPPET_RELEVANT b'9435a5a8-037b-11e5-a428-c984eb077d4e'
