ACTION QUERY 10000 10 bezos purchases washington post
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'968a2bc4-fe1b-11e2-9711-3708310f6f4d'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'4ffcc9d4-7592-11e3-8def-a33011492df2'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'27164286-05e7-11e3-a07f-49ddc7417125'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'27164286-05e7-11e3-a07f-49ddc7417125'
ACTION MARK 10000 47 CONSIDERED_RELEVANT b'27164286-05e7-11e3-a07f-49ddc7417125'
ACTION SNIPPET 10000 50 SNIPPET_RELEVANT b'07bceee77bacba4dac3f26c5d237a942'
ACTION DOC 10000 70 EXAMINING_DOCUMENT b'07bceee77bacba4dac3f26c5d237a942'
ACTION MARK 10000 73 CONSIDERED_RELEVANT b'07bceee77bacba4dac3f26c5d237a942'
ACTION SNIPPET 10000 76 SNIPPET_NOT_RELEVANT b'1cc215c8-fea1-11e2-9711-3708310f6f4d'
ACTION SNIPPET 10000 79 SNIPPET_RELEVANT b'f0264c0d894791c479f9e9068a1d55ef'
ACTION DOC 10000 99 EXAMINING_DOCUMENT b'f0264c0d894791c479f9e9068a1d55ef'
ACTION SNIPPET 10000 102 SNIPPET_NOT_RELEVANT b'e38c550e8a0dd02a643757db3a8bd191'
ACTION SNIPPET 10000 105 SNIPPET_RELEVANT b'30c00b60-13f6-11e3-b182-1b3bb2eb474c'
ACTION DOC 10000 125 EXAMINING_DOCUMENT b'30c00b60-13f6-11e3-b182-1b3bb2eb474c'
ACTION MARK 10000 128 CONSIDERED_RELEVANT b'30c00b60-13f6-11e3-b182-1b3bb2eb474c'
ACTION SNIPPET 10000 131 SNIPPET_RELEVANT b'ac60365a36fdeb2a6da0e608b49c34bf'
ACTION DOC 10000 151 EXAMINING_DOCUMENT b'ac60365a36fdeb2a6da0e608b49c34bf'
ACTION MARK 10000 154 CONSIDERED_RELEVANT b'ac60365a36fdeb2a6da0e608b49c34bf'
ACTION SNIPPET 10000 157 SNIPPET_RELEVANT b'285dbb6f10f3d442d6eb624a1cc9584a'
ACTION DOC 10000 177 EXAMINING_DOCUMENT b'285dbb6f10f3d442d6eb624a1cc9584a'
ACTION MARK 10000 180 CONSIDERED_RELEVANT b'285dbb6f10f3d442d6eb624a1cc9584a'
ACTION SNIPPET 10000 183 SNIPPET_RELEVANT b'94377b1163838619a473100726f0cfa6'
ACTION DOC 10000 203 EXAMINING_DOCUMENT b'94377b1163838619a473100726f0cfa6'
ACTION MARK 10000 206 CONSIDERED_RELEVANT b'94377b1163838619a473100726f0cfa6'
ACTION SNIPPET 10000 209 SNIPPET_RELEVANT b'10ca228a-fe18-11e2-96a8-d3b921c0924a'
ACTION DOC 10000 229 EXAMINING_DOCUMENT b'10ca228a-fe18-11e2-96a8-d3b921c0924a'
ACTION MARK 10000 232 CONSIDERED_RELEVANT b'10ca228a-fe18-11e2-96a8-d3b921c0924a'
ACTION SNIPPET 10000 235 SNIPPET_NOT_RELEVANT b'17b0d61ac61cb9b490697e52087dcd21'
ACTION SNIPPET 10000 238 SNIPPET_NOT_RELEVANT b'0a8f3749ba89a8d88e8977e9dc4446dc'
ACTION SNIPPET 10000 241 SNIPPET_NOT_RELEVANT b'fca3b16a-2acf-11e3-97a3-ff2758228523'
ACTION SNIPPET 10000 244 SNIPPET_RELEVANT b'ff6bd6e0-fe0e-11e2-9711-3708310f6f4d'
ACTION DOC 10000 264 EXAMINING_DOCUMENT b'ff6bd6e0-fe0e-11e2-9711-3708310f6f4d'
ACTION MARK 10000 267 CONSIDERED_RELEVANT b'ff6bd6e0-fe0e-11e2-9711-3708310f6f4d'
ACTION SNIPPET 10000 270 SNIPPET_NOT_RELEVANT b'83d9143c40616974ad83e23b3239df8d'
ACTION SNIPPET 10000 273 SNIPPET_NOT_RELEVANT b'28a3a5b2715d4662afa48bb4208a8cdf'
ACTION SNIPPET 10000 276 SNIPPET_NOT_RELEVANT b'33040228-15a9-11e3-a2ec-b47e45e6f8ef'
ACTION SNIPPET 10000 279 SNIPPET_NOT_RELEVANT b'7762d69ad020f4c83e9da6f9b4dd019c'
ACTION SNIPPET 10000 282 SNIPPET_NOT_RELEVANT b'245b62e2c45329c00882a61e183cc348'
ACTION SNIPPET 10000 285 SNIPPET_NOT_RELEVANT b'b72f5054-1d1a-11e6-8c7b-6931e66333e7'
ACTION SNIPPET 10000 288 SNIPPET_RELEVANT b'c863516e-156f-11e3-a2ec-b47e45e6f8ef'
ACTION DOC 10000 308 EXAMINING_DOCUMENT b'c863516e-156f-11e3-a2ec-b47e45e6f8ef'
ACTION MARK 10000 311 CONSIDERED_RELEVANT b'c863516e-156f-11e3-a2ec-b47e45e6f8ef'
ACTION SNIPPET 10000 314 SNIPPET_NOT_RELEVANT b'5385daaa3808058706fcacece15e6f5d'
ACTION SNIPPET 10000 317 SNIPPET_RELEVANT b'e98904f0-fed2-11e2-9711-3708310f6f4d'
ACTION DOC 10000 337 EXAMINING_DOCUMENT b'e98904f0-fed2-11e2-9711-3708310f6f4d'
ACTION MARK 10000 340 CONSIDERED_RELEVANT b'e98904f0-fed2-11e2-9711-3708310f6f4d'
ACTION SNIPPET 10000 343 SNIPPET_RELEVANT b'461a0ce7f632ac4014518547545c5b4c'
ACTION DOC 10000 363 EXAMINING_DOCUMENT b'461a0ce7f632ac4014518547545c5b4c'
ACTION SNIPPET 10000 366 SNIPPET_RELEVANT b'5784f40ea0d714e24a05fbd625f0ce44'
ACTION DOC 10000 386 EXAMINING_DOCUMENT b'5784f40ea0d714e24a05fbd625f0ce44'
ACTION MARK 10000 389 CONSIDERED_RELEVANT b'5784f40ea0d714e24a05fbd625f0ce44'
ACTION SNIPPET 10000 392 SNIPPET_NOT_RELEVANT b'6e721a26-005e-11e3-9711-3708310f6f4d'
ACTION SNIPPET 10000 395 SNIPPET_RELEVANT b'e5b293de-fe0d-11e2-9711-3708310f6f4d'
ACTION DOC 10000 415 EXAMINING_DOCUMENT b'e5b293de-fe0d-11e2-9711-3708310f6f4d'
ACTION MARK 10000 418 CONSIDERED_RELEVANT b'e5b293de-fe0d-11e2-9711-3708310f6f4d'
ACTION SNIPPET 10000 421 SNIPPET_NOT_RELEVANT b'ba7cfeb6-013c-11e3-9a3e-916de805f65d'
ACTION SNIPPET 10000 424 SNIPPET_RELEVANT b'1b450a48-fe1a-11e2-96a8-d3b921c0924a'
ACTION DOC 10000 444 EXAMINING_DOCUMENT b'1b450a48-fe1a-11e2-96a8-d3b921c0924a'
ACTION MARK 10000 447 CONSIDERED_RELEVANT b'1b450a48-fe1a-11e2-96a8-d3b921c0924a'
ACTION SNIPPET 10000 450 SNIPPET_NOT_RELEVANT b'0646856e828e2bdec5b91f93af76902f'
ACTION SNIPPET 10000 453 SNIPPET_NOT_RELEVANT b'b47273ba-c09e-11e5-bcda-62a36b394160'
ACTION SNIPPET 10000 456 SNIPPET_NOT_RELEVANT b'1d9a3862d229a36bad93ebcfe28eb0bf'
ACTION SNIPPET 10000 459 SNIPPET_RELEVANT b'b4b5c44de86e3fee7434b5b17db2b209'
ACTION DOC 10000 479 EXAMINING_DOCUMENT b'b4b5c44de86e3fee7434b5b17db2b209'
ACTION SNIPPET 10000 482 SNIPPET_RELEVANT b'365972955d86492de42f16090ac447d8'
ACTION DOC 10000 502 EXAMINING_DOCUMENT b'365972955d86492de42f16090ac447d8'
ACTION SNIPPET 10000 505 SNIPPET_NOT_RELEVANT b'182869fd456dfb1434431fe673ad5375'
ACTION SNIPPET 10000 508 SNIPPET_NOT_RELEVANT b'0389d8019adde24ddbc2f9469d01d4d7'
ACTION SNIPPET 10000 511 SNIPPET_NOT_RELEVANT b'5e9e30dc290034dfbb84f14b6b6a6760'
ACTION SNIPPET 10000 514 SNIPPET_RELEVANT b'85cd9be883063f10cbbcdbffd40d3137'
ACTION DOC 10000 534 EXAMINING_DOCUMENT b'85cd9be883063f10cbbcdbffd40d3137'
ACTION SNIPPET 10000 537 SNIPPET_NOT_RELEVANT b'0f5f6070-fe29-11e2-9711-3708310f6f4d'
ACTION SNIPPET 10000 540 SNIPPET_NOT_RELEVANT b'b6a81755ab2d803bd8add03c68145f0f'
ACTION SNIPPET 10000 543 SNIPPET_NOT_RELEVANT b'e9cc0185de269e2255a3db51b2a70b8d'
ACTION SNIPPET 10000 546 SNIPPET_RELEVANT b'd560af7c6be9bc1bd019cd24c276d037'
ACTION DOC 10000 566 EXAMINING_DOCUMENT b'd560af7c6be9bc1bd019cd24c276d037'
ACTION MARK 10000 569 CONSIDERED_RELEVANT b'd560af7c6be9bc1bd019cd24c276d037'
ACTION SNIPPET 10000 572 SNIPPET_RELEVANT b'9a0dfaaa6eba32e01a77cb9a2087f8be'
ACTION DOC 10000 592 EXAMINING_DOCUMENT b'9a0dfaaa6eba32e01a77cb9a2087f8be'
ACTION SNIPPET 10000 595 SNIPPET_NOT_RELEVANT b'efa889638ed31cd04121881368d4e99c'
ACTION SNIPPET 10000 598 SNIPPET_RELEVANT b'5f86597e-a896-11e3-8599-ce7295b6851c'
ACTION DOC 10000 618 EXAMINING_DOCUMENT b'5f86597e-a896-11e3-8599-ce7295b6851c'
ACTION SNIPPET 10000 621 SNIPPET_NOT_RELEVANT b'279dec20-0071-11e3-9a3e-916de805f65d'
ACTION SNIPPET 10000 624 SNIPPET_RELEVANT b'dde54077b346efe84264d649ab6fed9d'
ACTION DOC 10000 644 EXAMINING_DOCUMENT b'dde54077b346efe84264d649ab6fed9d'
ACTION SNIPPET 10000 647 SNIPPET_NOT_RELEVANT b'160f6fbc8054fecbf40cf06a456b967e'
INFO SERP_END_REACHED 
ACTION QUERY 10000 657 bezos purchases washington post graham
ACTION SERP 10000 662 EXAMINE_SERP
ACTION SNIPPET 10000 665 SNIPPET_NOT_RELEVANT b'1cc215c8-fea1-11e2-9711-3708310f6f4d'
ACTION SNIPPET 10000 668 SNIPPET_NOT_RELEVANT b'fca3b16a-2acf-11e3-97a3-ff2758228523'
ACTION SNIPPET 10000 671 SNIPPET_RELEVANT b'968a2bc4-fe1b-11e2-9711-3708310f6f4d'
ACTION DOC 10000 691 EXAMINING_DOCUMENT b'968a2bc4-fe1b-11e2-9711-3708310f6f4d'
ACTION MARK 10000 694 CONSIDERED_RELEVANT b'968a2bc4-fe1b-11e2-9711-3708310f6f4d'
ACTION SNIPPET 10000 697 SNIPPET_RELEVANT b'6e721a26-005e-11e3-9711-3708310f6f4d'
ACTION DOC 10000 717 EXAMINING_DOCUMENT b'6e721a26-005e-11e3-9711-3708310f6f4d'
ACTION MARK 10000 720 CONSIDERED_RELEVANT b'6e721a26-005e-11e3-9711-3708310f6f4d'
