ACTION QUERY 10000 10 "inventions  scientific discoveries"
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'85b782ec-a72f-11e4-a2b2-776095f393b2'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'7bc99154-82e1-11e2-a350-49866afab584'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'8dfcb0c4-75fb-11e7-9eac-d56bd5568db8'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'8dfcb0c4-75fb-11e7-9eac-d56bd5568db8'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'5b5c1472-f129-11e1-892d-bc92fee603a7'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'5b5c1472-f129-11e1-892d-bc92fee603a7'
ACTION SNIPPET 10000 70 SNIPPET_NOT_RELEVANT b'2a6c80bbd56ed0037187649b4e4e8403'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'ff8357c8-c05e-11e1-98e3-74b25aefc547'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'ff8357c8-c05e-11e1-98e3-74b25aefc547'
ACTION SNIPPET 10000 96 SNIPPET_NOT_RELEVANT b'9044d0da-59f9-11e4-8264-deed989ae9a2'
ACTION SNIPPET 10000 99 SNIPPET_RELEVANT b'8516daabcb50caa095e58d59d78ffbd1'
ACTION DOC 10000 119 EXAMINING_DOCUMENT b'8516daabcb50caa095e58d59d78ffbd1'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'5844942c-8f8c-11e4-ba53-a477d66580ed'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'5844942c-8f8c-11e4-ba53-a477d66580ed'
ACTION QUERY 10000 152 Steam engine
ACTION SERP 10000 157 EXAMINE_SERP
ACTION SNIPPET 10000 160 SNIPPET_RELEVANT b'f31e67fc-be9a-11e3-b574-f8748871856a'
ACTION DOC 10000 180 EXAMINING_DOCUMENT b'f31e67fc-be9a-11e3-b574-f8748871856a'
ACTION SNIPPET 10000 183 SNIPPET_RELEVANT b'e0e16f88-09a8-11e2-858a-5311df86ab04'
ACTION DOC 10000 203 EXAMINING_DOCUMENT b'e0e16f88-09a8-11e2-858a-5311df86ab04'
ACTION SNIPPET 10000 206 SNIPPET_RELEVANT b'b109998c830451d329cc34cfd9e1105a'
ACTION DOC 10000 226 EXAMINING_DOCUMENT b'b109998c830451d329cc34cfd9e1105a'
ACTION SNIPPET 10000 229 SNIPPET_NOT_RELEVANT b'7abced90-ceb7-11e5-abc9-ea152f0b9561'
ACTION SNIPPET 10000 232 SNIPPET_NOT_RELEVANT b'6d57078c-8ab5-11e3-916e-e01534b1e132'
ACTION SNIPPET 10000 235 SNIPPET_NOT_RELEVANT b'772ff600-2b05-11e5-a250-42bd812efc09'
ACTION SNIPPET 10000 238 SNIPPET_RELEVANT b'3e888952-fb48-11e5-886f-a037dba38301'
ACTION DOC 10000 258 EXAMINING_DOCUMENT b'3e888952-fb48-11e5-886f-a037dba38301'
ACTION SNIPPET 10000 261 SNIPPET_NOT_RELEVANT b'3d98c4d6-3264-11e2-9cfa-e41bac906cc9'
ACTION SNIPPET 10000 264 SNIPPET_NOT_RELEVANT b'c489e29ee4d12e3702b582e06e36c850'
ACTION QUERY 10000 274 Penicillin
ACTION SERP 10000 279 EXAMINE_SERP
ACTION SNIPPET 10000 282 SNIPPET_NOT_RELEVANT b'db4e0e314048de663a97fd678c01d5e7'
ACTION SNIPPET 10000 285 SNIPPET_NOT_RELEVANT b'c2174ab6-747d-11e1-862c-76c4e0e725cd'
ACTION SNIPPET 10000 288 SNIPPET_NOT_RELEVANT b'f77240f0-ccdc-11e1-8d21-45ee617a712a'
ACTION SNIPPET 10000 291 SNIPPET_NOT_RELEVANT b'ba09cd4a-162b-11e6-9e16-2e5a123aac62'
ACTION SNIPPET 10000 294 SNIPPET_RELEVANT b'0c2fcbb4e5f489eb4d823caabfb9809b'
ACTION DOC 10000 314 EXAMINING_DOCUMENT b'0c2fcbb4e5f489eb4d823caabfb9809b'
ACTION SNIPPET 10000 317 SNIPPET_NOT_RELEVANT b'352c2d87d6995e3822413d5d338f0b7c'
ACTION SNIPPET 10000 320 SNIPPET_RELEVANT b'925cdd00-83e0-11e1-abb4-839961045500'
ACTION DOC 10000 340 EXAMINING_DOCUMENT b'925cdd00-83e0-11e1-abb4-839961045500'
ACTION SNIPPET 10000 343 SNIPPET_RELEVANT b'554b3a038465973b69bdadd9930d8a4c'
ACTION DOC 10000 363 EXAMINING_DOCUMENT b'554b3a038465973b69bdadd9930d8a4c'
ACTION SNIPPET 10000 366 SNIPPET_RELEVANT b'6bd14286-3bc7-11e1-9958-657538129602'
